Data,Wartość dla NN Konserwatywny (A),Waluta
2021-02-19,275.57,PLN
2021-02-22,275.46,PLN
2021-02-23,275.53,PLN
2021-02-24,275.59,PLN
2021-02-25,275.83,PLN
2021-02-26,275.72,PLN
2021-03-01,275.64,PLN
2021-03-02,275.70,PLN
2021-03-03,275.92,PLN
2021-03-04,275.93,PLN
2021-03-05,275.85,PLN
2021-03-08,275.74,PLN
2021-03-09,275.59,PLN
2021-03-10,275.48,PLN
2021-03-11,275.46,PLN
2021-03-12,275.52,PLN
2021-03-15,275.56,PLN
2021-03-16,275.54,PLN
2021-03-17,275.73,PLN
2021-03-18,275.84,PLN
2021-03-19,275.79,PLN
2021-03-22,275.53,PLN
2021-03-23,275.48,PLN
2021-03-24,275.48,PLN
2021-03-25,275.24,PLN
2021-03-26,275.43,PLN
2021-03-29,275.63,PLN
2021-03-30,275.85,PLN
2021-03-31,275.82,PLN
2021-04-01,276.03,PLN
2021-04-06,275.93,PLN
2021-04-07,275.91,PLN
2021-04-08,275.74,PLN
2021-04-09,275.81,PLN
2021-04-12,275.86,PLN
2021-04-13,275.76,PLN
2021-04-14,275.75,PLN
2021-04-15,275.86,PLN
2021-04-16,275.88,PLN
2021-04-19,275.82,PLN
2021-04-20,275.91,PLN
2021-04-21,275.95,PLN
2021-04-22,275.91,PLN
2021-04-23,275.92,PLN
2021-04-26,276.08,PLN
2021-04-27,275.96,PLN
2021-04-28,276.01,PLN
2021-04-29,276.10,PLN
2021-04-30,275.92,PLN
2021-05-04,275.81,PLN
2021-05-05,275.93,PLN
2021-05-06,275.81,PLN
2021-05-07,275.72,PLN
2021-05-10,275.54,PLN
2021-05-11,275.44,PLN
2021-05-12,275.47,PLN
2021-05-13,275.04,PLN
2021-05-14,275.20,PLN
2021-05-17,275.01,PLN
2021-05-18,274.81,PLN
2021-05-19,275.01,PLN
2021-05-20,275.24,PLN
2021-05-21,275.60,PLN
2021-05-24,274.71,PLN
2021-05-25,274.88,PLN
2021-05-26,274.98,PLN
2021-05-27,275.27,PLN
2021-05-28,275.12,PLN
2021-05-31,275.40,PLN
2021-06-01,275.26,PLN
2021-06-02,274.73,PLN
2021-06-04,274.67,PLN
2021-06-07,274.62,PLN
2021-06-08,274.78,PLN
2021-06-09,274.20,PLN
2021-06-10,273.90,PLN
2021-06-11,273.68,PLN
2021-06-14,273.91,PLN
2021-06-15,274.26,PLN
2021-06-16,274.05,PLN
2021-06-17,274.38,PLN
2021-06-18,274.24,PLN
2021-06-21,274.32,PLN
2021-06-22,274.52,PLN
2021-06-23,274.55,PLN
2021-06-24,274.33,PLN
2021-06-25,274.50,PLN
2021-06-28,274.24,PLN
2021-06-29,274.02,PLN
2021-06-30,273.82,PLN
2021-07-01,273.13,PLN
2021-07-02,273.11,PLN
2021-07-05,273.99,PLN
2021-07-06,274.05,PLN
2021-07-07,274.09,PLN
2021-07-08,274.15,PLN
2021-07-09,274.12,PLN
2021-07-12,274.16,PLN
2021-07-13,274.15,PLN
2021-07-14,274.13,PLN
2021-07-15,274.15,PLN
2021-07-16,274.19,PLN
2021-07-19,274.30,PLN
2021-07-20,274.32,PLN
2021-07-21,274.28,PLN
2021-07-22,274.27,PLN
2021-07-23,274.28,PLN
2021-07-26,274.28,PLN
2021-07-27,274.31,PLN
2021-07-28,274.27,PLN
2021-07-29,274.20,PLN
2021-07-30,274.20,PLN
2021-08-02,273.87,PLN
2021-08-03,273.92,PLN
2021-08-04,273.91,PLN
2021-08-05,273.87,PLN
2021-08-06,273.82,PLN
2021-08-09,273.79,PLN
2021-08-10,273.77,PLN
2021-08-11,273.81,PLN
2021-08-12,273.82,PLN
2021-08-13,273.85,PLN
2021-08-16,273.91,PLN
2021-08-17,273.92,PLN
2021-08-18,273.95,PLN
2021-08-19,273.96,PLN
2021-08-20,274.06,PLN
2021-08-23,274.08,PLN
2021-08-24,273.99,PLN
2021-08-25,273.99,PLN
2021-08-26,273.91,PLN
2021-08-27,273.91,PLN
2021-08-30,273.89,PLN
2021-08-31,273.79,PLN
2021-09-01,274.20,PLN
2021-09-02,274.13,PLN
2021-09-03,274.05,PLN
2021-09-06,274.13,PLN
2021-09-07,274.07,PLN
2021-09-08,274.06,PLN
2021-09-09,274.08,PLN
2021-09-10,274.08,PLN
2021-09-13,274.05,PLN
2021-09-14,274.05,PLN
2021-09-15,274.08,PLN
2021-09-16,274.06,PLN
2021-09-17,274.05,PLN
2021-09-20,274.05,PLN
2021-09-21,274.06,PLN
2021-09-22,274.06,PLN
2021-09-23,274.03,PLN
2021-09-24,274.06,PLN
2021-09-27,274.07,PLN
2021-09-28,273.99,PLN
2021-09-29,274.02,PLN
2021-09-30,274.00,PLN
2021-10-01,274.25,PLN
2021-10-04,274.14,PLN
2021-10-05,274.04,PLN
2021-10-06,273.86,PLN
2021-10-07,273.86,PLN
2021-10-08,273.72,PLN
2021-10-11,273.36,PLN
2021-10-12,273.15,PLN
2021-10-13,272.84,PLN
2021-10-14,273.01,PLN
2021-10-15,272.95,PLN
2021-10-18,272.73,PLN
2021-10-19,272.84,PLN
2021-10-20,272.63,PLN
2021-10-21,272.62,PLN
2021-10-22,272.63,PLN
2021-10-25,272.57,PLN
2021-10-26,272.61,PLN
2021-10-27,272.70,PLN
2021-10-28,272.66,PLN
2021-10-29,272.61,PLN
2021-11-02,272.60,PLN
2021-11-03,272.40,PLN
2021-11-04,272.04,PLN
2021-11-05,271.79,PLN
2021-11-08,271.58,PLN
2021-11-09,271.70,PLN
2021-11-10,271.73,PLN
2021-11-12,271.69,PLN
2021-11-15,271.54,PLN
2021-11-16,271.74,PLN
2021-11-17,271.67,PLN
2021-11-18,271.55,PLN
2021-11-19,271.56,PLN
2021-11-22,271.42,PLN
2021-11-23,271.28,PLN
2021-11-24,271.41,PLN
2021-11-25,271.47,PLN
2021-11-26,271.43,PLN
2021-11-29,271.34,PLN
2021-11-30,271.32,PLN
2021-12-01,270.44,PLN
2021-12-02,270.37,PLN
2021-12-03,270.51,PLN
2021-12-06,270.54,PLN
2021-12-07,270.75,PLN
2021-12-08,270.82,PLN
2021-12-09,270.87,PLN
2021-12-10,270.90,PLN
2021-12-13,271.02,PLN
2021-12-14,270.99,PLN
2021-12-15,271.07,PLN
2021-12-16,271.14,PLN
2021-12-17,271.10,PLN
2021-12-20,270.99,PLN
2021-12-21,270.60,PLN
2021-12-22,270.60,PLN
2021-12-23,270.63,PLN
2021-12-27,270.73,PLN
2021-12-28,270.85,PLN
2021-12-29,270.64,PLN
2021-12-30,270.62,PLN
2022-01-03,270.73,PLN
2022-01-04,270.66,PLN
2022-01-05,270.81,PLN
2022-01-07,270.80,PLN
2022-01-10,270.90,PLN
2022-01-11,270.94,PLN
2022-01-12,271.04,PLN
2022-01-13,271.07,PLN
2022-01-14,271.22,PLN
2022-01-17,271.34,PLN
2022-01-18,271.30,PLN
2022-01-19,271.37,PLN
2022-01-20,271.46,PLN
2022-01-21,271.56,PLN
2022-01-24,271.56,PLN
2022-01-25,271.61,PLN
2022-01-26,271.60,PLN
2022-01-27,271.57,PLN
2022-01-28,271.52,PLN
2022-01-31,271.51,PLN
2022-02-01,272.02,PLN
2022-02-02,272.08,PLN
2022-02-03,272.15,PLN
2022-02-04,272.17,PLN
2022-02-07,272.09,PLN
2022-02-08,272.09,PLN
2022-02-09,271.95,PLN
2022-02-10,272.04,PLN
2022-02-11,272.04,PLN
2022-02-14,271.62,PLN
2022-02-15,272.07,PLN
2022-02-16,272.72,PLN
2022-02-17,272.79,PLN
2022-02-18,272.64,PLN
2022-02-21,272.63,PLN
