Data,Wartość dla NN Stabilnego Wzrostu (A),Waluta
2021-02-19,291.72,PLN
2021-02-22,290.93,PLN
2021-02-23,289.43,PLN
2021-02-24,290.47,PLN
2021-02-25,290.86,PLN
2021-02-26,289.21,PLN
2021-03-01,291.37,PLN
2021-03-02,291.68,PLN
2021-03-03,291.10,PLN
2021-03-04,290.83,PLN
2021-03-05,290.44,PLN
2021-03-08,291.53,PLN
2021-03-09,292.40,PLN
2021-03-10,293.06,PLN
2021-03-11,293.10,PLN
2021-03-12,293.53,PLN
2021-03-15,293.58,PLN
2021-03-16,293.10,PLN
2021-03-17,291.91,PLN
2021-03-18,292.76,PLN
2021-03-19,291.60,PLN
2021-03-22,291.57,PLN
2021-03-23,290.88,PLN
2021-03-24,290.63,PLN
2021-03-25,289.75,PLN
2021-03-26,291.43,PLN
2021-03-29,292.62,PLN
2021-03-30,292.63,PLN
2021-03-31,292.71,PLN
2021-04-01,293.14,PLN
2021-04-06,294.90,PLN
2021-04-07,294.41,PLN
2021-04-08,293.95,PLN
2021-04-09,293.65,PLN
2021-04-12,293.51,PLN
2021-04-13,293.71,PLN
2021-04-14,294.79,PLN
2021-04-15,294.90,PLN
2021-04-16,294.98,PLN
2021-04-19,293.87,PLN
2021-04-20,292.91,PLN
2021-04-21,292.77,PLN
2021-04-22,293.14,PLN
2021-04-23,293.21,PLN
2021-04-26,294.24,PLN
2021-04-27,294.14,PLN
2021-04-28,295.39,PLN
2021-04-29,295.93,PLN
2021-04-30,295.00,PLN
2021-05-04,293.79,PLN
2021-05-05,295.88,PLN
2021-05-06,295.79,PLN
2021-05-07,297.61,PLN
2021-05-10,298.49,PLN
2021-05-11,297.47,PLN
2021-05-12,296.96,PLN
2021-05-13,295.91,PLN
2021-05-14,296.44,PLN
2021-05-17,297.08,PLN
2021-05-18,297.52,PLN
2021-05-19,296.57,PLN
2021-05-20,297.51,PLN
2021-05-21,298.17,PLN
2021-05-24,297.97,PLN
2021-05-25,298.07,PLN
2021-05-26,298.91,PLN
2021-05-27,300.12,PLN
2021-05-28,301.21,PLN
2021-05-31,301.72,PLN
2021-06-01,301.49,PLN
2021-06-02,302.08,PLN
2021-06-04,302.35,PLN
2021-06-07,302.45,PLN
2021-06-08,301.89,PLN
2021-06-09,301.25,PLN
2021-06-10,302.16,PLN
2021-06-11,302.29,PLN
2021-06-14,303.37,PLN
2021-06-15,302.81,PLN
