Data zlecenia	Data wyceny	Nazwa funduszu	Typ transakcji	Status	Kwota	Kwota jednostka	Wartosc po transakcji	Wpt jednostka
2019-11-25	2019-12-10	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	60.00	PLN	60.00	PLN
2019-11-25	2019-12-10	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	150.00	PLN	150.00	PLN
2019-11-25	2019-12-10	NN Stabilnego Wzrostu	nabycie	zrealizowana	90.00	PLN	90.00	PLN
2019-11-25	2019-12-10	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	141.74	PLN	141.74	PLN
2019-11-25	2019-12-10	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	354.34	PLN	354.34	PLN
2019-11-25	2019-12-10	NN Stabilnego Wzrostu	nabycie	zrealizowana	212.60	PLN	212.60	PLN
2019-12-27	2020-01-16	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	60.00	PLN	122.14	PLN
2019-12-27	2020-01-16	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	150.00	PLN	302.63	PLN
2019-12-27	2020-01-16	NN Stabilnego Wzrostu	nabycie	zrealizowana	90.00	PLN	181.43	PLN
2019-12-27	2020-01-16	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	144.88	PLN	291.67	PLN
2019-12-27	2020-01-16	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	362.19	PLN	722.75	PLN
2019-12-27	2020-01-16	NN Stabilnego Wzrostu	nabycie	zrealizowana	217.32	PLN	433.31	PLN
2020-02-10	2020-03-02	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	60.00	PLN	170.81	PLN
2020-02-10	2020-03-02	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	150.00	PLN	446.14	PLN
2020-02-10	2020-03-02	NN Stabilnego Wzrostu	nabycie	zrealizowana	90.00	PLN	268.44	PLN
2020-02-10	2020-03-02	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	141.74	PLN	406.36	PLN
2020-02-10	2020-03-02	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	354.34	PLN	1061.59	PLN
2020-02-10	2020-03-02	NN Stabilnego Wzrostu	nabycie	zrealizowana	212.60	PLN	638.77	PLN
2020-04-03	2020-04-07	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	60.00	PLN	207.52	PLN
2020-04-03	2020-04-07	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	150.00	PLN	539.73	PLN
2020-04-03	2020-04-07	NN Stabilnego Wzrostu	nabycie	zrealizowana	90.00	PLN	350.63	PLN
2020-04-03	2020-04-07	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	141.74	PLN	492.70	PLN
2020-04-03	2020-04-07	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	354.34	PLN	1281.70	PLN
2020-04-03	2020-04-07	NN Stabilnego Wzrostu	nabycie	zrealizowana	212.60	PLN	832.78	PLN
2020-03-06	2020-04-07	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	60.00	PLN	267.52	PLN
2020-03-06	2020-04-07	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	150.00	PLN	689.73	PLN
2020-03-06	2020-04-07	NN Stabilnego Wzrostu	nabycie	zrealizowana	90.00	PLN	440.63	PLN
2020-03-06	2020-04-07	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	141.74	PLN	634.44	PLN
2020-03-06	2020-04-07	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	354.34	PLN	1636.04	PLN
2020-03-06	2020-04-07	NN Stabilnego Wzrostu	nabycie	zrealizowana	212.60	PLN	1045.38	PLN
2020-05-07	2020-05-08	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	60.00	PLN	342.97	PLN
2020-05-07	2020-05-08	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	141.74	PLN	812.82	PLN
2020-05-07	2020-05-08	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	150.00	PLN	873.59	PLN
2020-05-07	2020-05-08	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	354.34	PLN	2070.69	PLN
2020-05-07	2020-05-08	NN Stabilnego Wzrostu	nabycie	zrealizowana	90.00	PLN	541.89	PLN
2020-05-07	2020-05-08	NN Stabilnego Wzrostu	nabycie	zrealizowana	212.60	PLN	1284.70	PLN
2020-06-04	2020-06-19	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	60.00	PLN	413.51	PLN
2020-06-04	2020-06-19	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	150.00	PLN	1082.50	PLN
2020-06-04	2020-06-19	NN Stabilnego Wzrostu	nabycie	zrealizowana	90.00	PLN	647.04	PLN
2020-06-04	2020-06-19	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	141.23	PLN	979.02	PLN
2020-06-04	2020-06-19	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	353.06	PLN	2563.38	PLN
2020-06-04	2020-06-19	NN Stabilnego Wzrostu	nabycie	zrealizowana	211.84	PLN	1532.43	PLN
2020-07-20	2020-07-21	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	60.00	PLN	481.39	PLN
2020-07-20	2020-07-21	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	150.00	PLN	1248.10	PLN
2020-07-20	2020-07-21	NN Stabilnego Wzrostu	nabycie	zrealizowana	90.00	PLN	747.51	PLN
2020-07-20	2020-07-21	NN (L) Globalny Spółek Dywidendowych	nabycie	zrealizowana	141.23	PLN	1138.90	PLN
2020-07-20	2020-07-21	NN (L) Globalny Długu Korporacyjnego	nabycie	zrealizowana	353.06	PLN	2953.38	PLN
