Data,Wartość dla NN (L) Europejski Spółek Dywidendowych (A),Waluta
2022-01-26,208.62,PLN
2022-01-27,210.65,PLN
2022-01-28,208.64,PLN
2022-01-31,208.56,PLN
2022-02-01,211.45,PLN
2022-02-02,212.35,PLN
2022-02-03,209.71,PLN
2022-02-04,207.57,PLN
2022-02-07,209.19,PLN
2022-02-08,209.85,PLN
2022-02-09,212.27,PLN
2022-02-10,212.42,PLN
2022-02-11,212.31,PLN
2022-02-14,208.80,PLN
2022-02-15,210.85,PLN
2022-02-16,210.71,PLN
2022-02-17,210.07,PLN
2022-02-18,209.76,PLN
2022-02-21,207.29,PLN
2022-02-22,206.47,PLN
2022-02-23,206.20,PLN
2022-02-24,198.89,PLN
2022-02-25,204.83,PLN
2022-02-28,203.09,PLN
2022-03-01,198.37,PLN
2022-03-02,200.16,PLN
2022-03-03,196.49,PLN
2022-03-04,189.12,PLN
2022-03-07,186.81,PLN
2022-03-08,186.84,PLN
2022-03-09,194.76,PLN
2022-03-10,191.74,PLN
2022-03-11,193.33,PLN
2022-03-14,195.70,PLN
2022-03-15,195.59,PLN
2022-03-16,199.46,PLN
2022-03-17,200.32,PLN
2022-03-18,201.23,PLN
2022-03-21,201.39,PLN
2022-03-22,203.14,PLN
2022-03-23,201.35,PLN
2022-03-24,201.57,PLN
2022-03-25,202.15,PLN
2022-03-28,202.65,PLN
2022-03-29,205.75,PLN
2022-03-30,205.16,PLN
2022-03-31,203.74,PLN
2022-04-01,204.77,PLN
2022-04-04,205.49,PLN
2022-04-05,205.06,PLN
2022-04-06,202.78,PLN
2022-04-07,202.18,PLN
2022-04-08,205.54,PLN
2022-04-11,205.42,PLN
2022-04-12,204.61,PLN
2022-04-13,204.55,PLN
2022-04-14,205.86,PLN
2022-04-19,204.69,PLN
2022-04-20,206.23,PLN
2022-04-21,207.66,PLN
2022-04-22,204.35,PLN
2022-04-25,201.50,PLN
2022-04-26,200.92,PLN
2022-04-27,202.40,PLN
2022-04-28,203.61,PLN
2022-04-29,204.40,PLN
2022-05-02,202.27,PLN
2022-05-04,202.32,PLN
2022-05-05,201.82,PLN
2022-05-06,199.10,PLN
2022-05-09,194.76,PLN
2022-05-10,196.41,PLN
2022-05-11,199.92,PLN
2022-05-12,198.57,PLN
2022-05-13,202.13,PLN
2022-05-16,202.41,PLN
2022-05-17,204.54,PLN
2022-05-18,202.90,PLN
2022-05-19,200.06,PLN
2022-05-20,201.34,PLN
2022-05-23,204.04,PLN
2022-05-24,201.81,PLN
2022-05-25,203.13,PLN
2022-05-26,205.04,PLN
2022-05-27,207.44,PLN
2022-05-30,208.15,PLN
2022-05-31,206.58,PLN
2022-06-01,205.43,PLN
2022-06-02,206.51,PLN
2022-06-03,206.22,PLN
2022-06-06,207.84,PLN
2022-06-07,207.38,PLN
2022-06-08,205.95,PLN
2022-06-09,203.80,PLN
2022-06-10,198.53,PLN
2022-06-13,193.97,PLN
2022-06-14,192.20,PLN
2022-06-15,193.91,PLN
2022-06-17,188.55,PLN
2022-06-20,190.12,PLN
2022-06-21,190.70,PLN
2022-06-22,189.59,PLN
2022-06-23,187.40,PLN
2022-06-24,191.94,PLN
2022-06-27,192.96,PLN
2022-06-28,193.48,PLN
2022-06-29,192.33,PLN
2022-06-30,189.16,PLN
2022-07-01,188.91,PLN
2022-07-04,190.18,PLN
2022-07-05,185.12,PLN
2022-07-06,187.39,PLN
2022-07-07,191.24,PLN
2022-07-08,192.84,PLN
2022-07-11,191.45,PLN
2022-07-12,192.38,PLN
2022-07-13,190.36,PLN
2022-07-14,187.67,PLN
2022-07-15,190.90,PLN
2022-07-18,192.43,PLN
2022-07-19,195.34,PLN
2022-07-20,194.85,PLN
2022-07-21,195.37,PLN
2022-07-22,195.32,PLN
2022-07-25,196.16,PLN
2022-07-26,196.00,PLN
2022-07-27,197.05,PLN
2022-07-28,198.88,PLN
2022-07-29,201.33,PLN
2022-08-01,201.21,PLN
2022-08-02,201.23,PLN
2022-08-03,202.67,PLN
2022-08-04,202.86,PLN
2022-08-05,202.76,PLN
