Data,Wartość dla NN (L) Globalny Długu Korporacyjnego (A),Waluta
2021-02-19,197.55,PLN
2021-02-22,197.43,PLN
2021-02-23,197.32,PLN
2021-02-24,197.37,PLN
2021-02-25,196.92,PLN
2021-02-26,196.52,PLN
2021-03-01,196.88,PLN
2021-03-02,196.98,PLN
2021-03-03,196.89,PLN
2021-03-04,196.55,PLN
2021-03-05,196.28,PLN
2021-03-08,196.00,PLN
2021-03-09,195.92,PLN
2021-03-10,196.05,PLN
2021-03-11,196.65,PLN
2021-03-12,196.44,PLN
2021-03-15,196.46,PLN
2021-03-16,196.49,PLN
2021-03-17,196.24,PLN
2021-03-18,195.83,PLN
2021-03-19,195.66,PLN
2021-03-22,196.09,PLN
2021-03-23,196.21,PLN
2021-03-24,196.42,PLN
2021-03-25,196.41,PLN
2021-03-26,196.43,PLN
2021-03-29,196.50,PLN
2021-03-30,196.47,PLN
2021-03-31,196.86,PLN
2021-04-01,197.28,PLN
2021-04-06,197.94,PLN
2021-04-07,198.07,PLN
2021-04-08,198.22,PLN
2021-04-09,198.17,PLN
2021-04-12,198.01,PLN
2021-04-13,197.95,PLN
2021-04-14,198.03,PLN
2021-04-15,198.28,PLN
2021-04-16,198.41,PLN
2021-04-19,198.33,PLN
2021-04-20,198.06,PLN
2021-04-21,198.01,PLN
2021-04-22,198.09,PLN
2021-04-23,198.15,PLN
2021-04-26,198.23,PLN
2021-04-27,198.25,PLN
2021-04-28,198.31,PLN
2021-04-29,198.39,PLN
2021-04-30,198.49,PLN
2021-05-04,198.56,PLN
2021-05-05,198.69,PLN
2021-05-06,198.71,PLN
2021-05-07,198.82,PLN
2021-05-10,198.88,PLN
2021-05-11,198.56,PLN
2021-05-12,198.21,PLN
2021-05-13,198.11,PLN
2021-05-14,198.23,PLN
2021-05-17,198.28,PLN
2021-05-18,198.27,PLN
2021-05-19,197.93,PLN
2021-05-20,198.01,PLN
2021-05-21,198.11,PLN
2021-05-24,198.26,PLN
2021-05-25,198.38,PLN
2021-05-26,198.52,PLN
2021-05-27,198.65,PLN
2021-05-28,198.74,PLN
2021-05-31,198.81,PLN
2021-06-01,198.91,PLN
2021-06-02,199.21,PLN
2021-06-04,199.28,PLN
2021-06-07,199.41,PLN
2021-06-08,199.60,PLN
2021-06-09,199.80,PLN
2021-06-10,199.85,PLN
2021-06-11,200.07,PLN
2021-06-14,200.16,PLN
2021-06-15,200.19,PLN
2021-06-16,200.09,PLN
2021-06-17,199.94,PLN
2021-06-18,199.88,PLN
2021-06-21,199.93,PLN
2021-06-22,199.93,PLN
2021-06-23,200.07,PLN
2021-06-24,200.16,PLN
2021-06-25,200.37,PLN
2021-06-28,200.44,PLN
2021-06-29,200.49,PLN
2021-06-30,200.55,PLN
2021-07-01,200.71,PLN
2021-07-02,200.75,PLN
2021-07-05,200.82,PLN
2021-07-06,200.58,PLN
2021-07-07,200.68,PLN
2021-07-08,200.50,PLN
2021-07-09,200.81,PLN
2021-07-12,200.93,PLN
2021-07-13,200.87,PLN
2021-07-14,200.82,PLN
2021-07-15,200.69,PLN
2021-07-16,200.63,PLN
2021-07-19,199.79,PLN
2021-07-20,199.90,PLN
2021-07-21,200.18,PLN
2021-07-22,200.35,PLN
2021-07-23,200.44,PLN
2021-07-26,200.47,PLN
2021-07-27,200.22,PLN
2021-07-28,200.18,PLN
2021-07-29,200.25,PLN
2021-07-30,200.23,PLN
2021-08-02,200.26,PLN
2021-08-03,200.15,PLN
2021-08-04,200.16,PLN
2021-08-05,200.17,PLN
2021-08-06,200.20,PLN
2021-08-09,200.03,PLN
2021-08-10,199.96,PLN
2021-08-11,199.83,PLN
2021-08-12,199.85,PLN
2021-08-13,199.93,PLN
2021-08-16,199.93,PLN
2021-08-17,199.82,PLN
2021-08-18,199.88,PLN
2021-08-19,199.57,PLN
2021-08-20,199.64,PLN
2021-08-23,199.93,PLN
2021-08-24,200.13,PLN
2021-08-25,200.31,PLN
2021-08-26,200.41,PLN
2021-08-27,200.68,PLN
2021-08-30,200.86,PLN
2021-08-31,201.04,PLN
2021-09-01,201.03,PLN
2021-09-02,201.14,PLN
2021-09-03,201.18,PLN
2021-09-06,201.23,PLN
2021-09-07,201.12,PLN
2021-09-08,201.11,PLN
2021-09-09,201.23,PLN
2021-09-10,201.35,PLN
2021-09-13,201.50,PLN
2021-09-14,201.54,PLN
2021-09-15,201.67,PLN
2021-09-16,201.63,PLN
2021-09-17,201.54,PLN
2021-09-20,200.87,PLN
2021-09-21,201.02,PLN
2021-09-22,201.24,PLN
2021-09-23,201.31,PLN
2021-09-24,201.10,PLN
2021-09-27,200.98,PLN
2021-09-28,200.54,PLN
2021-09-29,200.47,PLN
2021-09-30,200.37,PLN
2021-10-01,200.26,PLN
2021-10-04,200.17,PLN
2021-10-05,199.94,PLN
2021-10-06,199.22,PLN
2021-10-07,199.37,PLN
2021-10-08,199.19,PLN
2021-10-11,198.97,PLN
2021-10-12,198.43,PLN
2021-10-13,198.51,PLN
2021-10-14,199.17,PLN
2021-10-15,199.27,PLN
2021-10-18,199.32,PLN
2021-10-19,199.46,PLN
2021-10-20,199.46,PLN
2021-10-21,199.31,PLN
2021-10-22,199.12,PLN
2021-10-25,198.96,PLN
2021-10-26,198.97,PLN
2021-10-27,199.09,PLN
2021-10-28,199.10,PLN
2021-10-29,198.96,PLN
2021-11-02,198.79,PLN
2021-11-03,198.83,PLN
2021-11-04,199.15,PLN
2021-11-05,199.71,PLN
2021-11-08,199.85,PLN
2021-11-09,199.85,PLN
2021-11-10,199.60,PLN
2021-11-12,199.65,PLN
2021-11-15,199.58,PLN
2021-11-16,200.04,PLN
2021-11-17,199.28,PLN
2021-11-18,199.84,PLN
2021-11-19,199.11,PLN
2021-11-22,199.63,PLN
2021-11-23,198.41,PLN
2021-11-24,198.09,PLN
2021-11-25,198.07,PLN
2021-11-26,196.91,PLN
2021-11-29,197.26,PLN
2021-11-30,197.03,PLN
2021-12-01,197.94,PLN
2021-12-02,197.42,PLN
2021-12-03,197.60,PLN
2021-12-06,198.05,PLN
2021-12-07,199.15,PLN
2021-12-08,199.33,PLN
2021-12-09,199.37,PLN
2021-12-10,199.46,PLN
2021-12-13,199.48,PLN
2021-12-14,199.23,PLN
2021-12-15,199.20,PLN
2021-12-16,199.55,PLN
