Data,Wartość dla NN (L) Globalny Odpowiedzialnego Inwestowania (A),Waluta
2022-01-26,83.36,PLN
2022-01-27,83.31,PLN
2022-01-28,84.88,PLN
2022-01-31,87.42,PLN
2022-02-01,87.72,PLN
2022-02-02,87.75,PLN
2022-02-03,84.87,PLN
2022-02-04,84.88,PLN
2022-02-07,84.61,PLN
2022-02-08,84.75,PLN
2022-02-09,86.72,PLN
2022-02-10,85.18,PLN
2022-02-11,83.76,PLN
2022-02-14,83.27,PLN
2022-02-15,84.29,PLN
2022-02-16,84.15,PLN
2022-02-17,82.75,PLN
2022-02-18,81.53,PLN
2022-02-21,81.52,PLN
2022-02-22,80.63,PLN
2022-02-23,79.68,PLN
2022-02-24,81.95,PLN
2022-02-25,83.54,PLN
2022-02-28,84.84,PLN
2022-03-01,84.77,PLN
2022-03-02,85.40,PLN
2022-03-03,84.08,PLN
2022-03-04,83.11,PLN
2022-03-07,81.31,PLN
2022-03-08,80.61,PLN
2022-03-09,82.60,PLN
2022-03-10,82.07,PLN
2022-03-11,81.82,PLN
2022-03-14,81.54,PLN
2022-03-15,82.25,PLN
2022-03-16,85.35,PLN
2022-03-17,85.75,PLN
2022-03-18,88.21,PLN
2022-03-21,87.35,PLN
2022-03-22,88.39,PLN
2022-03-23,86.75,PLN
2022-03-24,87.05,PLN
2022-03-25,86.64,PLN
2022-03-28,87.49,PLN
2022-03-29,88.85,PLN
2022-03-30,87.80,PLN
2022-03-31,87.06,PLN
2022-04-01,88.49,PLN
2022-04-04,89.99,PLN
2022-04-05,89.74,PLN
2022-04-06,88.09,PLN
2022-04-07,88.64,PLN
2022-04-08,88.15,PLN
2022-04-11,86.20,PLN
2022-04-12,85.87,PLN
2022-04-13,86.52,PLN
2022-04-14,86.06,PLN
2022-04-19,86.32,PLN
2022-04-20,85.99,PLN
2022-04-21,85.17,PLN
2022-04-22,83.20,PLN
2022-04-25,82.78,PLN
2022-04-26,80.72,PLN
2022-04-27,81.04,PLN
2022-04-28,83.17,PLN
2022-04-29,81.85,PLN
2022-05-02,81.88,PLN
2022-05-04,82.95,PLN
2022-05-05,80.46,PLN
2022-05-06,78.02,PLN
2022-05-09,75.13,PLN
2022-05-10,75.52,PLN
2022-05-11,74.95,PLN
2022-05-12,75.75,PLN
2022-05-13,78.38,PLN
2022-05-16,77.52,PLN
2022-05-17,78.37,PLN
2022-05-18,76.48,PLN
2022-05-19,76.63,PLN
2022-05-20,77.80,PLN
2022-05-23,77.64,PLN
2022-05-24,76.26,PLN
