Data,Wartość dla NN (L) Globalny Spółek Dywidendowych (A),Waluta
2021-02-19,252.52,PLN
2021-02-22,252.29,PLN
2021-02-23,252.30,PLN
2021-02-24,254.43,PLN
2021-02-25,250.75,PLN
2021-02-26,248.47,PLN
2021-03-01,253.83,PLN
2021-03-02,253.25,PLN
2021-03-03,253.06,PLN
2021-03-04,251.43,PLN
2021-03-05,256.51,PLN
2021-03-08,258.73,PLN
2021-03-09,259.04,PLN
2021-03-10,260.66,PLN
2021-03-11,260.39,PLN
2021-03-12,261.58,PLN
2021-03-15,262.94,PLN
2021-03-16,263.85,PLN
2021-03-17,264.26,PLN
2021-03-18,263.13,PLN
2021-03-19,261.50,PLN
2021-03-22,261.59,PLN
2021-03-23,260.54,PLN
2021-03-24,260.76,PLN
2021-03-25,263.43,PLN
2021-03-26,266.98,PLN
2021-03-29,267.15,PLN
2021-03-30,268.09,PLN
2021-03-31,266.97,PLN
2021-04-01,268.87,PLN
2021-04-06,270.04,PLN
2021-04-07,268.71,PLN
2021-04-08,268.76,PLN
2021-04-09,269.51,PLN
2021-04-12,268.62,PLN
2021-04-13,268.11,PLN
2021-04-14,268.09,PLN
2021-04-15,269.38,PLN
2021-04-16,270.19,PLN
2021-04-19,268.77,PLN
2021-04-20,265.69,PLN
2021-04-21,267.01,PLN
2021-04-22,266.43,PLN
2021-04-23,266.98,PLN
2021-04-26,266.50,PLN
2021-04-27,266.96,PLN
2021-04-28,266.76,PLN
2021-04-29,266.80,PLN
2021-04-30,266.37,PLN
2021-05-04,266.73,PLN
2021-05-05,269.61,PLN
2021-05-06,270.32,PLN
2021-05-07,270.67,PLN
2021-05-10,270.12,PLN
2021-05-11,266.17,PLN
2021-05-12,264.38,PLN
2021-05-13,266.02,PLN
2021-05-14,268.77,PLN
2021-05-17,267.91,PLN
2021-05-18,265.70,PLN
2021-05-19,263.65,PLN
2021-05-20,265.73,PLN
2021-05-21,266.86,PLN
2021-05-24,267.59,PLN
2021-05-25,266.93,PLN
2021-05-26,267.53,PLN
2021-05-27,267.96,PLN
2021-05-28,269.35,PLN
2021-05-31,269.30,PLN
2021-06-01,269.12,PLN
2021-06-02,270.54,PLN
2021-06-04,272.82,PLN
2021-06-07,272.25,PLN
2021-06-08,271.72,PLN
2021-06-09,270.86,PLN
2021-06-10,271.79,PLN
2021-06-11,273.63,PLN
2021-06-14,273.04,PLN
2021-06-15,273.62,PLN
2021-06-16,272.84,PLN
2021-06-17,274.00,PLN
2021-06-18,270.77,PLN
2021-06-21,272.72,PLN
2021-06-22,273.26,PLN
2021-06-23,271.09,PLN
2021-06-24,272.82,PLN
2021-06-25,273.34,PLN
2021-06-28,272.47,PLN
2021-06-29,273.18,PLN
2021-06-30,273.88,PLN
2021-07-01,274.99,PLN
2021-07-02,276.46,PLN
2021-07-05,276.41,PLN
2021-07-06,275.01,PLN
2021-07-07,276.47,PLN
2021-07-08,272.40,PLN
2021-07-09,275.43,PLN
2021-07-12,276.76,PLN
2021-07-13,277.28,PLN
2021-07-14,277.25,PLN
2021-07-15,275.95,PLN
2021-07-16,274.26,PLN
2021-07-19,268.52,PLN
2021-07-20,272.02,PLN
2021-07-21,274.61,PLN
2021-07-22,274.32,PLN
2021-07-23,276.73,PLN
2021-07-26,276.45,PLN
2021-07-27,275.43,PLN
2021-07-28,276.36,PLN
2021-07-29,276.71,PLN
2021-07-30,276.49,PLN
2021-08-02,276.66,PLN
2021-08-03,278.99,PLN
2021-08-04,278.40,PLN
2021-08-05,279.89,PLN
2021-08-06,282.28,PLN
2021-08-09,282.43,PLN
2021-08-10,283.66,PLN
2021-08-11,284.90,PLN
2021-08-12,285.43,PLN
2021-08-13,284.41,PLN
2021-08-16,284.16,PLN
2021-08-17,284.30,PLN
2021-08-18,282.73,PLN
2021-08-19,281.41,PLN
2021-08-20,282.49,PLN
2021-08-23,283.32,PLN
2021-08-24,283.93,PLN
2021-08-25,284.41,PLN
2021-08-26,283.07,PLN
2021-08-27,284.01,PLN
2021-08-30,283.73,PLN
2021-08-31,283.09,PLN
2021-09-01,282.52,PLN
2021-09-02,283.54,PLN
2021-09-03,282.67,PLN
2021-09-06,282.62,PLN
2021-09-07,282.71,PLN
2021-09-08,282.23,PLN
2021-09-09,281.12,PLN
2021-09-10,279.59,PLN
2021-09-13,281.45,PLN
2021-09-14,279.92,PLN
2021-09-15,281.05,PLN
2021-09-16,281.46,PLN
2021-09-17,279.77,PLN
2021-09-20,275.48,PLN
2021-09-21,275.96,PLN
2021-09-22,278.27,PLN
2021-09-23,280.69,PLN
2021-09-24,281.61,PLN
2021-09-27,283.33,PLN
2021-09-28,280.47,PLN
2021-09-29,282.45,PLN
2021-09-30,280.33,PLN
2021-10-01,281.46,PLN
2021-10-04,279.59,PLN
2021-10-05,282.22,PLN
2021-10-06,282.03,PLN
2021-10-07,284.13,PLN
2021-10-08,284.41,PLN
2021-10-11,283.70,PLN
2021-10-12,282.61,PLN
2021-10-13,282.31,PLN
2021-10-14,285.96,PLN
2021-10-15,287.02,PLN
2021-10-18,285.77,PLN
2021-10-19,286.41,PLN
2021-10-20,288.42,PLN
2021-10-21,287.76,PLN
2021-10-22,288.26,PLN
2021-10-25,289.07,PLN
2021-10-26,290.91,PLN
2021-10-27,288.74,PLN
2021-10-28,288.64,PLN
2021-10-29,289.90,PLN
2021-11-02,292.88,PLN
2021-11-03,293.72,PLN
2021-11-04,293.84,PLN
2021-11-05,294.16,PLN
2021-11-08,293.40,PLN
2021-11-09,293.03,PLN
2021-11-10,294.65,PLN
2021-11-12,296.88,PLN
2021-11-15,297.54,PLN
2021-11-16,298.76,PLN
2021-11-17,298.62,PLN
2021-11-18,295.86,PLN
2021-11-19,293.90,PLN
2021-11-22,296.75,PLN
2021-11-23,297.28,PLN
2021-11-24,298.16,PLN
2021-11-25,298.14,PLN
2021-11-26,288.13,PLN
2021-11-29,289.18,PLN
2021-11-30,283.17,PLN
2021-12-01,282.52,PLN
2021-12-02,286.23,PLN
2021-12-03,286.21,PLN
2021-12-06,290.58,PLN
2021-12-07,295.07,PLN
2021-12-08,292.93,PLN
2021-12-09,293.59,PLN
2021-12-10,294.05,PLN
2021-12-13,293.88,PLN
