Data,Wartość dla NN (L) Globalny Spółek Dywidendowych (A),Waluta
2009-11-23,100.00,PLN
2009-11-24,100.00,PLN
2009-11-25,100.08,PLN
2009-11-26,99.46,PLN
2009-11-27,98.76,PLN
2009-11-30,98.77,PLN
2009-12-01,99.63,PLN
2009-12-02,100.00,PLN
2009-12-03,99.65,PLN
2009-12-04,100.74,PLN
2009-12-07,101.02,PLN
2009-12-08,100.62,PLN
2009-12-09,100.38,PLN
2009-12-10,101.00,PLN
2009-12-11,101.70,PLN
2009-12-14,102.08,PLN
2009-12-15,102.34,PLN
2009-12-16,102.79,PLN
2009-12-17,102.79,PLN
2009-12-18,103.08,PLN
2009-12-21,103.29,PLN
2009-12-22,104.12,PLN
2009-12-23,104.12,PLN
2009-12-28,104.12,PLN
2009-12-29,104.21,PLN
2009-12-30,104.50,PLN
2009-12-31,103.99,PLN
2010-01-04,104.44,PLN
2010-01-05,104.55,PLN
2010-01-06,104.82,PLN
2010-01-07,105.17,PLN
2010-01-08,105.48,PLN
2010-01-11,104.92,PLN
2010-01-12,104.72,PLN
2010-01-13,104.85,PLN
2010-01-14,105.07,PLN
2010-01-15,105.13,PLN
2010-01-18,105.20,PLN
2010-01-19,105.20,PLN
2010-01-20,106.02,PLN
2010-01-21,105.31,PLN
2010-01-22,103.73,PLN
2010-01-25,103.58,PLN
2010-01-26,103.92,PLN
2010-01-27,103.78,PLN
2010-01-28,103.58,PLN
2010-01-29,103.29,PLN
2010-02-01,103.97,PLN
2010-02-02,104.67,PLN
2010-02-03,104.41,PLN
2010-02-04,103.30,PLN
2010-02-05,103.05,PLN
2010-02-08,102.78,PLN
2010-02-09,103.10,PLN
2010-02-10,103.37,PLN
2010-02-11,104.39,PLN
2010-02-12,104.35,PLN
2010-02-15,104.45,PLN
2010-02-16,104.88,PLN
2010-02-17,105.79,PLN
2010-02-18,106.44,PLN
2010-02-19,106.96,PLN
2010-02-22,106.65,PLN
2010-02-23,106.18,PLN
2010-02-24,106.24,PLN
2010-02-25,105.93,PLN
2010-02-26,105.61,PLN
2010-03-01,107.38,PLN
2010-03-02,107.47,PLN
2010-03-03,107.17,PLN
2010-03-04,107.58,PLN
2010-03-05,108.42,PLN
2010-03-08,108.39,PLN
2010-03-09,108.78,PLN
2010-03-10,108.66,PLN
2010-03-11,108.98,PLN
2010-03-12,108.77,PLN
2010-03-15,109.11,PLN
2010-03-16,109.30,PLN
2010-03-17,109.67,PLN
2010-03-18,110.31,PLN
2010-03-19,110.48,PLN
2010-03-22,110.63,PLN
2010-03-23,111.21,PLN
2010-03-24,111.73,PLN
2010-03-25,111.90,PLN
2010-03-26,111.53,PLN
2010-03-29,111.79,PLN
2010-03-30,112.28,PLN
2010-03-31,111.26,PLN
2010-04-01,111.26,PLN
2010-04-06,113.54,PLN
2010-04-07,113.54,PLN
2010-04-08,113.16,PLN
2010-04-09,113.62,PLN
2010-04-12,112.98,PLN
2010-04-13,113.00,PLN
2010-04-14,113.45,PLN
2010-04-15,114.20,PLN
2010-04-16,113.48,PLN
2010-04-19,113.44,PLN
2010-04-20,114.34,PLN
2010-04-21,114.57,PLN
2010-04-22,114.50,PLN
2010-04-23,114.52,PLN
2010-04-26,114.99,PLN
2010-04-27,113.02,PLN
2010-04-28,113.03,PLN
2010-04-29,113.65,PLN
2010-04-30,112.98,PLN
2010-05-04,112.95,PLN
2010-05-05,113.26,PLN
2010-05-06,111.64,PLN
2010-05-07,110.07,PLN
2010-05-10,113.02,PLN
2010-05-11,113.22,PLN
2010-05-12,113.21,PLN
2010-05-13,114.07,PLN
2010-05-14,113.23,PLN
2010-05-17,113.37,PLN
2010-05-18,112.99,PLN
2010-05-19,111.77,PLN
2010-05-20,109.33,PLN
2010-05-21,109.32,PLN
2010-05-24,108.22,PLN
2010-05-25,108.28,PLN
2010-05-26,108.84,PLN
2010-05-27,111.29,PLN
2010-05-28,110.55,PLN
2010-05-31,110.91,PLN
2010-06-01,110.14,PLN
2010-06-02,111.28,PLN
2010-06-04,110.85,PLN
2010-06-07,110.39,PLN
2010-06-08,110.69,PLN
2010-06-09,110.40,PLN
2010-06-10,112.20,PLN
2010-06-11,112.86,PLN
2010-06-14,112.55,PLN
2010-06-15,113.84,PLN
2010-06-16,114.00,PLN
2010-06-17,113.88,PLN
2010-06-18,113.81,PLN
2010-06-21,114.36,PLN
2010-06-22,114.36,PLN
2010-06-23,113.87,PLN
2010-06-24,111.80,PLN
2010-06-25,111.54,PLN
2010-06-28,111.83,PLN
2010-06-29,110.36,PLN
2010-06-30,109.51,PLN
2010-07-01,107.37,PLN
2010-07-02,106.69,PLN
2010-07-05,106.91,PLN
2010-07-06,107.77,PLN
2010-07-07,109.48,PLN
2010-07-08,110.38,PLN
2010-07-09,111.13,PLN
2010-07-12,111.27,PLN
2010-07-13,112.01,PLN
2010-07-14,111.89,PLN
2010-07-15,110.47,PLN
2010-07-16,108.37,PLN
2010-07-19,108.35,PLN
2010-07-20,109.46,PLN
2010-07-21,109.66,PLN
2010-07-22,110.79,PLN
2010-07-23,111.84,PLN
2010-07-26,111.97,PLN
2010-07-27,112.27,PLN
2010-07-28,111.99,PLN
2010-07-29,111.41,PLN
2010-07-30,111.48,PLN
2010-08-02,112.52,PLN
2010-08-03,112.43,PLN
2010-08-04,112.76,PLN
2010-08-05,112.62,PLN
2010-08-06,111.65,PLN
2010-08-09,112.54,PLN
2010-08-10,112.88,PLN
2010-08-11,111.77,PLN
2010-08-12,111.60,PLN
2010-08-13,111.96,PLN
2010-08-16,111.44,PLN
2010-08-17,112.33,PLN
2010-08-18,112.49,PLN
2010-08-19,111.34,PLN
2010-08-20,111.76,PLN
2010-08-23,112.25,PLN
2010-08-24,110.98,PLN
2010-08-25,110.98,PLN
2010-08-26,110.32,PLN
2010-08-27,111.53,PLN
2010-08-30,111.28,PLN
2010-08-31,110.93,PLN
2010-09-01,112.65,PLN
2010-09-02,113.14,PLN
2010-09-03,113.78,PLN
2010-09-06,113.76,PLN
2010-09-07,114.30,PLN
2010-09-08,114.42,PLN
2010-09-09,115.14,PLN
2010-09-10,115.47,PLN
2010-09-13,115.52,PLN
2010-09-14,115.05,PLN
2010-09-15,114.69,PLN
2010-09-16,113.89,PLN
2010-09-17,114.06,PLN
2010-09-20,114.98,PLN
2010-09-21,114.41,PLN
2010-09-22,112.35,PLN
2010-09-23,112.41,PLN
2010-09-24,112.66,PLN
2010-09-27,112.75,PLN
2010-09-28,112.31,PLN
2010-09-29,111.75,PLN
2010-09-30,110.64,PLN
2010-10-01,110.28,PLN
2010-10-04,109.96,PLN
2010-10-05,110.69,PLN
2010-10-06,111.10,PLN
2010-10-07,110.91,PLN
2010-10-08,111.16,PLN
2010-10-11,111.14,PLN
2010-10-12,111.44,PLN
2010-10-13,111.60,PLN
2010-10-14,110.95,PLN
2010-10-15,111.12,PLN
2010-10-18,111.67,PLN
2010-10-19,111.79,PLN
2010-10-20,111.48,PLN
2010-10-21,111.55,PLN
2010-10-22,111.86,PLN
2010-10-25,111.93,PLN
2010-10-26,112.21,PLN
2010-10-27,111.91,PLN
2010-10-28,111.87,PLN
2010-10-29,111.94,PLN
2010-11-02,111.72,PLN
2010-11-03,111.72,PLN
2010-11-04,112.26,PLN
2010-11-05,113.40,PLN
2010-11-08,113.99,PLN
2010-11-09,113.99,PLN
2010-11-10,114.96,PLN
2010-11-12,113.80,PLN
2010-11-15,114.70,PLN
2010-11-16,112.96,PLN
2010-11-17,113.55,PLN
2010-11-18,114.55,PLN
2010-11-19,114.12,PLN
2010-11-22,114.05,PLN
2010-11-23,113.48,PLN
2010-11-24,114.53,PLN
2010-11-25,114.52,PLN
2010-11-26,114.76,PLN
2010-11-29,114.75,PLN
2010-11-30,114.58,PLN
2010-12-01,116.04,PLN
2010-12-02,116.71,PLN
2010-12-03,115.65,PLN
2010-12-06,115.97,PLN
2010-12-07,116.11,PLN
2010-12-08,117.11,PLN
2010-12-09,118.14,PLN
2010-12-10,118.13,PLN
2010-12-13,117.48,PLN
2010-12-14,118.03,PLN
2010-12-15,117.90,PLN
2010-12-16,119.27,PLN
2010-12-17,119.27,PLN
2010-12-20,119.85,PLN
2010-12-21,120.45,PLN
2010-12-22,121.02,PLN
2010-12-23,121.24,PLN
2010-12-27,120.37,PLN
2010-12-28,120.93,PLN
2010-12-29,121.09,PLN
2010-12-30,119.61,PLN
2010-12-31,118.68,PLN
2011-01-03,119.84,PLN
2011-01-04,120.21,PLN
2011-01-05,121.10,PLN
2011-01-07,121.70,PLN
2011-01-10,121.26,PLN
2011-01-11,121.89,PLN
2011-01-12,122.57,PLN
2011-01-13,121.19,PLN
2011-01-14,121.43,PLN
2011-01-17,121.76,PLN
