Data,Wartość dla NN (L) Indeks Surowców (dawniej NN (L) Nowej Azji) (A),Waluta
2022-01-26,214.17,PLN
2022-01-27,213.17,PLN
2022-01-28,214.89,PLN
2022-01-31,215.86,PLN
2022-02-01,217.10,PLN
2022-02-02,219.96,PLN
2022-02-03,218.90,PLN
2022-02-04,219.31,PLN
2022-02-07,219.06,PLN
2022-02-08,218.02,PLN
2022-02-09,219.32,PLN
2022-02-10,218.81,PLN
2022-02-11,220.04,PLN
2022-02-14,222.60,PLN
2022-02-15,220.35,PLN
2022-02-16,223.70,PLN
2022-02-17,223.55,PLN
2022-02-18,223.78,PLN
2022-02-21,223.75,PLN
2022-02-22,227.22,PLN
2022-02-23,228.88,PLN
2022-02-24,230.81,PLN
2022-02-25,225.36,PLN
2022-02-28,229.18,PLN
2022-03-01,238.00,PLN
2022-03-02,242.87,PLN
2022-03-03,243.60,PLN
2022-03-04,251.10,PLN
2022-03-07,259.58,PLN
2022-03-08,262.38,PLN
2022-03-09,250.85,PLN
2022-03-10,246.44,PLN
2022-03-11,248.27,PLN
2022-03-14,242.79,PLN
2022-03-15,239.16,PLN
2022-03-16,242.93,PLN
2022-03-17,248.07,PLN
2022-03-18,246.31,PLN
2022-03-21,250.71,PLN
2022-03-22,250.93,PLN
2022-03-23,257.00,PLN
2022-03-24,257.40,PLN
2022-03-25,259.53,PLN
2022-03-28,253.18,PLN
2022-03-29,248.72,PLN
2022-03-30,253.82,PLN
2022-03-31,250.13,PLN
2022-04-01,249.38,PLN
2022-04-04,252.67,PLN
2022-04-05,254.24,PLN
2022-04-06,251.03,PLN
2022-04-07,252.59,PLN
2022-04-08,255.44,PLN
2022-04-11,254.87,PLN
2022-04-12,260.72,PLN
2022-04-13,261.95,PLN
2022-04-14,267.52,PLN
2022-04-19,265.28,PLN
2022-04-20,264.70,PLN
2022-04-21,265.03,PLN
2022-04-22,260.65,PLN
2022-04-25,260.66,PLN
2022-04-26,259.71,PLN
2022-04-27,262.24,PLN
2022-04-28,261.22,PLN
2022-04-29,261.89,PLN
2022-05-02,261.11,PLN
2022-05-04,262.25,PLN
2022-05-05,267.58,PLN
2022-05-06,263.75,PLN
2022-05-09,253.20,PLN
2022-05-10,253.07,PLN
2022-05-11,254.76,PLN
2022-05-12,257.94,PLN
2022-05-13,259.83,PLN
2022-05-16,264.43,PLN
2022-05-17,265.93,PLN
2022-05-18,262.11,PLN
2022-05-19,264.53,PLN
2022-05-20,262.07,PLN
2022-05-23,267.24,PLN
2022-05-24,266.55,PLN
2022-05-25,266.91,PLN
2022-05-26,269.36,PLN
2022-05-27,270.40,PLN
2022-05-30,270.37,PLN
2022-05-31,265.57,PLN
2022-06-01,267.92,PLN
2022-06-02,269.91,PLN
2022-06-03,269.96,PLN
2022-06-06,275.29,PLN
2022-06-07,275.64,PLN
2022-06-08,274.94,PLN
