Data,Wartość dla NN (L) Japonia (A),Waluta
2022-01-26,224.59,PLN
2022-01-27,222.25,PLN
2022-01-28,221.41,PLN
2022-01-31,225.04,PLN
2022-02-01,224.94,PLN
2022-02-02,228.84,PLN
2022-02-03,227.82,PLN
2022-02-04,228.86,PLN
2022-02-07,229.23,PLN
2022-02-08,229.42,PLN
2022-02-09,231.59,PLN
2022-02-10,232.28,PLN
2022-02-11,232.27,PLN
2022-02-14,230.72,PLN
2022-02-15,230.44,PLN
2022-02-16,230.87,PLN
2022-02-17,229.67,PLN
2022-02-18,229.48,PLN
2022-02-21,226.94,PLN
2022-02-22,227.01,PLN
2022-02-23,227.00,PLN
2022-02-24,220.93,PLN
2022-02-25,224.20,PLN
2022-02-28,225.20,PLN
2022-03-01,223.40,PLN
2022-03-02,221.11,PLN
2022-03-03,223.27,PLN
2022-03-04,218.72,PLN
2022-03-07,214.59,PLN
2022-03-08,209.46,PLN
2022-03-09,211.68,PLN
2022-03-10,216.46,PLN
2022-03-11,216.66,PLN
2022-03-14,218.19,PLN
2022-03-15,219.40,PLN
2022-03-16,223.57,PLN
2022-03-17,224.67,PLN
2022-03-18,228.19,PLN
2022-03-21,228.15,PLN
2022-03-22,233.65,PLN
2022-03-23,234.22,PLN
2022-03-24,236.18,PLN
2022-03-25,237.88,PLN
2022-03-28,237.61,PLN
2022-03-29,239.60,PLN
2022-03-30,237.06,PLN
2022-03-31,234.18,PLN
2022-04-01,235.34,PLN
2022-04-04,235.51,PLN
2022-04-05,232.41,PLN
2022-04-06,228.28,PLN
2022-04-07,227.19,PLN
2022-04-08,227.29,PLN
2022-04-11,228.59,PLN
2022-04-12,226.85,PLN
2022-04-13,228.07,PLN
2022-04-14,231.09,PLN
2022-04-19,231.62,PLN
2022-04-20,232.92,PLN
2022-04-21,235.13,PLN
2022-04-22,231.99,PLN
2022-04-25,228.21,PLN
2022-04-26,225.63,PLN
2022-04-27,227.22,PLN
2022-04-28,232.51,PLN
2022-04-29,232.50,PLN
2022-05-02,232.16,PLN
2022-05-04,232.14,PLN
2022-05-05,232.12,PLN
2022-05-06,233.80,PLN
2022-05-09,231.55,PLN
2022-05-10,229.18,PLN
2022-05-11,227.18,PLN
2022-05-12,224.38,PLN
2022-05-13,229.90,PLN
2022-05-16,227.22,PLN
2022-05-17,229.38,PLN
2022-05-18,230.25,PLN
2022-05-19,227.74,PLN
2022-05-20,231.51,PLN
2022-05-23,232.13,PLN
2022-05-24,230.99,PLN
2022-05-25,231.48,PLN
2022-05-26,233.21,PLN
2022-05-27,235.36,PLN
2022-05-30,236.74,PLN
2022-05-31,235.53,PLN
2022-06-01,239.86,PLN
2022-06-02,238.47,PLN
2022-06-03,238.39,PLN
2022-06-06,240.56,PLN
2022-06-07,241.71,PLN
2022-06-08,245.26,PLN
2022-06-09,244.51,PLN
2022-06-10,241.13,PLN
2022-06-13,235.60,PLN
2022-06-14,234.94,PLN
2022-06-15,234.03,PLN
2022-06-17,231.44,PLN
2022-06-20,226.96,PLN
2022-06-21,232.69,PLN
2022-06-22,230.66,PLN
2022-06-23,229.09,PLN
2022-06-24,231.42,PLN
2022-06-27,231.87,PLN
2022-06-28,237.45,PLN
2022-06-29,234.89,PLN
2022-06-30,229.95,PLN
2022-07-01,228.72,PLN
2022-07-04,230.56,PLN
2022-07-05,227.92,PLN
2022-07-06,225.94,PLN
2022-07-07,229.40,PLN
2022-07-08,230.54,PLN
2022-07-11,233.06,PLN
2022-07-12,230.18,PLN
2022-07-13,229.41,PLN
2022-07-14,230.03,PLN
2022-07-15,228.88,PLN
2022-07-18,228.85,PLN
2022-07-19,231.99,PLN
2022-07-20,234.89,PLN
2022-07-21,235.93,PLN
2022-07-22,235.31,PLN
2022-07-25,234.87,PLN
2022-07-26,234.63,PLN
2022-07-27,236.18,PLN
2022-07-28,234.65,PLN
2022-07-29,234.71,PLN
2022-08-01,235.48,PLN
2022-08-02,232.25,PLN
2022-08-03,232.64,PLN
2022-08-04,232.42,PLN
2022-08-05,233.54,PLN
2022-08-08,234.91,PLN
2022-08-09,232.08,PLN
2022-08-10,233.09,PLN
2022-08-11,233.07,PLN
2022-08-12,237.13,PLN
2022-08-16,237.89,PLN
2022-08-17,240.19,PLN
2022-08-18,240.14,PLN
2022-08-19,240.06,PLN
2022-08-22,240.75,PLN
2022-08-23,239.72,PLN
2022-08-24,240.31,PLN
2022-08-25,241.41,PLN
2022-08-26,241.58,PLN
2022-08-29,239.26,PLN
2022-08-30,240.85,PLN
2022-08-31,240.29,PLN
2022-09-01,237.39,PLN
2022-09-02,237.58,PLN
2022-09-05,236.63,PLN
2022-09-06,236.50,PLN
2022-09-07,236.33,PLN
2022-09-08,240.14,PLN
2022-09-09,242.11,PLN
2022-09-12,243.97,PLN
2022-09-13,242.11,PLN
2022-09-14,240.74,PLN
2022-09-15,240.89,PLN
2022-09-16,238.64,PLN
2022-09-19,238.60,PLN
2022-09-20,239.32,PLN
2022-09-21,238.40,PLN
2022-09-22,236.10,PLN
2022-09-23,236.08,PLN
2022-09-26,231.41,PLN
2022-09-27,231.12,PLN
2022-09-28,229.82,PLN
2022-09-29,231.07,PLN
2022-09-30,229.50,PLN
2022-10-03,231.63,PLN
2022-10-04,237.95,PLN
2022-10-05,237.43,PLN
2022-10-06,239.52,PLN
2022-10-07,236.72,PLN
2022-10-10,236.68,PLN
2022-10-11,234.43,PLN
2022-10-12,234.11,PLN
2022-10-13,231.82,PLN
2022-10-14,236.90,PLN
2022-10-17,236.69,PLN
2022-10-18,237.60,PLN
2022-10-19,236.83,PLN
2022-10-20,237.89,PLN
2022-10-21,236.68,PLN
2022-10-24,236.49,PLN
2022-10-25,239.59,PLN
2022-10-26,239.42,PLN
2022-10-27,237.16,PLN
2022-10-28,238.33,PLN
2022-10-31,240.40,PLN
2022-11-02,242.70,PLN
2022-11-03,242.69,PLN
2022-11-04,242.57,PLN
2022-11-07,243.48,PLN
2022-11-08,246.22,PLN
2022-11-09,245.58,PLN
2022-11-10,246.59,PLN
2022-11-14,245.51,PLN
2022-11-15,247.00,PLN
2022-11-16,244.91,PLN
2022-11-17,246.08,PLN
2022-11-18,247.38,PLN
2022-11-21,248.65,PLN
2022-11-22,251.41,PLN
2022-11-23,251.39,PLN
2022-11-24,253.86,PLN
2022-11-25,254.98,PLN
2022-11-28,252.87,PLN
2022-11-29,251.13,PLN
2022-11-30,251.68,PLN
2022-12-01,250.04,PLN
2022-12-02,245.32,PLN
2022-12-05,244.43,PLN
2022-12-06,244.63,PLN
