Data,Wartość dla NN (L) Konserwatywny Plus (A),Waluta
2022-01-26,118.47,PLN
2022-01-27,118.44,PLN
2022-01-28,118.42,PLN
2022-01-31,118.41,PLN
2022-02-01,118.56,PLN
2022-02-02,118.59,PLN
2022-02-03,118.61,PLN
2022-02-04,118.62,PLN
2022-02-07,118.58,PLN
2022-02-08,118.58,PLN
2022-02-09,118.53,PLN
2022-02-10,118.57,PLN
2022-02-11,118.56,PLN
2022-02-14,118.38,PLN
2022-02-15,118.58,PLN
2022-02-16,118.79,PLN
2022-02-17,118.82,PLN
2022-02-18,118.75,PLN
2022-02-21,118.78,PLN
2022-02-22,118.72,PLN
2022-02-23,118.74,PLN
2022-02-24,118.43,PLN
2022-02-25,118.51,PLN
2022-02-28,118.36,PLN
2022-03-01,118.14,PLN
2022-03-02,118.05,PLN
2022-03-03,118.02,PLN
2022-03-04,117.80,PLN
2022-03-07,117.41,PLN
2022-03-08,117.58,PLN
2022-03-09,117.56,PLN
2022-03-10,117.53,PLN
2022-03-11,117.56,PLN
2022-03-14,117.48,PLN
2022-03-15,117.57,PLN
2022-03-16,117.39,PLN
2022-03-17,117.51,PLN
2022-03-18,117.52,PLN
2022-03-21,117.47,PLN
2022-03-22,117.42,PLN
2022-03-23,117.38,PLN
2022-03-24,117.25,PLN
2022-03-25,117.33,PLN
2022-03-28,117.29,PLN
2022-03-29,117.45,PLN
2022-03-30,117.40,PLN
2022-03-31,117.40,PLN
2022-04-01,117.27,PLN
2022-04-04,117.23,PLN
2022-04-05,117.18,PLN
2022-04-06,117.14,PLN
2022-04-07,116.95,PLN
2022-04-08,116.76,PLN
2022-04-11,116.67,PLN
2022-04-12,116.76,PLN
2022-04-13,116.92,PLN
2022-04-14,116.91,PLN
2022-04-19,116.83,PLN
2022-04-20,116.88,PLN
2022-04-21,116.91,PLN
2022-04-22,116.96,PLN
2022-04-25,117.01,PLN
2022-04-26,117.15,PLN
2022-04-27,117.08,PLN
2022-04-28,117.08,PLN
2022-04-29,117.08,PLN
2022-05-02,116.77,PLN
2022-05-04,116.77,PLN
2022-05-05,116.80,PLN
2022-05-06,116.78,PLN
2022-05-09,116.82,PLN
