Data,Wartość dla NN (L) Multi Factor (A),Waluta
2022-01-26,161.22,PLN
2022-01-27,162.86,PLN
2022-01-28,162.25,PLN
2022-01-31,163.37,PLN
2022-02-01,164.50,PLN
2022-02-02,163.80,PLN
2022-02-03,166.81,PLN
2022-02-04,167.88,PLN
2022-02-07,168.63,PLN
2022-02-08,168.44,PLN
2022-02-09,168.12,PLN
2022-02-10,170.58,PLN
2022-02-11,169.02,PLN
2022-02-14,170.36,PLN
2022-02-15,170.77,PLN
2022-02-16,169.90,PLN
2022-02-17,168.64,PLN
2022-02-18,167.06,PLN
2022-02-21,166.82,PLN
2022-02-22,168.51,PLN
2022-02-23,168.24,PLN
2022-02-24,165.60,PLN
2022-02-25,166.96,PLN
2022-02-28,164.01,PLN
2022-03-01,159.56,PLN
2022-03-02,161.10,PLN
2022-03-03,158.78,PLN
2022-03-04,155.52,PLN
2022-03-07,157.35,PLN
2022-03-08,159.17,PLN
2022-03-09,160.06,PLN
2022-03-10,158.15,PLN
2022-03-11,162.14,PLN
2022-03-14,163.78,PLN
2022-03-15,162.85,PLN
2022-03-16,163.84,PLN
2022-03-17,163.54,PLN
2022-03-18,162.54,PLN
2022-03-21,164.61,PLN
2022-03-22,165.15,PLN
2022-03-23,165.30,PLN
2022-03-24,165.12,PLN
2022-03-25,167.23,PLN
2022-03-28,165.81,PLN
2022-03-29,165.52,PLN
2022-03-30,165.94,PLN
2022-03-31,163.94,PLN
2022-04-01,164.96,PLN
2022-04-04,164.88,PLN
2022-04-05,166.96,PLN
2022-04-06,167.30,PLN
2022-04-07,168.56,PLN
2022-04-08,169.72,PLN
2022-04-11,169.16,PLN
2022-04-12,169.10,PLN
2022-04-13,169.10,PLN
2022-04-14,172.23,PLN
2022-04-19,173.54,PLN
2022-04-20,172.55,PLN
2022-04-21,174.23,PLN
2022-04-22,173.44,PLN
2022-04-25,174.55,PLN
2022-04-26,170.69,PLN
2022-04-27,172.72,PLN
2022-04-28,172.01,PLN
2022-04-29,173.86,PLN
2022-05-02,173.86,PLN
2022-05-04,170.91,PLN
2022-05-05,172.39,PLN
2022-05-06,171.88,PLN
2022-05-09,172.63,PLN
2022-05-10,171.33,PLN
2022-05-11,171.03,PLN
2022-05-12,170.69,PLN
2022-05-13,171.81,PLN
2022-05-16,171.47,PLN
2022-05-17,171.92,PLN
2022-05-18,171.88,PLN
2022-05-19,170.55,PLN
2022-05-20,171.97,PLN
2022-05-23,170.94,PLN
2022-05-24,170.32,PLN
2022-05-25,171.14,PLN
2022-05-26,171.93,PLN
2022-05-27,171.68,PLN
2022-05-30,171.69,PLN
2022-05-31,172.47,PLN
2022-06-01,172.14,PLN
2022-06-02,171.37,PLN
2022-06-03,171.99,PLN
2022-06-06,173.22,PLN
2022-06-07,173.02,PLN
2022-06-08,173.84,PLN
2022-06-09,174.79,PLN
2022-06-10,175.97,PLN
2022-06-13,177.37,PLN
2022-06-14,178.16,PLN
2022-06-15,176.95,PLN
2022-06-17,175.36,PLN
2022-06-20,175.02,PLN
2022-06-21,175.25,PLN
2022-06-22,174.00,PLN
2022-06-23,173.81,PLN
2022-06-24,174.33,PLN
2022-06-27,174.36,PLN
2022-06-28,176.15,PLN
2022-06-29,176.07,PLN
2022-06-30,176.10,PLN
2022-07-01,174.87,PLN
2022-07-04,175.01,PLN
2022-07-05,174.46,PLN
2022-07-06,175.13,PLN
2022-07-07,176.20,PLN
2022-07-08,177.18,PLN
2022-07-11,177.76,PLN
2022-07-12,176.85,PLN
2022-07-13,177.08,PLN
2022-07-14,179.81,PLN
2022-07-15,177.80,PLN
2022-07-18,176.65,PLN
2022-07-19,174.42,PLN
2022-07-20,174.50,PLN
2022-07-21,172.00,PLN
2022-07-22,171.78,PLN
2022-07-25,173.22,PLN
2022-07-26,173.62,PLN
2022-07-27,173.63,PLN
2022-07-28,172.73,PLN
2022-07-29,172.96,PLN
2022-08-01,172.02,PLN
2022-08-02,175.13,PLN
2022-08-03,174.04,PLN
2022-08-04,173.53,PLN
2022-08-05,174.89,PLN
2022-08-08,173.45,PLN
2022-08-09,173.95,PLN
2022-08-10,172.04,PLN
2022-08-11,172.07,PLN
2022-08-12,171.34,PLN
2022-08-16,172.77,PLN
2022-08-17,174.26,PLN
2022-08-18,175.05,PLN
2022-08-19,175.49,PLN
2022-08-22,175.97,PLN
2022-08-23,175.78,PLN
2022-08-24,176.20,PLN
2022-08-25,174.81,PLN
2022-08-26,177.23,PLN
2022-08-29,176.80,PLN
2022-08-30,178.11,PLN
2022-08-31,178.04,PLN
2022-09-01,178.79,PLN
2022-09-02,177.54,PLN
2022-09-05,177.90,PLN
2022-09-06,178.94,PLN
2022-09-07,176.89,PLN
2022-09-08,177.41,PLN
2022-09-09,175.67,PLN
2022-09-12,176.73,PLN
2022-09-13,177.45,PLN
2022-09-14,177.31,PLN
2022-09-15,178.30,PLN
2022-09-16,177.21,PLN
2022-09-19,177.72,PLN
2022-09-20,177.42,PLN
2022-09-21,177.80,PLN
2022-09-22,179.65,PLN
2022-09-23,178.94,PLN
2022-09-26,180.99,PLN
2022-09-27,181.10,PLN
2022-09-28,177.25,PLN
2022-09-29,179.62,PLN
2022-09-30,180.25,PLN
2022-10-03,179.37,PLN
2022-10-04,178.85,PLN
2022-10-05,179.50,PLN
2022-10-06,181.07,PLN
2022-10-07,183.00,PLN
2022-10-10,182.96,PLN
2022-10-11,183.23,PLN
2022-10-12,183.99,PLN
2022-10-13,183.23,PLN
2022-10-14,186.14,PLN
2022-10-17,183.45,PLN
2022-10-18,182.53,PLN
2022-10-19,184.78,PLN
2022-10-20,185.57,PLN
2022-10-21,184.15,PLN
2022-10-24,183.86,PLN
2022-10-25,182.55,PLN
2022-10-26,181.50,PLN
2022-10-27,182.34,PLN
2022-10-28,183.02,PLN
2022-10-31,183.79,PLN
2022-11-02,184.53,PLN
2022-11-03,185.60,PLN
2022-11-04,184.25,PLN
2022-11-07,183.12,PLN
2022-11-08,182.15,PLN
2022-11-09,183.58,PLN
2022-11-10,176.99,PLN
2022-11-14,176.25,PLN
2022-11-15,176.62,PLN
2022-11-16,175.61,PLN
2022-11-17,176.42,PLN
2022-11-18,176.17,PLN
2022-11-21,175.05,PLN
2022-11-22,174.26,PLN
2022-11-23,173.77,PLN
2022-11-24,173.93,PLN
2022-11-25,173.92,PLN
2022-11-28,174.90,PLN
2022-11-29,174.57,PLN
2022-11-30,174.77,PLN
2022-12-01,174.01,PLN
2022-12-02,174.10,PLN
2022-12-05,175.52,PLN
2022-12-06,176.67,PLN
2022-12-07,175.72,PLN
2022-12-08,175.86,PLN
2022-12-09,176.51,PLN
2022-12-12,175.29,PLN
2022-12-13,174.56,PLN
2022-12-14,176.07,PLN
2022-12-15,175.91,PLN
2022-12-16,175.87,PLN
2022-12-19,176.33,PLN
2022-12-20,176.07,PLN
2022-12-21,175.00,PLN
2022-12-22,174.99,PLN
2022-12-23,176.17,PLN
2022-12-27,175.99,PLN
2022-12-28,176.68,PLN
2022-12-29,175.94,PLN
2022-12-30,177.65,PLN
2023-01-02,177.24,PLN
2023-01-03,176.97,PLN
2023-01-04,176.10,PLN
2023-01-05,177.20,PLN
2023-01-09,177.42,PLN
2023-01-10,178.23,PLN
2023-01-11,178.58,PLN
2023-01-12,178.62,PLN
2023-01-13,178.49,PLN
2023-01-16,178.12,PLN
2023-01-17,178.37,PLN
2023-01-18,178.67,PLN
2023-01-19,179.16,PLN
2023-01-20,179.03,PLN
2023-01-23,179.81,PLN
2023-01-24,179.59,PLN
2023-01-25,179.58,PLN
2023-01-26,180.03,PLN
