Data,Wartość dla NN (L) Obligacji Plus (A),Waluta
2022-01-26,110.81,PLN
2022-01-27,110.83,PLN
2022-01-28,110.88,PLN
2022-01-31,110.89,PLN
2022-02-01,111.03,PLN
2022-02-02,111.02,PLN
2022-02-03,111.14,PLN
2022-02-04,111.14,PLN
2022-02-07,111.14,PLN
2022-02-08,111.20,PLN
2022-02-09,111.03,PLN
2022-02-10,111.10,PLN
2022-02-11,111.00,PLN
2022-02-14,110.79,PLN
2022-02-15,111.03,PLN
2022-02-16,111.25,PLN
2022-02-17,111.30,PLN
2022-02-18,111.29,PLN
2022-02-21,111.28,PLN
2022-02-22,111.17,PLN
2022-02-23,111.12,PLN
2022-02-24,110.72,PLN
2022-02-25,110.79,PLN
2022-02-28,110.57,PLN
2022-03-01,110.64,PLN
2022-03-02,110.46,PLN
2022-03-03,110.36,PLN
2022-03-04,109.95,PLN
2022-03-07,109.45,PLN
2022-03-08,109.57,PLN
2022-03-09,109.55,PLN
2022-03-10,109.43,PLN
2022-03-11,109.36,PLN
2022-03-14,109.24,PLN
2022-03-15,109.33,PLN
2022-03-16,109.34,PLN
2022-03-17,109.52,PLN
2022-03-18,109.56,PLN
2022-03-21,109.51,PLN
2022-03-22,109.37,PLN
2022-03-23,109.18,PLN
2022-03-24,109.13,PLN
2022-03-25,109.39,PLN
2022-03-28,109.36,PLN
2022-03-29,109.73,PLN
2022-03-30,109.66,PLN
2022-03-31,109.75,PLN
2022-04-01,109.56,PLN
2022-04-04,109.50,PLN
2022-04-05,109.35,PLN
2022-04-06,109.23,PLN
2022-04-07,109.00,PLN
2022-04-08,108.71,PLN
2022-04-11,108.73,PLN
2022-04-12,108.83,PLN
2022-04-13,109.06,PLN
2022-04-14,109.03,PLN
2022-04-19,108.89,PLN
2022-04-20,109.00,PLN
2022-04-21,108.90,PLN
2022-04-22,108.83,PLN
2022-04-25,108.88,PLN
2022-04-26,109.05,PLN
2022-04-27,108.88,PLN
2022-04-28,108.80,PLN
2022-04-29,108.69,PLN
2022-05-02,108.44,PLN
2022-05-04,108.29,PLN
2022-05-05,108.35,PLN
2022-05-06,108.16,PLN
2022-05-09,107.98,PLN
2022-05-10,107.98,PLN
2022-05-11,108.04,PLN
2022-05-12,108.35,PLN
2022-05-13,108.40,PLN
2022-05-16,108.81,PLN
2022-05-17,109.00,PLN
2022-05-18,109.04,PLN
2022-05-19,109.10,PLN
2022-05-20,109.30,PLN
2022-05-23,109.25,PLN
2022-05-24,109.38,PLN
2022-05-25,109.25,PLN
2022-05-26,109.12,PLN
2022-05-27,109.05,PLN
2022-05-30,109.07,PLN
2022-05-31,109.04,PLN
2022-06-01,109.23,PLN
2022-06-02,109.14,PLN
2022-06-03,109.09,PLN
2022-06-06,109.18,PLN
2022-06-07,109.22,PLN
2022-06-08,109.21,PLN
2022-06-09,109.09,PLN
2022-06-10,108.91,PLN
2022-06-13,108.50,PLN
2022-06-14,108.39,PLN
2022-06-15,108.05,PLN
2022-06-17,107.74,PLN
2022-06-20,107.45,PLN
2022-06-21,107.74,PLN
2022-06-22,108.34,PLN
2022-06-23,108.81,PLN
2022-06-24,108.50,PLN
2022-06-27,108.17,PLN
2022-06-28,108.53,PLN
2022-06-29,108.58,PLN
2022-06-30,108.72,PLN
2022-07-01,109.20,PLN
2022-07-04,109.12,PLN
2022-07-05,108.91,PLN
2022-07-06,108.85,PLN
2022-07-07,108.85,PLN
2022-07-08,109.09,PLN
2022-07-11,109.31,PLN
2022-07-12,109.13,PLN
2022-07-13,108.91,PLN
2022-07-14,108.86,PLN
2022-07-15,108.92,PLN
2022-07-18,109.08,PLN
2022-07-19,109.30,PLN
2022-07-20,109.40,PLN
2022-07-21,109.82,PLN
2022-07-22,110.30,PLN
2022-07-25,110.40,PLN
2022-07-26,110.55,PLN
2022-07-27,110.39,PLN
2022-07-28,110.31,PLN
2022-07-29,110.48,PLN
2022-08-01,110.65,PLN
2022-08-02,110.45,PLN
2022-08-03,110.26,PLN
2022-08-04,110.49,PLN
2022-08-05,110.66,PLN
2022-08-08,110.72,PLN
2022-08-09,110.72,PLN
2022-08-10,110.77,PLN
2022-08-11,110.83,PLN
2022-08-12,110.88,PLN
2022-08-16,110.69,PLN
2022-08-17,110.63,PLN
2022-08-18,110.50,PLN
2022-08-19,110.57,PLN
2022-08-22,110.56,PLN
2022-08-23,110.40,PLN
2022-08-24,110.36,PLN
2022-08-25,110.45,PLN
2022-08-26,110.48,PLN
2022-08-29,110.41,PLN
2022-08-30,110.62,PLN
2022-08-31,110.58,PLN
2022-09-01,110.53,PLN
2022-09-02,110.73,PLN
2022-09-05,110.67,PLN
2022-09-06,110.75,PLN
2022-09-07,110.86,PLN
2022-09-08,111.04,PLN
2022-09-09,111.07,PLN
2022-09-12,111.43,PLN
2022-09-13,111.43,PLN
2022-09-14,111.05,PLN
2022-09-15,110.92,PLN
2022-09-16,110.98,PLN
2022-09-19,110.99,PLN
2022-09-20,111.07,PLN
2022-09-21,111.06,PLN
2022-09-22,110.96,PLN
2022-09-23,110.80,PLN
2022-09-26,110.53,PLN
2022-09-27,110.54,PLN
2022-09-28,110.32,PLN
2022-09-29,110.05,PLN
2022-09-30,110.06,PLN
2022-10-03,110.00,PLN
2022-10-04,110.20,PLN
2022-10-05,110.04,PLN
2022-10-06,110.03,PLN
2022-10-07,109.95,PLN
2022-10-10,109.87,PLN
2022-10-11,109.52,PLN
2022-10-12,109.15,PLN
2022-10-13,109.30,PLN
2022-10-14,109.32,PLN
2022-10-17,108.99,PLN
2022-10-18,108.58,PLN
2022-10-19,108.18,PLN
2022-10-20,108.14,PLN
2022-10-21,108.08,PLN
2022-10-24,108.39,PLN
2022-10-25,108.82,PLN
2022-10-26,109.20,PLN
2022-10-27,109.00,PLN
2022-10-28,108.65,PLN
2022-10-31,108.42,PLN
2022-11-02,108.44,PLN
2022-11-03,108.74,PLN
2022-11-04,109.00,PLN
2022-11-07,109.21,PLN
2022-11-08,109.44,PLN
2022-11-09,109.65,PLN
2022-11-10,110.54,PLN
2022-11-14,110.49,PLN
2022-11-15,110.65,PLN
2022-11-16,110.22,PLN
2022-11-17,110.04,PLN
2022-11-18,110.09,PLN
2022-11-21,110.16,PLN
2022-11-22,110.26,PLN
2022-11-23,110.23,PLN
2022-11-24,110.33,PLN
2022-11-25,110.36,PLN
2022-11-28,110.49,PLN
2022-11-29,110.61,PLN
2022-11-30,110.69,PLN
2022-12-01,110.79,PLN
2022-12-02,110.85,PLN
2022-12-05,110.89,PLN
2022-12-06,110.94,PLN
2022-12-07,111.11,PLN
2022-12-08,111.21,PLN
2022-12-09,111.27,PLN
2022-12-12,111.36,PLN
2022-12-13,111.64,PLN
2022-12-14,111.83,PLN
2022-12-15,111.92,PLN
2022-12-16,112.06,PLN
2022-12-19,112.11,PLN
2022-12-20,112.25,PLN
2022-12-21,112.27,PLN
2022-12-22,112.46,PLN
2022-12-23,112.51,PLN
2022-12-27,112.56,PLN
2022-12-28,112.63,PLN
2022-12-29,112.48,PLN
2022-12-30,112.62,PLN
2023-01-02,112.82,PLN
2023-01-03,113.05,PLN
2023-01-04,113.32,PLN
2023-01-05,113.41,PLN
2023-01-09,114.00,PLN
2023-01-10,113.88,PLN
2023-01-11,114.11,PLN
2023-01-12,114.21,PLN
2023-01-13,114.15,PLN
2023-01-16,114.19,PLN
2023-01-17,114.31,PLN
2023-01-18,114.22,PLN
2023-01-19,114.24,PLN
2023-01-20,114.34,PLN
2023-01-23,114.45,PLN
2023-01-24,114.65,PLN
2023-01-25,114.77,PLN
2023-01-26,114.91,PLN
