Data,Wartość dla NN (L) Obligacji Rynków Wschodzących (Waluta Lokalna) (A),Waluta
2022-01-26,82.98,PLN
2022-01-27,82.78,PLN
2022-01-28,82.39,PLN
2022-01-31,83.04,PLN
2022-02-01,83.45,PLN
2022-02-02,83.59,PLN
2022-02-03,83.85,PLN
2022-02-04,83.61,PLN
2022-02-07,83.82,PLN
2022-02-08,83.85,PLN
2022-02-09,84.17,PLN
2022-02-10,84.46,PLN
2022-02-11,84.09,PLN
2022-02-14,83.67,PLN
2022-02-15,84.18,PLN
2022-02-16,84.45,PLN
2022-02-17,84.50,PLN
2022-02-18,84.51,PLN
2022-02-21,84.28,PLN
2022-02-22,84.10,PLN
2022-02-23,83.96,PLN
2022-02-24,81.34,PLN
2022-02-25,82.49,PLN
2022-02-28,81.00,PLN
2022-03-01,80.59,PLN
2022-03-02,77.37,PLN
2022-03-03,78.20,PLN
2022-03-04,76.71,PLN
2022-03-07,75.75,PLN
2022-03-08,75.46,PLN
2022-03-09,76.49,PLN
2022-03-10,76.29,PLN
2022-03-11,76.27,PLN
2022-03-14,76.06,PLN
2022-03-15,76.02,PLN
2022-03-16,76.64,PLN
2022-03-17,77.15,PLN
2022-03-18,77.02,PLN
2022-03-21,76.91,PLN
2022-03-22,76.67,PLN
2022-03-23,76.75,PLN
2022-03-24,76.84,PLN
2022-03-25,76.94,PLN
2022-03-28,76.68,PLN
2022-03-29,77.48,PLN
2022-03-30,77.89,PLN
2022-03-31,77.93,PLN
2022-04-01,77.82,PLN
2022-04-04,78.14,PLN
2022-04-05,77.75,PLN
2022-04-06,77.30,PLN
2022-04-07,76.92,PLN
2022-04-08,76.75,PLN
2022-04-11,76.69,PLN
2022-04-12,76.96,PLN
2022-04-13,76.92,PLN
2022-04-14,76.70,PLN
2022-04-19,76.17,PLN
2022-04-20,76.26,PLN
2022-04-21,75.91,PLN
2022-04-22,75.09,PLN
2022-04-25,74.24,PLN
2022-04-26,73.90,PLN
2022-04-27,73.48,PLN
2022-04-28,73.10,PLN
2022-04-29,73.46,PLN
2022-05-02,73.20,PLN
2022-05-04,73.23,PLN
2022-05-05,73.04,PLN
2022-05-06,72.60,PLN
2022-05-09,71.73,PLN
2022-05-10,71.69,PLN
2022-05-11,71.85,PLN
2022-05-12,71.62,PLN
2022-05-13,71.63,PLN
2022-05-16,71.78,PLN
2022-05-17,72.31,PLN
2022-05-18,72.40,PLN
2022-05-19,72.85,PLN
2022-05-20,73.54,PLN
2022-05-23,74.20,PLN
2022-05-24,74.13,PLN
2022-05-25,74.14,PLN
2022-05-26,74.30,PLN
2022-05-27,74.84,PLN
2022-05-30,75.09,PLN
2022-05-31,74.84,PLN
2022-06-01,74.56,PLN
2022-06-02,74.85,PLN
2022-06-03,74.91,PLN
2022-06-06,74.87,PLN
2022-06-07,74.44,PLN
2022-06-08,74.34,PLN
2022-06-09,73.97,PLN
2022-06-10,73.04,PLN
2022-06-13,71.44,PLN
2022-06-14,71.24,PLN
2022-06-15,71.33,PLN
2022-06-17,71.46,PLN
2022-06-20,71.60,PLN
2022-06-21,71.82,PLN
2022-06-22,71.99,PLN
2022-06-23,72.10,PLN
2022-06-24,72.02,PLN
2022-06-27,72.05,PLN
2022-06-28,71.87,PLN
2022-06-29,71.68,PLN
2022-06-30,71.54,PLN
2022-07-01,71.36,PLN
2022-07-04,71.52,PLN
2022-07-05,70.71,PLN
2022-07-06,70.17,PLN
2022-07-07,70.36,PLN
2022-07-08,70.51,PLN
2022-07-11,69.80,PLN
2022-07-12,69.42,PLN
2022-07-13,69.72,PLN
2022-07-14,68.94,PLN
2022-07-15,69.50,PLN
2022-07-18,69.96,PLN
2022-07-19,69.96,PLN
2022-07-20,69.91,PLN
2022-07-21,69.75,PLN
2022-07-22,70.39,PLN
2022-07-25,70.60,PLN
2022-07-26,70.53,PLN
2022-07-27,70.51,PLN
2022-07-28,71.24,PLN
2022-07-29,71.77,PLN
2022-08-01,72.51,PLN
2022-08-02,72.07,PLN
2022-08-03,71.73,PLN
2022-08-04,72.36,PLN
2022-08-05,72.49,PLN
2022-08-08,72.91,PLN
2022-08-09,72.85,PLN
2022-08-10,73.83,PLN
2022-08-11,74.06,PLN
2022-08-12,74.12,PLN
2022-08-16,73.53,PLN
2022-08-17,73.15,PLN
2022-08-18,72.74,PLN
2022-08-19,72.13,PLN
2022-08-22,71.82,PLN
2022-08-23,72.04,PLN
2022-08-24,72.07,PLN
2022-08-25,72.37,PLN
2022-08-26,72.39,PLN
2022-08-29,72.07,PLN
2022-08-30,72.13,PLN
2022-08-31,72.02,PLN
2022-09-01,71.46,PLN
2022-09-02,71.98,PLN
2022-09-05,71.78,PLN
2022-09-06,71.49,PLN
2022-09-07,71.44,PLN
2022-09-08,71.70,PLN
2022-09-09,72.27,PLN
2022-09-12,72.67,PLN
2022-09-13,72.12,PLN
2022-09-14,71.78,PLN
2022-09-15,71.50,PLN
2022-09-16,71.29,PLN
2022-09-19,71.31,PLN
2022-09-20,71.21,PLN
2022-09-21,70.87,PLN
2022-09-22,70.64,PLN
2022-09-23,69.89,PLN
2022-09-26,68.83,PLN
2022-09-27,68.72,PLN
2022-09-28,68.37,PLN
2022-09-29,68.44,PLN
2022-09-30,68.71,PLN
2022-10-03,69.25,PLN
2022-10-04,69.92,PLN
2022-10-05,69.57,PLN
2022-10-06,69.38,PLN
2022-10-07,69.18,PLN
2022-10-10,68.82,PLN
2022-10-11,68.43,PLN
2022-10-12,68.13,PLN
2022-10-13,68.07,PLN
2022-10-14,68.15,PLN
2022-10-17,68.19,PLN
2022-10-18,68.19,PLN
2022-10-19,67.80,PLN
2022-10-20,67.87,PLN
2022-10-21,67.66,PLN
2022-10-24,67.66,PLN
2022-10-25,68.12,PLN
2022-10-26,68.80,PLN
2022-10-27,68.82,PLN
2022-10-28,68.55,PLN
2022-10-31,68.34,PLN
2022-11-02,68.69,PLN
2022-11-03,68.33,PLN
2022-11-04,69.24,PLN
2022-11-07,69.53,PLN
2022-11-08,69.81,PLN
2022-11-09,70.02,PLN
2022-11-10,70.80,PLN
2022-11-14,71.73,PLN
2022-11-15,72.17,PLN
2022-11-16,71.94,PLN
2022-11-17,71.21,PLN
2022-11-18,71.54,PLN
2022-11-21,71.22,PLN
2022-11-22,71.53,PLN
2022-11-23,71.84,PLN
2022-11-24,72.43,PLN
2022-11-25,72.30,PLN
2022-11-28,72.35,PLN
2022-11-29,72.59,PLN
2022-11-30,72.74,PLN
2022-12-01,73.11,PLN
2022-12-02,73.46,PLN
2022-12-05,73.39,PLN
2022-12-06,73.29,PLN
2022-12-07,73.48,PLN
2022-12-08,73.73,PLN
2022-12-09,73.66,PLN
2022-12-12,73.16,PLN
2022-12-13,74.00,PLN
2022-12-14,74.35,PLN
2022-12-15,73.93,PLN
2022-12-16,73.78,PLN
2022-12-19,73.96,PLN
2022-12-20,74.19,PLN
2022-12-21,74.27,PLN
2022-12-22,74.45,PLN
2022-12-23,74.64,PLN
2022-12-27,74.24,PLN
2022-12-28,74.31,PLN
2022-12-29,74.62,PLN
2022-12-30,74.64,PLN
2023-01-02,74.66,PLN
2023-01-03,74.59,PLN
2023-01-04,74.86,PLN
2023-01-05,74.73,PLN
2023-01-09,76.26,PLN
2023-01-10,76.36,PLN
2023-01-11,76.71,PLN
2023-01-12,77.37,PLN
2023-01-13,77.80,PLN
2023-01-16,77.63,PLN
2023-01-17,77.31,PLN
2023-01-18,77.80,PLN
2023-01-19,77.16,PLN
2023-01-20,77.54,PLN
2023-01-23,77.67,PLN
2023-01-24,77.91,PLN
2023-01-25,78.23,PLN
2023-01-26,78.17,PLN
