Data,Wartość dla NN (L) Spółek Dywidendowych Rynków Wschodzących (A),Waluta
2022-01-26,131.66,PLN
2022-01-27,131.67,PLN
2022-01-28,130.10,PLN
2022-01-31,132.88,PLN
2022-02-01,133.58,PLN
2022-02-02,133.12,PLN
2022-02-03,131.01,PLN
2022-02-04,131.01,PLN
2022-02-07,130.91,PLN
2022-02-08,131.56,PLN
2022-02-09,133.13,PLN
2022-02-10,133.62,PLN
2022-02-11,133.42,PLN
2022-02-14,132.37,PLN
2022-02-15,133.23,PLN
2022-02-16,133.80,PLN
2022-02-17,133.55,PLN
2022-02-18,132.90,PLN
2022-02-21,131.75,PLN
2022-02-22,131.30,PLN
2022-02-23,130.49,PLN
2022-02-24,127.93,PLN
2022-02-25,128.80,PLN
2022-02-28,127.48,PLN
2022-03-01,128.76,PLN
2022-03-02,128.33,PLN
2022-03-03,128.06,PLN
2022-03-04,126.95,PLN
2022-03-07,124.04,PLN
2022-03-08,122.96,PLN
2022-03-09,122.50,PLN
2022-03-10,122.73,PLN
2022-03-11,121.97,PLN
2022-03-14,119.60,PLN
2022-03-15,117.82,PLN
2022-03-16,123.51,PLN
2022-03-17,124.36,PLN
2022-03-18,127.14,PLN
2022-03-21,125.22,PLN
2022-03-22,127.74,PLN
2022-03-23,128.29,PLN
2022-03-24,128.07,PLN
2022-03-25,127.58,PLN
2022-03-28,127.70,PLN
2022-03-29,127.55,PLN
2022-03-30,127.40,PLN
2022-03-31,127.10,PLN
2022-04-01,129.20,PLN
2022-04-04,131.50,PLN
2022-04-05,131.39,PLN
2022-04-06,129.50,PLN
2022-04-07,128.24,PLN
2022-04-08,128.93,PLN
2022-04-11,127.30,PLN
2022-04-12,127.48,PLN
2022-04-13,128.54,PLN
2022-04-14,128.98,PLN
2022-04-19,126.98,PLN
2022-04-20,125.81,PLN
2022-04-21,125.68,PLN
2022-04-22,125.13,PLN
2022-04-25,122.99,PLN
2022-04-26,123.16,PLN
2022-04-27,124.66,PLN
2022-04-28,125.45,PLN
2022-04-29,127.11,PLN
2022-05-02,127.09,PLN
2022-05-04,125.94,PLN
2022-05-05,124.77,PLN
2022-05-06,121.30,PLN
2022-05-09,119.78,PLN
2022-05-10,119.58,PLN
2022-05-11,120.14,PLN
2022-05-12,119.13,PLN
2022-05-13,121.74,PLN
2022-05-16,121.62,PLN
2022-05-17,122.78,PLN
2022-05-18,122.65,PLN
2022-05-19,119.98,PLN
2022-05-20,122.49,PLN
2022-05-23,121.44,PLN
2022-05-24,118.91,PLN
2022-05-25,119.67,PLN
2022-05-26,120.65,PLN
2022-05-27,122.48,PLN
2022-05-30,123.48,PLN
2022-05-31,125.89,PLN
2022-06-01,125.40,PLN
2022-06-02,124.07,PLN
2022-06-03,123.89,PLN
2022-06-06,124.55,PLN
2022-06-07,123.49,PLN
2022-06-08,124.80,PLN
2022-06-09,124.65,PLN
2022-06-10,123.67,PLN
2022-06-13,120.90,PLN
2022-06-14,121.58,PLN
2022-06-15,122.14,PLN
2022-06-17,119.69,PLN
2022-06-20,118.59,PLN
2022-06-21,120.21,PLN
2022-06-22,117.48,PLN
2022-06-23,118.40,PLN
2022-06-24,119.99,PLN
2022-06-27,120.54,PLN
2022-06-28,122.46,PLN
2022-06-29,120.67,PLN
2022-06-30,119.26,PLN
2022-07-01,119.98,PLN
2022-07-04,119.16,PLN
2022-07-05,120.34,PLN
2022-07-06,120.19,PLN
2022-07-07,122.73,PLN
2022-07-08,122.69,PLN
2022-07-11,121.05,PLN
2022-07-12,120.41,PLN
2022-07-13,119.48,PLN
2022-07-14,120.23,PLN
2022-07-15,119.37,PLN
2022-07-18,120.25,PLN
2022-07-19,119.97,PLN
2022-07-20,120.46,PLN
2022-07-21,121.89,PLN
2022-07-22,121.00,PLN
2022-07-25,120.61,PLN
2022-07-26,121.62,PLN
2022-07-27,122.12,PLN
2022-07-28,122.34,PLN
2022-07-29,121.24,PLN
2022-08-01,120.80,PLN
2022-08-02,120.74,PLN
2022-08-03,121.71,PLN
2022-08-04,121.94,PLN
2022-08-05,123.29,PLN
2022-08-08,122.95,PLN
2022-08-09,122.53,PLN
2022-08-10,121.18,PLN
2022-08-11,123.40,PLN
2022-08-12,124.65,PLN
2022-08-16,125.12,PLN
2022-08-17,125.40,PLN
2022-08-18,125.23,PLN
2022-08-19,125.11,PLN
2022-08-22,125.08,PLN
2022-08-23,124.77,PLN
2022-08-24,124.31,PLN
2022-08-25,126.45,PLN
2022-08-26,126.94,PLN
2022-08-29,125.61,PLN
2022-08-30,124.86,PLN
2022-08-31,124.86,PLN
2022-09-01,124.05,PLN
2022-09-02,122.78,PLN
2022-09-05,123.70,PLN
2022-09-06,123.11,PLN
2022-09-07,121.84,PLN
2022-09-08,121.92,PLN
2022-09-09,122.67,PLN
2022-09-12,122.93,PLN
2022-09-13,123.32,PLN
2022-09-14,122.13,PLN
2022-09-15,122.13,PLN
2022-09-16,119.63,PLN
2022-09-19,119.75,PLN
2022-09-20,120.17,PLN
2022-09-21,120.32,PLN
2022-09-22,119.81,PLN
2022-09-23,118.64,PLN
2022-09-26,117.70,PLN
2022-09-27,118.25,PLN
2022-09-28,116.75,PLN
2022-09-29,114.21,PLN
2022-09-30,114.51,PLN
2022-10-03,114.43,PLN
2022-10-04,116.56,PLN
2022-10-05,117.96,PLN
2022-10-06,118.35,PLN
2022-10-07,116.79,PLN
2022-10-10,115.94,PLN
2022-10-11,113.83,PLN
2022-10-12,114.31,PLN
2022-10-13,112.58,PLN
2022-10-14,113.41,PLN
2022-10-17,113.56,PLN
2022-10-18,114.37,PLN
2022-10-19,113.00,PLN
2022-10-20,113.23,PLN
2022-10-21,113.67,PLN
2022-10-24,109.68,PLN
2022-10-25,109.13,PLN
2022-10-26,108.97,PLN
2022-10-27,110.04,PLN
2022-10-28,109.53,PLN
2022-10-31,110.37,PLN
2022-11-02,113.36,PLN
2022-11-03,113.82,PLN
2022-11-04,115.02,PLN
2022-11-07,115.18,PLN
2022-11-08,114.83,PLN
2022-11-09,115.00,PLN
2022-11-10,113.92,PLN
2022-11-14,116.17,PLN
2022-11-15,118.72,PLN
2022-11-16,116.46,PLN
2022-11-17,116.54,PLN
2022-11-18,116.43,PLN
2022-11-21,116.52,PLN
2022-11-22,115.90,PLN
2022-11-23,115.72,PLN
2022-11-24,116.72,PLN
2022-11-25,116.15,PLN
2022-11-28,115.81,PLN
2022-11-29,118.13,PLN
2022-11-30,121.16,PLN
2022-12-01,119.33,PLN
2022-12-02,119.31,PLN
2022-12-05,119.12,PLN
2022-12-06,118.21,PLN
2022-12-07,116.96,PLN
2022-12-08,118.50,PLN
2022-12-09,119.45,PLN
2022-12-12,117.94,PLN
2022-12-13,118.15,PLN
2022-12-14,118.02,PLN
2022-12-15,116.34,PLN
2022-12-16,116.72,PLN
2022-12-19,116.92,PLN
2022-12-20,115.86,PLN
2022-12-21,116.40,PLN
2022-12-22,116.84,PLN
2022-12-23,115.95,PLN
2022-12-27,116.17,PLN
2022-12-28,116.98,PLN
2022-12-29,116.85,PLN
2022-12-30,116.17,PLN
2023-01-02,116.24,PLN
2023-01-03,118.24,PLN
2023-01-04,119.07,PLN
2023-01-05,120.98,PLN
2023-01-09,121.95,PLN
2023-01-10,122.46,PLN
2023-01-11,122.78,PLN
2023-01-12,121.72,PLN
2023-01-13,122.82,PLN
2023-01-16,122.96,PLN
2023-01-17,122.86,PLN
2023-01-18,122.74,PLN
2023-01-19,123.16,PLN
2023-01-20,123.66,PLN
2023-01-23,124.56,PLN
2023-01-24,124.47,PLN
2023-01-25,123.70,PLN
2023-01-26,125.74,PLN
