Data,Wartość dla NN (L) Spółek Dywidendowych USA (A),Waluta
2022-01-26,260.58,PLN
2022-01-27,260.78,PLN
2022-01-28,263.65,PLN
2022-01-31,265.62,PLN
2022-02-01,266.50,PLN
2022-02-02,268.80,PLN
2022-02-03,266.57,PLN
2022-02-04,265.72,PLN
2022-02-07,265.56,PLN
2022-02-08,267.65,PLN
2022-02-09,269.77,PLN
2022-02-10,265.99,PLN
2022-02-11,263.72,PLN
2022-02-14,261.84,PLN
2022-02-15,264.19,PLN
2022-02-16,264.82,PLN
2022-02-17,262.06,PLN
2022-02-18,261.71,PLN
2022-02-21,261.67,PLN
2022-02-22,260.36,PLN
2022-02-23,257.49,PLN
2022-02-24,257.04,PLN
2022-02-25,264.12,PLN
2022-02-28,262.77,PLN
2022-03-01,258.77,PLN
2022-03-02,263.86,PLN
2022-03-03,265.05,PLN
2022-03-04,265.34,PLN
2022-03-07,261.63,PLN
2022-03-08,259.02,PLN
2022-03-09,262.10,PLN
2022-03-10,261.71,PLN
2022-03-11,260.07,PLN
2022-03-14,259.97,PLN
2022-03-15,262.95,PLN
2022-03-16,265.70,PLN
2022-03-17,268.36,PLN
2022-03-18,268.62,PLN
2022-03-21,269.63,PLN
2022-03-22,270.75,PLN
2022-03-23,268.41,PLN
2022-03-24,271.11,PLN
2022-03-25,273.93,PLN
2022-03-28,274.43,PLN
2022-03-29,276.76,PLN
2022-03-30,276.44,PLN
2022-03-31,272.97,PLN
2022-04-01,274.39,PLN
2022-04-04,274.11,PLN
2022-04-05,272.92,PLN
2022-04-06,273.25,PLN
2022-04-07,274.10,PLN
2022-04-08,274.91,PLN
2022-04-11,271.94,PLN
2022-04-12,271.42,PLN
2022-04-13,273.00,PLN
2022-04-14,271.38,PLN
2022-04-19,274.09,PLN
2022-04-20,276.49,PLN
2022-04-21,274.73,PLN
2022-04-22,268.06,PLN
2022-04-25,268.67,PLN
2022-04-26,264.47,PLN
2022-04-27,265.59,PLN
2022-04-28,269.08,PLN
2022-04-29,261.21,PLN
2022-05-02,261.11,PLN
2022-05-04,269.37,PLN
2022-05-05,263.88,PLN
2022-05-06,263.81,PLN
2022-05-09,258.80,PLN
2022-05-10,258.64,PLN
2022-05-11,256.50,PLN
2022-05-12,256.88,PLN
2022-05-13,260.00,PLN
2022-05-16,260.73,PLN
2022-05-17,264.69,PLN
2022-05-18,256.45,PLN
2022-05-19,254.09,PLN
2022-05-20,254.43,PLN
2022-05-23,259.02,PLN
2022-05-24,260.06,PLN
2022-05-25,261.09,PLN
2022-05-26,263.91,PLN
2022-05-27,268.10,PLN
2022-05-30,268.06,PLN
2022-05-31,266.34,PLN
2022-06-01,264.30,PLN
2022-06-02,267.23,PLN
2022-06-03,264.84,PLN
2022-06-06,265.55,PLN
2022-06-07,268.07,PLN
2022-06-08,265.26,PLN
2022-06-09,260.04,PLN
2022-06-10,255.14,PLN
2022-06-13,247.16,PLN
2022-06-14,245.62,PLN
2022-06-15,247.33,PLN
2022-06-17,241.06,PLN
2022-06-20,241.02,PLN
2022-06-21,246.55,PLN
2022-06-22,245.96,PLN
2022-06-23,247.29,PLN
2022-06-24,253.29,PLN
2022-06-27,253.53,PLN
2022-06-28,250.51,PLN
2022-06-29,250.03,PLN
2022-06-30,248.83,PLN
2022-07-01,251.76,PLN
2022-07-04,251.72,PLN
2022-07-05,249.26,PLN
2022-07-06,250.24,PLN
2022-07-07,252.29,PLN
2022-07-08,251.81,PLN
2022-07-11,250.65,PLN
2022-07-12,248.91,PLN
2022-07-13,247.51,PLN
2022-07-14,246.30,PLN
2022-07-15,250.20,PLN
2022-07-18,247.86,PLN
2022-07-19,253.52,PLN
2022-07-20,253.18,PLN
2022-07-21,254.33,PLN
2022-07-22,253.27,PLN
2022-07-25,254.58,PLN
2022-07-26,253.37,PLN
2022-07-27,257.90,PLN
2022-07-28,260.89,PLN
2022-07-29,263.96,PLN
2022-08-01,263.00,PLN
2022-08-02,261.49,PLN
2022-08-03,263.96,PLN
2022-08-04,262.35,PLN
2022-08-05,262.95,PLN
2022-08-08,262.95,PLN
2022-08-09,263.02,PLN
2022-08-10,266.85,PLN
2022-08-11,267.26,PLN
2022-08-12,270.92,PLN
2022-08-16,272.34,PLN
2022-08-17,271.04,PLN
2022-08-18,272.30,PLN
2022-08-19,270.32,PLN
2022-08-22,265.81,PLN
2022-08-23,265.23,PLN
2022-08-24,265.16,PLN
2022-08-25,268.36,PLN
2022-08-26,261.34,PLN
2022-08-29,260.50,PLN
2022-08-30,257.68,PLN
2022-08-31,256.26,PLN
2022-09-01,256.91,PLN
2022-09-02,254.75,PLN
2022-09-05,254.71,PLN
2022-09-06,253.85,PLN
2022-09-07,257.73,PLN
2022-09-08,259.40,PLN
2022-09-09,262.41,PLN
2022-09-12,264.83,PLN
2022-09-13,256.02,PLN
2022-09-14,256.98,PLN
2022-09-15,254.88,PLN
2022-09-16,253.46,PLN
2022-09-19,255.23,PLN
2022-09-20,252.17,PLN
2022-09-21,248.53,PLN
2022-09-22,247.18,PLN
2022-09-23,243.57,PLN
2022-09-26,240.61,PLN
2022-09-27,239.20,PLN
2022-09-28,243.04,PLN
2022-09-29,239.77,PLN
2022-09-30,236.45,PLN
2022-10-03,242.71,PLN
2022-10-04,249.12,PLN
2022-10-05,248.62,PLN
2022-10-06,245.63,PLN
2022-10-07,240.34,PLN
2022-10-10,239.33,PLN
2022-10-11,239.02,PLN
2022-10-12,237.76,PLN
2022-10-13,244.67,PLN
2022-10-14,240.29,PLN
2022-10-17,245.04,PLN
2022-10-18,247.51,PLN
2022-10-19,245.88,PLN
2022-10-20,243.43,PLN
2022-10-21,248.20,PLN
2022-10-24,250.68,PLN
2022-10-25,253.27,PLN
2022-10-26,253.71,PLN
2022-10-27,254.21,PLN
2022-10-28,260.16,PLN
2022-10-31,259.18,PLN
2022-11-02,255.10,PLN
2022-11-03,253.76,PLN
2022-11-04,257.61,PLN
2022-11-07,259.64,PLN
2022-11-08,260.52,PLN
2022-11-09,256.97,PLN
2022-11-10,267.48,PLN
2022-11-14,265.97,PLN
2022-11-15,267.43,PLN
2022-11-16,266.03,PLN
2022-11-17,266.05,PLN
2022-11-18,268.51,PLN
2022-11-21,269.60,PLN
2022-11-22,271.73,PLN
2022-11-23,272.53,PLN
2022-11-24,272.52,PLN
2022-11-25,273.02,PLN
2022-11-28,268.61,PLN
2022-11-29,269.11,PLN
2022-11-30,274.25,PLN
2022-12-01,273.04,PLN
2022-12-02,272.91,PLN
2022-12-05,269.03,PLN
2022-12-06,266.72,PLN
2022-12-07,267.50,PLN
2022-12-08,269.25,PLN
2022-12-09,267.91,PLN
2022-12-12,271.65,PLN
2022-12-13,273.31,PLN
2022-12-14,271.74,PLN
2022-12-15,266.90,PLN
2022-12-16,264.62,PLN
2022-12-19,263.74,PLN
2022-12-20,264.38,PLN
2022-12-21,267.30,PLN
2022-12-22,265.12,PLN
2022-12-23,266.69,PLN
2022-12-27,267.25,PLN
2022-12-28,264.57,PLN
2022-12-29,268.19,PLN
2022-12-30,267.18,PLN
2023-01-02,267.15,PLN
2023-01-03,266.93,PLN
2023-01-04,268.84,PLN
2023-01-05,266.50,PLN
2023-01-09,270.59,PLN
2023-01-10,271.80,PLN
2023-01-11,273.64,PLN
2023-01-12,273.78,PLN
2023-01-13,274.40,PLN
2023-01-16,274.36,PLN
2023-01-17,272.65,PLN
2023-01-18,267.95,PLN
2023-01-19,265.84,PLN
2023-01-20,268.44,PLN
2023-01-23,269.92,PLN
2023-01-24,270.44,PLN
2023-01-25,270.20,PLN
2023-01-26,271.96,PLN
