Data,Wartość dla NN (L) Stabilny Globalnej Dywersyfikacji (dawniej NN (L) Stabilny Globalnej Alokacji) (A),Waluta
2022-01-26,126.03,PLN
2022-01-27,125.74,PLN
2022-01-28,125.57,PLN
2022-01-31,125.97,PLN
2022-02-01,126.60,PLN
2022-02-02,126.89,PLN
2022-02-03,126.15,PLN
2022-02-04,126.01,PLN
2022-02-07,125.94,PLN
2022-02-08,125.92,PLN
2022-02-09,126.32,PLN
2022-02-10,126.11,PLN
2022-02-11,125.76,PLN
2022-02-14,125.46,PLN
2022-02-15,125.67,PLN
2022-02-16,125.93,PLN
2022-02-17,125.90,PLN
2022-02-18,125.64,PLN
2022-02-21,125.34,PLN
2022-02-22,125.26,PLN
2022-02-23,125.02,PLN
2022-02-24,124.52,PLN
2022-02-25,125.19,PLN
2022-02-28,125.55,PLN
2022-03-01,125.82,PLN
2022-03-02,126.00,PLN
2022-03-03,125.77,PLN
2022-03-04,125.58,PLN
2022-03-07,125.69,PLN
2022-03-08,125.77,PLN
2022-03-09,125.38,PLN
2022-03-10,124.94,PLN
2022-03-11,125.05,PLN
2022-03-14,124.35,PLN
2022-03-15,124.17,PLN
2022-03-16,124.87,PLN
2022-03-17,125.50,PLN
2022-03-18,125.85,PLN
2022-03-21,125.93,PLN
2022-03-22,125.99,PLN
2022-03-23,125.95,PLN
2022-03-24,126.27,PLN
2022-03-25,126.35,PLN
2022-03-28,126.03,PLN
2022-03-29,126.36,PLN
2022-03-30,126.43,PLN
2022-03-31,126.28,PLN
2022-04-01,126.09,PLN
2022-04-04,126.48,PLN
2022-04-05,126.34,PLN
2022-04-06,125.76,PLN
2022-04-07,125.59,PLN
2022-04-08,125.69,PLN
2022-04-11,125.29,PLN
2022-04-12,125.72,PLN
2022-04-13,125.87,PLN
2022-04-14,126.15,PLN
2022-04-19,125.75,PLN
2022-04-20,125.78,PLN
2022-04-21,125.82,PLN
2022-04-22,124.89,PLN
2022-04-25,124.24,PLN
2022-04-26,124.19,PLN
2022-04-27,124.30,PLN
2022-04-28,124.30,PLN
2022-04-29,124.37,PLN
2022-05-02,123.62,PLN
2022-05-04,123.47,PLN
2022-05-05,123.60,PLN
2022-05-06,122.93,PLN
2022-05-09,121.37,PLN
2022-05-10,121.18,PLN
2022-05-11,121.41,PLN
2022-05-12,121.37,PLN
2022-05-13,121.87,PLN
2022-05-16,121.88,PLN
