Data,Wartość dla NN Akcji (A),Waluta
2021-02-19,334.67,PLN
2021-02-22,332.08,PLN
2021-02-23,326.40,PLN
2021-02-24,329.56,PLN
2021-02-25,330.62,PLN
2021-02-26,325.97,PLN
2021-03-01,332.23,PLN
2021-03-02,333.26,PLN
2021-03-03,331.31,PLN
2021-03-04,330.50,PLN
2021-03-05,329.35,PLN
2021-03-08,332.82,PLN
2021-03-09,336.40,PLN
2021-03-10,338.34,PLN
2021-03-11,338.06,PLN
2021-03-12,339.54,PLN
2021-03-15,339.63,PLN
2021-03-16,338.40,PLN
2021-03-17,333.34,PLN
2021-03-18,336.10,PLN
2021-03-19,332.07,PLN
2021-03-22,332.17,PLN
2021-03-23,330.66,PLN
2021-03-24,329.06,PLN
2021-03-25,325.87,PLN
2021-03-26,331.49,PLN
2021-03-29,335.66,PLN
2021-03-30,335.37,PLN
2021-03-31,335.41,PLN
2021-04-01,337.42,PLN
2021-04-06,343.79,PLN
2021-04-07,341.91,PLN
2021-04-08,340.51,PLN
2021-04-09,339.91,PLN
2021-04-12,339.02,PLN
2021-04-13,339.08,PLN
2021-04-14,342.70,PLN
2021-04-15,342.56,PLN
2021-04-16,342.79,PLN
2021-04-19,339.54,PLN
2021-04-20,336.88,PLN
2021-04-21,336.16,PLN
2021-04-22,337.18,PLN
2021-04-23,337.40,PLN
2021-04-26,340.23,PLN
2021-04-27,340.08,PLN
2021-04-28,344.08,PLN
2021-04-29,346.73,PLN
2021-04-30,344.87,PLN
2021-05-04,341.00,PLN
2021-05-05,347.26,PLN
2021-05-06,347.33,PLN
2021-05-07,353.97,PLN
2021-05-10,356.96,PLN
2021-05-11,354.79,PLN
2021-05-12,352.62,PLN
2021-05-13,351.38,PLN
2021-05-14,352.51,PLN
2021-05-17,356.38,PLN
2021-05-18,357.72,PLN
2021-05-19,354.38,PLN
2021-05-20,356.62,PLN
2021-05-21,358.46,PLN
2021-05-24,358.43,PLN
2021-05-25,359.97,PLN
2021-05-26,361.94,PLN
2021-05-27,367.02,PLN
2021-05-28,371.09,PLN
2021-05-31,371.94,PLN
2021-06-01,372.01,PLN
2021-06-02,373.79,PLN
2021-06-04,374.89,PLN
2021-06-07,374.31,PLN
2021-06-08,372.99,PLN
2021-06-09,370.92,PLN
2021-06-10,373.13,PLN
2021-06-11,371.91,PLN
2021-06-14,375.81,PLN
2021-06-15,373.47,PLN
2021-06-16,372.51,PLN
2021-06-17,370.79,PLN
2021-06-18,371.05,PLN
2021-06-21,370.87,PLN
2021-06-22,371.84,PLN
2021-06-23,374.06,PLN
2021-06-24,379.46,PLN
2021-06-25,380.25,PLN
2021-06-28,380.18,PLN
2021-06-29,376.93,PLN
2021-06-30,370.70,PLN
2021-07-01,374.30,PLN
2021-07-02,375.41,PLN
2021-07-05,376.50,PLN
2021-07-06,373.74,PLN
2021-07-07,380.69,PLN
2021-07-08,373.90,PLN
2021-07-09,376.53,PLN
2021-07-12,377.04,PLN
2021-07-13,378.70,PLN
2021-07-14,379.98,PLN
2021-07-15,377.60,PLN
2021-07-16,377.68,PLN
2021-07-19,369.20,PLN
2021-07-20,371.71,PLN
2021-07-21,376.75,PLN
2021-07-22,375.41,PLN
2021-07-23,376.82,PLN
2021-07-26,377.15,PLN
2021-07-27,374.44,PLN
2021-07-28,377.96,PLN
2021-07-29,380.53,PLN
2021-07-30,379.70,PLN
2021-08-02,380.77,PLN
2021-08-03,380.93,PLN
2021-08-04,381.98,PLN
2021-08-05,382.25,PLN
2021-08-06,383.44,PLN
2021-08-09,385.41,PLN
2021-08-10,385.93,PLN
2021-08-11,387.14,PLN
2021-08-12,388.69,PLN
2021-08-13,389.21,PLN
2021-08-16,386.98,PLN
2021-08-17,389.82,PLN
2021-08-18,388.58,PLN
2021-08-19,384.35,PLN
2021-08-20,382.78,PLN
2021-08-23,387.23,PLN
2021-08-24,388.53,PLN
2021-08-25,391.47,PLN
2021-08-26,390.04,PLN
2021-08-27,391.55,PLN
2021-08-30,395.91,PLN
2021-08-31,397.37,PLN
2021-09-01,398.17,PLN
2021-09-02,400.32,PLN
2021-09-03,399.12,PLN
2021-09-06,404.12,PLN
2021-09-07,402.65,PLN
2021-09-08,397.40,PLN
2021-09-09,397.77,PLN
2021-09-10,398.33,PLN
2021-09-13,401.58,PLN
2021-09-14,402.25,PLN
2021-09-15,400.41,PLN
2021-09-16,401.68,PLN
2021-09-17,398.30,PLN
2021-09-20,389.32,PLN
2021-09-21,390.58,PLN
2021-09-22,398.24,PLN
2021-09-23,397.76,PLN
2021-09-24,394.49,PLN
2021-09-27,393.25,PLN
2021-09-28,390.14,PLN
2021-09-29,393.59,PLN
2021-09-30,394.89,PLN
2021-10-01,397.45,PLN
2021-10-04,400.37,PLN
2021-10-05,405.67,PLN
2021-10-06,404.67,PLN
2021-10-07,405.71,PLN
2021-10-08,412.23,PLN
2021-10-11,418.36,PLN
2021-10-12,419.43,PLN
2021-10-13,417.48,PLN
2021-10-14,418.38,PLN
2021-10-15,417.49,PLN
2021-10-18,417.98,PLN
2021-10-19,417.31,PLN
2021-10-20,417.28,PLN
2021-10-21,415.66,PLN
2021-10-22,415.15,PLN
2021-10-25,415.57,PLN
2021-10-26,416.80,PLN
2021-10-27,413.61,PLN
2021-10-28,413.56,PLN
2021-10-29,416.03,PLN
2021-11-02,417.19,PLN
2021-11-03,413.35,PLN
2021-11-04,421.38,PLN
2021-11-05,423.07,PLN
2021-11-08,420.93,PLN
2021-11-09,415.53,PLN
2021-11-10,411.93,PLN
2021-11-12,410.98,PLN
2021-11-15,409.30,PLN
2021-11-16,410.00,PLN
2021-11-17,406.40,PLN
2021-11-18,399.37,PLN
2021-11-19,396.00,PLN
2021-11-22,395.78,PLN
2021-11-23,396.65,PLN
2021-11-24,392.58,PLN
2021-11-25,392.39,PLN
2021-11-26,379.38,PLN
2021-11-29,381.11,PLN
2021-11-30,385.99,PLN
2021-12-01,388.43,PLN
2021-12-02,385.43,PLN
2021-12-03,383.23,PLN
2021-12-06,383.82,PLN
2021-12-07,390.63,PLN
2021-12-08,389.38,PLN
2021-12-09,387.23,PLN
2021-12-10,387.33,PLN
2021-12-13,386.60,PLN
2021-12-14,384.75,PLN
2021-12-15,378.47,PLN
2021-12-16,386.63,PLN
2021-12-17,382.35,PLN
2021-12-20,382.84,PLN
2021-12-21,384.13,PLN
2021-12-22,388.31,PLN
2021-12-23,390.09,PLN
2021-12-27,390.70,PLN
2021-12-28,392.79,PLN
2021-12-29,393.50,PLN
2021-12-30,393.95,PLN
2022-01-03,398.08,PLN
2022-01-04,399.68,PLN
2022-01-05,401.09,PLN
2022-01-07,400.51,PLN
2022-01-10,398.14,PLN
2022-01-11,405.60,PLN
2022-01-12,414.44,PLN
2022-01-13,414.14,PLN
2022-01-14,410.11,PLN
2022-01-17,408.95,PLN
2022-01-18,402.44,PLN
2022-01-19,402.51,PLN
2022-01-20,399.80,PLN
2022-01-21,394.05,PLN
2022-01-24,379.02,PLN
2022-01-25,382.70,PLN
2022-01-26,387.91,PLN
2022-01-27,388.09,PLN
2022-01-28,381.73,PLN
2022-01-31,385.41,PLN
2022-02-01,387.87,PLN
2022-02-02,392.16,PLN
2022-02-03,389.41,PLN
2022-02-04,382.56,PLN
2022-02-07,382.90,PLN
2022-02-08,386.85,PLN
2022-02-09,388.96,PLN
2022-02-10,385.58,PLN
2022-02-11,383.44,PLN
2022-02-14,376.33,PLN
2022-02-15,382.97,PLN
2022-02-16,382.57,PLN
2022-02-17,376.45,PLN
2022-02-18,372.52,PLN
2022-02-21,361.83,PLN
