Data,Wartość dla NN Akcji (A),Waluta
2022-01-26,387.91,PLN
2022-01-27,388.09,PLN
2022-01-28,381.73,PLN
2022-01-31,385.41,PLN
2022-02-01,387.87,PLN
2022-02-02,392.16,PLN
2022-02-03,389.41,PLN
2022-02-04,382.56,PLN
2022-02-07,382.90,PLN
2022-02-08,386.85,PLN
2022-02-09,388.96,PLN
2022-02-10,385.58,PLN
2022-02-11,383.44,PLN
2022-02-14,376.33,PLN
2022-02-15,382.97,PLN
2022-02-16,382.57,PLN
2022-02-17,376.45,PLN
2022-02-18,372.52,PLN
2022-02-21,361.83,PLN
2022-02-22,364.19,PLN
2022-02-23,356.65,PLN
2022-02-24,321.15,PLN
2022-02-25,344.30,PLN
2022-02-28,345.93,PLN
2022-03-01,338.61,PLN
2022-03-02,345.70,PLN
2022-03-03,340.83,PLN
2022-03-04,326.45,PLN
2022-03-07,327.47,PLN
2022-03-08,324.33,PLN
2022-03-09,335.37,PLN
2022-03-10,334.09,PLN
2022-03-11,342.33,PLN
2022-03-14,334.87,PLN
2022-03-15,337.19,PLN
2022-03-16,347.76,PLN
2022-03-17,356.56,PLN
2022-03-18,355.13,PLN
2022-03-21,354.74,PLN
2022-03-22,359.68,PLN
2022-03-23,359.63,PLN
2022-03-24,364.05,PLN
2022-03-25,361.90,PLN
2022-03-28,362.33,PLN
2022-03-29,368.35,PLN
2022-03-30,369.16,PLN
2022-03-31,363.45,PLN
2022-04-01,367.30,PLN
2022-04-04,367.86,PLN
2022-04-05,364.06,PLN
2022-04-06,360.28,PLN
2022-04-07,356.65,PLN
2022-04-08,358.04,PLN
2022-04-11,361.25,PLN
2022-04-12,358.79,PLN
2022-04-13,360.18,PLN
2022-04-14,358.36,PLN
2022-04-19,355.93,PLN
2022-04-20,354.44,PLN
2022-04-21,352.77,PLN
2022-04-22,344.96,PLN
2022-04-25,336.61,PLN
2022-04-26,333.19,PLN
2022-04-27,330.47,PLN
2022-04-28,331.20,PLN
2022-04-29,328.38,PLN
2022-05-02,324.34,PLN
2022-05-04,323.35,PLN
2022-05-05,316.73,PLN
2022-05-06,315.66,PLN
2022-05-09,308.29,PLN
2022-05-10,307.31,PLN
2022-05-11,307.95,PLN
2022-05-12,303.85,PLN
2022-05-13,315.10,PLN
2022-05-16,315.18,PLN
2022-05-17,321.39,PLN
2022-05-18,321.25,PLN
2022-05-19,318.23,PLN
2022-05-20,319.84,PLN
2022-05-23,326.88,PLN
2022-05-24,322.94,PLN
2022-05-25,321.05,PLN
2022-05-26,324.84,PLN
2022-05-27,323.79,PLN
2022-05-30,329.79,PLN
2022-05-31,327.71,PLN
2022-06-01,326.02,PLN
2022-06-02,328.17,PLN
2022-06-03,326.69,PLN
2022-06-06,330.40,PLN
2022-06-07,327.88,PLN
2022-06-08,323.10,PLN
2022-06-09,319.31,PLN
2022-06-10,313.31,PLN
2022-06-13,305.50,PLN
2022-06-14,306.93,PLN
2022-06-15,308.01,PLN
2022-06-17,304.11,PLN
2022-06-20,306.16,PLN
2022-06-21,312.34,PLN
2022-06-22,306.89,PLN
2022-06-23,303.09,PLN
2022-06-24,306.85,PLN
2022-06-27,310.80,PLN
2022-06-28,314.57,PLN
2022-06-29,315.39,PLN
2022-06-30,309.47,PLN
2022-07-01,309.06,PLN
2022-07-04,308.71,PLN
2022-07-05,302.27,PLN
2022-07-06,303.13,PLN
2022-07-07,312.59,PLN
2022-07-08,316.38,PLN
2022-07-11,314.28,PLN
2022-07-12,306.49,PLN
2022-07-13,305.34,PLN
2022-07-14,299.74,PLN
2022-07-15,301.18,PLN
2022-07-18,307.65,PLN
2022-07-19,308.84,PLN
2022-07-20,311.70,PLN
2022-07-21,310.75,PLN
2022-07-22,313.91,PLN
2022-07-25,311.50,PLN
2022-07-26,307.58,PLN
2022-07-27,308.22,PLN
2022-07-28,310.35,PLN
2022-07-29,319.69,PLN
2022-08-01,320.54,PLN
2022-08-02,317.73,PLN
2022-08-03,318.76,PLN
2022-08-04,316.79,PLN
2022-08-05,313.65,PLN
2022-08-08,319.15,PLN
2022-08-09,317.77,PLN
2022-08-10,319.77,PLN
2022-08-11,323.40,PLN
2022-08-12,325.20,PLN
2022-08-16,326.17,PLN
2022-08-17,318.87,PLN
2022-08-18,321.01,PLN
2022-08-19,315.90,PLN
2022-08-22,310.15,PLN
2022-08-23,311.75,PLN
2022-08-24,307.08,PLN
2022-08-25,309.31,PLN
2022-08-26,305.91,PLN
2022-08-29,300.24,PLN
2022-08-30,294.77,PLN
2022-08-31,294.57,PLN
2022-09-01,285.85,PLN
2022-09-02,292.71,PLN
2022-09-05,290.57,PLN
2022-09-06,285.75,PLN
2022-09-07,288.20,PLN
2022-09-08,289.73,PLN
2022-09-09,297.55,PLN
2022-09-12,300.98,PLN
2022-09-13,293.80,PLN
2022-09-14,294.96,PLN
2022-09-15,296.18,PLN
2022-09-16,288.93,PLN
2022-09-19,293.30,PLN
2022-09-20,288.98,PLN
2022-09-21,290.27,PLN
2022-09-22,290.88,PLN
2022-09-23,281.37,PLN
2022-09-26,277.97,PLN
2022-09-27,281.54,PLN
2022-09-28,279.67,PLN
2022-09-29,271.32,PLN
2022-09-30,271.81,PLN
2022-10-03,273.13,PLN
2022-10-04,282.74,PLN
2022-10-05,277.60,PLN
2022-10-06,279.28,PLN
2022-10-07,277.04,PLN
2022-10-10,272.45,PLN
2022-10-11,272.87,PLN
2022-10-12,271.19,PLN
2022-10-13,268.96,PLN
2022-10-14,274.02,PLN
2022-10-17,276.63,PLN
2022-10-18,279.22,PLN
2022-10-19,273.52,PLN
2022-10-20,277.85,PLN
2022-10-21,275.25,PLN
2022-10-24,278.60,PLN
2022-10-25,280.75,PLN
2022-10-26,287.73,PLN
2022-10-27,290.10,PLN
2022-10-28,289.94,PLN
2022-10-31,294.39,PLN
2022-11-02,299.44,PLN
2022-11-03,297.08,PLN
2022-11-04,305.15,PLN
2022-11-07,307.69,PLN
2022-11-08,311.04,PLN
2022-11-09,310.32,PLN
2022-11-10,317.17,PLN
2022-11-14,323.41,PLN
2022-11-15,327.13,PLN
2022-11-16,323.03,PLN
2022-11-17,318.40,PLN
2022-11-18,319.32,PLN
2022-11-21,316.16,PLN
2022-11-22,321.63,PLN
2022-11-23,321.32,PLN
2022-11-24,326.38,PLN
2022-11-25,327.52,PLN
2022-11-28,324.33,PLN
2022-11-29,324.84,PLN
2022-11-30,325.44,PLN
2022-12-01,330.32,PLN
2022-12-02,327.22,PLN
2022-12-05,327.99,PLN
2022-12-06,324.94,PLN
2022-12-07,324.80,PLN
2022-12-08,323.08,PLN
2022-12-09,324.30,PLN
2022-12-12,328.11,PLN
2022-12-13,332.81,PLN
2022-12-14,333.55,PLN
2022-12-15,327.74,PLN
2022-12-16,325.78,PLN
2022-12-19,325.89,PLN
2022-12-20,328.25,PLN
2022-12-21,331.41,PLN
2022-12-22,330.04,PLN
2022-12-23,329.79,PLN
2022-12-27,327.12,PLN
2022-12-28,327.15,PLN
2022-12-29,332.30,PLN
2022-12-30,331.17,PLN
2023-01-02,332.14,PLN
2023-01-03,338.09,PLN
2023-01-04,342.84,PLN
2023-01-05,342.90,PLN
2023-01-09,352.10,PLN
2023-01-10,355.25,PLN
2023-01-11,351.30,PLN
2023-01-12,353.81,PLN
2023-01-13,352.70,PLN
2023-01-16,354.99,PLN
2023-01-17,350.44,PLN
2023-01-18,351.07,PLN
2023-01-19,347.14,PLN
2023-01-20,348.61,PLN
2023-01-23,353.18,PLN
2023-01-24,352.08,PLN
2023-01-25,346.64,PLN
2023-01-26,350.91,PLN
