Data,Wartość dla NN Emerytura 2045 (A),Waluta
2022-01-26,12.03,PLN
2022-01-27,12.03,PLN
2022-01-28,11.89,PLN
2022-01-31,11.99,PLN
2022-02-01,12.10,PLN
2022-02-02,12.19,PLN
2022-02-03,12.09,PLN
2022-02-04,11.99,PLN
2022-02-07,12.00,PLN
2022-02-08,12.08,PLN
2022-02-09,12.16,PLN
2022-02-10,12.09,PLN
2022-02-11,12.04,PLN
2022-02-14,11.87,PLN
2022-02-15,12.01,PLN
2022-02-16,12.00,PLN
2022-02-17,11.89,PLN
2022-02-18,11.82,PLN
2022-02-21,11.62,PLN
2022-02-22,11.68,PLN
2022-02-23,11.55,PLN
2022-02-24,10.91,PLN
2022-02-25,11.41,PLN
2022-02-28,11.47,PLN
2022-03-01,11.37,PLN
2022-03-02,11.59,PLN
2022-03-03,11.50,PLN
2022-03-04,11.22,PLN
2022-03-07,11.16,PLN
2022-03-08,11.05,PLN
2022-03-09,11.23,PLN
2022-03-10,11.18,PLN
2022-03-11,11.34,PLN
2022-03-14,11.15,PLN
2022-03-15,11.24,PLN
2022-03-16,11.42,PLN
2022-03-17,11.60,PLN
2022-03-18,11.61,PLN
2022-03-21,11.60,PLN
2022-03-22,11.68,PLN
2022-03-23,11.67,PLN
2022-03-24,11.73,PLN
2022-03-25,11.70,PLN
2022-03-28,11.69,PLN
2022-03-29,11.80,PLN
2022-03-30,11.83,PLN
2022-03-31,11.75,PLN
2022-04-01,11.77,PLN
2022-04-04,11.80,PLN
2022-04-05,11.72,PLN
2022-04-06,11.61,PLN
2022-04-07,11.52,PLN
2022-04-08,11.55,PLN
2022-04-11,11.57,PLN
2022-04-12,11.56,PLN
2022-04-13,11.58,PLN
2022-04-14,11.57,PLN
2022-04-19,11.51,PLN
2022-04-20,11.49,PLN
2022-04-21,11.45,PLN
2022-04-22,11.24,PLN
2022-04-25,11.07,PLN
2022-04-26,11.02,PLN
2022-04-27,11.00,PLN
2022-04-28,11.02,PLN
2022-04-29,10.98,PLN
2022-05-02,10.83,PLN
2022-05-04,10.80,PLN
2022-05-05,10.72,PLN
2022-05-06,10.65,PLN
2022-05-09,10.47,PLN
2022-05-10,10.44,PLN
2022-05-11,10.46,PLN
2022-05-12,10.37,PLN
2022-05-13,10.61,PLN
2022-05-16,10.62,PLN
2022-05-17,10.71,PLN
2022-05-18,10.68,PLN
2022-05-19,10.58,PLN
2022-05-20,10.60,PLN
2022-05-23,10.75,PLN
2022-05-24,10.65,PLN
2022-05-25,10.64,PLN
2022-05-26,10.73,PLN
2022-05-27,10.76,PLN
2022-05-30,10.88,PLN
2022-05-31,10.82,PLN
2022-06-01,10.79,PLN
2022-06-02,10.81,PLN
2022-06-03,10.80,PLN
2022-06-06,10.87,PLN
2022-06-07,10.83,PLN
2022-06-08,10.75,PLN
2022-06-09,10.67,PLN
2022-06-10,10.47,PLN
2022-06-13,10.24,PLN
2022-06-14,10.25,PLN
2022-06-15,10.26,PLN
2022-06-17,10.13,PLN
2022-06-20,10.14,PLN
2022-06-21,10.31,PLN
2022-06-22,10.24,PLN
2022-06-23,10.22,PLN
2022-06-24,10.33,PLN
2022-06-27,10.39,PLN
2022-06-28,10.45,PLN
2022-06-29,10.46,PLN
2022-06-30,10.35,PLN
2022-07-01,10.40,PLN
2022-07-04,10.40,PLN
2022-07-05,10.27,PLN
2022-07-06,10.30,PLN
2022-07-07,10.49,PLN
2022-07-08,10.57,PLN
2022-07-11,10.52,PLN
2022-07-12,10.39,PLN
2022-07-13,10.32,PLN
2022-07-14,10.20,PLN
2022-07-15,10.28,PLN
2022-07-18,10.42,PLN
2022-07-19,10.47,PLN
2022-07-20,10.56,PLN
2022-07-21,10.58,PLN
2022-07-22,10.66,PLN
2022-07-25,10.63,PLN
2022-07-26,10.57,PLN
2022-07-27,10.59,PLN
2022-07-28,10.67,PLN
2022-07-29,10.85,PLN
2022-08-01,10.89,PLN
2022-08-02,10.82,PLN
2022-08-03,10.83,PLN
2022-08-04,10.79,PLN
2022-08-05,10.75,PLN
2022-08-08,10.85,PLN
2022-08-09,10.80,PLN
2022-08-10,10.86,PLN
2022-08-11,10.95,PLN
2022-08-12,11.02,PLN
2022-08-16,11.03,PLN
2022-08-17,10.89,PLN
2022-08-18,10.93,PLN
2022-08-19,10.82,PLN
2022-08-22,10.69,PLN
2022-08-23,10.66,PLN
2022-08-24,10.57,PLN
2022-08-25,10.64,PLN
2022-08-26,10.52,PLN
2022-08-29,10.36,PLN
2022-08-30,10.27,PLN
2022-08-31,10.24,PLN
2022-09-01,10.10,PLN
2022-09-02,10.25,PLN
2022-09-05,10.19,PLN
2022-09-06,10.10,PLN
2022-09-07,10.16,PLN
2022-09-08,10.24,PLN
2022-09-09,10.41,PLN
2022-09-12,10.50,PLN
2022-09-13,10.33,PLN
2022-09-14,10.30,PLN
2022-09-15,10.30,PLN
2022-09-16,10.13,PLN
2022-09-19,10.22,PLN
2022-09-20,10.15,PLN
2022-09-21,10.20,PLN
2022-09-22,10.15,PLN
2022-09-23,9.94,PLN
2022-09-26,9.84,PLN
2022-09-27,9.88,PLN
2022-09-28,9.83,PLN
2022-09-29,9.62,PLN
2022-09-30,9.67,PLN
2022-10-03,9.68,PLN
2022-10-04,9.90,PLN
2022-10-05,9.81,PLN
2022-10-06,9.85,PLN
2022-10-07,9.74,PLN
2022-10-10,9.62,PLN
2022-10-11,9.60,PLN
2022-10-12,9.54,PLN
2022-10-13,9.52,PLN
2022-10-14,9.62,PLN
2022-10-17,9.66,PLN
2022-10-18,9.69,PLN
2022-10-19,9.59,PLN
2022-10-20,9.64,PLN
2022-10-21,9.57,PLN
2022-10-24,9.70,PLN
2022-10-25,9.78,PLN
2022-10-26,9.93,PLN
2022-10-27,9.96,PLN
2022-10-28,9.95,PLN
2022-10-31,10.04,PLN
2022-11-02,10.12,PLN
2022-11-03,10.03,PLN
2022-11-04,10.14,PLN
2022-11-07,10.22,PLN
2022-11-08,10.33,PLN
2022-11-09,10.32,PLN
2022-11-10,10.53,PLN
2022-11-14,10.68,PLN
2022-11-15,10.78,PLN
2022-11-16,10.68,PLN
2022-11-17,10.57,PLN
2022-11-18,10.62,PLN
2022-11-21,10.55,PLN
2022-11-22,10.67,PLN
2022-11-23,10.69,PLN
2022-11-24,10.80,PLN
2022-11-25,10.80,PLN
2022-11-28,10.74,PLN
2022-11-29,10.73,PLN
2022-11-30,10.78,PLN
2022-12-01,10.92,PLN
2022-12-02,10.87,PLN
2022-12-05,10.84,PLN
2022-12-06,10.75,PLN
2022-12-07,10.75,PLN
2022-12-08,10.74,PLN
2022-12-09,10.78,PLN
2022-12-12,10.82,PLN
2022-12-13,10.96,PLN
2022-12-14,10.99,PLN
2022-12-15,10.79,PLN
2022-12-16,10.73,PLN
2022-12-19,10.71,PLN
2022-12-20,10.75,PLN
2022-12-21,10.86,PLN
2022-12-22,10.79,PLN
2022-12-23,10.78,PLN
2022-12-27,10.75,PLN
2022-12-28,10.75,PLN
2022-12-29,10.84,PLN
2022-12-30,10.81,PLN
2023-01-02,10.88,PLN
2023-01-03,10.98,PLN
2023-01-04,11.12,PLN
2023-01-05,11.14,PLN
2023-01-09,11.39,PLN
2023-01-10,11.40,PLN
2023-01-11,11.36,PLN
2023-01-12,11.43,PLN
2023-01-13,11.41,PLN
2023-01-16,11.46,PLN
2023-01-17,11.40,PLN
2023-01-18,11.42,PLN
2023-01-19,11.30,PLN
2023-01-20,11.35,PLN
2023-01-23,11.45,PLN
2023-01-24,11.45,PLN
2023-01-25,11.35,PLN
2023-01-26,11.46,PLN
