Data,Wartość dla NN Globalnej Dywersyfikacji (A),Waluta
2022-01-26,108.83,PLN
2022-01-27,108.26,PLN
2022-01-28,108.31,PLN
2022-01-31,109.27,PLN
2022-02-01,109.93,PLN
2022-02-02,110.62,PLN
2022-02-03,109.63,PLN
2022-02-04,108.79,PLN
2022-02-07,108.73,PLN
2022-02-08,108.67,PLN
2022-02-09,109.46,PLN
2022-02-10,109.03,PLN
2022-02-11,108.42,PLN
2022-02-14,108.04,PLN
2022-02-15,108.43,PLN
2022-02-16,108.76,PLN
2022-02-17,108.46,PLN
2022-02-18,108.13,PLN
2022-02-21,107.83,PLN
2022-02-22,107.83,PLN
2022-02-23,107.31,PLN
2022-02-24,106.28,PLN
2022-02-25,107.59,PLN
2022-02-28,107.46,PLN
2022-03-01,107.51,PLN
2022-03-02,107.89,PLN
2022-03-03,107.43,PLN
2022-03-04,107.00,PLN
2022-03-07,106.67,PLN
2022-03-08,106.86,PLN
2022-03-09,106.77,PLN
2022-03-10,106.26,PLN
2022-03-11,106.20,PLN
2022-03-14,105.34,PLN
2022-03-15,105.16,PLN
2022-03-16,106.35,PLN
2022-03-17,107.32,PLN
2022-03-18,107.67,PLN
2022-03-21,107.70,PLN
2022-03-22,107.85,PLN
2022-03-23,107.92,PLN
2022-03-24,108.35,PLN
2022-03-25,108.46,PLN
2022-03-28,108.11,PLN
2022-03-29,108.66,PLN
2022-03-30,108.75,PLN
2022-03-31,108.29,PLN
2022-04-01,108.35,PLN
2022-04-04,108.82,PLN
2022-04-05,108.55,PLN
2022-04-06,107.87,PLN
2022-04-07,107.71,PLN
2022-04-08,107.98,PLN
2022-04-11,107.44,PLN
2022-04-12,107.89,PLN
2022-04-13,108.04,PLN
2022-04-14,108.27,PLN
2022-04-19,107.98,PLN
2022-04-20,108.09,PLN
2022-04-21,107.96,PLN
2022-04-22,106.76,PLN
2022-04-25,106.14,PLN
2022-04-26,105.73,PLN
2022-04-27,105.77,PLN
2022-04-28,106.04,PLN
2022-04-29,105.69,PLN
2022-05-02,104.96,PLN
2022-05-04,105.30,PLN
2022-05-05,105.06,PLN
2022-05-06,104.32,PLN
2022-05-09,102.36,PLN
2022-05-10,102.26,PLN
2022-05-11,102.48,PLN
2022-05-12,102.27,PLN
2022-05-13,103.02,PLN
2022-05-16,103.07,PLN
2022-05-17,103.57,PLN
2022-05-18,102.75,PLN
2022-05-19,102.73,PLN
2022-05-20,102.73,PLN
2022-05-23,103.19,PLN
2022-05-24,103.07,PLN
2022-05-25,103.30,PLN
2022-05-26,103.86,PLN
2022-05-27,104.43,PLN
2022-05-30,104.46,PLN
2022-05-31,103.91,PLN
2022-06-01,103.88,PLN
2022-06-02,104.36,PLN
2022-06-03,104.02,PLN
2022-06-06,104.22,PLN
2022-06-07,104.31,PLN
2022-06-08,104.17,PLN
2022-06-09,103.61,PLN
2022-06-10,102.89,PLN
2022-06-13,101.26,PLN
2022-06-14,100.80,PLN
2022-06-15,101.30,PLN
2022-06-17,100.77,PLN
2022-06-20,100.69,PLN
2022-06-21,100.91,PLN
2022-06-22,100.80,PLN
2022-06-23,100.79,PLN
2022-06-24,101.34,PLN
2022-06-27,101.29,PLN
2022-06-28,101.06,PLN
2022-06-29,100.68,PLN
2022-06-30,100.02,PLN
2022-07-01,100.42,PLN
2022-07-04,100.36,PLN
2022-07-05,99.67,PLN
2022-07-06,99.79,PLN
2022-07-07,100.48,PLN
2022-07-08,100.48,PLN
2022-07-11,100.40,PLN
2022-07-12,99.92,PLN
2022-07-13,99.84,PLN
2022-07-14,99.19,PLN
2022-07-15,99.58,PLN
2022-07-18,99.74,PLN
2022-07-19,100.26,PLN
2022-07-20,100.44,PLN
2022-07-21,100.51,PLN
2022-07-22,100.78,PLN
2022-07-25,100.76,PLN
2022-07-26,100.81,PLN
2022-07-27,101.17,PLN
2022-07-28,102.04,PLN
2022-07-29,102.26,PLN
2022-08-01,102.24,PLN
2022-08-02,102.02,PLN
2022-08-03,102.02,PLN
2022-08-04,102.41,PLN
2022-08-05,102.22,PLN
2022-08-08,102.56,PLN
2022-08-09,102.43,PLN
2022-08-10,103.04,PLN
2022-08-11,103.32,PLN
2022-08-12,103.64,PLN
2022-08-16,103.35,PLN
2022-08-17,102.84,PLN
2022-08-18,103.07,PLN
2022-08-19,102.48,PLN
2022-08-22,101.80,PLN
2022-08-23,101.79,PLN
2022-08-24,102.00,PLN
2022-08-25,102.45,PLN
2022-08-26,101.61,PLN
2022-08-29,101.25,PLN
2022-08-30,100.54,PLN
2022-08-31,100.02,PLN
2022-09-01,99.37,PLN
2022-09-02,99.74,PLN
2022-09-05,99.52,PLN
2022-09-06,99.34,PLN
2022-09-07,99.47,PLN
2022-09-08,100.02,PLN
2022-09-09,100.81,PLN
2022-09-12,101.44,PLN
2022-09-13,100.17,PLN
2022-09-14,99.76,PLN
2022-09-15,99.04,PLN
2022-09-16,98.41,PLN
2022-09-19,98.45,PLN
2022-09-20,98.21,PLN
2022-09-21,98.11,PLN
2022-09-22,97.38,PLN
2022-09-23,96.17,PLN
2022-09-26,95.42,PLN
2022-09-27,95.03,PLN
2022-09-28,95.42,PLN
2022-09-29,94.88,PLN
2022-09-30,95.42,PLN
2022-10-03,95.94,PLN
2022-10-04,97.52,PLN
2022-10-05,97.24,PLN
2022-10-06,97.32,PLN
2022-10-07,96.43,PLN
2022-10-10,95.63,PLN
2022-10-11,95.33,PLN
2022-10-12,95.05,PLN
2022-10-13,95.01,PLN
2022-10-14,94.87,PLN
2022-10-17,95.38,PLN
2022-10-18,95.52,PLN
2022-10-19,95.05,PLN
2022-10-20,94.97,PLN
2022-10-21,94.87,PLN
2022-10-24,95.38,PLN
2022-10-25,96.05,PLN
2022-10-26,96.74,PLN
2022-10-27,96.81,PLN
2022-10-28,96.67,PLN
2022-10-31,96.61,PLN
2022-11-02,96.68,PLN
2022-11-03,95.98,PLN
2022-11-04,96.82,PLN
2022-11-07,97.27,PLN
2022-11-08,97.71,PLN
2022-11-09,97.46,PLN
2022-11-10,99.09,PLN
2022-11-14,99.72,PLN
2022-11-15,100.18,PLN
2022-11-16,99.91,PLN
2022-11-17,99.50,PLN
2022-11-18,99.68,PLN
2022-11-21,99.36,PLN
2022-11-22,99.83,PLN
2022-11-23,100.00,PLN
2022-11-24,100.39,PLN
2022-11-25,100.35,PLN
2022-11-28,99.98,PLN
2022-11-29,100.06,PLN
2022-11-30,100.63,PLN
2022-12-01,101.45,PLN
2022-12-02,101.43,PLN
2022-12-05,100.83,PLN
2022-12-06,100.43,PLN
2022-12-07,100.38,PLN
2022-12-08,100.76,PLN
2022-12-09,100.96,PLN
2022-12-12,100.79,PLN
2022-12-13,101.73,PLN
2022-12-14,101.68,PLN
2022-12-15,100.47,PLN
2022-12-16,100.15,PLN
2022-12-19,99.85,PLN
2022-12-20,99.74,PLN
2022-12-21,100.28,PLN
2022-12-22,99.81,PLN
2022-12-23,99.86,PLN
2022-12-27,100.05,PLN
2022-12-28,99.54,PLN
2022-12-29,100.09,PLN
2022-12-30,99.89,PLN
2023-01-02,100.21,PLN
2023-01-03,100.27,PLN
2023-01-04,100.79,PLN
2023-01-05,100.06,PLN
2023-01-09,102.11,PLN
2023-01-10,101.66,PLN
