Data,Wartość dla NN Indeks Odpowiedzialnego Inwestowania (A),Waluta
2022-01-26,420.97,PLN
2022-01-27,421.37,PLN
2022-01-28,413.09,PLN
2022-01-31,416.97,PLN
2022-02-01,420.36,PLN
2022-02-02,426.11,PLN
2022-02-03,423.25,PLN
2022-02-04,413.71,PLN
2022-02-07,413.46,PLN
2022-02-08,419.87,PLN
2022-02-09,422.35,PLN
2022-02-10,418.38,PLN
2022-02-11,416.19,PLN
2022-02-14,407.04,PLN
2022-02-15,416.29,PLN
2022-02-16,416.77,PLN
2022-02-17,409.40,PLN
2022-02-18,403.89,PLN
2022-02-21,390.66,PLN
2022-02-22,395.61,PLN
2022-02-23,384.49,PLN
2022-02-24,341.28,PLN
2022-02-25,368.38,PLN
2022-02-28,371.95,PLN
2022-03-01,364.83,PLN
2022-03-02,373.78,PLN
2022-03-03,368.30,PLN
2022-03-04,351.26,PLN
2022-03-07,352.79,PLN
2022-03-08,348.32,PLN
2022-03-09,362.19,PLN
2022-03-10,360.87,PLN
2022-03-11,371.05,PLN
2022-03-14,361.89,PLN
2022-03-15,365.89,PLN
2022-03-16,378.50,PLN
2022-03-17,389.29,PLN
2022-03-18,385.80,PLN
2022-03-21,384.46,PLN
2022-03-22,389.16,PLN
2022-03-23,389.32,PLN
2022-03-24,392.93,PLN
2022-03-25,389.58,PLN
2022-03-28,390.35,PLN
2022-03-29,398.37,PLN
2022-03-30,400.20,PLN
2022-03-31,392.93,PLN
2022-04-01,397.81,PLN
2022-04-04,397.29,PLN
2022-04-05,392.12,PLN
2022-04-06,387.92,PLN
2022-04-07,383.12,PLN
2022-04-08,384.14,PLN
2022-04-11,389.15,PLN
2022-04-12,384.65,PLN
2022-04-13,385.75,PLN
2022-04-14,383.59,PLN
2022-04-19,379.38,PLN
2022-04-20,376.52,PLN
2022-04-21,373.50,PLN
2022-04-22,364.79,PLN
2022-04-25,355.99,PLN
2022-04-26,351.90,PLN
2022-04-27,347.07,PLN
2022-04-28,348.12,PLN
2022-04-29,344.14,PLN
2022-05-02,338.92,PLN
2022-05-04,337.31,PLN
2022-05-05,329.68,PLN
2022-05-06,328.76,PLN
2022-05-09,322.38,PLN
2022-05-10,321.49,PLN
2022-05-11,321.57,PLN
2022-05-12,317.34,PLN
2022-05-13,330.34,PLN
2022-05-16,330.05,PLN
2022-05-17,336.92,PLN
2022-05-18,336.49,PLN
2022-05-19,330.96,PLN
2022-05-20,332.11,PLN
2022-05-23,341.63,PLN
2022-05-24,337.10,PLN
2022-05-25,334.45,PLN
2022-05-26,339.09,PLN
2022-05-27,337.51,PLN
2022-05-30,345.51,PLN
2022-05-31,343.08,PLN
2022-06-01,340.25,PLN
2022-06-02,341.21,PLN
2022-06-03,338.48,PLN
2022-06-06,343.15,PLN
2022-06-07,339.51,PLN
2022-06-08,332.85,PLN
2022-06-09,328.46,PLN
2022-06-10,321.41,PLN
2022-06-13,312.78,PLN
2022-06-14,315.36,PLN
2022-06-15,315.65,PLN
2022-06-17,310.95,PLN
2022-06-20,313.74,PLN
2022-06-21,320.81,PLN
2022-06-22,314.22,PLN
2022-06-23,309.82,PLN
2022-06-24,314.74,PLN
2022-06-27,319.77,PLN
2022-06-28,323.95,PLN
2022-06-29,324.40,PLN
2022-06-30,317.27,PLN
2022-07-01,316.76,PLN
2022-07-04,317.09,PLN
2022-07-05,308.74,PLN
2022-07-06,310.72,PLN
2022-07-07,320.64,PLN
2022-07-08,325.52,PLN
2022-07-11,322.43,PLN
2022-07-12,312.97,PLN
2022-07-13,311.49,PLN
2022-07-14,304.67,PLN
2022-07-15,305.85,PLN
2022-07-18,313.99,PLN
2022-07-19,315.68,PLN
2022-07-20,318.70,PLN
2022-07-21,317.16,PLN
2022-07-22,321.33,PLN
2022-07-25,318.75,PLN
2022-07-26,313.56,PLN
2022-07-27,312.70,PLN
2022-07-28,315.26,PLN
2022-07-29,326.17,PLN
2022-08-01,328.16,PLN
2022-08-02,324.34,PLN
2022-08-03,324.23,PLN
2022-08-04,321.28,PLN
2022-08-05,317.74,PLN
2022-08-08,325.30,PLN
2022-08-09,323.59,PLN
2022-08-10,325.23,PLN
2022-08-11,330.63,PLN
2022-08-12,332.36,PLN
2022-08-16,333.35,PLN
2022-08-17,324.52,PLN
2022-08-18,327.15,PLN
2022-08-19,322.07,PLN
2022-08-22,315.67,PLN
2022-08-23,317.41,PLN
2022-08-24,311.55,PLN
2022-08-25,313.99,PLN
2022-08-26,309.09,PLN
2022-08-29,302.64,PLN
2022-08-30,296.11,PLN
2022-08-31,296.12,PLN
2022-09-01,285.50,PLN
2022-09-02,293.33,PLN
2022-09-05,291.20,PLN
2022-09-06,285.03,PLN
2022-09-07,288.01,PLN
2022-09-08,289.90,PLN
2022-09-09,300.34,PLN
2022-09-12,304.45,PLN
2022-09-13,296.72,PLN
2022-09-14,298.23,PLN
2022-09-15,300.25,PLN
2022-09-16,292.02,PLN
2022-09-19,297.01,PLN
2022-09-20,291.85,PLN
2022-09-21,292.93,PLN
2022-09-22,294.76,PLN
2022-09-23,284.41,PLN
2022-09-26,280.04,PLN
2022-09-27,284.50,PLN
2022-09-28,282.07,PLN
2022-09-29,271.45,PLN
2022-09-30,271.62,PLN
2022-10-03,273.54,PLN
2022-10-04,285.02,PLN
2022-10-05,278.96,PLN
2022-10-06,279.38,PLN
2022-10-07,277.04,PLN
2022-10-10,272.21,PLN
2022-10-11,273.45,PLN
2022-10-12,272.68,PLN
2022-10-13,269.41,PLN
2022-10-14,276.03,PLN
2022-10-17,279.00,PLN
2022-10-18,282.23,PLN
2022-10-19,276.78,PLN
2022-10-20,282.05,PLN
2022-10-21,279.09,PLN
2022-10-24,283.03,PLN
2022-10-25,284.99,PLN
2022-10-26,292.80,PLN
2022-10-27,295.92,PLN
2022-10-28,296.67,PLN
2022-10-31,302.48,PLN
2022-11-02,308.45,PLN
2022-11-03,305.52,PLN
2022-11-04,313.84,PLN
2022-11-07,316.76,PLN
2022-11-08,320.59,PLN
2022-11-09,320.51,PLN
2022-11-10,328.05,PLN
2022-11-14,337.24,PLN
2022-11-15,341.54,PLN
2022-11-16,336.40,PLN
2022-11-17,330.84,PLN
2022-11-18,331.31,PLN
2022-11-21,327.07,PLN
2022-11-22,332.61,PLN
2022-11-23,332.14,PLN
2022-11-24,339.28,PLN
2022-11-25,340.25,PLN
2022-11-28,336.21,PLN
2022-11-29,336.97,PLN
2022-11-30,337.29,PLN
2022-12-01,342.19,PLN
2022-12-02,337.79,PLN
2022-12-05,339.13,PLN
2022-12-06,335.71,PLN
2022-12-07,336.04,PLN
2022-12-08,334.09,PLN
2022-12-09,335.07,PLN
2022-12-12,339.50,PLN
2022-12-13,345.13,PLN
2022-12-14,345.70,PLN
2022-12-15,339.15,PLN
2022-12-16,336.51,PLN
2022-12-19,337.08,PLN
2022-12-20,340.86,PLN
2022-12-21,345.33,PLN
2022-12-22,344.41,PLN
2022-12-23,344.15,PLN
2022-12-27,341.22,PLN
2022-12-28,341.60,PLN
2022-12-29,347.83,PLN
2022-12-30,346.41,PLN
2023-01-02,346.80,PLN
2023-01-03,354.21,PLN
2023-01-04,360.50,PLN
2023-01-05,361.30,PLN
2023-01-09,370.77,PLN
2023-01-10,375.10,PLN
2023-01-11,369.96,PLN
2023-01-12,372.72,PLN
2023-01-13,371.02,PLN
2023-01-16,372.87,PLN
2023-01-17,367.13,PLN
2023-01-18,367.58,PLN
2023-01-19,363.95,PLN
2023-01-20,365.12,PLN
2023-01-23,370.11,PLN
2023-01-24,368.86,PLN
2023-01-25,362.17,PLN
2023-01-26,366.63,PLN
