Data,Wartość dla NN Konserwatywny (A),Waluta
2022-01-26,271.60,PLN
2022-01-27,271.57,PLN
2022-01-28,271.52,PLN
2022-01-31,271.51,PLN
2022-02-01,272.02,PLN
2022-02-02,272.08,PLN
2022-02-03,272.15,PLN
2022-02-04,272.17,PLN
2022-02-07,272.09,PLN
2022-02-08,272.09,PLN
2022-02-09,271.95,PLN
2022-02-10,272.04,PLN
2022-02-11,272.04,PLN
2022-02-14,271.62,PLN
2022-02-15,272.07,PLN
2022-02-16,272.72,PLN
2022-02-17,272.79,PLN
2022-02-18,272.64,PLN
2022-02-21,272.63,PLN
2022-02-22,272.52,PLN
2022-02-23,272.58,PLN
2022-02-24,271.82,PLN
2022-02-25,271.98,PLN
2022-02-28,271.62,PLN
2022-03-01,271.05,PLN
2022-03-02,270.85,PLN
2022-03-03,270.77,PLN
2022-03-04,270.29,PLN
2022-03-07,269.36,PLN
2022-03-08,269.74,PLN
2022-03-09,269.62,PLN
2022-03-10,269.52,PLN
2022-03-11,269.59,PLN
2022-03-14,269.37,PLN
2022-03-15,269.60,PLN
2022-03-16,269.18,PLN
2022-03-17,269.47,PLN
2022-03-18,269.50,PLN
2022-03-21,269.36,PLN
2022-03-22,269.26,PLN
2022-03-23,269.16,PLN
2022-03-24,268.82,PLN
2022-03-25,269.03,PLN
2022-03-28,268.92,PLN
2022-03-29,269.30,PLN
2022-03-30,269.18,PLN
2022-03-31,269.19,PLN
2022-04-01,268.86,PLN
2022-04-04,268.76,PLN
2022-04-05,268.64,PLN
2022-04-06,268.54,PLN
2022-04-07,268.03,PLN
2022-04-08,267.52,PLN
2022-04-11,267.27,PLN
2022-04-12,267.50,PLN
2022-04-13,267.92,PLN
2022-04-14,267.89,PLN
2022-04-19,267.66,PLN
2022-04-20,267.79,PLN
2022-04-21,267.85,PLN
2022-04-22,268.00,PLN
2022-04-25,268.11,PLN
2022-04-26,268.45,PLN
2022-04-27,268.27,PLN
2022-04-28,268.28,PLN
2022-04-29,268.27,PLN
2022-05-02,267.54,PLN
2022-05-04,267.52,PLN
2022-05-05,267.61,PLN
2022-05-06,267.54,PLN
2022-05-09,267.63,PLN
2022-05-10,267.81,PLN
2022-05-11,267.85,PLN
2022-05-12,268.28,PLN
2022-05-13,268.53,PLN
2022-05-16,268.96,PLN
2022-05-17,269.39,PLN
2022-05-18,269.36,PLN
2022-05-19,269.41,PLN
2022-05-20,269.50,PLN
2022-05-23,269.63,PLN
2022-05-24,269.77,PLN
2022-05-25,269.89,PLN
2022-05-26,269.98,PLN
2022-05-27,269.88,PLN
2022-05-30,270.00,PLN
2022-05-31,269.93,PLN
2022-06-01,270.34,PLN
2022-06-02,270.16,PLN
2022-06-03,270.17,PLN
2022-06-06,270.32,PLN
2022-06-07,270.57,PLN
2022-06-08,270.48,PLN
2022-06-09,270.27,PLN
2022-06-10,270.02,PLN
2022-06-13,269.27,PLN
2022-06-14,269.04,PLN
2022-06-15,268.82,PLN
2022-06-17,267.95,PLN
2022-06-20,267.59,PLN
2022-06-21,268.03,PLN
2022-06-22,268.46,PLN
2022-06-23,268.55,PLN
2022-06-24,268.54,PLN
2022-06-27,268.07,PLN
2022-06-28,268.59,PLN
2022-06-29,268.65,PLN
2022-06-30,268.62,PLN
2022-07-01,269.10,PLN
2022-07-04,268.84,PLN
2022-07-05,268.62,PLN
2022-07-06,268.46,PLN
2022-07-07,268.46,PLN
2022-07-08,268.87,PLN
2022-07-11,269.12,PLN
2022-07-12,268.86,PLN
2022-07-13,268.62,PLN
2022-07-14,268.62,PLN
2022-07-15,268.90,PLN
2022-07-18,269.30,PLN
2022-07-19,269.80,PLN
2022-07-20,270.01,PLN
2022-07-21,270.71,PLN
2022-07-22,271.28,PLN
2022-07-25,271.40,PLN
2022-07-26,271.53,PLN
2022-07-27,271.54,PLN
2022-07-28,271.33,PLN
2022-07-29,271.63,PLN
2022-08-01,271.64,PLN
2022-08-02,271.45,PLN
2022-08-03,271.28,PLN
