Data,Wartość dla NN Krótkoterminowych Obligacji (A),Waluta
2022-01-26,140.34,PLN
2022-01-27,140.31,PLN
2022-01-28,140.32,PLN
2022-01-31,140.33,PLN
2022-02-01,140.56,PLN
2022-02-02,140.57,PLN
2022-02-03,140.65,PLN
2022-02-04,140.64,PLN
2022-02-07,140.64,PLN
2022-02-08,140.68,PLN
2022-02-09,140.56,PLN
2022-02-10,140.64,PLN
2022-02-11,140.57,PLN
2022-02-14,140.38,PLN
2022-02-15,140.61,PLN
2022-02-16,140.87,PLN
2022-02-17,140.89,PLN
2022-02-18,140.87,PLN
2022-02-21,140.88,PLN
2022-02-22,140.77,PLN
2022-02-23,140.73,PLN
2022-02-24,140.39,PLN
2022-02-25,140.50,PLN
2022-02-28,140.20,PLN
2022-03-01,140.21,PLN
2022-03-02,140.07,PLN
2022-03-03,139.98,PLN
2022-03-04,139.57,PLN
2022-03-07,139.10,PLN
2022-03-08,139.19,PLN
2022-03-09,139.03,PLN
2022-03-10,138.90,PLN
2022-03-11,138.90,PLN
2022-03-14,138.73,PLN
2022-03-15,138.86,PLN
2022-03-16,138.90,PLN
2022-03-17,139.10,PLN
2022-03-18,139.14,PLN
2022-03-21,139.13,PLN
2022-03-22,139.05,PLN
2022-03-23,138.90,PLN
2022-03-24,138.79,PLN
2022-03-25,139.04,PLN
2022-03-28,139.01,PLN
2022-03-29,139.40,PLN
2022-03-30,139.36,PLN
2022-03-31,139.42,PLN
2022-04-01,139.12,PLN
2022-04-04,139.08,PLN
2022-04-05,138.95,PLN
2022-04-06,138.83,PLN
2022-04-07,138.53,PLN
2022-04-08,138.16,PLN
2022-04-11,138.08,PLN
2022-04-12,138.20,PLN
2022-04-13,138.51,PLN
2022-04-14,138.45,PLN
2022-04-19,138.23,PLN
2022-04-20,138.39,PLN
2022-04-21,138.30,PLN
2022-04-22,138.27,PLN
2022-04-25,138.33,PLN
2022-04-26,138.49,PLN
2022-04-27,138.32,PLN
2022-04-28,138.24,PLN
2022-04-29,138.15,PLN
2022-05-02,137.92,PLN
2022-05-04,137.79,PLN
2022-05-05,137.82,PLN
2022-05-06,137.64,PLN
2022-05-09,137.48,PLN
2022-05-10,137.44,PLN
2022-05-11,137.48,PLN
2022-05-12,137.72,PLN
2022-05-13,137.80,PLN
2022-05-16,138.25,PLN
2022-05-17,138.47,PLN
2022-05-18,138.55,PLN
2022-05-19,138.55,PLN
2022-05-20,138.75,PLN
2022-05-23,138.73,PLN
2022-05-24,138.85,PLN
2022-05-25,138.77,PLN
2022-05-26,138.71,PLN
2022-05-27,138.66,PLN
2022-05-30,138.74,PLN
2022-05-31,138.79,PLN
