Data,Wartość dla NN Obligacji (A),Waluta
1999-02-25,100.00,PLN
1999-02-26,100.01,PLN
1999-03-01,100.07,PLN
1999-03-02,100.07,PLN
1999-03-03,100.11,PLN
1999-03-04,100.14,PLN
1999-03-05,100.22,PLN
1999-03-08,100.19,PLN
1999-03-09,100.20,PLN
1999-03-10,100.21,PLN
1999-03-11,100.23,PLN
1999-03-12,100.31,PLN
1999-03-15,100.29,PLN
1999-03-16,100.38,PLN
1999-03-17,100.48,PLN
1999-03-18,100.65,PLN
1999-03-19,100.87,PLN
1999-03-22,100.97,PLN
1999-03-23,101.14,PLN
1999-03-24,100.87,PLN
1999-03-25,101.29,PLN
1999-03-26,101.44,PLN
1999-03-29,101.36,PLN
1999-03-30,101.56,PLN
1999-03-31,101.39,PLN
1999-04-01,101.38,PLN
1999-04-06,101.52,PLN
1999-04-07,101.56,PLN
1999-04-08,101.63,PLN
1999-04-09,101.84,PLN
1999-04-12,101.92,PLN
1999-04-13,102.05,PLN
1999-04-14,102.06,PLN
1999-04-15,102.08,PLN
1999-04-16,102.13,PLN
1999-04-19,102.17,PLN
1999-04-20,101.86,PLN
1999-04-21,101.98,PLN
1999-04-22,101.89,PLN
1999-04-23,101.99,PLN
1999-04-26,102.07,PLN
1999-04-27,101.96,PLN
1999-04-28,101.81,PLN
1999-04-29,101.69,PLN
1999-04-30,101.94,PLN
1999-05-04,102.06,PLN
1999-05-05,102.02,PLN
1999-05-06,102.21,PLN
1999-05-07,102.09,PLN
1999-05-10,102.11,PLN
1999-05-11,102.20,PLN
1999-05-12,102.16,PLN
1999-05-13,102.09,PLN
1999-05-14,102.07,PLN
1999-05-17,102.12,PLN
1999-05-18,102.11,PLN
1999-05-19,102.17,PLN
1999-05-20,102.17,PLN
1999-05-21,102.22,PLN
1999-05-24,102.11,PLN
1999-05-25,102.03,PLN
1999-05-26,101.88,PLN
1999-05-27,102.09,PLN
1999-05-28,101.81,PLN
1999-05-31,101.93,PLN
1999-06-01,102.09,PLN
1999-06-02,102.04,PLN
1999-06-07,102.15,PLN
1999-06-08,102.22,PLN
1999-06-09,102.35,PLN
1999-06-10,102.51,PLN
1999-06-11,102.57,PLN
1999-06-14,102.75,PLN
1999-06-15,102.77,PLN
1999-06-16,102.82,PLN
1999-06-17,102.62,PLN
1999-06-18,102.54,PLN
1999-06-21,102.80,PLN
1999-06-22,102.81,PLN
1999-06-23,102.87,PLN
1999-06-24,102.78,PLN
1999-06-25,102.51,PLN
1999-06-28,102.29,PLN
1999-06-29,102.53,PLN
1999-06-30,102.59,PLN
1999-07-01,102.59,PLN
1999-07-02,102.69,PLN
1999-07-05,102.71,PLN
1999-07-06,102.41,PLN
1999-07-07,102.30,PLN
1999-07-08,102.26,PLN
1999-07-09,102.36,PLN
1999-07-12,102.35,PLN
1999-07-13,102.43,PLN
1999-07-14,102.35,PLN
1999-07-15,102.52,PLN
1999-07-16,102.25,PLN
1999-07-19,102.21,PLN
1999-07-20,102.28,PLN
1999-07-21,102.16,PLN
1999-07-22,101.91,PLN
1999-07-23,101.90,PLN
1999-07-26,101.88,PLN
1999-07-27,102.01,PLN
1999-07-28,102.09,PLN
1999-07-29,102.18,PLN
1999-07-30,101.76,PLN
1999-08-02,101.53,PLN
1999-08-03,101.36,PLN
1999-08-04,101.56,PLN
1999-08-05,101.74,PLN
1999-08-06,101.81,PLN
1999-08-09,101.88,PLN
1999-08-10,101.83,PLN
1999-08-11,102.26,PLN
1999-08-12,102.38,PLN
1999-08-13,102.22,PLN
1999-08-16,102.10,PLN
1999-08-17,102.10,PLN
1999-08-18,102.37,PLN
1999-08-19,102.17,PLN
1999-08-20,102.07,PLN
1999-08-23,102.22,PLN
1999-08-24,102.21,PLN
1999-08-25,102.39,PLN
1999-08-26,102.69,PLN
1999-08-27,102.75,PLN
1999-08-30,102.77,PLN
1999-08-31,102.79,PLN
1999-09-01,102.83,PLN
1999-09-02,102.76,PLN
1999-09-03,102.79,PLN
1999-09-06,102.81,PLN
1999-09-07,102.67,PLN
1999-09-08,102.59,PLN
1999-09-09,102.69,PLN
1999-09-10,102.96,PLN
1999-09-13,102.93,PLN
1999-09-14,102.62,PLN
1999-09-15,102.56,PLN
1999-09-16,102.07,PLN
1999-09-17,102.21,PLN
1999-09-20,102.22,PLN
1999-09-21,102.45,PLN
1999-09-22,102.32,PLN
1999-09-23,102.18,PLN
1999-09-24,102.22,PLN
1999-09-27,102.33,PLN
1999-09-28,102.27,PLN
1999-09-29,101.83,PLN
1999-09-30,101.55,PLN
1999-10-01,101.53,PLN
1999-10-04,101.80,PLN
1999-10-05,101.87,PLN
1999-10-06,101.79,PLN
1999-10-07,101.65,PLN
1999-10-08,101.69,PLN
1999-10-11,102.58,PLN
1999-10-12,102.59,PLN
1999-10-13,102.65,PLN
1999-10-14,102.49,PLN
1999-10-15,102.49,PLN
1999-10-18,102.28,PLN
1999-10-19,102.15,PLN
1999-10-20,102.01,PLN
1999-10-21,101.98,PLN
1999-10-22,102.04,PLN
1999-10-25,102.00,PLN
1999-10-26,102.03,PLN
1999-10-27,101.94,PLN
1999-10-28,101.92,PLN
1999-10-29,101.84,PLN
1999-11-02,101.87,PLN
1999-11-03,101.69,PLN
1999-11-04,101.51,PLN
1999-11-05,101.45,PLN
1999-11-08,102.10,PLN
1999-11-09,101.69,PLN
1999-11-10,101.82,PLN
1999-11-15,101.97,PLN
1999-11-16,102.15,PLN
1999-11-17,102.13,PLN
1999-11-18,102.40,PLN
1999-11-19,102.90,PLN
1999-11-22,103.70,PLN
1999-11-23,103.66,PLN
1999-11-24,103.72,PLN
1999-11-25,103.75,PLN
1999-11-26,103.70,PLN
1999-11-29,103.58,PLN
1999-11-30,103.67,PLN
1999-12-01,103.65,PLN
1999-12-02,103.72,PLN
1999-12-03,103.61,PLN
1999-12-06,103.67,PLN
1999-12-07,103.52,PLN
1999-12-08,103.43,PLN
1999-12-09,103.59,PLN
1999-12-10,103.82,PLN
1999-12-13,103.89,PLN
1999-12-14,103.93,PLN
1999-12-15,103.87,PLN
1999-12-16,103.88,PLN
1999-12-17,104.04,PLN
1999-12-20,104.11,PLN
1999-12-21,104.25,PLN
1999-12-22,104.34,PLN
1999-12-23,104.34,PLN
1999-12-27,104.52,PLN
1999-12-28,104.61,PLN
1999-12-29,105.05,PLN
1999-12-31,105.11,PLN
2000-01-03,104.96,PLN
2000-01-04,104.88,PLN
2000-01-05,104.49,PLN
2000-01-06,104.69,PLN
2000-01-07,104.84,PLN
2000-01-10,104.98,PLN
2000-01-11,105.00,PLN
2000-01-12,104.85,PLN
2000-01-13,104.92,PLN
2000-01-14,104.92,PLN
2000-01-17,105.01,PLN
2000-01-18,104.98,PLN
2000-01-19,104.83,PLN
2000-01-20,104.91,PLN
2000-01-21,105.00,PLN
2000-01-24,105.18,PLN
2000-01-25,105.07,PLN
2000-01-26,104.51,PLN
2000-01-27,104.41,PLN
2000-01-28,104.38,PLN
2000-01-31,104.25,PLN
2000-02-01,103.78,PLN
2000-02-02,104.03,PLN
2000-02-03,103.88,PLN
2000-02-04,103.78,PLN
2000-02-07,103.83,PLN
2000-02-08,103.70,PLN
2000-02-09,103.58,PLN
2000-02-10,103.48,PLN
2000-02-11,103.47,PLN
2000-02-14,103.58,PLN
2000-02-15,103.59,PLN
2000-02-16,103.91,PLN
2000-02-17,104.42,PLN
2000-02-18,104.52,PLN
2000-02-21,104.42,PLN
2000-02-22,104.51,PLN
2000-02-23,104.47,PLN
2000-02-24,104.12,PLN
2000-02-25,103.73,PLN
2000-02-28,103.39,PLN
2000-02-29,103.33,PLN
2000-03-01,103.21,PLN
2000-03-02,103.36,PLN
2000-03-03,103.21,PLN
2000-03-06,103.44,PLN
2000-03-07,103.56,PLN
2000-03-08,103.43,PLN
2000-03-09,103.62,PLN
2000-03-10,103.77,PLN
2000-03-13,103.78,PLN
2000-03-14,103.85,PLN
2000-03-15,104.32,PLN
2000-03-16,104.82,PLN
2000-03-17,104.90,PLN
2000-03-20,105.07,PLN
2000-03-21,105.43,PLN
2000-03-22,106.08,PLN
2000-03-23,106.09,PLN
2000-03-24,106.07,PLN
2000-03-27,106.07,PLN
2000-03-28,106.06,PLN
2000-03-29,105.59,PLN
2000-03-30,105.41,PLN
2000-03-31,105.63,PLN
2000-04-03,105.24,PLN
2000-04-04,105.14,PLN
2000-04-05,105.01,PLN
2000-04-06,105.31,PLN
2000-04-07,105.37,PLN
2000-04-10,105.29,PLN
2000-04-11,105.50,PLN
2000-04-12,106.08,PLN
2000-04-13,106.12,PLN
2000-04-14,106.10,PLN
2000-04-17,105.99,PLN
2000-04-18,105.71,PLN
2000-04-19,105.27,PLN
2000-04-20,105.47,PLN
2000-04-25,105.01,PLN
2000-04-26,105.04,PLN
2000-04-27,105.19,PLN
2000-04-28,105.28,PLN
2000-05-04,104.91,PLN
2000-05-05,104.73,PLN
2000-05-08,105.00,PLN
2000-05-09,104.45,PLN
2000-05-10,105.04,PLN
2000-05-11,104.62,PLN
2000-05-12,104.47,PLN
2000-05-15,104.24,PLN
2000-05-16,104.10,PLN
2000-05-17,104.03,PLN
2000-05-18,104.08,PLN
2000-05-19,103.19,PLN
2000-05-22,102.91,PLN
2000-05-23,102.92,PLN
2000-05-24,102.77,PLN
2000-05-25,102.84,PLN
2000-05-26,102.38,PLN
2000-05-29,102.35,PLN
2000-05-30,102.62,PLN
2000-05-31,102.87,PLN
2000-06-01,103.39,PLN
2000-06-02,103.37,PLN
2000-06-05,103.61,PLN
2000-06-06,103.38,PLN
2000-06-07,103.25,PLN
2000-06-08,103.16,PLN
2000-06-09,103.23,PLN
2000-06-12,103.32,PLN
2000-06-13,103.35,PLN
2000-06-14,103.43,PLN
2000-06-15,103.47,PLN
2000-06-16,103.11,PLN
2000-06-19,102.96,PLN
2000-06-20,103.46,PLN
2000-06-21,103.45,PLN
2000-06-23,103.43,PLN
2000-06-26,103.49,PLN
2000-06-27,103.35,PLN
2000-06-28,103.25,PLN
2000-06-29,103.28,PLN
2000-06-30,103.45,PLN
2000-07-03,104.25,PLN
2000-07-04,104.80,PLN
2000-07-05,105.22,PLN
2000-07-06,105.16,PLN
2000-07-07,104.89,PLN
2000-07-10,104.75,PLN
2000-07-11,104.92,PLN
2000-07-12,105.08,PLN
2000-07-13,104.94,PLN
2000-07-14,104.91,PLN
2000-07-17,104.75,PLN
2000-07-18,104.55,PLN
2000-07-19,104.46,PLN
2000-07-20,104.41,PLN
2000-07-21,105.13,PLN
2000-07-24,105.20,PLN
2000-07-25,104.95,PLN
2000-07-26,104.86,PLN
2000-07-27,105.23,PLN
2000-07-28,105.20,PLN
2000-07-31,105.08,PLN
2000-08-01,105.10,PLN
2000-08-02,105.12,PLN
2000-08-03,105.13,PLN
2000-08-04,105.05,PLN
2000-08-07,105.05,PLN
2000-08-08,105.19,PLN
2000-08-09,105.08,PLN
2000-08-10,105.10,PLN
2000-08-11,105.07,PLN
2000-08-14,105.00,PLN
2000-08-16,105.01,PLN
2000-08-17,104.26,PLN
2000-08-18,104.48,PLN
2000-08-21,104.58,PLN
2000-08-22,104.40,PLN
2000-08-23,104.37,PLN
2000-08-24,104.61,PLN
2000-08-25,104.87,PLN
2000-08-28,104.79,PLN
2000-08-29,104.75,PLN
2000-08-30,104.72,PLN
2000-08-31,105.46,PLN
2000-09-01,105.56,PLN
2000-09-04,105.83,PLN
2000-09-05,105.95,PLN
2000-09-06,106.24,PLN
2000-09-07,106.00,PLN
2000-09-08,105.81,PLN
2000-09-11,105.85,PLN
2000-09-12,105.84,PLN
2000-09-13,105.88,PLN
2000-09-14,106.23,PLN
2000-09-15,106.37,PLN
2000-09-18,106.23,PLN
2000-09-19,106.26,PLN
2000-09-20,106.19,PLN
2000-09-21,106.05,PLN
2000-09-22,105.83,PLN
2000-09-25,105.90,PLN
2000-09-26,105.34,PLN
2000-09-27,104.99,PLN
2000-09-28,104.80,PLN
2000-09-29,104.74,PLN
2000-10-02,104.96,PLN
2000-10-03,104.31,PLN
2000-10-04,104.22,PLN
2000-10-05,104.26,PLN
2000-10-06,104.27,PLN
2000-10-09,104.34,PLN
2000-10-10,103.88,PLN
2000-10-11,103.73,PLN
2000-10-12,103.61,PLN
2000-10-13,102.95,PLN
2000-10-16,103.51,PLN
2000-10-17,103.79,PLN
