Data,Wartość dla NN Obligacji (A),Waluta
2021-02-19,352.94,PLN
2021-02-22,352.97,PLN
2021-02-23,352.88,PLN
2021-02-24,352.66,PLN
2021-02-25,352.29,PLN
2021-02-26,351.89,PLN
2021-03-01,352.29,PLN
2021-03-02,352.20,PLN
2021-03-03,351.99,PLN
2021-03-04,352.06,PLN
2021-03-05,351.57,PLN
2021-03-08,351.50,PLN
2021-03-09,351.60,PLN
2021-03-10,351.77,PLN
2021-03-11,351.94,PLN
2021-03-12,351.59,PLN
2021-03-15,351.76,PLN
2021-03-16,351.59,PLN
2021-03-17,352.04,PLN
2021-03-18,352.06,PLN
2021-03-19,352.11,PLN
2021-03-22,352.21,PLN
2021-03-23,351.99,PLN
2021-03-24,351.89,PLN
2021-03-25,352.04,PLN
2021-03-26,352.01,PLN
2021-03-29,351.98,PLN
2021-03-30,351.59,PLN
2021-03-31,351.53,PLN
2021-04-01,351.25,PLN
2021-04-06,351.30,PLN
2021-04-07,351.70,PLN
2021-04-08,351.57,PLN
2021-04-09,351.41,PLN
2021-04-12,351.54,PLN
2021-04-13,352.06,PLN
2021-04-14,352.07,PLN
2021-04-15,352.36,PLN
2021-04-16,352.46,PLN
2021-04-19,351.90,PLN
2021-04-20,351.97,PLN
2021-04-21,352.02,PLN
2021-04-22,352.18,PLN
2021-04-23,352.09,PLN
2021-04-26,352.70,PLN
2021-04-27,352.43,PLN
2021-04-28,352.25,PLN
2021-04-29,351.77,PLN
2021-04-30,350.91,PLN
2021-05-04,350.85,PLN
2021-05-05,351.16,PLN
2021-05-06,351.09,PLN
2021-05-07,350.88,PLN
2021-05-10,350.88,PLN
2021-05-11,350.29,PLN
2021-05-12,350.62,PLN
2021-05-13,349.17,PLN
2021-05-14,349.56,PLN
2021-05-17,348.74,PLN
2021-05-18,348.91,PLN
2021-05-19,348.99,PLN
2021-05-20,349.33,PLN
2021-05-21,349.19,PLN
2021-05-24,348.94,PLN
2021-05-25,348.82,PLN
2021-05-26,349.14,PLN
2021-05-27,348.72,PLN
2021-05-28,348.60,PLN
2021-05-31,349.02,PLN
2021-06-01,348.35,PLN
2021-06-02,348.62,PLN
2021-06-04,348.52,PLN
2021-06-07,349.07,PLN
2021-06-08,348.86,PLN
2021-06-09,348.75,PLN
2021-06-10,349.02,PLN
2021-06-11,350.06,PLN
2021-06-14,349.87,PLN
2021-06-15,350.11,PLN
2021-06-16,349.99,PLN
2021-06-17,349.48,PLN
2021-06-18,349.75,PLN
2021-06-21,349.53,PLN
2021-06-22,349.15,PLN
2021-06-23,349.15,PLN
2021-06-24,349.17,PLN
2021-06-25,348.80,PLN
2021-06-28,348.83,PLN
2021-06-29,349.14,PLN
2021-06-30,350.73,PLN
2021-07-01,349.48,PLN
2021-07-02,348.96,PLN
2021-07-05,349.32,PLN
2021-07-06,349.99,PLN
2021-07-07,350.86,PLN
2021-07-08,350.91,PLN
2021-07-09,350.59,PLN
