Data,Wartość dla NN Obligacji 2 (A),Waluta
2022-01-26,318.15,PLN
2022-01-27,317.51,PLN
2022-01-28,317.45,PLN
2022-01-31,317.07,PLN
2022-02-01,317.36,PLN
2022-02-02,317.77,PLN
2022-02-03,318.20,PLN
2022-02-04,319.50,PLN
2022-02-07,319.91,PLN
2022-02-08,320.14,PLN
2022-02-09,319.30,PLN
2022-02-10,318.93,PLN
2022-02-11,318.48,PLN
2022-02-14,317.36,PLN
2022-02-15,318.69,PLN
2022-02-16,319.31,PLN
2022-02-17,319.95,PLN
2022-02-18,320.35,PLN
2022-02-21,320.64,PLN
2022-02-22,319.83,PLN
2022-02-23,319.06,PLN
2022-02-24,317.36,PLN
2022-02-25,317.43,PLN
2022-02-28,316.14,PLN
2022-03-01,317.56,PLN
2022-03-02,316.59,PLN
2022-03-03,315.70,PLN
2022-03-04,312.52,PLN
2022-03-07,307.45,PLN
2022-03-08,308.19,PLN
2022-03-09,307.09,PLN
2022-03-10,304.87,PLN
2022-03-11,304.82,PLN
2022-03-14,303.25,PLN
2022-03-15,305.10,PLN
2022-03-16,307.02,PLN
2022-03-17,307.65,PLN
2022-03-18,307.96,PLN
2022-03-21,306.06,PLN
2022-03-22,304.27,PLN
2022-03-23,302.98,PLN
2022-03-24,300.96,PLN
2022-03-25,301.40,PLN
2022-03-28,300.55,PLN
2022-03-29,303.67,PLN
2022-03-30,303.60,PLN
2022-03-31,303.84,PLN
2022-04-01,303.48,PLN
2022-04-04,302.94,PLN
2022-04-05,302.16,PLN
2022-04-06,300.52,PLN
2022-04-07,297.99,PLN
2022-04-08,295.30,PLN
2022-04-11,294.10,PLN
2022-04-12,295.09,PLN
2022-04-13,298.34,PLN
2022-04-14,297.25,PLN
2022-04-19,294.54,PLN
2022-04-20,296.30,PLN
2022-04-21,295.35,PLN
2022-04-22,294.39,PLN
2022-04-25,295.31,PLN
2022-04-26,296.62,PLN
2022-04-27,295.70,PLN
2022-04-28,294.57,PLN
2022-04-29,293.51,PLN
2022-05-02,292.73,PLN
2022-05-04,291.26,PLN
2022-05-05,291.84,PLN
2022-05-06,289.44,PLN
2022-05-09,288.08,PLN
2022-05-10,288.31,PLN
2022-05-11,288.48,PLN
2022-05-12,291.50,PLN
2022-05-13,290.54,PLN
2022-05-16,291.93,PLN
2022-05-17,292.90,PLN
2022-05-18,292.81,PLN
2022-05-19,293.93,PLN
2022-05-20,294.74,PLN
2022-05-23,294.29,PLN
2022-05-24,294.63,PLN
2022-05-25,294.14,PLN
2022-05-26,293.09,PLN
2022-05-27,292.52,PLN
2022-05-30,292.75,PLN
2022-05-31,292.39,PLN
2022-06-01,292.82,PLN
2022-06-02,291.66,PLN
2022-06-03,290.97,PLN
2022-06-06,291.64,PLN
2022-06-07,291.38,PLN
2022-06-08,290.42,PLN
2022-06-09,289.07,PLN
2022-06-10,286.39,PLN
2022-06-13,282.36,PLN
2022-06-14,281.39,PLN
2022-06-15,279.76,PLN
2022-06-17,279.44,PLN
2022-06-20,277.28,PLN
2022-06-21,280.76,PLN
2022-06-22,286.12,PLN
2022-06-23,290.15,PLN
2022-06-24,289.28,PLN
2022-06-27,285.85,PLN
2022-06-28,286.74,PLN
2022-06-29,288.05,PLN
2022-06-30,290.35,PLN
2022-07-01,295.15,PLN
2022-07-04,294.04,PLN
2022-07-05,292.23,PLN
2022-07-06,292.24,PLN
2022-07-07,291.95,PLN
2022-07-08,293.42,PLN
2022-07-11,295.04,PLN
2022-07-12,293.39,PLN
2022-07-13,291.75,PLN
2022-07-14,291.34,PLN
2022-07-15,293.36,PLN
2022-07-18,293.49,PLN
2022-07-19,294.35,PLN
2022-07-20,295.26,PLN
2022-07-21,299.41,PLN
2022-07-22,302.76,PLN
2022-07-25,303.29,PLN
2022-07-26,305.12,PLN
2022-07-27,304.05,PLN
2022-07-28,303.83,PLN
2022-07-29,306.10,PLN
