Data,Wartość dla NN Perspektywa 2025 (A),Waluta
2021-02-19,143.27,PLN
2021-02-22,142.85,PLN
2021-02-23,142.66,PLN
2021-02-24,142.68,PLN
2021-02-25,142.59,PLN
2021-02-26,141.92,PLN
2021-03-01,142.55,PLN
2021-03-02,142.51,PLN
2021-03-03,142.50,PLN
2021-03-04,142.24,PLN
2021-03-05,141.79,PLN
2021-03-08,141.98,PLN
2021-03-09,142.17,PLN
2021-03-10,142.37,PLN
2021-03-11,142.79,PLN
2021-03-12,142.66,PLN
2021-03-15,142.69,PLN
2021-03-16,142.83,PLN
2021-03-17,142.66,PLN
2021-03-18,142.86,PLN
2021-03-19,142.62,PLN
2021-03-22,142.65,PLN
2021-03-23,142.43,PLN
2021-03-24,142.25,PLN
2021-03-25,142.05,PLN
2021-03-26,142.51,PLN
2021-03-29,142.64,PLN
2021-03-30,142.71,PLN
2021-03-31,142.76,PLN
2021-04-01,143.01,PLN
2021-04-06,143.33,PLN
2021-04-07,143.28,PLN
2021-04-08,143.30,PLN
2021-04-09,143.21,PLN
2021-04-12,143.19,PLN
2021-04-13,143.28,PLN
2021-04-14,143.44,PLN
2021-04-15,143.62,PLN
2021-04-16,143.77,PLN
2021-04-19,143.56,PLN
2021-04-20,143.26,PLN
2021-04-21,143.33,PLN
2021-04-22,143.51,PLN
2021-04-23,143.58,PLN
2021-04-26,143.77,PLN
2021-04-27,143.73,PLN
2021-04-28,143.83,PLN
2021-04-29,143.85,PLN
2021-04-30,143.57,PLN
2021-05-04,143.28,PLN
2021-05-05,143.68,PLN
2021-05-06,143.68,PLN
2021-05-07,143.96,PLN
2021-05-10,143.97,PLN
2021-05-11,143.45,PLN
2021-05-12,143.19,PLN
2021-05-13,142.88,PLN
2021-05-14,143.24,PLN
2021-05-17,143.19,PLN
2021-05-18,143.32,PLN
2021-05-19,142.98,PLN
2021-05-20,143.34,PLN
2021-05-21,143.45,PLN
2021-05-24,143.43,PLN
2021-05-25,143.53,PLN
2021-05-26,143.66,PLN
2021-05-27,143.82,PLN
2021-05-28,143.96,PLN
2021-05-31,143.94,PLN
2021-06-01,144.04,PLN
2021-06-02,144.12,PLN
2021-06-04,144.19,PLN
2021-06-07,144.24,PLN
2021-06-08,144.24,PLN
2021-06-09,144.17,PLN
2021-06-10,144.28,PLN
2021-06-11,144.46,PLN
2021-06-14,144.57,PLN
2021-06-15,144.66,PLN
2021-06-16,144.55,PLN
2021-06-17,144.46,PLN
2021-06-18,144.30,PLN
2021-06-21,144.32,PLN
2021-06-22,144.36,PLN
2021-06-23,144.45,PLN
2021-06-24,144.64,PLN
2021-06-25,144.72,PLN
2021-06-28,144.70,PLN
2021-06-29,144.69,PLN
2021-06-30,144.68,PLN
2021-07-01,144.70,PLN
2021-07-02,144.56,PLN
2021-07-05,144.60,PLN
2021-07-06,144.57,PLN
2021-07-07,144.80,PLN
2021-07-08,144.55,PLN
2021-07-09,144.80,PLN
2021-07-12,144.91,PLN
2021-07-13,145.06,PLN
2021-07-14,145.08,PLN
2021-07-15,145.01,PLN
2021-07-16,144.97,PLN
2021-07-19,144.75,PLN
2021-07-20,144.76,PLN
2021-07-21,144.94,PLN
2021-07-22,144.97,PLN
2021-07-23,145.08,PLN
2021-07-26,144.96,PLN
2021-07-27,144.75,PLN
2021-07-28,144.85,PLN
2021-07-29,145.12,PLN
2021-07-30,144.90,PLN
2021-08-02,144.98,PLN
2021-08-03,144.95,PLN
2021-08-04,145.04,PLN
2021-08-05,145.04,PLN
2021-08-06,144.93,PLN
2021-08-09,144.97,PLN
2021-08-10,144.99,PLN
2021-08-11,145.09,PLN
2021-08-12,145.12,PLN
2021-08-13,145.11,PLN
2021-08-16,144.99,PLN
2021-08-17,144.94,PLN
2021-08-18,144.95,PLN
2021-08-19,144.61,PLN
2021-08-20,144.62,PLN
2021-08-23,144.90,PLN
2021-08-24,145.08,PLN
2021-08-25,145.14,PLN
2021-08-26,145.03,PLN
2021-08-27,145.18,PLN
2021-08-30,145.36,PLN
2021-08-31,145.47,PLN
2021-09-01,145.53,PLN
2021-09-02,145.55,PLN
2021-09-03,145.45,PLN
2021-09-06,145.76,PLN
2021-09-07,145.60,PLN
2021-09-08,145.38,PLN
2021-09-09,145.45,PLN
2021-09-10,145.48,PLN
2021-09-13,145.51,PLN
2021-09-14,145.51,PLN
2021-09-15,145.40,PLN
2021-09-16,145.43,PLN
2021-09-17,145.32,PLN
2021-09-20,144.77,PLN
2021-09-21,144.91,PLN
2021-09-22,145.21,PLN
2021-09-23,145.29,PLN
2021-09-24,145.09,PLN
2021-09-27,145.03,PLN
2021-09-28,144.63,PLN
2021-09-29,144.75,PLN
2021-09-30,144.67,PLN
2021-10-01,144.54,PLN
2021-10-04,144.37,PLN
2021-10-05,144.58,PLN
2021-10-06,144.28,PLN
2021-10-07,144.55,PLN
2021-10-08,144.55,PLN
2021-10-11,144.64,PLN
2021-10-12,144.25,PLN
2021-10-13,144.22,PLN
2021-10-14,144.62,PLN
2021-10-15,144.80,PLN
2021-10-18,144.77,PLN
2021-10-19,144.82,PLN
2021-10-20,144.87,PLN
2021-10-21,144.71,PLN
2021-10-22,144.75,PLN
2021-10-25,144.76,PLN
2021-10-26,144.99,PLN
2021-10-27,144.78,PLN
2021-10-28,144.77,PLN
2021-10-29,144.67,PLN
2021-11-02,144.81,PLN
2021-11-03,144.64,PLN
2021-11-04,144.78,PLN
2021-11-05,144.96,PLN
2021-11-08,144.89,PLN
2021-11-09,144.87,PLN
2021-11-10,144.78,PLN
2021-11-12,144.99,PLN
2021-11-15,144.87,PLN
2021-11-16,145.12,PLN
2021-11-17,144.95,PLN
2021-11-18,144.65,PLN
2021-11-19,144.46,PLN
2021-11-22,144.51,PLN
2021-11-23,143.89,PLN
2021-11-24,143.80,PLN
2021-11-25,143.87,PLN
2021-11-26,143.12,PLN
2021-11-29,143.18,PLN
2021-11-30,142.89,PLN
2021-12-01,143.29,PLN
2021-12-02,142.81,PLN
2021-12-03,142.75,PLN
2021-12-06,142.95,PLN
2021-12-07,143.76,PLN
2021-12-08,143.78,PLN
2021-12-09,143.85,PLN
2021-12-10,143.71,PLN
2021-12-13,143.63,PLN
2021-12-14,143.35,PLN
2021-12-15,143.19,PLN
2021-12-16,143.73,PLN
2021-12-17,143.44,PLN
2021-12-20,142.66,PLN
2021-12-21,142.93,PLN
2021-12-22,143.10,PLN
2021-12-23,143.36,PLN
2021-12-27,143.46,PLN
2021-12-28,143.59,PLN
2021-12-29,143.33,PLN
2021-12-30,143.43,PLN
2022-01-03,143.78,PLN
2022-01-04,143.77,PLN
2022-01-05,143.63,PLN
2022-01-07,143.07,PLN
2022-01-10,142.74,PLN
2022-01-11,143.15,PLN
2022-01-12,143.64,PLN
2022-01-13,143.61,PLN
2022-01-14,143.27,PLN
2022-01-17,143.14,PLN
2022-01-18,142.63,PLN
2022-01-19,142.72,PLN
2022-01-20,142.88,PLN
2022-01-21,142.50,PLN
2022-01-24,141.38,PLN
2022-01-25,141.63,PLN
2022-01-26,141.95,PLN
2022-01-27,141.78,PLN
2022-01-28,141.38,PLN
2022-01-31,141.83,PLN
2022-02-01,142.12,PLN
2022-02-02,142.38,PLN
2022-02-03,142.19,PLN
2022-02-04,141.85,PLN
2022-02-07,141.92,PLN
2022-02-08,142.01,PLN
2022-02-09,142.31,PLN
2022-02-10,142.15,PLN
2022-02-11,141.80,PLN
2022-02-14,141.05,PLN
2022-02-15,141.60,PLN
2022-02-16,141.78,PLN
2022-02-17,141.66,PLN
2022-02-18,141.38,PLN
2022-02-21,141.13,PLN
