Data,Wartość dla NN Perspektywa 2035 (A),Waluta
2022-01-26,144.85,PLN
2022-01-27,144.61,PLN
2022-01-28,143.87,PLN
2022-01-31,144.78,PLN
2022-02-01,145.27,PLN
2022-02-02,145.68,PLN
2022-02-03,145.34,PLN
2022-02-04,144.84,PLN
2022-02-07,144.99,PLN
2022-02-08,145.18,PLN
2022-02-09,145.85,PLN
2022-02-10,145.65,PLN
2022-02-11,145.09,PLN
2022-02-14,143.85,PLN
2022-02-15,144.76,PLN
2022-02-16,144.90,PLN
2022-02-17,144.56,PLN
2022-02-18,144.00,PLN
2022-02-21,143.43,PLN
2022-02-22,143.15,PLN
2022-02-23,142.52,PLN
2022-02-24,139.56,PLN
2022-02-25,141.81,PLN
2022-02-28,141.66,PLN
2022-03-01,140.86,PLN
2022-03-02,141.27,PLN
2022-03-03,140.75,PLN
2022-03-04,138.87,PLN
2022-03-07,137.61,PLN
2022-03-08,136.76,PLN
2022-03-09,138.08,PLN
2022-03-10,137.62,PLN
2022-03-11,137.82,PLN
2022-03-14,137.01,PLN
2022-03-15,137.14,PLN
2022-03-16,139.05,PLN
2022-03-17,139.98,PLN
2022-03-18,140.66,PLN
2022-03-21,140.41,PLN
2022-03-22,140.95,PLN
2022-03-23,140.78,PLN
2022-03-24,140.78,PLN
2022-03-25,140.82,PLN
2022-03-28,140.73,PLN
2022-03-29,141.64,PLN
2022-03-30,142.01,PLN
2022-03-31,141.67,PLN
2022-04-01,141.56,PLN
2022-04-04,142.02,PLN
2022-04-05,141.65,PLN
2022-04-06,140.50,PLN
2022-04-07,139.87,PLN
2022-04-08,139.94,PLN
2022-04-11,139.33,PLN
2022-04-12,139.38,PLN
2022-04-13,139.72,PLN
2022-04-14,139.63,PLN
2022-04-19,139.01,PLN
2022-04-20,139.32,PLN
2022-04-21,139.19,PLN
2022-04-22,137.93,PLN
2022-04-25,136.67,PLN
2022-04-26,136.61,PLN
2022-04-27,136.53,PLN
2022-04-28,136.70,PLN
2022-04-29,136.81,PLN
2022-05-02,136.32,PLN
2022-05-04,135.67,PLN
2022-05-05,135.41,PLN
2022-05-06,134.65,PLN
2022-05-09,133.14,PLN
2022-05-10,132.89,PLN
2022-05-11,133.41,PLN
2022-05-12,132.71,PLN
2022-05-13,133.96,PLN
2022-05-16,133.86,PLN
2022-05-17,135.01,PLN
2022-05-18,134.52,PLN
2022-05-19,133.94,PLN
2022-05-20,134.30,PLN
2022-05-23,134.87,PLN
2022-05-24,134.31,PLN
2022-05-25,134.61,PLN
2022-05-26,135.30,PLN
2022-05-27,135.88,PLN
2022-05-30,136.45,PLN
2022-05-31,136.39,PLN
2022-06-01,136.10,PLN
2022-06-02,136.06,PLN
2022-06-03,135.94,PLN
2022-06-06,136.50,PLN
2022-06-07,136.27,PLN
2022-06-08,136.18,PLN
2022-06-09,135.42,PLN
2022-06-10,133.68,PLN
2022-06-13,131.67,PLN
2022-06-14,131.20,PLN
2022-06-15,131.38,PLN
2022-06-17,130.55,PLN
2022-06-20,130.51,PLN
2022-06-21,131.30,PLN
2022-06-22,131.34,PLN
2022-06-23,131.55,PLN
2022-06-24,132.38,PLN
2022-06-27,132.61,PLN
2022-06-28,132.77,PLN
2022-06-29,132.36,PLN
2022-06-30,131.76,PLN
2022-07-01,132.22,PLN
2022-07-04,132.31,PLN
2022-07-05,131.49,PLN
2022-07-06,131.67,PLN
2022-07-07,132.66,PLN
2022-07-08,133.38,PLN
2022-07-11,133.03,PLN
2022-07-12,132.48,PLN
2022-07-13,131.92,PLN
2022-07-14,131.28,PLN
2022-07-15,131.85,PLN
2022-07-18,132.82,PLN
2022-07-19,133.21,PLN
2022-07-20,133.71,PLN
2022-07-21,134.34,PLN
2022-07-22,134.89,PLN
2022-07-25,134.83,PLN
2022-07-26,134.62,PLN
2022-07-27,134.83,PLN
2022-07-28,135.33,PLN
2022-07-29,136.13,PLN
2022-08-01,136.44,PLN
2022-08-02,135.94,PLN
2022-08-03,135.99,PLN
2022-08-04,136.39,PLN
2022-08-05,136.33,PLN
2022-08-08,136.92,PLN
2022-08-09,136.51,PLN
2022-08-10,137.09,PLN
2022-08-11,137.64,PLN
2022-08-12,137.84,PLN
2022-08-16,138.00,PLN
2022-08-17,137.50,PLN
2022-08-18,137.49,PLN
2022-08-19,136.66,PLN
2022-08-22,135.82,PLN
2022-08-23,135.53,PLN
2022-08-24,135.32,PLN
2022-08-25,135.83,PLN
2022-08-26,135.40,PLN
2022-08-29,134.76,PLN
2022-08-30,134.23,PLN
2022-08-31,134.05,PLN
2022-09-01,133.06,PLN
2022-09-02,134.01,PLN
2022-09-05,133.48,PLN
2022-09-06,133.20,PLN
2022-09-07,133.32,PLN
2022-09-08,133.93,PLN
2022-09-09,134.68,PLN
2022-09-12,135.71,PLN
2022-09-13,134.67,PLN
2022-09-14,134.07,PLN
2022-09-15,133.79,PLN
2022-09-16,132.88,PLN
2022-09-19,132.99,PLN
2022-09-20,132.84,PLN
2022-09-21,132.92,PLN
2022-09-22,132.03,PLN
2022-09-23,130.65,PLN
2022-09-26,129.70,PLN
2022-09-27,129.67,PLN
2022-09-28,129.35,PLN
2022-09-29,128.40,PLN
2022-09-30,128.75,PLN
2022-10-03,129.07,PLN
2022-10-04,130.75,PLN
2022-10-05,130.19,PLN
2022-10-06,130.37,PLN
2022-10-07,129.38,PLN
2022-10-10,128.63,PLN
2022-10-11,127.92,PLN
2022-10-12,127.37,PLN
2022-10-13,127.52,PLN
2022-10-14,127.93,PLN
2022-10-17,128.16,PLN
2022-10-18,128.12,PLN
2022-10-19,127.34,PLN
2022-10-20,127.47,PLN
2022-10-21,126.99,PLN
2022-10-24,127.65,PLN
2022-10-25,128.34,PLN
2022-10-26,129.47,PLN
2022-10-27,129.40,PLN
2022-10-28,129.13,PLN
2022-10-31,129.16,PLN
2022-11-02,129.64,PLN
2022-11-03,129.11,PLN
2022-11-04,130.13,PLN
2022-11-07,130.79,PLN
2022-11-08,131.35,PLN
2022-11-09,131.51,PLN
2022-11-10,133.47,PLN
2022-11-14,134.28,PLN
2022-11-15,135.33,PLN
2022-11-16,134.41,PLN
2022-11-17,133.72,PLN
2022-11-18,134.15,PLN
2022-11-21,133.91,PLN
2022-11-22,134.38,PLN
2022-11-23,134.96,PLN
2022-11-24,135.58,PLN
2022-11-25,135.54,PLN
2022-11-28,135.14,PLN
2022-11-29,135.35,PLN
2022-11-30,135.93,PLN
2022-12-01,136.97,PLN
2022-12-02,136.73,PLN
2022-12-05,136.35,PLN
2022-12-06,135.96,PLN
2022-12-07,135.89,PLN
2022-12-08,136.25,PLN
2022-12-09,136.55,PLN
2022-12-12,136.36,PLN
2022-12-13,137.52,PLN
2022-12-14,137.67,PLN
2022-12-15,136.51,PLN
2022-12-16,135.89,PLN
2022-12-19,135.79,PLN
2022-12-20,135.82,PLN
2022-12-21,136.43,PLN
2022-12-22,136.06,PLN
2022-12-23,136.04,PLN
2022-12-27,135.98,PLN
2022-12-28,136.03,PLN
2022-12-29,136.41,PLN
2022-12-30,136.16,PLN
2023-01-02,136.30,PLN
2023-01-03,136.99,PLN
2023-01-04,137.97,PLN
2023-01-05,138.50,PLN
2023-01-09,140.75,PLN
2023-01-10,140.34,PLN
2023-01-11,140.69,PLN
2023-01-12,141.14,PLN
2023-01-13,141.12,PLN
2023-01-16,141.36,PLN
2023-01-17,141.30,PLN
2023-01-18,141.43,PLN
2023-01-19,140.93,PLN
2023-01-20,141.31,PLN
2023-01-23,141.88,PLN
2023-01-24,142.04,PLN
2023-01-25,141.67,PLN
2023-01-26,142.58,PLN
