Data,Wartość dla NN Polski Odpowiedzialnego Inwestowania (A),Waluta
2022-01-26,193.47,PLN
2022-01-27,193.11,PLN
2022-01-28,190.46,PLN
2022-01-31,192.71,PLN
2022-02-01,194.02,PLN
2022-02-02,195.91,PLN
2022-02-03,194.11,PLN
2022-02-04,190.76,PLN
2022-02-07,191.04,PLN
2022-02-08,192.82,PLN
2022-02-09,193.98,PLN
2022-02-10,191.64,PLN
2022-02-11,190.36,PLN
2022-02-14,186.86,PLN
2022-02-15,189.63,PLN
2022-02-16,189.31,PLN
2022-02-17,186.30,PLN
2022-02-18,184.31,PLN
2022-02-21,178.66,PLN
2022-02-22,179.46,PLN
2022-02-23,176.16,PLN
2022-02-24,159.72,PLN
2022-02-25,171.07,PLN
2022-02-28,170.81,PLN
2022-03-01,165.94,PLN
2022-03-02,168.66,PLN
2022-03-03,166.21,PLN
2022-03-04,158.39,PLN
2022-03-07,158.96,PLN
2022-03-08,156.72,PLN
2022-03-09,162.92,PLN
2022-03-10,161.39,PLN
2022-03-11,165.90,PLN
2022-03-14,162.97,PLN
2022-03-15,164.23,PLN
2022-03-16,169.36,PLN
2022-03-17,172.92,PLN
2022-03-18,172.59,PLN
2022-03-21,172.22,PLN
2022-03-22,174.57,PLN
2022-03-23,174.42,PLN
2022-03-24,176.11,PLN
2022-03-25,175.51,PLN
2022-03-28,175.41,PLN
2022-03-29,178.53,PLN
2022-03-30,178.64,PLN
2022-03-31,176.20,PLN
2022-04-01,177.96,PLN
2022-04-04,178.68,PLN
2022-04-05,176.76,PLN
2022-04-06,175.04,PLN
2022-04-07,173.63,PLN
2022-04-08,174.39,PLN
2022-04-11,175.24,PLN
2022-04-12,174.48,PLN
2022-04-13,174.86,PLN
2022-04-14,174.09,PLN
2022-04-19,172.98,PLN
2022-04-20,172.41,PLN
2022-04-21,172.00,PLN
2022-04-22,168.41,PLN
2022-04-25,164.40,PLN
2022-04-26,162.59,PLN
2022-04-27,161.29,PLN
2022-04-28,161.66,PLN
2022-04-29,160.10,PLN
2022-05-02,158.38,PLN
2022-05-04,157.92,PLN
2022-05-05,154.76,PLN
2022-05-06,154.27,PLN
2022-05-09,150.74,PLN
2022-05-10,150.36,PLN
2022-05-11,150.60,PLN
2022-05-12,148.95,PLN
2022-05-13,154.32,PLN
2022-05-16,153.73,PLN
2022-05-17,156.64,PLN
2022-05-18,156.12,PLN
2022-05-19,154.17,PLN
2022-05-20,154.62,PLN
2022-05-23,158.09,PLN
2022-05-24,156.17,PLN
2022-05-25,155.21,PLN
2022-05-26,156.71,PLN
2022-05-27,156.23,PLN
2022-05-30,158.99,PLN
2022-05-31,158.59,PLN
2022-06-01,157.76,PLN
2022-06-02,158.62,PLN
2022-06-03,157.65,PLN
2022-06-06,159.22,PLN
2022-06-07,157.82,PLN
2022-06-08,155.57,PLN
2022-06-09,153.59,PLN
2022-06-10,150.61,PLN
2022-06-13,146.56,PLN
2022-06-14,146.76,PLN
2022-06-15,146.95,PLN
2022-06-17,145.00,PLN
2022-06-20,146.61,PLN
2022-06-21,149.60,PLN
2022-06-22,147.35,PLN
2022-06-23,145.96,PLN
2022-06-24,147.53,PLN
2022-06-27,149.36,PLN
2022-06-28,151.33,PLN
2022-06-29,151.79,PLN
2022-06-30,149.01,PLN
2022-07-01,149.31,PLN
2022-07-04,149.32,PLN
2022-07-05,146.82,PLN
2022-07-06,147.62,PLN
2022-07-07,151.84,PLN
2022-07-08,153.75,PLN
2022-07-11,153.14,PLN
2022-07-12,149.13,PLN
2022-07-13,148.70,PLN
2022-07-14,145.83,PLN
2022-07-15,146.68,PLN
2022-07-18,149.42,PLN
2022-07-19,149.64,PLN
2022-07-20,151.15,PLN
2022-07-21,151.32,PLN
2022-07-22,152.81,PLN
2022-07-25,151.99,PLN
2022-07-26,149.79,PLN
2022-07-27,150.36,PLN
2022-07-28,151.50,PLN
2022-07-29,155.99,PLN
2022-08-01,156.70,PLN
2022-08-02,155.68,PLN
2022-08-03,156.35,PLN
2022-08-04,155.69,PLN
2022-08-05,154.23,PLN
2022-08-08,156.51,PLN
2022-08-09,155.85,PLN
2022-08-10,157.07,PLN
2022-08-11,158.79,PLN
2022-08-12,159.91,PLN
