Data,Wartość dla NN Średnich i Małych Spółek (A),Waluta
2022-01-26,289.29,PLN
2022-01-27,290.25,PLN
2022-01-28,287.80,PLN
2022-01-31,287.91,PLN
2022-02-01,291.00,PLN
2022-02-02,294.08,PLN
2022-02-03,294.67,PLN
2022-02-04,292.58,PLN
2022-02-07,293.06,PLN
2022-02-08,294.07,PLN
2022-02-09,293.71,PLN
2022-02-10,292.58,PLN
2022-02-11,291.71,PLN
2022-02-14,283.58,PLN
2022-02-15,288.56,PLN
2022-02-16,288.84,PLN
2022-02-17,283.53,PLN
2022-02-18,283.27,PLN
2022-02-21,275.94,PLN
2022-02-22,277.76,PLN
2022-02-23,273.99,PLN
2022-02-24,247.21,PLN
2022-02-25,261.54,PLN
2022-02-28,262.46,PLN
2022-03-01,257.38,PLN
2022-03-02,262.05,PLN
2022-03-03,261.32,PLN
2022-03-04,253.20,PLN
2022-03-07,251.85,PLN
2022-03-08,249.69,PLN
2022-03-09,255.71,PLN
2022-03-10,256.03,PLN
2022-03-11,259.64,PLN
2022-03-14,258.10,PLN
2022-03-15,257.77,PLN
2022-03-16,263.40,PLN
2022-03-17,267.73,PLN
2022-03-18,268.58,PLN
2022-03-21,270.70,PLN
2022-03-22,272.40,PLN
2022-03-23,272.62,PLN
2022-03-24,275.63,PLN
2022-03-25,275.65,PLN
2022-03-28,274.94,PLN
2022-03-29,273.44,PLN
2022-03-30,276.10,PLN
2022-03-31,275.55,PLN
2022-04-01,277.17,PLN
2022-04-04,278.94,PLN
2022-04-05,278.98,PLN
2022-04-06,275.05,PLN
2022-04-07,273.78,PLN
2022-04-08,274.80,PLN
2022-04-11,275.17,PLN
2022-04-12,274.58,PLN
2022-04-13,274.56,PLN
2022-04-14,273.69,PLN
2022-04-19,273.36,PLN
2022-04-20,273.16,PLN
2022-04-21,272.41,PLN
2022-04-22,268.51,PLN
2022-04-25,264.01,PLN
2022-04-26,262.23,PLN
2022-04-27,259.03,PLN
2022-04-28,261.12,PLN
2022-04-29,261.42,PLN
2022-05-02,259.46,PLN
2022-05-04,261.02,PLN
2022-05-05,257.64,PLN
2022-05-06,255.20,PLN
2022-05-09,249.94,PLN
2022-05-10,249.13,PLN
2022-05-11,249.15,PLN
2022-05-12,245.18,PLN
2022-05-13,251.83,PLN
2022-05-16,253.30,PLN
2022-05-17,255.21,PLN
2022-05-18,255.07,PLN
2022-05-19,253.50,PLN
2022-05-20,253.44,PLN
2022-05-23,257.37,PLN
2022-05-24,256.15,PLN
2022-05-25,255.63,PLN
2022-05-26,256.75,PLN
2022-05-27,256.88,PLN
2022-05-30,259.20,PLN
2022-05-31,258.60,PLN
2022-06-01,259.19,PLN
2022-06-02,258.87,PLN
2022-06-03,258.27,PLN
2022-06-06,259.60,PLN
2022-06-07,259.10,PLN
2022-06-08,255.65,PLN
2022-06-09,252.87,PLN
2022-06-10,250.00,PLN
2022-06-13,243.32,PLN
2022-06-14,242.18,PLN
2022-06-15,242.65,PLN
2022-06-17,240.86,PLN
2022-06-20,244.07,PLN
2022-06-21,248.01,PLN
2022-06-22,244.22,PLN
2022-06-23,242.19,PLN
2022-06-24,243.23,PLN
2022-06-27,246.36,PLN
2022-06-28,247.86,PLN
2022-06-29,251.50,PLN
2022-06-30,247.59,PLN
2022-07-01,248.32,PLN
2022-07-04,247.08,PLN
2022-07-05,241.99,PLN
2022-07-06,239.40,PLN
2022-07-07,247.48,PLN
2022-07-08,248.95,PLN
2022-07-11,249.42,PLN
2022-07-12,245.12,PLN
2022-07-13,243.92,PLN
2022-07-14,241.78,PLN
2022-07-15,243.12,PLN
2022-07-18,245.57,PLN
2022-07-19,245.99,PLN
2022-07-20,248.18,PLN
2022-07-21,246.95,PLN
2022-07-22,249.07,PLN
2022-07-25,247.81,PLN
2022-07-26,244.31,PLN
2022-07-27,244.51,PLN
2022-07-28,245.98,PLN
2022-07-29,252.25,PLN
2022-08-01,252.60,PLN
2022-08-02,251.65,PLN
2022-08-03,255.77,PLN
2022-08-04,254.15,PLN
2022-08-05,253.48,PLN
2022-08-08,255.78,PLN
2022-08-09,254.58,PLN
2022-08-10,254.73,PLN
2022-08-11,256.86,PLN
2022-08-12,257.76,PLN
2022-08-16,259.37,PLN
2022-08-17,256.51,PLN
2022-08-18,257.16,PLN
2022-08-19,252.72,PLN
2022-08-22,247.82,PLN
2022-08-23,247.14,PLN
2022-08-24,244.48,PLN
2022-08-25,245.43,PLN
2022-08-26,243.93,PLN
2022-08-29,238.86,PLN
2022-08-30,236.68,PLN
2022-08-31,237.58,PLN
2022-09-01,234.27,PLN
2022-09-02,238.35,PLN
2022-09-05,237.84,PLN
2022-09-06,236.27,PLN
2022-09-07,237.05,PLN
2022-09-08,238.67,PLN
2022-09-09,241.74,PLN
2022-09-12,241.97,PLN
2022-09-13,237.45,PLN
