Data,Wartość dla NN Stabilnego Wzrostu (A),Waluta
2022-01-26,292.75,PLN
2022-01-27,292.54,PLN
2022-01-28,290.99,PLN
2022-01-31,291.78,PLN
2022-02-01,292.64,PLN
2022-02-02,293.83,PLN
2022-02-03,293.21,PLN
2022-02-04,291.98,PLN
2022-02-07,292.33,PLN
2022-02-08,293.31,PLN
2022-02-09,293.45,PLN
2022-02-10,292.53,PLN
2022-02-11,291.77,PLN
2022-02-14,289.22,PLN
2022-02-15,291.56,PLN
2022-02-16,291.73,PLN
2022-02-17,290.33,PLN
2022-02-18,289.47,PLN
2022-02-21,286.84,PLN
2022-02-22,287.00,PLN
2022-02-23,284.77,PLN
2022-02-24,274.71,PLN
2022-02-25,280.83,PLN
2022-02-28,280.35,PLN
2022-03-01,278.99,PLN
2022-03-02,280.44,PLN
2022-03-03,278.76,PLN
2022-03-04,273.35,PLN
2022-03-07,271.11,PLN
2022-03-08,270.67,PLN
2022-03-09,272.96,PLN
2022-03-10,271.56,PLN
2022-03-11,273.77,PLN
2022-03-14,270.92,PLN
2022-03-15,272.38,PLN
2022-03-16,276.02,PLN
2022-03-17,278.71,PLN
2022-03-18,278.51,PLN
2022-03-21,277.46,PLN
2022-03-22,278.09,PLN
2022-03-23,277.70,PLN
2022-03-24,278.03,PLN
2022-03-25,277.84,PLN
2022-03-28,277.50,PLN
2022-03-29,280.68,PLN
2022-03-30,280.87,PLN
2022-03-31,279.51,PLN
2022-04-01,279.96,PLN
2022-04-04,279.88,PLN
2022-04-05,278.40,PLN
2022-04-06,276.56,PLN
2022-04-07,274.41,PLN
2022-04-08,273.58,PLN
2022-04-11,273.92,PLN
2022-04-12,273.70,PLN
2022-04-13,275.77,PLN
2022-04-14,274.81,PLN
2022-04-19,272.98,PLN
2022-04-20,273.44,PLN
2022-04-21,272.50,PLN
2022-04-22,269.83,PLN
2022-04-25,268.04,PLN
2022-04-26,267.81,PLN
2022-04-27,266.58,PLN
2022-04-28,266.14,PLN
2022-04-29,264.97,PLN
2022-05-02,263.34,PLN
2022-05-04,262.40,PLN
2022-05-05,260.97,PLN
2022-05-06,259.51,PLN
2022-05-09,256.53,PLN
2022-05-10,256.40,PLN
2022-05-11,256.78,PLN
2022-05-12,257.20,PLN
2022-05-13,259.83,PLN
2022-05-16,260.88,PLN
2022-05-17,263.14,PLN
2022-05-18,263.12,PLN
2022-05-19,263.12,PLN
2022-05-20,264.19,PLN
2022-05-23,265.73,PLN
2022-05-24,264.85,PLN
2022-05-25,263.89,PLN
2022-05-26,264.14,PLN
2022-05-27,263.58,PLN
2022-05-30,265.22,PLN
2022-05-31,264.45,PLN
2022-06-01,264.57,PLN
2022-06-02,264.85,PLN
2022-06-03,264.08,PLN
2022-06-06,265.33,PLN
2022-06-07,264.59,PLN
2022-06-08,262.84,PLN
2022-06-09,261.15,PLN
2022-06-10,258.33,PLN
2022-06-13,254.16,PLN
2022-06-14,254.16,PLN
2022-06-15,253.48,PLN
2022-06-17,252.04,PLN
2022-06-20,251.49,PLN
2022-06-21,254.89,PLN
2022-06-22,255.91,PLN
2022-06-23,256.83,PLN
2022-06-24,257.33,PLN
2022-06-27,256.99,PLN
2022-06-28,258.73,PLN
2022-06-29,259.47,PLN
2022-06-30,258.95,PLN
2022-07-01,260.72,PLN
2022-07-04,260.10,PLN
2022-07-05,257.22,PLN
2022-07-06,257.27,PLN
2022-07-07,259.77,PLN
2022-07-08,261.70,PLN
2022-07-11,261.86,PLN
2022-07-12,258.71,PLN
2022-07-13,257.54,PLN
2022-07-14,255.70,PLN
2022-07-15,256.99,PLN
2022-07-18,258.98,PLN
