Data,Wartość dla NN Zrównoważony (A),Waluta
2022-01-26,378.48,PLN
2022-01-27,378.26,PLN
2022-01-28,375.02,PLN
2022-01-31,377.06,PLN
2022-02-01,378.59,PLN
2022-02-02,380.97,PLN
2022-02-03,379.49,PLN
2022-02-04,376.59,PLN
2022-02-07,377.07,PLN
2022-02-08,379.06,PLN
2022-02-09,379.80,PLN
2022-02-10,377.99,PLN
2022-02-11,376.44,PLN
2022-02-14,372.03,PLN
2022-02-15,376.19,PLN
2022-02-16,376.16,PLN
2022-02-17,373.05,PLN
2022-02-18,371.07,PLN
2022-02-21,365.51,PLN
2022-02-22,366.16,PLN
2022-02-23,361.82,PLN
2022-02-24,342.49,PLN
2022-02-25,355.04,PLN
2022-02-28,355.00,PLN
2022-03-01,351.39,PLN
2022-03-02,354.80,PLN
2022-03-03,351.86,PLN
2022-03-04,342.38,PLN
2022-03-07,340.29,PLN
2022-03-08,338.96,PLN
2022-03-09,344.56,PLN
2022-03-10,343.00,PLN
2022-03-11,347.72,PLN
2022-03-14,342.79,PLN
2022-03-15,344.77,PLN
2022-03-16,351.65,PLN
2022-03-17,356.93,PLN
2022-03-18,356.17,PLN
2022-03-21,355.37,PLN
2022-03-22,357.50,PLN
2022-03-23,356.91,PLN
2022-03-24,358.70,PLN
2022-03-25,358.02,PLN
2022-03-28,358.15,PLN
2022-03-29,363.01,PLN
2022-03-30,363.47,PLN
2022-03-31,360.34,PLN
2022-04-01,361.98,PLN
2022-04-04,361.98,PLN
2022-04-05,359.44,PLN
2022-04-06,356.59,PLN
2022-04-07,353.58,PLN
2022-04-08,353.32,PLN
2022-04-11,354.75,PLN
2022-04-12,353.80,PLN
2022-04-13,356.05,PLN
2022-04-14,354.76,PLN
2022-04-19,352.21,PLN
2022-04-20,352.14,PLN
2022-04-21,350.85,PLN
2022-04-22,345.99,PLN
2022-04-25,341.81,PLN
2022-04-26,340.28,PLN
2022-04-27,338.43,PLN
2022-04-28,338.27,PLN
2022-04-29,336.28,PLN
2022-05-02,333.56,PLN
2022-05-04,332.47,PLN
2022-05-05,329.04,PLN
2022-05-06,327.32,PLN
2022-05-09,321.94,PLN
2022-05-10,321.58,PLN
2022-05-11,322.25,PLN
2022-05-12,321.46,PLN
2022-05-13,327.17,PLN
2022-05-16,328.00,PLN
2022-05-17,332.13,PLN
2022-05-18,331.99,PLN
2022-05-19,331.34,PLN
2022-05-20,333.18,PLN
2022-05-23,336.67,PLN
2022-05-24,334.72,PLN
2022-05-25,333.18,PLN
2022-05-26,334.50,PLN
2022-05-27,333.69,PLN
2022-05-30,337.04,PLN
2022-05-31,335.74,PLN
2022-06-01,335.49,PLN
2022-06-02,336.46,PLN
2022-06-03,335.38,PLN
2022-06-06,337.75,PLN
2022-06-07,336.17,PLN
2022-06-08,333.00,PLN
2022-06-09,330.20,PLN
2022-06-10,325.53,PLN
2022-06-13,319.23,PLN
2022-06-14,319.44,PLN
2022-06-15,319.10,PLN
2022-06-17,316.76,PLN
2022-06-20,316.92,PLN
2022-06-21,322.27,PLN
2022-06-22,321.74,PLN
2022-06-23,321.39,PLN
2022-06-24,322.97,PLN
2022-06-27,324.00,PLN
2022-06-28,326.69,PLN
2022-06-29,327.78,PLN
2022-06-30,325.32,PLN
2022-07-01,327.35,PLN
2022-07-04,326.65,PLN
2022-07-05,321.79,PLN
2022-07-06,322.01,PLN
2022-07-07,327.59,PLN
2022-07-08,330.45,PLN
2022-07-11,329.82,PLN
2022-07-12,324.48,PLN
2022-07-13,323.21,PLN
2022-07-14,319.67,PLN
2022-07-15,321.37,PLN
2022-07-18,325.28,PLN
2022-07-19,326.25,PLN
2022-07-20,328.35,PLN
2022-07-21,329.51,PLN
2022-07-22,332.87,PLN
2022-07-25,331.65,PLN
2022-07-26,330.09,PLN
2022-07-27,329.99,PLN
2022-07-28,331.20,PLN
2022-07-29,337.57,PLN
2022-08-01,338.72,PLN
2022-08-02,336.09,PLN
2022-08-03,335.82,PLN
2022-08-04,335.37,PLN
2022-08-05,334.21,PLN
2022-08-08,337.51,PLN
2022-08-09,336.29,PLN
2022-08-10,337.97,PLN
2022-08-11,340.28,PLN
2022-08-12,341.56,PLN
2022-08-16,341.31,PLN
2022-08-17,336.48,PLN
2022-08-18,337.24,PLN
2022-08-19,333.84,PLN
2022-08-22,330.05,PLN
2022-08-23,330.32,PLN
2022-08-24,327.39,PLN
2022-08-25,329.04,PLN
2022-08-26,326.99,PLN
2022-08-29,323.49,PLN
2022-08-30,321.30,PLN
2022-08-31,321.04,PLN
2022-09-01,316.22,PLN
2022-09-02,320.92,PLN
2022-09-05,319.47,PLN
2022-09-06,316.63,PLN
2022-09-07,318.40,PLN
2022-09-08,319.74,PLN
2022-09-09,324.53,PLN
2022-09-12,327.36,PLN
2022-09-13,323.00,PLN
2022-09-14,322.94,PLN
2022-09-15,323.28,PLN
2022-09-16,319.04,PLN
2022-09-19,321.51,PLN
2022-09-20,318.92,PLN
2022-09-21,320.04,PLN
2022-09-22,319.82,PLN
2022-09-23,313.03,PLN
2022-09-26,309.75,PLN
2022-09-27,311.71,PLN
2022-09-28,309.90,PLN
2022-09-29,303.77,PLN
2022-09-30,304.24,PLN
2022-10-03,305.50,PLN
2022-10-04,311.80,PLN
2022-10-05,308.05,PLN
2022-10-06,308.93,PLN
2022-10-07,307.08,PLN
2022-10-10,303.80,PLN
2022-10-11,302.88,PLN
2022-10-12,300.67,PLN
2022-10-13,300.39,PLN
2022-10-14,303.54,PLN
2022-10-17,303.99,PLN
2022-10-18,304.65,PLN
2022-10-19,300.38,PLN
2022-10-20,302.10,PLN
2022-10-21,300.02,PLN
2022-10-24,303.41,PLN
2022-10-25,306.08,PLN
2022-10-26,310.94,PLN
2022-10-27,312.25,PLN
2022-10-28,311.47,PLN
2022-10-31,313.24,PLN
2022-11-02,317.15,PLN
2022-11-03,315.41,PLN
2022-11-04,320.98,PLN
2022-11-07,323.12,PLN
2022-11-08,326.09,PLN
2022-11-09,326.35,PLN
2022-11-10,333.53,PLN
2022-11-14,337.28,PLN
2022-11-15,340.52,PLN
2022-11-16,337.65,PLN
2022-11-17,334.03,PLN
2022-11-18,335.06,PLN
2022-11-21,333.41,PLN
2022-11-22,337.52,PLN
2022-11-23,337.46,PLN
2022-11-24,341.05,PLN
2022-11-25,340.97,PLN
2022-11-28,339.43,PLN
2022-11-29,340.24,PLN
2022-11-30,341.30,PLN
2022-12-01,345.04,PLN
2022-12-02,343.62,PLN
2022-12-05,342.79,PLN
2022-12-06,341.37,PLN
2022-12-07,341.86,PLN
2022-12-08,341.43,PLN
2022-12-09,342.29,PLN
2022-12-12,344.13,PLN
2022-12-13,347.64,PLN
2022-12-14,348.83,PLN
2022-12-15,345.34,PLN
2022-12-16,343.75,PLN
2022-12-19,343.47,PLN
2022-12-20,345.11,PLN
2022-12-21,347.37,PLN
2022-12-22,346.33,PLN
2022-12-23,345.96,PLN
2022-12-27,344.36,PLN
2022-12-28,344.50,PLN
2022-12-29,346.96,PLN
2022-12-30,346.65,PLN
2023-01-02,347.76,PLN
2023-01-03,352.10,PLN
2023-01-04,356.23,PLN
2023-01-05,357.42,PLN
2023-01-09,365.45,PLN
2023-01-10,365.92,PLN
2023-01-11,364.51,PLN
2023-01-12,366.14,PLN
2023-01-13,364.87,PLN
2023-01-16,365.97,PLN
2023-01-17,363.73,PLN
2023-01-18,364.98,PLN
2023-01-19,362.25,PLN
2023-01-20,362.82,PLN
2023-01-23,365.33,PLN
2023-01-24,365.27,PLN
2023-01-25,362.89,PLN
2023-01-26,365.74,PLN
