Data,Wartość dla NN (L) Globalny Długu Korporacyjnego (A),Waluta
2009-11-23,100.00,PLN
2009-11-24,100.11,PLN
2009-11-25,100.03,PLN
2009-11-26,100.44,PLN
2009-11-27,101.52,PLN
2009-11-30,100.51,PLN
2009-12-01,100.21,PLN
2009-12-02,99.98,PLN
2009-12-03,99.95,PLN
2009-12-04,100.10,PLN
2009-12-07,99.62,PLN
2009-12-08,99.84,PLN
2009-12-09,101.16,PLN
2009-12-10,101.59,PLN
2009-12-11,101.56,PLN
2009-12-14,101.79,PLN
2009-12-15,102.52,PLN
2009-12-16,103.43,PLN
2009-12-17,103.11,PLN
2009-12-18,103.12,PLN
2009-12-21,103.32,PLN
2009-12-22,103.34,PLN
2009-12-23,103.24,PLN
2009-12-28,103.23,PLN
2009-12-29,103.18,PLN
2009-12-30,102.92,PLN
2009-12-31,102.77,PLN
2010-01-04,102.67,PLN
2010-01-05,102.88,PLN
2010-01-06,103.76,PLN
2010-01-07,104.66,PLN
2010-01-08,104.82,PLN
2010-01-11,103.83,PLN
2010-01-12,104.33,PLN
2010-01-13,103.75,PLN
2010-01-14,103.56,PLN
2010-01-15,103.25,PLN
2010-01-18,103.18,PLN
2010-01-19,102.93,PLN
2010-01-20,102.82,PLN
2010-01-21,103.60,PLN
2010-01-22,103.21,PLN
2010-01-25,102.69,PLN
2010-01-26,103.32,PLN
2010-01-27,103.29,PLN
2010-01-28,102.70,PLN
2010-01-29,102.61,PLN
2010-02-01,101.15,PLN
2010-02-02,100.77,PLN
2010-02-03,100.57,PLN
2010-02-04,101.73,PLN
2010-02-05,102.62,PLN
2010-02-08,102.38,PLN
2010-02-09,101.79,PLN
2010-02-10,101.01,PLN
2010-02-11,100.90,PLN
2010-02-12,99.13,PLN
2010-02-15,99.50,PLN
2010-02-16,99.46,PLN
2010-02-17,99.26,PLN
2010-02-18,99.54,PLN
2010-02-19,100.18,PLN
2010-02-22,99.96,PLN
2010-02-23,99.70,PLN
2010-02-24,100.49,PLN
2010-02-25,100.27,PLN
2010-02-26,100.00,PLN
2010-03-01,99.37,PLN
2010-03-02,99.51,PLN
2010-03-03,99.55,PLN
2010-03-04,99.43,PLN
2010-03-05,98.94,PLN
2010-03-08,99.12,PLN
2010-03-09,99.36,PLN
2010-03-10,99.32,PLN
2010-03-11,99.98,PLN
2010-03-12,99.89,PLN
2010-03-15,100.09,PLN
2010-03-16,99.74,PLN
2010-03-17,99.31,PLN
2010-03-18,99.43,PLN
2010-03-19,100.26,PLN
2010-03-22,100.94,PLN
2010-03-23,100.49,PLN
2010-03-24,100.01,PLN
2010-03-25,100.46,PLN
2010-03-26,100.48,PLN
2010-03-29,100.78,PLN
2010-03-30,100.46,PLN
2010-03-31,100.13,PLN
2010-04-01,99.74,PLN
2010-04-06,99.63,PLN
2010-04-07,99.81,PLN
2010-04-08,100.11,PLN
2010-04-09,100.42,PLN
2010-04-12,100.91,PLN
2010-04-13,101.62,PLN
2010-04-14,101.21,PLN
2010-04-15,101.40,PLN
