Data,Wartość dla NN (L) Globalny Odpowiedzialnego Inwestowania (A),Waluta
2009-11-23,100.00,PLN
2009-11-24,100.00,PLN
2009-11-25,100.93,PLN
2009-11-26,98.70,PLN
2009-11-27,99.04,PLN
2009-11-30,99.26,PLN
2009-12-01,101.97,PLN
2009-12-02,102.83,PLN
2009-12-03,102.68,PLN
2009-12-04,102.12,PLN
2009-12-07,102.26,PLN
2009-12-08,100.06,PLN
2009-12-09,99.82,PLN
2009-12-10,100.41,PLN
2009-12-11,100.98,PLN
2009-12-14,101.43,PLN
2009-12-15,101.19,PLN
2009-12-16,100.97,PLN
2009-12-17,98.93,PLN
2009-12-18,98.47,PLN
2009-12-21,98.54,PLN
2009-12-22,99.63,PLN
2009-12-23,99.62,PLN
2009-12-28,102.07,PLN
2009-12-29,102.37,PLN
2009-12-30,102.57,PLN
2009-12-31,102.67,PLN
2010-01-04,105.14,PLN
2010-01-05,105.53,PLN
2010-01-06,106.08,PLN
2010-01-07,105.87,PLN
2010-01-08,105.97,PLN
2010-01-11,106.16,PLN
2010-01-12,105.36,PLN
2010-01-13,105.40,PLN
2010-01-14,103.99,PLN
2010-01-15,102.89,PLN
2010-01-18,103.54,PLN
2010-01-19,103.53,PLN
2010-01-20,101.53,PLN
2010-01-21,98.55,PLN
2010-01-22,97.11,PLN
2010-01-25,96.82,PLN
2010-01-26,95.53,PLN
2010-01-27,94.46,PLN
2010-01-28,94.74,PLN
2010-01-29,94.16,PLN
2010-02-01,95.44,PLN
2010-02-02,97.89,PLN
2010-02-03,97.70,PLN
2010-02-04,92.29,PLN
2010-02-05,91.41,PLN
2010-02-08,91.82,PLN
2010-02-09,94.28,PLN
2010-02-10,94.67,PLN
2010-02-11,95.92,PLN
2010-02-12,95.59,PLN
2010-02-15,95.88,PLN
2010-02-16,96.41,PLN
2010-02-17,97.32,PLN
2010-02-18,98.73,PLN
2010-02-19,98.83,PLN
2010-02-22,98.24,PLN
2010-02-23,96.07,PLN
2010-02-24,96.04,PLN
2010-02-25,95.63,PLN
2010-02-26,97.12,PLN
2010-03-01,98.36,PLN
2010-03-02,99.83,PLN
2010-03-03,99.96,PLN
2010-03-04,99.09,PLN
2010-03-05,100.86,PLN
2010-03-08,100.64,PLN
2010-03-09,101.54,PLN
2010-03-10,103.06,PLN
2010-03-11,103.18,PLN
2010-03-12,102.91,PLN
2010-03-15,102.56,PLN
2010-03-16,103.75,PLN
2010-03-17,103.57,PLN
2010-03-18,102.61,PLN
2010-03-19,101.41,PLN
2010-03-22,101.51,PLN
2010-03-23,102.97,PLN
2010-03-24,101.85,PLN
2010-03-25,101.01,PLN
2010-03-26,100.63,PLN
2010-03-29,102.43,PLN
2010-03-30,103.09,PLN
2010-03-31,103.73,PLN
2010-04-01,103.72,PLN
2010-04-06,106.21,PLN
2010-04-07,105.24,PLN
2010-04-08,105.39,PLN
2010-04-09,105.94,PLN
2010-04-12,105.71,PLN
2010-04-13,105.39,PLN
2010-04-14,106.84,PLN
2010-04-15,106.63,PLN
2010-04-16,104.47,PLN
2010-04-19,103.72,PLN
2010-04-20,104.54,PLN
2010-04-21,104.38,PLN
2010-04-22,103.92,PLN
2010-04-23,104.55,PLN
2010-04-26,104.62,PLN
2010-04-27,101.04,PLN
2010-04-28,100.89,PLN
2010-04-29,103.53,PLN
2010-04-30,103.30,PLN
2010-05-04,98.91,PLN
2010-05-05,96.70,PLN
2010-05-06,94.54,PLN
2010-05-07,92.28,PLN
2010-05-10,98.07,PLN
2010-05-11,97.38,PLN
2010-05-12,97.38,PLN
2010-05-13,98.72,PLN
2010-05-14,95.05,PLN
2010-05-17,93.74,PLN
2010-05-18,92.24,PLN
2010-05-19,89.10,PLN
2010-05-20,85.05,PLN
2010-05-21,85.04,PLN
2010-05-24,88.12,PLN
2010-05-25,86.46,PLN
2010-05-26,89.23,PLN
2010-05-27,92.44,PLN
2010-05-28,92.23,PLN
2010-05-31,93.89,PLN
2010-06-01,92.09,PLN
2010-06-02,93.25,PLN
2010-06-04,91.03,PLN
2010-06-07,89.64,PLN
2010-06-08,90.73,PLN
2010-06-09,91.67,PLN
2010-06-10,94.47,PLN
2010-06-11,95.58,PLN
2010-06-14,95.56,PLN
2010-06-15,97.25,PLN
2010-06-16,97.89,PLN
2010-06-17,97.89,PLN
2010-06-18,98.23,PLN
2010-06-21,99.35,PLN
2010-06-22,99.34,PLN
2010-06-23,98.55,PLN
2010-06-24,96.36,PLN
2010-06-25,97.66,PLN
2010-06-28,97.50,PLN
2010-06-29,93.60,PLN
2010-06-30,92.32,PLN
2010-07-01,92.71,PLN
2010-07-02,94.14,PLN
2010-07-05,93.41,PLN
2010-07-06,95.37,PLN
2010-07-07,96.94,PLN
2010-07-08,97.39,PLN
2010-07-09,97.91,PLN
2010-07-12,97.04,PLN
2010-07-13,98.43,PLN
2010-07-14,98.19,PLN
2010-07-15,97.62,PLN
2010-07-16,95.46,PLN
2010-07-19,96.13,PLN
2010-07-20,97.79,PLN
2010-07-21,98.04,PLN
2010-07-22,100.57,PLN
2010-07-23,101.28,PLN
2010-07-26,101.12,PLN
2010-07-27,101.13,PLN
2010-07-28,101.50,PLN
2010-07-29,101.38,PLN
2010-07-30,102.23,PLN
2010-08-02,104.20,PLN
2010-08-03,102.90,PLN
2010-08-04,103.35,PLN
2010-08-05,103.70,PLN
2010-08-06,103.18,PLN
2010-08-09,103.49,PLN
2010-08-10,102.10,PLN
2010-08-11,99.32,PLN
2010-08-12,99.57,PLN
2010-08-13,99.84,PLN
2010-08-16,100.86,PLN
2010-08-17,102.51,PLN
2010-08-18,102.40,PLN
2010-08-19,101.10,PLN
2010-08-20,100.91,PLN
2010-08-23,99.92,PLN
2010-08-24,98.34,PLN
2010-08-25,97.79,PLN
2010-08-26,97.33,PLN
2010-08-27,99.19,PLN
2010-08-30,97.88,PLN
2010-08-31,99.16,PLN
2010-09-01,102.45,PLN
2010-09-02,102.48,PLN
2010-09-03,102.92,PLN
2010-09-06,103.42,PLN
2010-09-07,102.56,PLN
2010-09-08,102.63,PLN
2010-09-09,102.78,PLN
2010-09-10,103.12,PLN
2010-09-13,104.69,PLN
2010-09-14,105.17,PLN
2010-09-15,105.43,PLN
2010-09-16,104.86,PLN
2010-09-17,104.26,PLN
2010-09-20,105.71,PLN
2010-09-21,104.73,PLN
2010-09-22,105.79,PLN
2010-09-23,106.00,PLN
2010-09-24,106.45,PLN
2010-09-27,107.17,PLN
2010-09-28,107.88,PLN
2010-09-29,108.43,PLN
2010-09-30,109.67,PLN
2010-10-01,111.37,PLN
2010-10-04,111.63,PLN
2010-10-05,112.94,PLN
2010-10-06,112.67,PLN
2010-10-07,112.20,PLN
2010-10-08,113.56,PLN
2010-10-11,114.42,PLN
2010-10-12,114.19,PLN
2010-10-13,115.94,PLN
2010-10-14,115.57,PLN
2010-10-15,115.48,PLN
2010-10-18,115.62,PLN
2010-10-19,111.89,PLN
2010-10-20,113.68,PLN
2010-10-21,112.74,PLN
2010-10-22,112.49,PLN
2010-10-25,112.84,PLN
2010-10-26,113.58,PLN
2010-10-27,112.14,PLN
2010-10-28,112.27,PLN
2010-10-29,113.65,PLN
2010-11-02,115.46,PLN
2010-11-03,116.00,PLN
2010-11-04,118.74,PLN
2010-11-05,118.37,PLN
2010-11-08,117.78,PLN
2010-11-09,116.18,PLN
2010-11-10,115.37,PLN
2010-11-12,113.36,PLN
2010-11-15,112.99,PLN
2010-11-16,110.70,PLN
2010-11-17,111.70,PLN
2010-11-18,114.46,PLN
2010-11-19,114.52,PLN
2010-11-22,113.41,PLN
2010-11-23,110.32,PLN
2010-11-24,113.03,PLN
2010-11-25,112.95,PLN
2010-11-26,111.24,PLN
2010-11-29,110.43,PLN
2010-11-30,110.79,PLN
2010-12-01,113.22,PLN
2010-12-02,114.02,PLN
2010-12-03,114.30,PLN
2010-12-06,114.39,PLN
2010-12-07,114.39,PLN
2010-12-08,112.71,PLN
2010-12-09,111.75,PLN
2010-12-10,111.50,PLN
2010-12-13,113.34,PLN
2010-12-14,113.53,PLN
2010-12-15,112.34,PLN
2010-12-16,111.32,PLN
2010-12-17,112.22,PLN
2010-12-20,111.50,PLN
2010-12-21,112.99,PLN
2010-12-22,113.81,PLN
2010-12-23,113.52,PLN
2010-12-27,112.95,PLN
2010-12-28,113.44,PLN
2010-12-29,114.85,PLN
2010-12-30,116.32,PLN
2010-12-31,116.86,PLN
2011-01-03,117.95,PLN
2011-01-04,117.43,PLN
2011-01-05,118.19,PLN
2011-01-07,116.09,PLN
2011-01-10,115.32,PLN
2011-01-11,116.09,PLN
2011-01-12,118.21,PLN
2011-01-13,117.27,PLN
2011-01-14,116.72,PLN
