Data,Wartość dla NN (L) Obligacji Korporacyjnych (A),Waluta
2022-01-03,488.36,PLN
2022-01-04,486.37,PLN
2022-01-05,483.44,PLN
2022-01-07,479.68,PLN
2022-01-10,477.02,PLN
2022-01-11,479.10,PLN
2022-01-12,477.87,PLN
2022-01-13,475.84,PLN
2022-01-14,476.92,PLN
2022-01-17,473.87,PLN
2022-01-18,472.86,PLN
2022-01-19,471.54,PLN
2022-01-20,470.85,PLN
2022-01-21,470.14,PLN
2022-01-24,469.87,PLN
2022-01-25,473.68,PLN
2022-01-26,474.85,PLN
2022-01-27,471.33,PLN
2022-01-28,472.07,PLN
2022-01-31,472.90,PLN
2022-02-01,473.47,PLN
2022-02-02,474.29,PLN
2022-02-03,470.24,PLN
2022-02-04,469.63,PLN
2022-02-07,468.74,PLN
2022-02-08,469.32,PLN
2022-02-09,471.72,PLN
2022-02-10,470.30,PLN
2022-02-11,468.41,PLN
2022-02-14,467.43,PLN
2022-02-15,468.41,PLN
2022-02-16,469.10,PLN
2022-02-17,467.76,PLN
2022-02-18,467.12,PLN
2022-02-21,466.42,PLN
2022-02-22,464.66,PLN
2022-02-23,463.50,PLN
2022-02-24,463.80,PLN
2022-02-25,465.17,PLN
2022-02-28,466.05,PLN
2022-03-01,469.08,PLN
2022-03-02,468.26,PLN
2022-03-03,468.17,PLN
2022-03-04,469.72,PLN
2022-03-07,465.09,PLN
2022-03-08,461.50,PLN
2022-03-09,460.58,PLN
2022-03-10,460.07,PLN
2022-03-11,458.58,PLN
2022-03-14,455.46,PLN
2022-03-15,456.52,PLN
2022-03-16,458.61,PLN
2022-03-17,460.64,PLN
2022-03-18,462.77,PLN
2022-03-21,461.50,PLN
2022-03-22,461.96,PLN
2022-03-23,462.06,PLN
2022-03-24,462.58,PLN
2022-03-25,462.41,PLN
2022-03-28,461.84,PLN
2022-03-29,462.92,PLN
2022-03-30,459.18,PLN
2022-03-31,458.89,PLN
2022-04-01,458.12,PLN
2022-04-04,459.37,PLN
2022-04-05,457.82,PLN
2022-04-06,455.49,PLN
2022-04-07,454.95,PLN
2022-04-08,454.67,PLN
2022-04-11,451.75,PLN
2022-04-12,451.60,PLN
2022-04-13,452.80,PLN
2022-04-14,452.05,PLN
2022-04-19,451.43,PLN
2022-04-20,451.87,PLN
2022-04-21,450.61,PLN
2022-04-22,447.96,PLN
2022-04-25,448.12,PLN
2022-04-26,446.83,PLN
2022-04-27,446.84,PLN
2022-04-28,447.89,PLN
2022-04-29,445.46,PLN
2022-05-02,445.18,PLN
2022-05-04,445.94,PLN
2022-05-05,444.09,PLN
2022-05-06,441.36,PLN
2022-05-09,438.64,PLN
2022-05-10,439.03,PLN
2022-05-11,438.34,PLN
2022-05-12,439.07,PLN
2022-05-13,440.87,PLN
2022-05-16,440.65,PLN
2022-05-17,440.77,PLN
2022-05-18,439.48,PLN
2022-05-19,438.41,PLN
2022-05-20,439.49,PLN
2022-05-23,439.20,PLN
2022-05-24,438.76,PLN
2022-05-25,439.55,PLN
2022-05-26,440.17,PLN
2022-05-27,442.48,PLN
2022-05-30,442.14,PLN
2022-05-31,441.27,PLN
2022-06-01,439.92,PLN
2022-06-02,440.11,PLN
2022-06-03,438.85,PLN
2022-06-06,438.43,PLN
2022-06-07,439.00,PLN
2022-06-08,438.25,PLN
2022-06-09,436.56,PLN
2022-06-10,433.74,PLN
2022-06-13,428.88,PLN
2022-06-14,427.15,PLN
2022-06-15,428.74,PLN
2022-06-17,427.15,PLN
2022-06-20,427.10,PLN
2022-06-21,427.54,PLN
2022-06-22,427.51,PLN
2022-06-23,427.51,PLN
2022-06-24,427.06,PLN
2022-06-27,426.40,PLN
2022-06-28,427.29,PLN
2022-06-29,427.25,PLN
2022-06-30,427.34,PLN
2022-07-01,428.21,PLN
2022-07-04,427.94,PLN
2022-07-05,427.43,PLN
2022-07-06,427.24,PLN
2022-07-07,427.30,PLN
2022-07-08,427.93,PLN
2022-07-11,428.45,PLN
2022-07-12,428.14,PLN
2022-07-13,427.66,PLN
2022-07-14,427.49,PLN
2022-07-15,427.74,PLN
2022-07-18,428.29,PLN
2022-07-19,428.47,PLN
2022-07-20,428.83,PLN
2022-07-21,429.54,PLN
2022-07-22,430.66,PLN
2022-07-25,430.72,PLN
2022-07-26,430.77,PLN
2022-07-27,430.73,PLN
2022-07-28,430.84,PLN
2022-07-29,431.18,PLN
2022-08-01,431.26,PLN
2022-08-02,430.80,PLN
2022-08-03,430.32,PLN
2022-08-04,430.91,PLN
2022-08-05,431.01,PLN
2022-08-08,431.39,PLN
2022-08-09,431.37,PLN
2022-08-10,431.80,PLN
2022-08-11,432.12,PLN
2022-08-12,432.20,PLN
2022-08-16,431.32,PLN
2022-08-17,431.18,PLN
2022-08-18,430.91,PLN
2022-08-19,430.64,PLN
2022-08-22,430.45,PLN
2022-08-23,430.35,PLN
2022-08-24,430.24,PLN
2022-08-25,430.63,PLN
2022-08-26,430.71,PLN
2022-08-29,430.68,PLN
2022-08-30,430.57,PLN
2022-08-31,430.50,PLN
2022-09-01,430.11,PLN
2022-09-02,430.68,PLN
2022-09-05,430.51,PLN
2022-09-06,430.61,PLN
2022-09-07,430.77,PLN
2022-09-08,431.20,PLN
2022-09-09,431.49,PLN
2022-09-12,431.91,PLN
2022-09-13,431.63,PLN
2022-09-14,431.53,PLN
2022-09-15,431.39,PLN
2022-09-16,431.35,PLN
2022-09-19,431.40,PLN
2022-09-20,431.34,PLN
2022-09-21,431.34,PLN
2022-09-22,430.91,PLN
2022-09-23,430.81,PLN
2022-09-26,430.42,PLN
2022-09-27,430.30,PLN
2022-09-28,429.74,PLN
2022-09-29,429.26,PLN
2022-09-30,429.54,PLN
2022-10-03,429.97,PLN
2022-10-04,430.58,PLN
2022-10-05,430.28,PLN
2022-10-06,430.29,PLN
2022-10-07,430.06,PLN
2022-10-10,429.77,PLN
2022-10-11,429.42,PLN
2022-10-12,428.92,PLN
2022-10-13,429.13,PLN
2022-10-14,429.15,PLN
2022-10-17,428.39,PLN
2022-10-18,427.86,PLN
2022-10-19,427.25,PLN
2022-10-20,427.04,PLN
2022-10-21,426.77,PLN
2022-10-24,427.31,PLN
2022-10-25,428.09,PLN
2022-10-26,428.85,PLN
2022-10-27,428.74,PLN
2022-10-28,428.09,PLN
2022-10-31,427.95,PLN
2022-11-02,427.42,PLN
2022-11-03,427.36,PLN
2022-11-04,428.30,PLN
2022-11-07,429.04,PLN
2022-11-08,429.68,PLN
2022-11-09,430.12,PLN
2022-11-10,432.02,PLN
2022-11-14,432.40,PLN
2022-11-15,433.00,PLN
2022-11-16,432.45,PLN
2022-11-17,432.14,PLN
2022-11-18,432.48,PLN
2022-11-21,432.79,PLN
2022-11-22,433.20,PLN
2022-11-23,433.60,PLN
2022-11-24,433.90,PLN
2022-11-25,434.08,PLN
2022-11-28,434.31,PLN
2022-11-29,434.23,PLN
2022-11-30,434.38,PLN
2022-12-01,435.54,PLN
2022-12-02,435.85,PLN
2022-12-05,435.95,PLN
2022-12-06,436.08,PLN
2022-12-07,436.39,PLN
2022-12-08,436.60,PLN
2022-12-09,436.82,PLN
2022-12-12,437.16,PLN
2022-12-13,438.17,PLN
2022-12-14,438.38,PLN
2022-12-15,438.32,PLN
2022-12-16,438.92,PLN
2022-12-19,438.89,PLN
2022-12-20,439.10,PLN
2022-12-21,439.33,PLN
2022-12-22,439.74,PLN
2022-12-23,439.87,PLN
2022-12-27,440.00,PLN
2022-12-28,439.90,PLN
2022-12-29,440.00,PLN
2022-12-30,440.35,PLN
2023-01-02,440.65,PLN
2023-01-03,441.33,PLN
2023-01-04,442.08,PLN
2023-01-05,442.17,PLN
2023-01-09,443.06,PLN
2023-01-10,443.29,PLN
2023-01-11,443.85,PLN
2023-01-12,444.38,PLN
2023-01-13,444.47,PLN
2023-01-16,444.29,PLN
2023-01-17,445.14,PLN
2023-01-18,445.67,PLN
2023-01-19,445.81,PLN
2023-01-20,445.75,PLN
2023-01-23,445.97,PLN
2023-01-24,446.74,PLN
2023-01-25,446.96,PLN
2023-01-26,447.30,PLN
2023-01-27,447.47,PLN
2023-01-30,447.44,PLN
2023-01-31,448.11,PLN
2023-02-01,448.58,PLN
2023-02-02,449.72,PLN
2023-02-03,449.52,PLN
2023-02-06,448.94,PLN
2023-02-07,448.71,PLN
2023-02-08,448.62,PLN
2023-02-09,449.18,PLN
2023-02-10,448.38,PLN
2023-02-13,448.43,PLN
2023-02-14,448.13,PLN
2023-02-15,448.10,PLN
2023-02-16,447.93,PLN
2023-02-17,447.49,PLN
2023-02-20,447.54,PLN
2023-02-21,447.24,PLN
