Data,Wartość dla NN (L) Obligacji Plus (A),Waluta
2012-11-20,100.01,PLN
2012-11-21,100.16,PLN
2012-11-22,100.18,PLN
2012-11-23,100.03,PLN
2012-11-26,100.18,PLN
2012-11-27,100.65,PLN
2012-11-28,100.57,PLN
2012-11-29,101.19,PLN
2012-11-30,101.34,PLN
2012-12-03,101.37,PLN
2012-12-04,101.51,PLN
2012-12-05,101.77,PLN
2012-12-06,102.04,PLN
2012-12-07,101.98,PLN
2012-12-10,102.21,PLN
2012-12-11,102.25,PLN
2012-12-12,102.28,PLN
2012-12-13,102.26,PLN
2012-12-14,102.27,PLN
2012-12-17,102.14,PLN
2012-12-18,102.16,PLN
2012-12-19,102.40,PLN
2012-12-20,102.46,PLN
2012-12-21,102.56,PLN
2012-12-27,102.68,PLN
2012-12-28,102.73,PLN
2013-01-02,103.18,PLN
2013-01-03,103.56,PLN
2013-01-04,103.48,PLN
2013-01-07,103.39,PLN
2013-01-08,103.22,PLN
2013-01-09,103.20,PLN
2013-01-10,103.23,PLN
2013-01-11,102.99,PLN
2013-01-14,103.16,PLN
2013-01-15,103.21,PLN
2013-01-16,103.26,PLN
2013-01-17,103.31,PLN
2013-01-18,103.32,PLN
2013-01-21,103.35,PLN
2013-01-22,103.37,PLN
2013-01-23,103.41,PLN
2013-01-24,103.49,PLN
2013-01-25,103.45,PLN
2013-01-28,103.22,PLN
2013-01-29,103.06,PLN
2013-01-30,102.63,PLN
2013-01-31,102.34,PLN
2013-02-01,102.07,PLN
2013-02-04,101.79,PLN
2013-02-05,101.78,PLN
2013-02-06,101.84,PLN
2013-02-07,102.08,PLN
2013-02-08,101.83,PLN
2013-02-11,102.42,PLN
2013-02-12,102.28,PLN
2013-02-13,102.17,PLN
2013-02-14,102.15,PLN
2013-02-15,102.36,PLN
2013-02-18,102.32,PLN
2013-02-19,102.35,PLN
2013-02-20,102.32,PLN
2013-02-21,102.09,PLN
2013-02-22,102.01,PLN
2013-02-25,102.15,PLN
2013-02-26,102.18,PLN
2013-02-27,102.20,PLN
2013-02-28,102.28,PLN
2013-03-01,102.22,PLN
2013-03-04,102.36,PLN
2013-03-05,102.55,PLN
2013-03-06,102.51,PLN
2013-03-07,102.52,PLN
2013-03-08,102.27,PLN
2013-03-11,102.22,PLN
2013-03-12,102.32,PLN
2013-03-13,102.26,PLN
2013-03-14,102.24,PLN
2013-03-15,102.24,PLN
2013-03-18,102.09,PLN
2013-03-19,102.04,PLN
2013-03-20,101.98,PLN
2013-03-21,101.92,PLN
2013-03-22,101.91,PLN
2013-03-25,101.96,PLN
2013-03-26,101.93,PLN
2013-03-27,101.76,PLN
2013-03-28,101.74,PLN
2013-04-02,101.95,PLN
2013-04-03,102.16,PLN
2013-04-04,102.65,PLN
2013-04-05,103.26,PLN
2013-04-08,103.84,PLN
2013-04-09,103.89,PLN
2013-04-10,103.86,PLN
2013-04-11,103.98,PLN
2013-04-12,104.21,PLN
2013-04-15,104.23,PLN
2013-04-17,103.81,PLN
2013-04-18,103.81,PLN
2013-04-19,103.82,PLN
2013-04-22,103.85,PLN
2013-04-23,104.10,PLN
2013-04-24,104.14,PLN
2013-04-25,104.15,PLN
2013-04-26,104.24,PLN
2013-04-29,104.46,PLN
2013-04-30,104.68,PLN
2013-05-02,105.21,PLN
2013-05-06,105.16,PLN
2013-05-07,105.24,PLN
2013-05-08,105.17,PLN
2013-05-09,105.36,PLN
2013-05-10,105.03,PLN
2013-05-13,104.61,PLN
2013-05-14,104.58,PLN
2013-05-15,104.39,PLN
2013-05-16,104.52,PLN
2013-05-17,104.54,PLN
2013-05-20,104.41,PLN
2013-05-21,104.25,PLN
2013-05-22,104.17,PLN
2013-05-23,103.57,PLN
2013-05-24,103.34,PLN
2013-05-27,103.35,PLN
2013-05-28,102.78,PLN
2013-05-29,101.83,PLN
2013-05-31,101.47,PLN
2013-06-03,101.12,PLN
2013-06-04,101.18,PLN
2013-06-05,100.80,PLN
2013-06-06,100.30,PLN
2013-06-07,100.25,PLN
2013-06-10,99.72,PLN
2013-06-11,98.73,PLN
2013-06-12,98.91,PLN
2013-06-13,99.17,PLN
2013-06-14,100.32,PLN
2013-06-17,100.27,PLN
2013-06-18,99.68,PLN
2013-06-19,99.33,PLN
2013-06-20,96.66,PLN
2013-06-21,96.13,PLN
2013-06-24,94.28,PLN
2013-06-25,94.54,PLN
2013-06-26,95.45,PLN
2013-06-27,96.48,PLN
2013-06-28,96.80,PLN
2013-07-01,97.00,PLN
2013-07-02,97.71,PLN
2013-07-03,97.28,PLN
2013-07-04,97.36,PLN
2013-07-05,96.64,PLN
2013-07-08,96.46,PLN
2013-07-09,96.41,PLN
2013-07-10,96.11,PLN
2013-07-11,96.59,PLN
2013-07-12,96.75,PLN
2013-07-15,97.20,PLN
2013-07-16,97.69,PLN
2013-07-17,98.05,PLN
2013-07-18,98.90,PLN
2013-07-19,99.00,PLN
2013-07-22,99.27,PLN
2013-07-23,99.32,PLN
2013-07-24,98.84,PLN
2013-07-25,98.46,PLN
2013-07-26,98.42,PLN
2013-07-29,98.29,PLN
2013-07-30,98.10,PLN
2013-07-31,97.67,PLN
2013-08-01,97.59,PLN
2013-08-02,97.63,PLN
2013-08-05,97.72,PLN
2013-08-06,97.71,PLN
2013-08-07,97.52,PLN
2013-08-08,97.70,PLN
2013-08-09,97.75,PLN
2013-08-12,97.87,PLN
2013-08-13,97.78,PLN
2013-08-14,97.69,PLN
2013-08-16,97.09,PLN
2013-08-19,96.43,PLN
2013-08-20,96.04,PLN
2013-08-21,95.77,PLN
2013-08-22,95.47,PLN
2013-08-23,95.89,PLN
2013-08-26,95.94,PLN
2013-08-27,95.81,PLN
2013-08-28,95.46,PLN
2013-08-29,95.56,PLN
2013-08-30,95.54,PLN
2013-09-02,95.63,PLN
2013-09-03,95.36,PLN
2013-09-04,95.11,PLN
2013-09-05,94.99,PLN
2013-09-06,95.26,PLN
2013-09-09,95.52,PLN
2013-09-10,95.54,PLN
2013-09-11,95.80,PLN
2013-09-12,96.27,PLN
2013-09-13,96.32,PLN
2013-09-16,96.90,PLN
2013-09-17,97.03,PLN
2013-09-18,97.47,PLN
2013-09-19,98.59,PLN
2013-09-20,98.71,PLN
2013-09-23,98.64,PLN
2013-09-24,98.34,PLN
2013-09-25,98.44,PLN
2013-09-26,98.36,PLN
2013-09-27,98.09,PLN
2013-09-30,97.88,PLN
2013-10-01,97.91,PLN
2013-10-02,97.94,PLN
2013-10-03,97.96,PLN
2013-10-04,98.26,PLN
2013-10-07,98.44,PLN
2013-10-08,98.57,PLN
2013-10-09,98.71,PLN
2013-10-10,98.93,PLN
2013-10-11,99.07,PLN
2013-10-14,99.15,PLN
2013-10-15,99.31,PLN
2013-10-16,99.50,PLN
2013-10-17,99.90,PLN
2013-10-18,100.33,PLN
2013-10-21,100.38,PLN
2013-10-22,100.49,PLN
2013-10-23,100.80,PLN
2013-10-24,100.83,PLN
2013-10-25,100.84,PLN
2013-10-28,100.81,PLN
2013-10-29,100.59,PLN
2013-10-30,100.62,PLN
2013-10-31,100.53,PLN
2013-11-04,100.01,PLN
2013-11-05,99.60,PLN
2013-11-06,99.45,PLN
2013-11-07,99.43,PLN
2013-11-08,99.00,PLN
2013-11-12,97.97,PLN
2013-11-13,97.93,PLN
2013-11-14,98.31,PLN
2013-11-15,98.64,PLN
2013-11-18,99.05,PLN
2013-11-19,98.89,PLN
2013-11-20,98.81,PLN
2013-11-21,98.55,PLN
2013-11-22,98.82,PLN
2013-11-25,99.07,PLN
2013-11-26,98.95,PLN
2013-11-27,98.81,PLN
2013-11-28,98.84,PLN
2013-11-29,98.81,PLN
2013-12-02,98.44,PLN
2013-12-03,98.35,PLN
2013-12-04,98.21,PLN
2013-12-05,98.30,PLN
2013-12-06,98.40,PLN
2013-12-09,98.56,PLN
2013-12-10,99.04,PLN
2013-12-11,99.07,PLN
2013-12-12,99.13,PLN
2013-12-13,99.36,PLN
2013-12-16,99.53,PLN
2013-12-17,99.52,PLN
2013-12-18,99.54,PLN
2013-12-19,99.66,PLN
2013-12-20,99.69,PLN
2013-12-23,99.78,PLN
2013-12-27,99.63,PLN
2013-12-30,99.67,PLN
2014-01-02,99.76,PLN
2014-01-03,99.81,PLN
2014-01-07,100.14,PLN
2014-01-08,100.04,PLN
2014-01-09,100.00,PLN
2014-01-10,100.07,PLN
2014-01-13,100.24,PLN
2014-01-14,100.32,PLN
2014-01-15,100.51,PLN
2014-01-16,100.55,PLN
2014-01-17,100.61,PLN
2014-01-20,100.62,PLN
2014-01-21,100.65,PLN
2014-01-22,100.47,PLN
2014-01-23,100.08,PLN
2014-01-24,99.61,PLN
2014-01-27,99.46,PLN
2014-01-28,99.70,PLN
2014-01-29,99.52,PLN
2014-01-30,99.19,PLN
2014-01-31,98.78,PLN
2014-02-03,98.83,PLN
2014-02-04,99.27,PLN
2014-02-05,99.52,PLN
2014-02-06,99.72,PLN
2014-02-07,99.94,PLN
2014-02-10,100.15,PLN
2014-02-11,100.09,PLN
2014-02-12,100.16,PLN
2014-02-13,99.95,PLN
2014-02-14,100.01,PLN
2014-02-17,100.16,PLN
2014-02-18,100.13,PLN
2014-02-19,99.97,PLN
2014-02-20,100.00,PLN
2014-02-21,100.34,PLN
2014-02-24,100.78,PLN
2014-02-25,101.01,PLN
2014-02-26,101.01,PLN
2014-02-27,101.31,PLN
2014-02-28,101.70,PLN
2014-03-03,101.20,PLN
2014-03-04,101.55,PLN
2014-03-05,101.71,PLN
2014-03-06,101.80,PLN
2014-03-07,101.67,PLN
2014-03-10,101.53,PLN
2014-03-11,101.61,PLN
2014-03-12,101.39,PLN
