Data,Wartość dla NN (L) Obligacji Rynków Wschodzących (Waluta Lokalna) (A),Waluta
2012-01-23,100.00,PLN
2012-01-24,100.00,PLN
2012-01-25,100.21,PLN
2012-01-26,102.02,PLN
2012-01-27,102.29,PLN
2012-01-30,101.84,PLN
2012-01-31,102.55,PLN
2012-02-01,103.47,PLN
2012-02-02,104.05,PLN
2012-02-03,104.43,PLN
2012-02-06,104.30,PLN
2012-02-07,104.71,PLN
2012-02-08,105.02,PLN
2012-02-09,104.76,PLN
2012-02-10,103.79,PLN
2012-02-13,104.26,PLN
2012-02-14,103.92,PLN
2012-02-15,104.03,PLN
2012-02-16,103.34,PLN
2012-02-17,104.31,PLN
2012-02-20,106.46,PLN
2012-02-21,104.75,PLN
2012-02-22,104.43,PLN
2012-02-23,104.63,PLN
2012-02-24,104.79,PLN
2012-02-27,104.66,PLN
2012-02-28,105.71,PLN
2012-02-29,104.57,PLN
2012-03-01,104.44,PLN
2012-03-02,104.12,PLN
2012-03-05,103.70,PLN
2012-03-06,102.87,PLN
2012-03-07,102.67,PLN
2012-03-08,104.00,PLN
2012-03-09,104.25,PLN
2012-03-12,103.33,PLN
2012-03-13,103.57,PLN
2012-03-14,102.70,PLN
2012-03-15,102.98,PLN
2012-03-16,103.19,PLN
2012-03-19,103.52,PLN
2012-03-20,102.76,PLN
2012-03-21,102.76,PLN
2012-03-22,102.43,PLN
2012-03-23,102.81,PLN
2012-03-26,103.46,PLN
2012-03-27,103.54,PLN
2012-03-28,103.08,PLN
2012-03-29,102.75,PLN
2012-03-30,103.92,PLN
2012-04-02,103.48,PLN
2012-04-03,104.52,PLN
2012-04-04,102.69,PLN
2012-04-05,102.66,PLN
2012-04-10,101.68,PLN
2012-04-11,102.03,PLN
2012-04-12,102.58,PLN
2012-04-13,102.30,PLN
2012-04-16,102.15,PLN
2012-04-17,102.87,PLN
2012-04-18,102.69,PLN
2012-04-19,102.56,PLN
2012-04-20,102.88,PLN
2012-04-23,102.42,PLN
2012-04-24,103.06,PLN
2012-04-25,103.32,PLN
2012-04-26,103.57,PLN
2012-04-27,103.97,PLN
2012-04-30,104.00,PLN
2012-05-02,104.16,PLN
2012-05-04,103.99,PLN
2012-05-07,103.67,PLN
2012-05-08,102.81,PLN
2012-05-09,101.80,PLN
2012-05-10,102.33,PLN
2012-05-11,102.13,PLN
2012-05-14,100.66,PLN
2012-05-15,100.15,PLN
2012-05-16,99.45,PLN
2012-05-17,99.23,PLN
2012-05-18,99.11,PLN
2012-05-21,99.30,PLN
2012-05-22,99.53,PLN
2012-05-23,97.65,PLN
2012-05-24,98.17,PLN
2012-05-25,98.46,PLN
2012-05-28,98.26,PLN
2012-05-29,98.42,PLN
2012-05-30,97.25,PLN
2012-05-31,97.27,PLN
2012-06-01,96.17,PLN
2012-06-04,96.99,PLN
2012-06-05,97.34,PLN
2012-06-06,98.38,PLN
2012-06-08,98.29,PLN
2012-06-11,98.64,PLN
2012-06-12,98.75,PLN
2012-06-13,98.78,PLN
2012-06-14,98.77,PLN
2012-06-15,99.57,PLN
2012-06-18,100.25,PLN
2012-06-19,100.57,PLN
2012-06-20,100.96,PLN
2012-06-21,100.61,PLN
2012-06-22,100.02,PLN
2012-06-25,100.15,PLN
2012-06-26,99.94,PLN
2012-06-27,100.26,PLN
2012-06-28,99.73,PLN
2012-06-29,101.39,PLN
2012-07-02,101.62,PLN
2012-07-03,102.34,PLN
2012-07-04,102.14,PLN
2012-07-05,102.07,PLN
2012-07-06,101.49,PLN
2012-07-09,101.41,PLN
2012-07-10,101.87,PLN
2012-07-11,102.00,PLN
2012-07-12,101.63,PLN
2012-07-13,102.56,PLN
2012-07-16,103.10,PLN
2012-07-17,103.43,PLN
2012-07-18,103.89,PLN
2012-07-19,104.32,PLN
2012-07-20,104.15,PLN
2012-07-23,102.80,PLN
2012-07-24,102.48,PLN
2012-07-25,102.51,PLN
2012-07-26,103.81,PLN
2012-07-27,104.45,PLN
2012-07-30,104.87,PLN
2012-07-31,104.46,PLN
2012-08-01,104.45,PLN
2012-08-02,103.94,PLN
2012-08-03,105.24,PLN
2012-08-06,105.89,PLN
2012-08-07,105.49,PLN
2012-08-08,105.35,PLN
2012-08-09,105.46,PLN
2012-08-10,105.16,PLN
2012-08-13,104.85,PLN
2012-08-14,104.71,PLN
2012-08-16,104.38,PLN
2012-08-17,103.66,PLN
2012-08-20,104.15,PLN
2012-08-21,104.73,PLN
2012-08-22,104.55,PLN
2012-08-23,105.12,PLN
2012-08-24,104.70,PLN
2012-08-27,104.66,PLN
2012-08-28,104.38,PLN
2012-08-29,103.75,PLN
2012-08-30,103.21,PLN
2012-08-31,103.97,PLN
2012-09-03,104.23,PLN
2012-09-04,104.88,PLN
2012-09-05,105.04,PLN
2012-09-06,105.02,PLN
2012-09-07,105.74,PLN
2012-09-10,105.90,PLN
2012-09-11,106.13,PLN
2012-09-12,105.67,PLN
2012-09-13,105.81,PLN
2012-09-14,107.36,PLN
2012-09-17,107.65,PLN
2012-09-18,106.63,PLN
2012-09-19,106.46,PLN
2012-09-20,106.13,PLN
2012-09-21,106.70,PLN
2012-09-24,106.37,PLN
2012-09-25,107.68,PLN
2012-09-26,106.31,PLN
2012-09-27,106.89,PLN
2012-09-28,106.91,PLN
2012-10-01,107.07,PLN
2012-10-02,107.18,PLN
2012-10-03,107.08,PLN
2012-10-04,107.29,PLN
2012-10-05,107.48,PLN
2012-10-08,106.53,PLN
2012-10-09,107.21,PLN
2012-10-10,106.74,PLN
2012-10-11,107.12,PLN
2012-10-12,107.38,PLN
2012-10-15,107.71,PLN
2012-10-16,107.59,PLN
2012-10-17,108.10,PLN
2012-10-18,108.22,PLN
2012-10-19,108.16,PLN
2012-10-22,108.21,PLN
2012-10-23,107.35,PLN
2012-10-24,107.32,PLN
2012-10-25,107.48,PLN
2012-10-26,107.37,PLN
2012-10-29,107.02,PLN
2012-10-30,107.45,PLN
2012-10-31,107.49,PLN
2012-11-02,107.77,PLN
2012-11-05,107.63,PLN
2012-11-06,108.08,PLN
2012-11-07,108.09,PLN
2012-11-08,107.82,PLN
2012-11-09,107.86,PLN
2012-11-12,107.82,PLN
2012-11-13,107.47,PLN
2012-11-14,107.42,PLN
2012-11-15,107.61,PLN
2012-11-16,107.36,PLN
2012-11-19,108.10,PLN
2012-11-20,108.40,PLN
2012-11-21,108.37,PLN
2012-11-22,108.63,PLN
2012-11-23,108.77,PLN
2012-11-26,109.00,PLN
2012-11-27,109.13,PLN
2012-11-28,108.98,PLN
2012-11-29,109.61,PLN
2012-11-30,109.57,PLN
2012-12-03,109.69,PLN
2012-12-04,109.92,PLN
2012-12-05,110.12,PLN
2012-12-06,110.26,PLN
2012-12-07,110.51,PLN
2012-12-10,110.75,PLN
2012-12-11,111.10,PLN
2012-12-12,111.01,PLN
2012-12-13,111.34,PLN
2012-12-14,111.39,PLN
2012-12-17,111.33,PLN
2012-12-18,111.84,PLN
2012-12-19,112.10,PLN
2012-12-20,112.27,PLN
