Data,Wartość dla NN (L) Spółek Dywidendowych Rynków Wschodzących (A),Waluta
2009-11-23,100.00,PLN
2009-11-24,100.00,PLN
2009-11-25,100.46,PLN
2009-11-26,98.30,PLN
2009-11-27,96.59,PLN
2009-11-30,97.86,PLN
2009-12-01,100.04,PLN
2009-12-02,100.99,PLN
2009-12-03,101.37,PLN
2009-12-04,101.31,PLN
2009-12-07,101.02,PLN
2009-12-08,99.64,PLN
2009-12-09,98.91,PLN
2009-12-10,99.19,PLN
2009-12-11,99.18,PLN
2009-12-14,100.50,PLN
2009-12-15,100.00,PLN
2009-12-16,100.30,PLN
2009-12-17,98.19,PLN
2009-12-18,97.71,PLN
2009-12-21,97.49,PLN
2009-12-22,98.05,PLN
2009-12-23,98.04,PLN
2009-12-28,100.67,PLN
2009-12-29,100.69,PLN
2009-12-30,100.93,PLN
2009-12-31,101.95,PLN
2010-01-04,103.67,PLN
2010-01-05,104.92,PLN
2010-01-06,105.38,PLN
2010-01-07,104.41,PLN
2010-01-08,104.69,PLN
2010-01-11,105.32,PLN
2010-01-12,104.56,PLN
2010-01-13,103.74,PLN
2010-01-14,103.91,PLN
2010-01-15,103.58,PLN
2010-01-18,103.81,PLN
2010-01-19,104.16,PLN
2010-01-20,102.47,PLN
2010-01-21,100.38,PLN
2010-01-22,98.23,PLN
2010-01-25,98.40,PLN
2010-01-26,96.33,PLN
2010-01-27,95.33,PLN
2010-01-28,96.14,PLN
2010-01-29,95.49,PLN
2010-02-01,95.93,PLN
2010-02-02,96.69,PLN
2010-02-03,97.65,PLN
2010-02-04,94.50,PLN
2010-02-05,91.84,PLN
2010-02-08,91.38,PLN
2010-02-09,93.17,PLN
2010-02-10,93.51,PLN
2010-02-11,94.82,PLN
2010-02-12,94.68,PLN
2010-02-15,94.92,PLN
2010-02-16,95.87,PLN
2010-02-17,97.18,PLN
2010-02-18,97.06,PLN
2010-02-19,96.11,PLN
2010-02-22,96.78,PLN
2010-02-23,96.02,PLN
2010-02-24,95.50,PLN
2010-02-25,94.33,PLN
2010-02-26,95.60,PLN
2010-03-01,97.12,PLN
2010-03-02,98.29,PLN
2010-03-03,99.01,PLN
2010-03-04,98.69,PLN
2010-03-05,100.36,PLN
2010-03-08,101.44,PLN
2010-03-09,101.82,PLN
2010-03-10,102.89,PLN
2010-03-11,102.80,PLN
2010-03-12,102.94,PLN
2010-03-15,101.99,PLN
2010-03-16,102.85,PLN
2010-03-17,104.09,PLN
2010-03-18,104.09,PLN
2010-03-19,102.85,PLN
2010-03-22,101.91,PLN
2010-03-23,102.50,PLN
2010-03-24,102.26,PLN
2010-03-25,102.29,PLN
2010-03-26,102.62,PLN
2010-03-29,103.67,PLN
2010-03-30,104.03,PLN
2010-03-31,104.03,PLN
2010-04-01,103.93,PLN
2010-04-06,107.22,PLN
2010-04-07,107.32,PLN
2010-04-08,106.55,PLN
2010-04-09,107.46,PLN
2010-04-12,107.08,PLN
2010-04-13,106.38,PLN
2010-04-14,107.69,PLN
2010-04-15,107.58,PLN
2010-04-16,106.22,PLN
2010-04-19,104.36,PLN
2010-04-20,105.32,PLN
2010-04-21,105.58,PLN
2010-04-22,104.95,PLN
2010-04-23,105.34,PLN
2010-04-26,106.63,PLN
2010-04-27,104.59,PLN
2010-04-28,103.13,PLN
2010-04-29,104.29,PLN
2010-04-30,104.57,PLN
2010-05-04,101.15,PLN
2010-05-05,98.70,PLN
2010-05-06,96.09,PLN
2010-05-07,93.70,PLN
2010-05-10,98.99,PLN
2010-05-11,97.62,PLN
2010-05-12,97.62,PLN
2010-05-13,98.76,PLN
2010-05-14,97.32,PLN
2010-05-17,95.31,PLN
2010-05-18,95.32,PLN
2010-05-19,92.56,PLN
2010-05-20,89.60,PLN
2010-05-21,89.59,PLN
2010-05-24,90.67,PLN
2010-05-25,87.27,PLN
2010-05-26,90.09,PLN
2010-05-27,93.06,PLN
2010-05-28,93.86,PLN
2010-05-31,94.45,PLN
2010-06-01,92.56,PLN
2010-06-02,93.28,PLN
2010-06-04,92.96,PLN
2010-06-07,90.67,PLN
2010-06-08,91.40,PLN
2010-06-09,91.66,PLN
2010-06-10,93.06,PLN
2010-06-11,94.12,PLN
2010-06-14,95.28,PLN
2010-06-15,96.30,PLN
2010-06-16,96.97,PLN
2010-06-17,97.16,PLN
2010-06-18,97.89,PLN
2010-06-21,100.49,PLN
2010-06-22,100.49,PLN
2010-06-23,98.86,PLN
2010-06-24,97.54,PLN
2010-06-25,97.07,PLN
2010-06-28,97.10,PLN
2010-06-29,93.90,PLN
2010-06-30,93.89,PLN
2010-07-01,92.55,PLN
2010-07-02,92.97,PLN
2010-07-05,93.06,PLN
2010-07-06,94.73,PLN
2010-07-07,94.86,PLN
2010-07-08,95.85,PLN
2010-07-09,96.95,PLN
2010-07-12,96.75,PLN
2010-07-13,97.35,PLN
2010-07-14,97.68,PLN
2010-07-15,97.19,PLN
2010-07-16,96.57,PLN
2010-07-19,96.17,PLN
2010-07-20,97.26,PLN
2010-07-21,98.02,PLN
2010-07-22,99.14,PLN
2010-07-23,100.26,PLN
2010-07-26,100.70,PLN
2010-07-27,101.08,PLN
2010-07-28,100.93,PLN
2010-07-29,101.05,PLN
2010-07-30,100.81,PLN
2010-08-02,102.77,PLN
2010-08-03,102.52,PLN
2010-08-04,102.77,PLN
2010-08-05,102.63,PLN
2010-08-06,102.51,PLN
2010-08-09,103.36,PLN
2010-08-10,101.56,PLN
2010-08-11,99.56,PLN
2010-08-12,98.93,PLN
2010-08-13,99.23,PLN
2010-08-16,99.86,PLN
2010-08-17,100.90,PLN
2010-08-18,100.89,PLN
2010-08-19,100.79,PLN
2010-08-20,100.12,PLN
2010-08-23,99.76,PLN
2010-08-24,98.61,PLN
2010-08-25,97.71,PLN
2010-08-26,97.91,PLN
2010-08-27,98.21,PLN
2010-08-30,98.47,PLN
2010-08-31,98.26,PLN
2010-09-01,100.30,PLN
2010-09-02,100.88,PLN
2010-09-03,101.53,PLN
2010-09-06,102.22,PLN
2010-09-07,101.58,PLN
2010-09-08,101.59,PLN
2010-09-09,102.08,PLN
2010-09-10,102.38,PLN
2010-09-13,104.48,PLN
2010-09-14,104.69,PLN
2010-09-15,104.99,PLN
2010-09-16,104.36,PLN
2010-09-17,104.85,PLN
2010-09-20,105.68,PLN
2010-09-21,105.58,PLN
2010-09-22,105.89,PLN
2010-09-23,105.70,PLN
2010-09-24,106.39,PLN
2010-09-27,106.98,PLN
2010-09-28,107.05,PLN
2010-09-29,107.91,PLN
2010-09-30,108.54,PLN
2010-10-01,109.42,PLN
2010-10-04,110.25,PLN
2010-10-05,110.80,PLN
2010-10-06,111.45,PLN
2010-10-07,111.13,PLN
2010-10-08,111.10,PLN
2010-10-11,111.80,PLN
2010-10-12,111.10,PLN
2010-10-13,112.77,PLN
2010-10-14,113.69,PLN
2010-10-15,113.42,PLN
2010-10-18,112.73,PLN
2010-10-19,111.01,PLN
2010-10-20,111.36,PLN
2010-10-21,111.82,PLN
2010-10-22,111.68,PLN
2010-10-25,112.76,PLN
2010-10-26,112.70,PLN
2010-10-27,110.89,PLN
2010-10-28,111.28,PLN
2010-10-29,111.72,PLN
2010-11-02,113.79,PLN
2010-11-03,114.46,PLN
2010-11-04,116.78,PLN
2010-11-05,116.95,PLN
2010-11-08,116.74,PLN
2010-11-09,116.06,PLN
2010-11-10,115.59,PLN
2010-11-12,112.84,PLN
2010-11-15,112.41,PLN
2010-11-16,110.15,PLN
2010-11-17,109.90,PLN
2010-11-18,112.15,PLN
2010-11-19,112.07,PLN
2010-11-22,111.85,PLN
2010-11-23,109.18,PLN
2010-11-24,110.90,PLN
2010-11-25,110.91,PLN
2010-11-26,109.11,PLN
2010-11-29,109.23,PLN
2010-11-30,108.59,PLN
2010-12-01,111.12,PLN
2010-12-02,113.00,PLN
2010-12-03,113.39,PLN
2010-12-06,113.48,PLN
2010-12-07,113.67,PLN
2010-12-08,112.56,PLN
2010-12-09,112.22,PLN
2010-12-10,112.34,PLN
2010-12-13,113.02,PLN
2010-12-14,113.71,PLN
2010-12-15,112.55,PLN
2010-12-16,112.51,PLN
2010-12-17,112.28,PLN
2010-12-20,112.08,PLN
2010-12-21,113.48,PLN
2010-12-22,113.94,PLN
2010-12-23,113.77,PLN
2010-12-27,113.47,PLN
2010-12-28,113.54,PLN
2010-12-29,114.55,PLN
2010-12-30,115.25,PLN
2010-12-31,115.66,PLN
2011-01-03,116.99,PLN
2011-01-04,117.16,PLN
2011-01-05,117.02,PLN
2011-01-07,115.35,PLN
2011-01-10,114.31,PLN
2011-01-11,115.25,PLN
2011-01-12,117.12,PLN
2011-01-13,116.61,PLN
2011-01-14,116.60,PLN
