Data,Wartość dla NN (L) Stabilny Globalnej Dywersyfikacji (dawniej NN (L) Stabilny Globalnej Alokacji) (A),Waluta
2014-03-24,100.00,PLN
2014-03-25,100.28,PLN
2014-03-26,100.25,PLN
2014-03-27,100.49,PLN
2014-03-28,100.63,PLN
2014-03-31,100.76,PLN
2014-04-01,100.91,PLN
2014-04-02,101.00,PLN
2014-04-03,101.02,PLN
2014-04-04,101.02,PLN
2014-04-07,100.89,PLN
2014-04-08,100.81,PLN
2014-04-09,100.86,PLN
2014-04-10,100.45,PLN
2014-04-11,99.96,PLN
2014-04-14,100.28,PLN
2014-04-15,100.35,PLN
2014-04-16,100.93,PLN
2014-04-17,100.90,PLN
2014-04-22,101.31,PLN
2014-04-23,101.22,PLN
2014-04-24,101.24,PLN
2014-04-25,101.04,PLN
2014-04-28,101.03,PLN
2014-04-29,101.44,PLN
2014-04-30,101.48,PLN
2014-05-02,101.75,PLN
2014-05-05,101.77,PLN
2014-05-06,101.48,PLN
2014-05-07,101.35,PLN
2014-05-08,101.66,PLN
2014-05-09,101.79,PLN
2014-05-12,102.04,PLN
2014-05-13,102.35,PLN
2014-05-14,102.45,PLN
2014-05-15,102.17,PLN
2014-05-16,102.21,PLN
2014-05-19,102.22,PLN
2014-05-20,102.02,PLN
2014-05-21,102.22,PLN
2014-05-22,102.50,PLN
2014-05-23,102.70,PLN
2014-05-26,102.86,PLN
2014-05-27,103.14,PLN
2014-05-28,103.24,PLN
2014-05-29,103.35,PLN
2014-05-30,103.29,PLN
2014-06-02,103.53,PLN
2014-06-03,103.37,PLN
2014-06-04,103.40,PLN
2014-06-05,103.74,PLN
2014-06-06,104.11,PLN
2014-06-09,104.17,PLN
2014-06-10,104.08,PLN
2014-06-11,104.08,PLN
2014-06-12,104.01,PLN
2014-06-13,104.08,PLN
2014-06-16,103.93,PLN
2014-06-17,103.91,PLN
2014-06-18,104.14,PLN
2014-06-20,104.57,PLN
2014-06-23,104.50,PLN
2014-06-24,104.37,PLN
