Data,Wartość dla NN Emerytura 2065 (A),Waluta
2021-02-17,10.00,PLN
2021-02-18,10.00,PLN
2021-02-19,10.00,PLN
2021-02-22,10.00,PLN
2021-02-23,10.00,PLN
2021-02-24,10.00,PLN
2021-02-25,10.00,PLN
2021-02-26,10.00,PLN
2021-03-01,10.00,PLN
2021-03-02,10.00,PLN
2021-03-03,10.00,PLN
2021-03-04,10.00,PLN
2021-03-05,10.00,PLN
2021-03-08,10.00,PLN
2021-03-09,10.00,PLN
2021-03-10,10.00,PLN
2021-03-11,10.00,PLN
2021-03-12,10.00,PLN
2021-03-15,10.00,PLN
2021-03-16,10.00,PLN
2021-03-17,10.00,PLN
2021-03-18,10.00,PLN
2021-03-19,10.00,PLN
2021-03-22,10.00,PLN
2021-03-23,10.00,PLN
2021-03-24,10.00,PLN
2021-03-25,10.00,PLN
2021-03-26,10.00,PLN
2021-03-29,10.00,PLN
2021-03-30,10.00,PLN
2021-03-31,10.00,PLN
2021-04-01,10.00,PLN
2021-04-06,9.99,PLN
2021-04-07,9.99,PLN
2021-04-08,9.99,PLN
2021-04-09,9.99,PLN
2021-04-12,9.99,PLN
2021-04-13,9.99,PLN
2021-04-14,9.99,PLN
2021-04-15,9.99,PLN
2021-04-16,9.99,PLN
2021-04-19,9.99,PLN
2021-04-20,9.99,PLN
2021-04-21,9.99,PLN
2021-04-22,9.99,PLN
2021-04-23,9.99,PLN
2021-04-26,9.99,PLN
2021-04-27,9.99,PLN
2021-04-28,10.05,PLN
2021-04-29,10.10,PLN
2021-04-30,10.07,PLN
2021-05-04,9.95,PLN
2021-05-05,10.11,PLN
2021-05-06,10.07,PLN
2021-05-07,10.22,PLN
2021-05-10,10.23,PLN
2021-05-11,10.17,PLN
2021-05-12,10.11,PLN
2021-05-13,10.12,PLN
2021-05-14,10.12,PLN
2021-05-17,10.21,PLN
2021-05-18,10.22,PLN
2021-05-19,10.14,PLN
2021-05-20,10.21,PLN
2021-05-21,10.21,PLN
2021-05-24,10.21,PLN
2021-05-25,10.25,PLN
2021-05-26,10.27,PLN
2021-05-27,10.36,PLN
2021-05-28,10.43,PLN
2021-05-31,10.39,PLN
2021-06-01,10.41,PLN
2021-06-02,10.43,PLN
2021-06-04,10.47,PLN
2021-06-07,10.48,PLN
2021-06-08,10.46,PLN
2021-06-09,10.44,PLN
2021-06-10,10.48,PLN
2021-06-11,10.46,PLN
2021-06-14,10.51,PLN
2021-06-15,10.48,PLN
2021-06-16,10.48,PLN
2021-06-17,10.45,PLN
2021-06-18,10.43,PLN
2021-06-21,10.45,PLN
2021-06-22,10.45,PLN
2021-06-23,10.47,PLN
2021-06-24,10.55,PLN
2021-06-25,10.55,PLN
2021-06-28,10.55,PLN
2021-06-29,10.49,PLN
2021-06-30,10.41,PLN
2021-07-01,10.51,PLN
2021-07-02,10.52,PLN
2021-07-05,10.53,PLN
2021-07-06,10.49,PLN
2021-07-07,10.62,PLN
2021-07-08,10.48,PLN
2021-07-09,10.55,PLN
2021-07-12,10.56,PLN
2021-07-13,10.61,PLN
2021-07-14,10.64,PLN
2021-07-15,10.61,PLN
2021-07-16,10.61,PLN
2021-07-19,10.48,PLN
2021-07-20,10.54,PLN
2021-07-21,10.63,PLN
2021-07-22,10.60,PLN
2021-07-23,10.63,PLN
2021-07-26,10.64,PLN
2021-07-27,10.60,PLN
2021-07-28,10.64,PLN
2021-07-29,10.67,PLN
2021-07-30,10.64,PLN
2021-08-02,10.64,PLN
2021-08-03,10.63,PLN
2021-08-04,10.67,PLN
2021-08-05,10.70,PLN
2021-08-06,10.70,PLN
2021-08-09,10.72,PLN
2021-08-10,10.72,PLN
2021-08-11,10.73,PLN
2021-08-12,10.78,PLN
2021-08-13,10.76,PLN
2021-08-16,10.74,PLN
2021-08-17,10.78,PLN
2021-08-18,10.76,PLN
2021-08-19,10.69,PLN
2021-08-20,10.68,PLN
2021-08-23,10.77,PLN
2021-08-24,10.79,PLN
2021-08-25,10.83,PLN
2021-08-26,10.81,PLN
2021-08-27,10.85,PLN
2021-08-30,10.93,PLN
2021-08-31,10.94,PLN
2021-09-01,10.94,PLN
2021-09-02,10.96,PLN
2021-09-03,10.94,PLN
2021-09-06,11.05,PLN
2021-09-07,11.00,PLN
2021-09-08,10.93,PLN
2021-09-09,10.93,PLN
2021-09-10,10.94,PLN
2021-09-13,10.97,PLN
2021-09-14,11.01,PLN
2021-09-15,10.95,PLN
2021-09-16,10.98,PLN
2021-09-17,10.91,PLN
2021-09-20,10.82,PLN
2021-09-21,10.87,PLN
2021-09-22,10.95,PLN
2021-09-23,10.95,PLN
2021-09-24,10.89,PLN
2021-09-27,10.87,PLN
2021-09-28,10.77,PLN
2021-09-29,10.83,PLN
2021-09-30,10.84,PLN
2021-10-01,10.87,PLN
2021-10-04,10.89,PLN
2021-10-05,10.99,PLN
2021-10-06,10.99,PLN
2021-10-07,11.06,PLN
2021-10-08,11.14,PLN
2021-10-11,11.22,PLN
2021-10-12,11.21,PLN
2021-10-13,11.16,PLN
2021-10-14,11.24,PLN
2021-10-15,11.26,PLN
2021-10-18,11.27,PLN
2021-10-19,11.27,PLN
2021-10-20,11.28,PLN
2021-10-21,11.25,PLN
2021-10-22,11.25,PLN
2021-10-25,11.27,PLN
2021-10-26,11.30,PLN
2021-10-27,11.25,PLN
2021-10-28,11.25,PLN
2021-10-29,11.31,PLN
2021-11-02,11.35,PLN
2021-11-03,11.26,PLN
2021-11-04,11.42,PLN
2021-11-05,11.45,PLN
2021-11-08,11.40,PLN
2021-11-09,11.32,PLN
2021-11-10,11.25,PLN
2021-11-12,11.24,PLN
2021-11-15,11.21,PLN
2021-11-16,11.24,PLN
2021-11-17,11.16,PLN
2021-11-18,11.04,PLN
2021-11-19,10.99,PLN
2021-11-22,11.00,PLN
2021-11-23,10.93,PLN
2021-11-24,10.93,PLN
2021-11-25,10.92,PLN
2021-11-26,10.66,PLN
2021-11-29,10.71,PLN
2021-11-30,10.77,PLN
2021-12-01,10.81,PLN
2021-12-02,10.72,PLN
2021-12-03,10.67,PLN
2021-12-06,10.71,PLN
2021-12-07,10.89,PLN
2021-12-08,10.85,PLN
2021-12-09,10.81,PLN
2021-12-10,10.76,PLN
2021-12-13,10.75,PLN
2021-12-14,10.71,PLN
2021-12-15,10.61,PLN
2021-12-16,10.78,PLN
2021-12-17,10.68,PLN
2021-12-20,10.59,PLN
2021-12-21,10.65,PLN
2021-12-22,10.73,PLN
2021-12-23,10.79,PLN
2021-12-27,10.82,PLN
2021-12-28,10.87,PLN
2021-12-29,10.85,PLN
2021-12-30,10.88,PLN
2022-01-03,10.93,PLN
2022-01-04,10.94,PLN
2022-01-05,10.95,PLN
2022-01-07,10.85,PLN
2022-01-10,10.77,PLN
2022-01-11,10.91,PLN
2022-01-12,11.05,PLN
2022-01-13,11.07,PLN
2022-01-14,10.97,PLN
2022-01-17,10.96,PLN
2022-01-18,10.84,PLN
2022-01-19,10.81,PLN
2022-01-20,10.80,PLN
2022-01-21,10.66,PLN
2022-01-24,10.32,PLN
2022-01-25,10.42,PLN
2022-01-26,10.54,PLN
2022-01-27,10.53,PLN
2022-01-28,10.40,PLN
2022-01-31,10.50,PLN
2022-02-01,10.60,PLN
2022-02-02,10.68,PLN
2022-02-03,10.58,PLN
2022-02-04,10.48,PLN
2022-02-07,10.49,PLN
2022-02-08,10.56,PLN
2022-02-09,10.64,PLN
2022-02-10,10.58,PLN
2022-02-11,10.52,PLN
2022-02-14,10.37,PLN
2022-02-15,10.50,PLN
2022-02-16,10.48,PLN
2022-02-17,10.38,PLN
2022-02-18,10.31,PLN
2022-02-21,10.12,PLN
2022-02-22,10.18,PLN
2022-02-23,10.04,PLN
2022-02-24,9.43,PLN
2022-02-25,9.88,PLN
2022-02-28,9.93,PLN
2022-03-01,9.85,PLN
2022-03-02,10.06,PLN
2022-03-03,9.97,PLN
2022-03-04,9.72,PLN
2022-03-07,9.68,PLN
2022-03-08,9.57,PLN
2022-03-09,9.74,PLN
2022-03-10,9.70,PLN
2022-03-11,9.85,PLN
2022-03-14,9.68,PLN
2022-03-15,9.75,PLN
2022-03-16,9.92,PLN
2022-03-17,10.09,PLN
2022-03-18,10.10,PLN
2022-03-21,10.10,PLN
2022-03-22,10.18,PLN
2022-03-23,10.17,PLN
2022-03-24,10.23,PLN
2022-03-25,10.19,PLN
2022-03-28,10.19,PLN
2022-03-29,10.29,PLN
2022-03-30,10.32,PLN
2022-03-31,10.24,PLN
2022-04-01,10.26,PLN
2022-04-04,10.29,PLN
2022-04-05,10.22,PLN
2022-04-06,10.12,PLN
2022-04-07,10.04,PLN
2022-04-08,10.07,PLN
2022-04-11,10.09,PLN
2022-04-12,10.08,PLN
2022-04-13,10.10,PLN
2022-04-14,10.09,PLN
2022-04-19,10.04,PLN
2022-04-20,10.02,PLN
2022-04-21,9.98,PLN
2022-04-22,9.79,PLN
2022-04-25,9.63,PLN
2022-04-26,9.57,PLN
2022-04-27,9.56,PLN
2022-04-28,9.58,PLN
2022-04-29,9.56,PLN
2022-05-02,9.41,PLN
2022-05-04,9.40,PLN
2022-05-05,9.32,PLN
2022-05-06,9.26,PLN
2022-05-09,9.11,PLN
2022-05-10,9.07,PLN
2022-05-11,9.09,PLN
2022-05-12,9.00,PLN
2022-05-13,9.22,PLN
2022-05-16,9.22,PLN
2022-05-17,9.30,PLN
2022-05-18,9.27,PLN
2022-05-19,9.17,PLN
2022-05-20,9.18,PLN
2022-05-23,9.33,PLN
2022-05-24,9.23,PLN
2022-05-25,9.23,PLN
2022-05-26,9.32,PLN
2022-05-27,9.35,PLN
2022-05-30,9.46,PLN
2022-05-31,9.40,PLN
2022-06-01,9.38,PLN
2022-06-02,9.41,PLN
2022-06-03,9.40,PLN
2022-06-06,9.47,PLN
2022-06-07,9.43,PLN
2022-06-08,9.36,PLN
2022-06-09,9.30,PLN
2022-06-10,9.12,PLN
2022-06-13,8.92,PLN
2022-06-14,8.93,PLN
2022-06-15,8.94,PLN
2022-06-17,8.82,PLN
2022-06-20,8.83,PLN
2022-06-21,8.98,PLN
2022-06-22,8.89,PLN
2022-06-23,8.85,PLN
2022-06-24,8.96,PLN
2022-06-27,9.04,PLN
2022-06-28,9.10,PLN
2022-06-29,9.09,PLN
2022-06-30,8.99,PLN
2022-07-01,9.02,PLN
2022-07-04,9.02,PLN
2022-07-05,8.91,PLN
2022-07-06,8.94,PLN
2022-07-07,9.12,PLN
2022-07-08,9.19,PLN
2022-07-11,9.14,PLN
2022-07-12,9.02,PLN
2022-07-13,8.97,PLN
2022-07-14,8.87,PLN
2022-07-15,8.94,PLN
2022-07-18,9.06,PLN
2022-07-19,9.11,PLN
2022-07-20,9.19,PLN
2022-07-21,9.20,PLN
2022-07-22,9.26,PLN
2022-07-25,9.23,PLN
2022-07-26,9.17,PLN
2022-07-27,9.19,PLN
2022-07-28,9.26,PLN
2022-07-29,9.42,PLN
2022-08-01,9.45,PLN
2022-08-02,9.39,PLN
2022-08-03,9.41,PLN
2022-08-04,9.37,PLN
2022-08-05,9.33,PLN
2022-08-08,9.41,PLN
2022-08-09,9.37,PLN
2022-08-10,9.43,PLN
2022-08-11,9.51,PLN
2022-08-12,9.57,PLN
2022-08-16,9.60,PLN
2022-08-17,9.46,PLN
2022-08-18,9.51,PLN
2022-08-19,9.41,PLN
2022-08-22,9.29,PLN
2022-08-23,9.27,PLN
2022-08-24,9.19,PLN
2022-08-25,9.25,PLN
2022-08-26,9.14,PLN
2022-08-29,8.99,PLN
2022-08-30,8.90,PLN
2022-08-31,8.88,PLN
2022-09-01,8.74,PLN
2022-09-02,8.88,PLN
2022-09-05,8.82,PLN
2022-09-06,8.74,PLN
2022-09-07,8.79,PLN
2022-09-08,8.87,PLN
2022-09-09,9.02,PLN
2022-09-12,9.10,PLN
2022-09-13,8.93,PLN
2022-09-14,8.92,PLN
2022-09-15,8.92,PLN
2022-09-16,8.76,PLN
2022-09-19,8.84,PLN
2022-09-20,8.78,PLN
2022-09-21,8.82,PLN
2022-09-22,8.78,PLN
2022-09-23,8.58,PLN
2022-09-26,8.50,PLN
2022-09-27,8.53,PLN
2022-09-28,8.50,PLN
2022-09-29,8.30,PLN
2022-09-30,8.35,PLN
2022-10-03,8.35,PLN
