Data,Wartość dla NN Globalnej Dywersyfikacji (A),Waluta
2020-06-22,100.00,PLN
2020-06-23,100.00,PLN
2020-06-24,100.00,PLN
2020-06-25,100.00,PLN
2020-06-26,100.00,PLN
2020-06-29,100.00,PLN
2020-06-30,100.00,PLN
2020-07-01,100.00,PLN
2020-07-02,100.00,PLN
2020-07-03,100.00,PLN
2020-07-06,100.00,PLN
2020-07-07,100.00,PLN
2020-07-08,100.00,PLN
2020-07-09,100.00,PLN
2020-07-10,100.00,PLN
2020-07-13,100.00,PLN
2020-07-14,100.00,PLN
2020-07-15,100.00,PLN
2020-07-16,100.00,PLN
2020-07-17,100.00,PLN
2020-07-20,100.00,PLN
2020-07-21,99.95,PLN
2020-07-22,99.77,PLN
2020-07-23,99.66,PLN
2020-07-24,99.50,PLN
2020-07-27,99.29,PLN
2020-07-28,99.31,PLN
2020-07-29,99.51,PLN
2020-07-30,99.29,PLN
2020-07-31,99.26,PLN
2020-08-03,99.63,PLN
2020-08-04,99.83,PLN
2020-08-05,99.66,PLN
2020-08-06,100.18,PLN
2020-08-07,100.15,PLN
2020-08-10,100.09,PLN
2020-08-11,99.69,PLN
2020-08-12,99.71,PLN
2020-08-13,99.52,PLN
2020-08-14,99.09,PLN
2020-08-17,99.15,PLN
2020-08-18,99.07,PLN
2020-08-19,99.23,PLN
2020-08-20,99.37,PLN
2020-08-21,99.65,PLN
2020-08-24,99.94,PLN
2020-08-25,99.62,PLN
2020-08-26,99.94,PLN
2020-08-27,99.82,PLN
2020-08-28,99.65,PLN
2020-08-31,99.35,PLN
2020-09-01,99.61,PLN
2020-09-02,100.81,PLN
2020-09-03,100.28,PLN
2020-09-04,100.01,PLN
2020-09-07,99.89,PLN
2020-09-08,99.63,PLN
2020-09-09,100.02,PLN
2020-09-10,99.40,PLN
2020-09-11,99.69,PLN
2020-09-14,99.93,PLN
2020-09-15,100.19,PLN
2020-09-16,100.42,PLN
2020-09-17,100.01,PLN
2020-09-18,99.69,PLN
2020-09-21,99.28,PLN
2020-09-22,99.45,PLN
2020-09-23,98.86,PLN
2020-09-24,99.06,PLN
2020-09-25,99.64,PLN
2020-09-28,100.09,PLN
2020-09-29,100.10,PLN
2020-09-30,99.86,PLN
2020-10-01,100.10,PLN
2020-10-02,99.92,PLN
2020-10-05,100.16,PLN
2020-10-06,100.03,PLN
2020-10-07,100.43,PLN
2020-10-08,100.84,PLN
2020-10-09,101.10,PLN
2020-10-12,101.42,PLN
2020-10-13,101.50,PLN
2020-10-14,101.60,PLN
2020-10-15,101.69,PLN
2020-10-16,101.69,PLN
2020-10-19,101.27,PLN
2020-10-20,101.37,PLN
2020-10-21,101.00,PLN
2020-10-22,100.92,PLN
2020-10-23,100.83,PLN
2020-10-26,100.54,PLN
2020-10-27,100.67,PLN
2020-10-28,99.96,PLN
2020-10-29,100.13,PLN
2020-10-30,99.73,PLN
2020-11-02,100.22,PLN
2020-11-03,100.19,PLN
2020-11-04,101.47,PLN
2020-11-05,101.86,PLN
2020-11-06,101.60,PLN
2020-11-09,101.58,PLN
2020-11-10,101.70,PLN
2020-11-12,101.93,PLN
2020-11-13,102.12,PLN
2020-11-16,102.20,PLN
2020-11-17,102.22,PLN
2020-11-18,101.97,PLN
2020-11-19,102.17,PLN
2020-11-20,102.26,PLN
2020-11-23,102.24,PLN
2020-11-24,102.63,PLN
2020-11-25,102.54,PLN
2020-11-26,102.64,PLN
2020-11-27,102.95,PLN
2020-11-30,102.41,PLN
2020-12-01,102.95,PLN
2020-12-02,102.78,PLN
2020-12-03,102.92,PLN
2020-12-04,103.32,PLN
2020-12-07,103.25,PLN
2020-12-08,103.37,PLN
2020-12-09,103.20,PLN
2020-12-10,103.26,PLN
2020-12-11,103.26,PLN
2020-12-14,103.38,PLN
2020-12-15,103.81,PLN
2020-12-16,104.10,PLN
2020-12-17,104.61,PLN
2020-12-18,104.56,PLN
2020-12-21,103.88,PLN
2020-12-22,104.14,PLN
