Data,Wartość dla NN Indeks Obligacji (A),Waluta
2020-06-22,100.00,PLN
2020-06-23,100.00,PLN
2020-06-24,100.00,PLN
2020-06-25,100.00,PLN
2020-06-26,100.00,PLN
2020-06-29,100.00,PLN
2020-06-30,100.00,PLN
2020-07-01,100.00,PLN
2020-07-02,100.00,PLN
2020-07-03,100.00,PLN
2020-07-06,100.00,PLN
2020-07-07,100.00,PLN
2020-07-08,100.00,PLN
2020-07-09,100.00,PLN
2020-07-10,100.00,PLN
2020-07-13,100.00,PLN
2020-07-14,100.00,PLN
2020-07-15,100.02,PLN
2020-07-16,100.11,PLN
2020-07-17,100.18,PLN
2020-07-20,100.10,PLN
2020-07-21,100.18,PLN
2020-07-22,100.20,PLN
2020-07-23,100.14,PLN
2020-07-24,100.09,PLN
2020-07-27,100.16,PLN
2020-07-28,100.25,PLN
2020-07-29,100.26,PLN
2020-07-30,100.38,PLN
2020-07-31,100.46,PLN
2020-08-03,100.38,PLN
2020-08-04,100.52,PLN
2020-08-05,100.41,PLN
2020-08-06,100.45,PLN
2020-08-07,100.42,PLN
2020-08-10,100.47,PLN
2020-08-11,100.26,PLN
2020-08-12,100.28,PLN
2020-08-13,100.29,PLN
2020-08-14,100.30,PLN
2020-08-17,100.20,PLN
2020-08-18,100.05,PLN
2020-08-19,100.06,PLN
2020-08-20,100.18,PLN
2020-08-21,100.24,PLN
2020-08-24,100.18,PLN
2020-08-25,100.07,PLN
2020-08-26,100.07,PLN
2020-08-27,100.08,PLN
2020-08-28,99.91,PLN
2020-08-31,100.06,PLN
2020-09-01,100.12,PLN
2020-09-02,100.17,PLN
2020-09-03,100.16,PLN
2020-09-04,100.09,PLN
2020-09-07,100.08,PLN
2020-09-08,100.14,PLN
2020-09-09,100.15,PLN
2020-09-10,100.16,PLN
2020-09-11,100.22,PLN
2020-09-14,100.26,PLN
2020-09-15,100.24,PLN
2020-09-16,100.28,PLN
2020-09-17,100.28,PLN
2020-09-18,100.34,PLN
2020-09-21,100.44,PLN
2020-09-22,100.36,PLN
2020-09-23,100.30,PLN
2020-09-24,100.36,PLN
2020-09-25,100.39,PLN
2020-09-28,100.49,PLN
2020-09-29,100.52,PLN
2020-09-30,100.53,PLN
2020-10-01,100.54,PLN
2020-10-02,100.57,PLN
2020-10-05,100.50,PLN
2020-10-06,100.49,PLN
2020-10-07,100.54,PLN
2020-10-08,100.64,PLN
2020-10-09,100.69,PLN
2020-10-12,100.75,PLN
2020-10-13,100.84,PLN
2020-10-14,100.89,PLN
2020-10-15,100.92,PLN
2020-10-16,100.86,PLN
2020-10-19,100.90,PLN
2020-10-20,100.91,PLN
2020-10-21,100.88,PLN
2020-10-22,100.90,PLN
2020-10-23,100.91,PLN
2020-10-26,101.01,PLN
2020-10-27,101.11,PLN
2020-10-28,101.20,PLN
2020-10-29,101.23,PLN
2020-10-30,101.18,PLN
2020-11-02,101.17,PLN
2020-11-03,101.28,PLN
2020-11-04,101.41,PLN
2020-11-05,101.42,PLN
2020-11-06,101.41,PLN
2020-11-09,101.20,PLN
2020-11-10,100.99,PLN
2020-11-12,101.10,PLN
2020-11-13,101.18,PLN
2020-11-16,101.19,PLN
2020-11-17,101.19,PLN
2020-11-18,101.28,PLN
2020-11-19,101.28,PLN
2020-11-20,101.24,PLN
2020-11-23,101.14,PLN
2020-11-24,101.10,PLN
2020-11-25,101.05,PLN
2020-11-26,101.12,PLN
2020-11-27,101.05,PLN
2020-11-30,101.10,PLN
2020-12-01,101.00,PLN
2020-12-02,100.97,PLN
2020-12-03,100.94,PLN
2020-12-04,100.59,PLN
2020-12-07,100.74,PLN
2020-12-08,100.75,PLN
2020-12-09,100.73,PLN
2020-12-10,100.70,PLN
2020-12-11,100.76,PLN
2020-12-14,100.84,PLN
2020-12-15,101.00,PLN
2020-12-16,100.88,PLN
2020-12-17,100.97,PLN
2020-12-18,100.89,PLN
2020-12-21,101.02,PLN
2020-12-22,100.88,PLN
2020-12-23,100.86,PLN
