Data,Wartość dla NN Indeks Odpowiedzialnego Inwestowania (A),Waluta
2001-11-05,101.04,PLN
2001-11-06,101.08,PLN
2001-11-07,101.11,PLN
2001-11-08,101.14,PLN
2001-11-09,101.78,PLN
2001-11-12,100.74,PLN
2001-11-13,104.03,PLN
2001-11-14,106.65,PLN
2001-11-15,105.97,PLN
2001-11-16,105.69,PLN
2001-11-19,105.72,PLN
2001-11-20,105.10,PLN
2001-11-21,102.71,PLN
2001-11-22,103.53,PLN
2001-11-23,103.23,PLN
2001-11-26,103.03,PLN
2001-11-27,104.10,PLN
2001-11-28,103.68,PLN
2001-11-29,103.49,PLN
2001-11-30,102.93,PLN
2001-12-03,102.20,PLN
2001-12-04,103.81,PLN
2001-12-05,104.10,PLN
2001-12-06,104.09,PLN
2001-12-07,103.67,PLN
2001-12-10,101.64,PLN
2001-12-11,100.95,PLN
2001-12-12,100.55,PLN
2001-12-13,98.85,PLN
2001-12-14,98.37,PLN
2001-12-17,98.75,PLN
2001-12-18,100.93,PLN
2001-12-19,100.74,PLN
2001-12-20,100.59,PLN
2001-12-21,100.14,PLN
2001-12-27,100.58,PLN
2001-12-28,100.98,PLN
2001-12-31,101.20,PLN
2002-01-02,101.20,PLN
2002-01-03,101.56,PLN
2002-01-04,105.31,PLN
2002-01-07,107.75,PLN
2002-01-08,108.92,PLN
2002-01-09,108.49,PLN
2002-01-10,111.73,PLN
2002-01-11,111.55,PLN
2002-01-14,112.01,PLN
2002-01-15,110.34,PLN
2002-01-16,111.02,PLN
2002-01-17,111.71,PLN
2002-01-18,113.85,PLN
2002-01-21,113.17,PLN
2002-01-22,112.46,PLN
2002-01-23,115.52,PLN
2002-01-24,115.23,PLN
2002-01-25,116.08,PLN
2002-01-28,116.89,PLN
2002-01-29,114.53,PLN
2002-01-30,114.99,PLN
2002-01-31,113.68,PLN
2002-02-01,115.29,PLN
2002-02-04,114.52,PLN
2002-02-05,113.28,PLN
2002-02-06,111.38,PLN
2002-02-07,111.84,PLN
2002-02-08,110.62,PLN
2002-02-11,111.03,PLN
2002-02-12,111.58,PLN
2002-02-13,110.91,PLN
2002-02-14,111.81,PLN
2002-02-15,111.32,PLN
2002-02-18,111.12,PLN
2002-02-19,110.20,PLN
2002-02-20,109.56,PLN
2002-02-21,109.90,PLN
2002-02-22,109.23,PLN
2002-02-25,108.77,PLN
2002-02-26,110.43,PLN
2002-02-27,110.96,PLN
2002-02-28,111.12,PLN
2002-03-01,110.77,PLN
2002-03-04,111.73,PLN
2002-03-05,112.24,PLN
2002-03-06,111.83,PLN
2002-03-07,111.53,PLN
2002-03-08,112.67,PLN
2002-03-11,112.83,PLN
2002-03-12,111.33,PLN
2002-03-13,109.82,PLN
2002-03-14,110.54,PLN
2002-03-15,111.01,PLN
2002-03-18,110.90,PLN
2002-03-19,110.02,PLN
2002-03-20,109.24,PLN
2002-03-21,109.41,PLN
2002-03-22,109.65,PLN
2002-03-25,111.25,PLN
2002-03-26,109.37,PLN
2002-03-27,109.49,PLN
2002-03-28,110.14,PLN
2002-04-02,109.91,PLN
2002-04-03,108.99,PLN
2002-04-04,108.72,PLN
2002-04-05,108.98,PLN
2002-04-08,110.43,PLN
2002-04-09,110.22,PLN
2002-04-10,111.77,PLN
2002-04-11,111.69,PLN
2002-04-12,111.58,PLN
2002-04-15,110.76,PLN
2002-04-16,111.61,PLN
2002-04-17,111.91,PLN
2002-04-18,111.18,PLN
2002-04-19,110.80,PLN
2002-04-22,109.89,PLN
2002-04-23,110.06,PLN
2002-04-24,110.52,PLN
2002-04-25,110.21,PLN
2002-04-26,110.88,PLN
2002-04-29,111.76,PLN
2002-04-30,112.22,PLN
2002-05-02,111.61,PLN
2002-05-06,110.60,PLN
2002-05-07,110.53,PLN
2002-05-08,109.78,PLN
2002-05-09,110.30,PLN
2002-05-10,110.20,PLN
2002-05-13,109.99,PLN
2002-05-14,110.09,PLN
2002-05-15,110.54,PLN
2002-05-16,110.76,PLN
2002-05-17,113.85,PLN
2002-05-20,115.14,PLN
2002-05-21,114.64,PLN
2002-05-22,115.23,PLN
2002-05-23,114.67,PLN
2002-05-24,115.00,PLN
2002-05-27,115.19,PLN
2002-05-28,115.26,PLN
2002-05-29,114.70,PLN
2002-05-31,115.26,PLN
2002-06-03,114.82,PLN
2002-06-04,116.07,PLN
2002-06-05,115.19,PLN
2002-06-06,115.20,PLN
2002-06-07,115.14,PLN
2002-06-10,114.30,PLN
2002-06-11,114.29,PLN
2002-06-12,114.36,PLN
2002-06-13,114.40,PLN
2002-06-14,113.87,PLN
2002-06-17,111.92,PLN
2002-06-18,112.14,PLN
2002-06-19,111.46,PLN
2002-06-20,110.04,PLN
2002-06-21,109.89,PLN
2002-06-24,111.00,PLN
2002-06-25,109.12,PLN
2002-06-26,108.29,PLN
2002-06-27,106.72,PLN
2002-06-28,107.16,PLN
2002-07-01,105.59,PLN
2002-07-02,105.42,PLN
2002-07-03,104.06,PLN
2002-07-04,103.77,PLN
2002-07-05,103.30,PLN
2002-07-08,104.53,PLN
2002-07-09,104.57,PLN
2002-07-10,105.05,PLN
2002-07-11,103.96,PLN
2002-07-12,102.53,PLN
2002-07-15,102.51,PLN
2002-07-16,101.76,PLN
2002-07-17,101.91,PLN
2002-07-18,103.78,PLN
2002-07-19,102.08,PLN
2002-07-22,100.27,PLN
2002-07-23,98.26,PLN
2002-07-24,99.06,PLN
2002-07-25,96.92,PLN
2002-07-26,95.54,PLN
2002-07-29,97.20,PLN
2002-07-30,96.56,PLN
2002-07-31,96.75,PLN
2002-08-01,97.09,PLN
2002-08-02,98.29,PLN
2002-08-05,97.78,PLN
2002-08-06,97.09,PLN
2002-08-07,97.27,PLN
2002-08-08,96.33,PLN
2002-08-09,96.40,PLN
2002-08-12,96.51,PLN
2002-08-13,96.14,PLN
2002-08-14,98.14,PLN
2002-08-16,97.55,PLN
2002-08-19,97.73,PLN
2002-08-20,97.88,PLN
2002-08-21,97.14,PLN
2002-08-22,100.09,PLN
2002-08-23,100.10,PLN
2002-08-26,100.38,PLN
2002-08-27,101.07,PLN
2002-08-28,103.30,PLN
2002-08-29,101.65,PLN
2002-08-30,100.27,PLN
2002-09-02,101.25,PLN
2002-09-03,101.08,PLN
2002-09-04,98.76,PLN
2002-09-05,98.03,PLN
2002-09-06,97.52,PLN
2002-09-09,99.11,PLN
2002-09-10,99.39,PLN
2002-09-11,100.67,PLN
2002-09-12,101.49,PLN
2002-09-13,100.11,PLN
2002-09-16,99.65,PLN
2002-09-17,100.40,PLN
2002-09-18,100.57,PLN
2002-09-19,99.19,PLN
2002-09-20,98.86,PLN
2002-09-23,99.87,PLN
2002-09-24,99.41,PLN
2002-09-25,97.80,PLN
2002-09-26,99.10,PLN
2002-09-27,98.88,PLN
2002-09-30,98.52,PLN
2002-10-01,97.36,PLN
2002-10-02,96.95,PLN
2002-10-03,96.89,PLN
2002-10-04,97.46,PLN
2002-10-07,97.38,PLN
2002-10-08,96.40,PLN
2002-10-09,96.62,PLN
2002-10-10,96.67,PLN
2002-10-11,97.65,PLN
2002-10-14,99.13,PLN
2002-10-15,99.35,PLN
2002-10-16,100.95,PLN
2002-10-17,100.48,PLN
2002-10-18,100.64,PLN
2002-10-21,102.02,PLN
2002-10-22,102.07,PLN
2002-10-23,102.82,PLN
2002-10-24,102.80,PLN
2002-10-25,102.72,PLN
2002-10-28,102.50,PLN
2002-10-29,104.78,PLN
