Data,Wartość dla NN Obligacji 2 (A),Waluta
2001-11-19,101.61,PLN
2001-11-20,101.65,PLN
2001-11-21,101.69,PLN
2001-11-22,101.73,PLN
2001-11-23,101.77,PLN
2001-11-26,101.89,PLN
2001-11-27,101.96,PLN
2001-11-28,101.93,PLN
2001-11-29,101.86,PLN
2001-11-30,101.85,PLN
2001-12-03,102.16,PLN
2001-12-04,102.18,PLN
2001-12-05,102.40,PLN
2001-12-06,102.42,PLN
2001-12-07,102.45,PLN
2001-12-10,102.20,PLN
2001-12-11,102.22,PLN
2001-12-12,102.29,PLN
2001-12-13,102.12,PLN
2001-12-14,102.22,PLN
2001-12-17,102.39,PLN
2001-12-18,102.67,PLN
2001-12-19,102.87,PLN
2001-12-20,103.23,PLN
2001-12-21,103.30,PLN
2001-12-27,103.45,PLN
2001-12-28,103.63,PLN
2001-12-31,103.81,PLN
2002-01-02,103.83,PLN
2002-01-03,103.97,PLN
2002-01-04,104.30,PLN
2002-01-07,105.00,PLN
2002-01-08,105.16,PLN
2002-01-09,105.63,PLN
2002-01-10,105.53,PLN
2002-01-11,105.53,PLN
2002-01-14,105.63,PLN
2002-01-15,105.63,PLN
2002-01-16,105.82,PLN
2002-01-17,105.98,PLN
2002-01-18,105.99,PLN
2002-01-21,106.08,PLN
2002-01-22,106.10,PLN
2002-01-23,106.19,PLN
2002-01-24,106.21,PLN
2002-01-25,106.16,PLN
2002-01-28,106.17,PLN
2002-01-29,106.17,PLN
2002-01-30,106.17,PLN
2002-01-31,105.99,PLN
2002-02-01,105.93,PLN
2002-02-04,105.97,PLN
2002-02-05,105.98,PLN
2002-02-06,105.81,PLN
2002-02-07,105.74,PLN
2002-02-08,105.26,PLN
2002-02-11,105.59,PLN
2002-02-12,105.50,PLN
2002-02-13,105.37,PLN
2002-02-14,105.33,PLN
2002-02-15,105.36,PLN
2002-02-18,105.63,PLN
2002-02-19,105.72,PLN
2002-02-20,105.77,PLN
2002-02-21,105.82,PLN
2002-02-22,105.84,PLN
2002-02-25,105.90,PLN
2002-02-26,105.91,PLN
2002-02-27,105.94,PLN
2002-02-28,105.99,PLN
2002-03-01,106.00,PLN
2002-03-04,106.07,PLN
2002-03-05,106.08,PLN
2002-03-06,106.16,PLN
2002-03-07,106.20,PLN
2002-03-08,106.42,PLN
2002-03-11,106.50,PLN
2002-03-12,106.52,PLN
2002-03-13,106.53,PLN
2002-03-14,106.60,PLN
2002-03-15,106.74,PLN
2002-03-18,106.86,PLN
2002-03-19,106.88,PLN
2002-03-20,106.85,PLN
2002-03-21,106.87,PLN
2002-03-22,106.96,PLN
2002-03-25,107.00,PLN
2002-03-26,107.02,PLN
2002-03-27,107.04,PLN
2002-03-28,107.06,PLN
2002-04-02,107.18,PLN
2002-04-03,107.20,PLN
2002-04-04,107.05,PLN
2002-04-05,107.05,PLN
2002-04-08,107.12,PLN
2002-04-09,107.14,PLN
2002-04-10,107.15,PLN
2002-04-11,107.19,PLN
2002-04-12,107.21,PLN
2002-04-15,107.52,PLN
2002-04-16,107.58,PLN
2002-04-17,107.79,PLN
2002-04-18,108.05,PLN
2002-04-19,108.10,PLN
2002-04-22,108.27,PLN
2002-04-23,108.30,PLN
2002-04-24,108.26,PLN
2002-04-25,108.28,PLN
2002-04-26,108.14,PLN
2002-04-29,108.22,PLN
2002-04-30,108.24,PLN
2002-05-02,108.45,PLN
2002-05-06,108.52,PLN
2002-05-07,108.49,PLN
2002-05-08,108.45,PLN
2002-05-09,108.45,PLN
2002-05-10,108.46,PLN
2002-05-13,108.62,PLN
2002-05-14,108.68,PLN
2002-05-15,108.71,PLN
2002-05-16,108.79,PLN
2002-05-17,108.78,PLN
2002-05-20,108.86,PLN
2002-05-21,108.87,PLN
2002-05-22,108.92,PLN
2002-05-23,108.97,PLN
2002-05-24,108.98,PLN
2002-05-27,109.24,PLN
2002-05-28,109.61,PLN
2002-05-29,109.66,PLN
2002-05-31,109.96,PLN
2002-06-03,110.07,PLN
2002-06-04,110.15,PLN
2002-06-05,110.24,PLN
2002-06-06,110.30,PLN
2002-06-07,111.05,PLN
2002-06-10,111.14,PLN
2002-06-11,111.17,PLN
2002-06-12,111.20,PLN
2002-06-13,111.36,PLN
2002-06-14,111.41,PLN
2002-06-17,111.49,PLN
2002-06-18,111.52,PLN
2002-06-19,111.56,PLN
2002-06-20,112.09,PLN
2002-06-21,112.36,PLN
2002-06-24,112.42,PLN
2002-06-25,112.42,PLN
