Data,Wartość dla NN Perspektywa 2020 (A),Waluta
2012-03-20,100.23,PLN
2012-03-21,100.23,PLN
2012-03-22,99.83,PLN
2012-03-23,100.02,PLN
2012-03-26,100.25,PLN
2012-03-27,100.39,PLN
2012-03-28,100.09,PLN
2012-03-29,99.63,PLN
2012-03-30,99.97,PLN
2012-04-02,100.17,PLN
2012-04-03,100.25,PLN
2012-04-04,99.56,PLN
2012-04-05,99.46,PLN
2012-04-10,98.96,PLN
2012-04-11,99.20,PLN
2012-04-12,99.56,PLN
2012-04-13,99.33,PLN
2012-04-16,99.25,PLN
2012-04-17,99.53,PLN
2012-04-18,99.34,PLN
2012-04-19,99.36,PLN
2012-04-20,99.28,PLN
2012-04-23,98.53,PLN
2012-04-24,98.85,PLN
2012-04-25,99.26,PLN
2012-04-26,99.60,PLN
2012-04-27,99.88,PLN
2012-04-30,99.99,PLN
2012-05-02,100.17,PLN
2012-05-04,100.03,PLN
2012-05-07,99.91,PLN
2012-05-08,99.35,PLN
2012-05-09,98.94,PLN
2012-05-10,99.10,PLN
2012-05-11,98.97,PLN
2012-05-14,98.09,PLN
2012-05-15,97.88,PLN
2012-05-16,97.64,PLN
2012-05-17,96.96,PLN
2012-05-18,96.92,PLN
2012-05-21,97.27,PLN
2012-05-22,97.51,PLN
2012-05-23,96.62,PLN
2012-05-24,96.68,PLN
2012-05-25,96.83,PLN
2012-05-28,97.00,PLN
2012-05-29,97.40,PLN
2012-05-30,96.93,PLN
2012-05-31,97.13,PLN
2012-06-01,96.69,PLN
2012-06-04,96.77,PLN
2012-06-05,96.52,PLN
2012-06-06,97.20,PLN
2012-06-08,97.67,PLN
2012-06-11,97.84,PLN
2012-06-12,98.25,PLN
2012-06-13,98.39,PLN
2012-06-14,98.34,PLN
2012-06-15,98.72,PLN
2012-06-18,98.86,PLN
2012-06-19,99.55,PLN
2012-06-20,99.62,PLN
2012-06-21,99.37,PLN
2012-06-22,99.26,PLN
2012-06-25,98.94,PLN
2012-06-26,99.28,PLN
2012-06-27,99.54,PLN
2012-06-28,99.13,PLN
2012-06-29,99.95,PLN
2012-07-02,99.93,PLN
2012-07-03,100.19,PLN
2012-07-04,100.14,PLN
2012-07-05,100.23,PLN
2012-07-06,100.08,PLN
2012-07-09,99.88,PLN
2012-07-10,99.92,PLN
2012-07-11,99.81,PLN
2012-07-12,99.76,PLN
2012-07-13,100.18,PLN
2012-07-16,100.29,PLN
2012-07-17,100.43,PLN
2012-07-18,100.59,PLN
2012-07-19,100.84,PLN
2012-07-20,100.52,PLN
2012-07-23,99.72,PLN
2012-07-24,99.70,PLN
2012-07-25,99.79,PLN
2012-07-26,100.11,PLN
2012-07-27,100.58,PLN
2012-07-30,100.89,PLN
2012-07-31,100.90,PLN
2012-08-01,100.88,PLN
2012-08-02,100.62,PLN
2012-08-03,101.28,PLN
2012-08-06,101.61,PLN
2012-08-07,101.45,PLN
2012-08-08,101.46,PLN
2012-08-09,101.73,PLN
2012-08-10,101.57,PLN
2012-08-13,101.52,PLN
