Data,Wartość dla NN Średnich i Małych Spółek (A),Waluta
2005-10-03,119.93,PLN
2005-10-04,119.94,PLN
2005-10-05,119.97,PLN
2005-10-06,120.00,PLN
2005-10-07,120.47,PLN
2005-10-10,120.50,PLN
2005-10-11,120.72,PLN
2005-10-12,120.76,PLN
2005-10-13,119.90,PLN
2005-10-14,119.84,PLN
2005-10-17,119.95,PLN
2005-10-18,120.21,PLN
2005-10-19,119.20,PLN
2005-10-20,119.73,PLN
2005-10-21,118.78,PLN
2005-10-24,119.54,PLN
2005-10-25,119.45,PLN
2005-10-26,119.13,PLN
2005-10-27,118.67,PLN
2005-10-28,118.93,PLN
2005-10-31,119.36,PLN
2005-11-02,119.68,PLN
2005-11-03,119.79,PLN
2005-11-04,119.93,PLN
2005-11-07,119.25,PLN
2005-11-08,118.68,PLN
2005-11-09,119.36,PLN
2005-11-10,118.94,PLN
2005-11-14,118.28,PLN
2005-11-15,118.23,PLN
2005-11-16,118.14,PLN
2005-11-17,119.06,PLN
2005-11-18,119.29,PLN
2005-11-21,119.46,PLN
2005-11-22,119.42,PLN
2005-11-23,119.39,PLN
2005-11-24,119.79,PLN
2005-11-25,120.58,PLN
2005-11-28,121.69,PLN
2005-11-29,122.83,PLN
2005-11-30,123.25,PLN
2005-12-01,124.01,PLN
2005-12-02,124.81,PLN
2005-12-05,124.63,PLN
2005-12-06,124.36,PLN
2005-12-07,124.98,PLN
2005-12-08,125.30,PLN
2005-12-09,125.25,PLN
2005-12-12,126.01,PLN
2005-12-13,126.30,PLN
2005-12-14,127.68,PLN
2005-12-15,128.37,PLN
2005-12-16,128.22,PLN
2005-12-19,128.90,PLN
2005-12-20,130.15,PLN
2005-12-21,131.77,PLN
2005-12-22,131.95,PLN
2005-12-23,132.21,PLN
2005-12-27,132.81,PLN
2005-12-28,133.09,PLN
2005-12-29,133.40,PLN
2005-12-30,133.18,PLN
2006-01-02,134.52,PLN
2006-01-03,136.88,PLN
2006-01-04,138.27,PLN
2006-01-05,138.66,PLN
2006-01-06,139.86,PLN
2006-01-09,140.10,PLN
2006-01-10,141.37,PLN
2006-01-11,143.26,PLN
2006-01-12,144.29,PLN
2006-01-13,144.46,PLN
2006-01-16,146.18,PLN
2006-01-17,146.46,PLN
2006-01-18,146.70,PLN
2006-01-19,149.75,PLN
2006-01-20,151.52,PLN
2006-01-23,153.12,PLN
2006-01-24,153.04,PLN
2006-01-25,153.92,PLN
2006-01-26,153.81,PLN
2006-01-27,154.27,PLN
2006-01-30,154.21,PLN
2006-01-31,151.52,PLN
2006-02-01,151.12,PLN
2006-02-02,151.49,PLN
2006-02-03,149.46,PLN
2006-02-06,150.88,PLN
2006-02-07,152.42,PLN
2006-02-08,152.85,PLN
2006-02-09,154.16,PLN
2006-02-10,152.73,PLN
2006-02-13,151.99,PLN
2006-02-14,153.42,PLN
2006-02-15,153.69,PLN
2006-02-16,153.06,PLN
2006-02-17,155.19,PLN
2006-02-20,157.05,PLN
2006-02-21,157.52,PLN
2006-02-22,157.21,PLN
2006-02-23,158.15,PLN
2006-02-24,159.59,PLN
2006-02-27,161.00,PLN
2006-02-28,158.09,PLN
2006-03-01,158.47,PLN
2006-03-02,159.16,PLN
2006-03-03,158.63,PLN
2006-03-06,158.28,PLN
2006-03-07,155.24,PLN
2006-03-08,153.81,PLN
2006-03-09,154.75,PLN
2006-03-10,154.40,PLN
2006-03-13,155.11,PLN
2006-03-14,154.58,PLN
2006-03-15,157.11,PLN
2006-03-16,159.54,PLN
2006-03-17,160.08,PLN
2006-03-20,160.10,PLN
2006-03-21,159.40,PLN
2006-03-22,160.06,PLN
2006-03-23,161.98,PLN
2006-03-24,163.38,PLN
2006-03-27,163.98,PLN
2006-03-28,162.48,PLN
2006-03-29,163.77,PLN
2006-03-30,164.90,PLN
2006-03-31,164.94,PLN
2006-04-03,166.73,PLN
2006-04-04,168.63,PLN
2006-04-05,169.97,PLN
2006-04-06,172.28,PLN
2006-04-07,173.90,PLN
2006-04-10,174.49,PLN
2006-04-11,173.00,PLN
2006-04-12,175.22,PLN
2006-04-13,175.98,PLN
2006-04-18,177.57,PLN
2006-04-19,178.04,PLN
2006-04-20,178.76,PLN
2006-04-21,179.58,PLN
2006-04-24,180.56,PLN
2006-04-25,179.53,PLN
2006-04-26,181.07,PLN
2006-04-27,179.28,PLN
2006-04-28,180.58,PLN
2006-05-02,181.87,PLN
2006-05-04,183.69,PLN
2006-05-05,184.48,PLN
2006-05-08,186.59,PLN
