Data,Wartość dla NN Zrównoważony (A),Waluta
1998-03-11,100.00,PLN
1998-03-12,99.83,PLN
1998-03-13,100.17,PLN
1998-03-16,100.22,PLN
1998-03-17,99.93,PLN
1998-03-18,99.84,PLN
1998-03-19,99.82,PLN
1998-03-20,99.58,PLN
1998-03-21,99.50,PLN
1998-03-24,99.22,PLN
1998-03-25,98.86,PLN
1998-03-26,99.66,PLN
1998-03-27,99.08,PLN
1998-03-30,99.01,PLN
1998-03-31,98.62,PLN
1998-04-01,98.59,PLN
1998-04-02,98.52,PLN
1998-04-06,99.08,PLN
1998-04-07,100.45,PLN
1998-04-08,100.44,PLN
1998-04-09,99.99,PLN
1998-04-14,100.80,PLN
1998-04-15,101.23,PLN
1998-04-16,101.13,PLN
1998-04-17,100.60,PLN
1998-04-20,100.27,PLN
1998-04-21,100.08,PLN
1998-04-22,100.52,PLN
1998-04-23,100.56,PLN
1998-04-24,101.31,PLN
1998-04-27,102.19,PLN
1998-04-28,100.87,PLN
1998-04-29,101.22,PLN
1998-04-30,101.62,PLN
1998-05-04,101.90,PLN
1998-05-05,101.86,PLN
1998-05-06,101.40,PLN
1998-05-07,101.13,PLN
1998-05-08,100.74,PLN
1998-05-11,100.85,PLN
1998-05-12,100.91,PLN
1998-05-13,100.54,PLN
1998-05-14,100.10,PLN
1998-05-15,99.56,PLN
1998-05-18,99.54,PLN
1998-05-19,98.51,PLN
1998-05-20,98.13,PLN
1998-05-21,99.96,PLN
1998-05-22,99.33,PLN
1998-05-25,98.65,PLN
1998-05-26,97.84,PLN
1998-05-27,95.82,PLN
1998-05-28,95.15,PLN
1998-05-29,95.25,PLN
1998-06-01,93.57,PLN
1998-06-02,92.23,PLN
1998-06-03,94.10,PLN
1998-06-04,95.70,PLN
1998-06-05,97.21,PLN
1998-06-08,98.44,PLN
1998-06-09,97.85,PLN
1998-06-10,96.22,PLN
1998-06-15,94.36,PLN
1998-06-16,94.44,PLN
1998-06-17,97.02,PLN
1998-06-18,98.13,PLN
1998-06-19,97.12,PLN
1998-06-22,97.43,PLN
1998-06-23,97.14,PLN
1998-06-24,96.52,PLN
1998-06-25,97.22,PLN
1998-06-26,97.31,PLN
1998-06-29,97.46,PLN
1998-06-30,98.56,PLN
1998-07-01,98.96,PLN
1998-07-02,100.39,PLN
1998-07-03,100.97,PLN
1998-07-06,101.86,PLN
1998-07-07,102.57,PLN
1998-07-08,102.35,PLN
1998-07-09,101.60,PLN
1998-07-10,101.23,PLN
1998-07-13,102.16,PLN
1998-07-14,104.58,PLN
1998-07-15,104.87,PLN
1998-07-16,104.32,PLN
1998-07-17,105.84,PLN
1998-07-20,105.66,PLN
1998-07-21,106.09,PLN
1998-07-22,104.54,PLN
1998-07-23,103.83,PLN
1998-07-24,104.06,PLN
1998-07-27,103.78,PLN
1998-07-28,102.96,PLN
1998-07-29,102.17,PLN
1998-07-30,102.77,PLN
1998-07-31,103.50,PLN
1998-08-03,101.88,PLN
1998-08-04,101.53,PLN
1998-08-05,100.56,PLN
1998-08-06,100.62,PLN
1998-08-07,100.37,PLN
1998-08-10,100.88,PLN
1998-08-11,99.70,PLN
1998-08-12,98.67,PLN
1998-08-13,96.78,PLN
1998-08-14,96.92,PLN
1998-08-17,95.81,PLN
1998-08-18,97.37,PLN
1998-08-19,98.59,PLN
1998-08-20,98.32,PLN
1998-08-21,96.25,PLN
1998-08-24,95.27,PLN
1998-08-25,95.42,PLN
1998-08-26,94.06,PLN
1998-08-27,91.02,PLN
1998-08-28,87.82,PLN
1998-08-31,86.93,PLN
1998-09-01,84.53,PLN
1998-09-02,87.37,PLN
1998-09-03,88.33,PLN
1998-09-04,88.08,PLN
1998-09-07,89.96,PLN
1998-09-08,90.83,PLN
1998-09-09,90.90,PLN
1998-09-10,89.96,PLN
1998-09-11,88.26,PLN
1998-09-14,89.49,PLN
1998-09-15,89.47,PLN
1998-09-16,89.23,PLN
1998-09-17,88.46,PLN
1998-09-18,87.62,PLN
1998-09-21,87.18,PLN
1998-09-22,87.78,PLN
1998-09-23,88.86,PLN
1998-09-24,91.03,PLN
1998-09-25,89.67,PLN
1998-09-28,90.67,PLN
1998-09-29,90.19,PLN
1998-09-30,88.97,PLN
1998-10-01,86.35,PLN
1998-10-02,85.02,PLN
1998-10-05,85.21,PLN
1998-10-06,84.83,PLN
1998-10-07,85.87,PLN
1998-10-08,84.96,PLN
1998-10-09,84.43,PLN
1998-10-12,86.69,PLN
1998-10-13,86.15,PLN
1998-10-14,85.76,PLN
1998-10-15,86.09,PLN
1998-10-16,86.81,PLN
1998-10-19,86.34,PLN
1998-10-20,86.31,PLN
1998-10-21,86.84,PLN
1998-10-22,87.46,PLN
1998-10-23,88.73,PLN
1998-10-26,89.87,PLN
1998-10-27,91.17,PLN
1998-10-28,89.99,PLN
1998-10-29,89.86,PLN
1998-10-30,91.79,PLN
1998-11-02,93.55,PLN
1998-11-03,94.01,PLN
1998-11-04,94.29,PLN
1998-11-05,94.41,PLN
1998-11-06,94.18,PLN
1998-11-09,93.84,PLN
1998-11-10,93.60,PLN
1998-11-12,92.63,PLN
1998-11-13,93.40,PLN
1998-11-16,95.62,PLN
1998-11-17,94.78,PLN
1998-11-18,94.51,PLN
1998-11-19,93.24,PLN
1998-11-20,93.30,PLN
1998-11-23,94.00,PLN
1998-11-24,93.54,PLN
1998-11-25,92.07,PLN
1998-11-26,92.28,PLN
1998-11-27,90.55,PLN
1998-11-30,89.96,PLN
1998-12-01,89.06,PLN
1998-12-02,89.14,PLN
1998-12-03,89.21,PLN
1998-12-04,90.03,PLN
1998-12-07,91.72,PLN
1998-12-08,91.57,PLN
1998-12-09,91.42,PLN
1998-12-10,91.69,PLN
1998-12-11,90.69,PLN
1998-12-14,90.20,PLN
1998-12-15,90.55,PLN
1998-12-16,90.66,PLN
1998-12-17,90.97,PLN
1998-12-18,90.97,PLN
1998-12-21,91.24,PLN
1998-12-22,92.10,PLN
1998-12-23,93.67,PLN
1998-12-28,95.16,PLN
1998-12-29,95.29,PLN
1998-12-30,94.28,PLN
1998-12-31,94.46,PLN
1999-01-04,96.56,PLN
1999-01-05,96.93,PLN
1999-01-06,98.20,PLN
1999-01-07,99.99,PLN
1999-01-08,100.56,PLN
1999-01-11,101.34,PLN
1999-01-12,99.59,PLN
1999-01-13,96.00,PLN
1999-01-14,95.17,PLN
1999-01-15,94.31,PLN
1999-01-18,97.94,PLN
1999-01-19,97.85,PLN
1999-01-20,98.94,PLN
1999-01-21,100.93,PLN
1999-01-22,98.73,PLN
1999-01-25,97.60,PLN
1999-01-26,100.15,PLN
1999-01-27,100.25,PLN
1999-01-28,99.96,PLN
1999-01-29,101.58,PLN
1999-02-01,101.93,PLN
1999-02-02,101.01,PLN
1999-02-03,100.64,PLN
1999-02-04,101.23,PLN
1999-02-05,100.50,PLN
1999-02-08,100.51,PLN
1999-02-09,100.64,PLN
1999-02-10,100.36,PLN
1999-02-11,100.58,PLN
1999-02-12,101.20,PLN
1999-02-15,100.68,PLN
1999-02-16,100.78,PLN
1999-02-17,100.49,PLN
1999-02-18,99.82,PLN
1999-02-19,99.21,PLN
1999-02-22,99.35,PLN
1999-02-23,99.22,PLN
1999-02-24,98.32,PLN
1999-02-25,97.22,PLN
1999-02-26,96.67,PLN
1999-03-01,96.82,PLN
1999-03-02,96.33,PLN
1999-03-03,96.42,PLN
1999-03-04,96.19,PLN
1999-03-05,96.49,PLN
1999-03-08,97.21,PLN
1999-03-09,97.89,PLN
1999-03-10,97.87,PLN
1999-03-11,97.96,PLN
1999-03-12,98.84,PLN
1999-03-15,98.80,PLN
1999-03-16,98.16,PLN
1999-03-17,97.75,PLN
1999-03-18,98.08,PLN
1999-03-19,99.17,PLN
1999-03-22,99.66,PLN
1999-03-23,99.52,PLN
1999-03-24,97.78,PLN
1999-03-25,98.77,PLN
1999-03-26,99.27,PLN
1999-03-29,98.83,PLN
1999-03-30,99.45,PLN
1999-03-31,99.56,PLN
1999-04-01,100.45,PLN
1999-04-06,101.59,PLN
1999-04-07,102.15,PLN
1999-04-08,102.12,PLN
1999-04-09,102.41,PLN
1999-04-12,101.81,PLN
1999-04-13,102.16,PLN
1999-04-14,101.72,PLN
1999-04-15,101.58,PLN
1999-04-16,101.91,PLN
1999-04-19,103.56,PLN
1999-04-20,105.33,PLN
1999-04-21,105.46,PLN
1999-04-22,106.25,PLN
