Data,Wartość dla NN (L) Europejski Spółek Dywidendowych (A),Waluta
2009-11-23,100.00,PLN
2009-11-24,100.00,PLN
2009-11-25,100.38,PLN
2009-11-26,97.79,PLN
2009-11-27,98.67,PLN
2009-11-30,97.41,PLN
2009-12-01,99.59,PLN
2009-12-02,100.07,PLN
2009-12-03,99.95,PLN
2009-12-04,101.01,PLN
2009-12-07,100.58,PLN
2009-12-08,99.41,PLN
2009-12-09,98.61,PLN
2009-12-10,99.57,PLN
2009-12-11,99.98,PLN
2009-12-14,100.44,PLN
2009-12-15,100.57,PLN
2009-12-16,101.65,PLN
2009-12-17,100.56,PLN
2009-12-18,100.36,PLN
2009-12-21,101.62,PLN
2009-12-22,102.24,PLN
2009-12-23,102.23,PLN
2009-12-28,102.71,PLN
2009-12-29,102.96,PLN
2009-12-30,102.80,PLN
2009-12-31,102.96,PLN
2010-01-04,104.40,PLN
2010-01-05,104.22,PLN
2010-01-06,104.31,PLN
2010-01-07,104.12,PLN
2010-01-08,104.43,PLN
2010-01-11,104.39,PLN
2010-01-12,103.84,PLN
2010-01-13,103.98,PLN
2010-01-14,104.58,PLN
2010-01-15,103.87,PLN
2010-01-18,104.46,PLN
2010-01-19,105.45,PLN
2010-01-20,104.27,PLN
2010-01-21,103.48,PLN
2010-01-22,102.88,PLN
2010-01-25,102.50,PLN
2010-01-26,103.12,PLN
2010-01-27,102.59,PLN
2010-01-28,101.55,PLN
2010-01-29,102.30,PLN
2010-02-01,102.55,PLN
2010-02-02,103.65,PLN
2010-02-03,102.84,PLN
2010-02-04,100.98,PLN
2010-02-05,99.30,PLN
2010-02-08,99.82,PLN
2010-02-09,99.64,PLN
2010-02-10,100.31,PLN
2010-02-11,100.51,PLN
2010-02-12,100.49,PLN
2010-02-15,100.69,PLN
2010-02-16,101.42,PLN
2010-02-17,102.58,PLN
2010-02-18,103.01,PLN
2010-02-19,103.40,PLN
2010-02-22,103.10,PLN
2010-02-23,102.30,PLN
2010-02-24,102.44,PLN
2010-02-25,101.05,PLN
2010-02-26,101.70,PLN
2010-03-01,102.76,PLN
2010-03-02,103.38,PLN
2010-03-03,103.74,PLN
2010-03-04,103.83,PLN
2010-03-05,105.13,PLN
2010-03-08,105.17,PLN
2010-03-09,104.96,PLN
2010-03-10,105.41,PLN
2010-03-11,105.43,PLN
2010-03-12,105.52,PLN
2010-03-15,105.15,PLN
2010-03-16,105.88,PLN
2010-03-17,106.30,PLN
2010-03-18,106.40,PLN
2010-03-19,105.94,PLN
2010-03-22,105.91,PLN
2010-03-23,106.54,PLN
2010-03-24,106.69,PLN
2010-03-25,107.50,PLN
2010-03-26,107.05,PLN
2010-03-29,107.22,PLN
2010-03-30,107.47,PLN
2010-03-31,107.46,PLN
2010-04-01,107.20,PLN
2010-04-06,108.79,PLN
2010-04-07,108.74,PLN
2010-04-08,108.13,PLN
2010-04-09,109.60,PLN
2010-04-12,109.30,PLN
2010-04-13,109.09,PLN
2010-04-14,109.87,PLN
2010-04-15,110.63,PLN
2010-04-16,109.27,PLN
2010-04-19,108.75,PLN
2010-04-20,109.95,PLN
2010-04-21,109.67,PLN
2010-04-22,108.41,PLN
2010-04-23,109.05,PLN
2010-04-26,109.62,PLN
2010-04-27,106.62,PLN
2010-04-28,105.31,PLN
2010-04-29,106.48,PLN
2010-04-30,106.06,PLN
2010-05-04,103.91,PLN
2010-05-05,103.02,PLN
2010-05-06,101.03,PLN
2010-05-07,97.48,PLN
2010-05-10,103.14,PLN
2010-05-11,102.79,PLN
2010-05-12,102.78,PLN
2010-05-13,104.34,PLN
2010-05-14,101.24,PLN
2010-05-17,101.19,PLN
2010-05-18,102.11,PLN
2010-05-19,99.76,PLN
2010-05-20,98.06,PLN
2010-05-21,98.05,PLN
2010-05-24,97.53,PLN
2010-05-25,96.03,PLN
2010-05-26,97.50,PLN
2010-05-27,100.02,PLN
2010-05-28,99.89,PLN
2010-05-31,100.21,PLN
2010-06-01,100.49,PLN
2010-06-02,100.74,PLN
2010-06-04,100.34,PLN
2010-06-07,99.81,PLN
2010-06-08,98.73,PLN
2010-06-09,100.11,PLN
2010-06-10,101.27,PLN
2010-06-11,101.98,PLN
2010-06-14,103.08,PLN
2010-06-15,104.01,PLN
2010-06-16,104.16,PLN
2010-06-17,103.96,PLN
2010-06-18,103.93,PLN
2010-06-21,104.69,PLN
2010-06-22,104.69,PLN
2010-06-23,104.22,PLN
2010-06-24,101.86,PLN
2010-06-25,101.43,PLN
2010-06-28,102.48,PLN
2010-06-29,99.94,PLN
2010-06-30,99.83,PLN
2010-07-01,97.60,PLN
2010-07-02,97.62,PLN
2010-07-05,97.26,PLN
2010-07-06,99.33,PLN
2010-07-07,100.41,PLN
2010-07-08,101.27,PLN
2010-07-09,101.67,PLN
2010-07-12,102.00,PLN
2010-07-13,103.60,PLN
2010-07-14,103.57,PLN
2010-07-15,102.58,PLN
2010-07-16,100.62,PLN
2010-07-19,100.02,PLN
2010-07-20,100.15,PLN
2010-07-21,101.18,PLN
2010-07-22,102.97,PLN
2010-07-23,103.53,PLN
2010-07-26,103.81,PLN
2010-07-27,104.21,PLN
2010-07-28,103.95,PLN
2010-07-29,103.81,PLN
2010-07-30,103.43,PLN
2010-08-02,105.83,PLN
2010-08-03,105.87,PLN
2010-08-04,106.06,PLN
2010-08-05,105.96,PLN
2010-08-06,105.12,PLN
2010-08-09,106.39,PLN
2010-08-10,105.74,PLN
2010-08-11,104.29,PLN
2010-08-12,104.36,PLN
2010-08-13,104.37,PLN
2010-08-16,104.20,PLN
2010-08-17,105.14,PLN
2010-08-18,104.99,PLN
2010-08-19,103.68,PLN
2010-08-20,103.15,PLN
2010-08-23,103.74,PLN
2010-08-24,102.07,PLN
2010-08-25,101.60,PLN
2010-08-26,102.05,PLN
2010-08-27,102.88,PLN
2010-08-30,102.87,PLN
2010-08-31,102.75,PLN
2010-09-01,105.01,PLN
2010-09-02,105.06,PLN
2010-09-03,105.84,PLN
2010-09-06,106.23,PLN
2010-09-07,105.93,PLN
2010-09-08,106.85,PLN
2010-09-09,107.53,PLN
2010-09-10,107.38,PLN
2010-09-13,107.80,PLN
2010-09-14,107.59,PLN
2010-09-15,107.33,PLN
2010-09-16,106.60,PLN
2010-09-17,106.19,PLN
2010-09-20,107.04,PLN
2010-09-21,106.52,PLN
2010-09-22,105.06,PLN
2010-09-23,104.95,PLN
2010-09-24,105.56,PLN
2010-09-27,105.25,PLN
2010-09-28,104.88,PLN
2010-09-29,104.28,PLN
2010-09-30,103.82,PLN
2010-10-01,103.67,PLN
2010-10-04,103.33,PLN
2010-10-05,104.43,PLN
2010-10-06,104.49,PLN
2010-10-07,104.64,PLN
2010-10-08,104.60,PLN
2010-10-11,104.95,PLN
2010-10-12,104.44,PLN
2010-10-13,105.68,PLN
2010-10-14,105.50,PLN
2010-10-15,105.77,PLN
2010-10-18,106.32,PLN
2010-10-19,105.88,PLN
2010-10-20,105.94,PLN
2010-10-21,106.37,PLN
2010-10-22,106.05,PLN
2010-10-25,106.11,PLN
2010-10-26,106.25,PLN
2010-10-27,105.73,PLN
2010-10-28,106.12,PLN
2010-10-29,106.23,PLN
2010-11-02,106.49,PLN
2010-11-03,105.95,PLN
2010-11-04,107.11,PLN
2010-11-05,107.49,PLN
2010-11-08,107.59,PLN
2010-11-09,107.87,PLN
2010-11-10,107.92,PLN
2010-11-12,107.36,PLN
2010-11-15,107.99,PLN
2010-11-16,106.06,PLN
2010-11-17,106.64,PLN
2010-11-18,107.69,PLN
2010-11-19,107.14,PLN
2010-11-22,106.50,PLN
2010-11-23,104.91,PLN
2010-11-24,105.29,PLN
2010-11-25,105.28,PLN
2010-11-26,105.23,PLN
2010-11-29,103.62,PLN
2010-11-30,103.35,PLN
2010-12-01,104.66,PLN
2010-12-02,105.73,PLN
2010-12-03,105.66,PLN
2010-12-06,105.59,PLN
2010-12-07,106.56,PLN
2010-12-08,107.39,PLN
2010-12-09,108.18,PLN
2010-12-10,108.09,PLN
2010-12-13,108.37,PLN
2010-12-14,108.77,PLN
2010-12-15,108.54,PLN
2010-12-16,108.94,PLN
2010-12-17,108.36,PLN
2010-12-20,109.11,PLN
2010-12-21,109.84,PLN
2010-12-22,110.01,PLN
2010-12-23,110.14,PLN
2010-12-27,109.28,PLN
2010-12-28,109.51,PLN
2010-12-29,109.99,PLN
2010-12-30,108.74,PLN
2010-12-31,108.32,PLN
2011-01-03,109.08,PLN
2011-01-04,110.01,PLN
2011-01-05,110.18,PLN
2011-01-07,110.31,PLN
2011-01-10,109.36,PLN
2011-01-11,110.23,PLN
2011-01-12,111.77,PLN
2011-01-13,111.57,PLN
2011-01-14,111.90,PLN
2011-01-17,112.17,PLN
