Data,Wartość dla NN (L) Indeks Surowców (dawniej NN (L) Nowej Azji) (A),Waluta
2009-11-23,100.00,PLN
2009-11-24,100.00,PLN
2009-11-25,100.00,PLN
2009-11-26,99.99,PLN
2009-11-27,95.71,PLN
2009-11-30,97.45,PLN
2009-12-01,98.74,PLN
2009-12-02,99.15,PLN
2009-12-03,99.47,PLN
2009-12-04,99.42,PLN
2009-12-07,99.27,PLN
2009-12-08,98.98,PLN
2009-12-09,98.44,PLN
2009-12-10,98.06,PLN
2009-12-11,98.51,PLN
2009-12-14,98.82,PLN
2009-12-15,98.48,PLN
2009-12-16,98.03,PLN
2009-12-17,97.22,PLN
2009-12-18,96.70,PLN
2009-12-21,95.84,PLN
2009-12-22,96.71,PLN
2009-12-23,96.70,PLN
2009-12-28,99.70,PLN
2009-12-29,99.87,PLN
2009-12-30,100.10,PLN
2009-12-31,101.05,PLN
2010-01-04,101.26,PLN
2010-01-05,101.74,PLN
2010-01-06,102.05,PLN
2010-01-07,101.21,PLN
2010-01-08,101.37,PLN
2010-01-11,102.09,PLN
2010-01-12,101.71,PLN
2010-01-13,100.14,PLN
2010-01-14,101.04,PLN
2010-01-15,100.93,PLN
2010-01-18,100.44,PLN
2010-01-19,100.44,PLN
2010-01-20,99.19,PLN
2010-01-21,97.96,PLN
2010-01-22,96.22,PLN
2010-01-25,95.76,PLN
2010-01-26,93.37,PLN
2010-01-27,92.14,PLN
2010-01-28,93.38,PLN
2010-01-29,92.57,PLN
2010-02-01,92.32,PLN
2010-02-02,92.36,PLN
2010-02-03,94.14,PLN
2010-02-04,92.96,PLN
2010-02-05,89.87,PLN
2010-02-08,89.52,PLN
2010-02-09,91.49,PLN
2010-02-10,92.09,PLN
2010-02-11,94.21,PLN
2010-02-12,94.49,PLN
2010-02-15,94.45,PLN
2010-02-16,94.81,PLN
2010-02-17,95.72,PLN
2010-02-18,95.08,PLN
2010-02-19,93.85,PLN
2010-02-22,95.33,PLN
2010-02-23,95.65,PLN
2010-02-24,94.85,PLN
2010-02-25,93.76,PLN
2010-02-26,94.75,PLN
2010-03-01,96.03,PLN
2010-03-02,96.78,PLN
2010-03-03,97.23,PLN
2010-03-04,96.46,PLN
2010-03-05,97.46,PLN
2010-03-08,99.29,PLN
2010-03-09,99.16,PLN
2010-03-10,99.60,PLN
2010-03-11,99.73,PLN
2010-03-12,99.77,PLN
2010-03-15,99.08,PLN
2010-03-16,99.36,PLN
2010-03-17,100.98,PLN
2010-03-18,100.98,PLN
2010-03-19,101.12,PLN
2010-03-22,99.85,PLN
2010-03-23,100.12,PLN
2010-03-24,100.29,PLN
2010-03-25,100.17,PLN
2010-03-26,100.97,PLN
2010-03-29,101.59,PLN
2010-03-30,101.99,PLN
2010-03-31,101.48,PLN
2010-04-01,101.48,PLN
2010-04-06,104.01,PLN
2010-04-07,104.81,PLN
2010-04-08,104.38,PLN
2010-04-09,104.90,PLN
2010-04-12,104.38,PLN
2010-04-13,103.48,PLN
2010-04-14,104.89,PLN
2010-04-15,105.15,PLN
2010-04-16,104.04,PLN
2010-04-19,101.84,PLN
2010-04-20,102.75,PLN
2010-04-21,103.59,PLN
2010-04-22,103.41,PLN
2010-04-23,103.39,PLN
2010-04-26,104.46,PLN
2010-04-27,103.86,PLN
2010-04-28,102.46,PLN
2010-04-29,102.38,PLN
2010-04-30,103.37,PLN
2010-05-04,102.09,PLN
2010-05-05,100.32,PLN
2010-05-06,98.23,PLN
2010-05-07,96.64,PLN
2010-05-10,99.74,PLN
2010-05-11,98.59,PLN
2010-05-12,98.58,PLN
2010-05-13,98.77,PLN
2010-05-14,99.56,PLN
2010-05-17,97.07,PLN
2010-05-18,97.20,PLN
2010-05-19,94.82,PLN
2010-05-20,92.81,PLN
2010-05-21,92.81,PLN
2010-05-24,92.52,PLN
2010-05-25,88.99,PLN
2010-05-26,90.91,PLN
2010-05-27,92.71,PLN
2010-05-28,94.43,PLN
2010-05-31,94.87,PLN
2010-06-01,92.91,PLN
2010-06-02,92.58,PLN
2010-06-04,94.75,PLN
2010-06-07,92.16,PLN
2010-06-08,92.45,PLN
2010-06-09,92.27,PLN
2010-06-10,92.88,PLN
2010-06-11,94.20,PLN
2010-06-14,95.79,PLN
2010-06-15,95.94,PLN
2010-06-16,95.93,PLN
2010-06-17,96.74,PLN
2010-06-18,97.70,PLN
2010-06-21,100.54,PLN
2010-06-22,100.53,PLN
2010-06-23,99.62,PLN
2010-06-24,98.94,PLN
2010-06-25,98.16,PLN
2010-06-28,98.53,PLN
2010-06-29,96.64,PLN
2010-06-30,96.63,PLN
2010-07-01,96.01,PLN
2010-07-02,95.59,PLN
2010-07-05,95.90,PLN
2010-07-06,97.02,PLN
2010-07-07,96.23,PLN
2010-07-08,97.51,PLN
2010-07-09,99.09,PLN
2010-07-12,99.41,PLN
2010-07-13,99.02,PLN
2010-07-14,100.07,PLN
2010-07-15,99.45,PLN
2010-07-16,99.13,PLN
2010-07-19,98.43,PLN
2010-07-20,98.97,PLN
2010-07-21,99.60,PLN
2010-07-22,99.58,PLN
2010-07-23,100.54,PLN
2010-07-26,100.67,PLN
2010-07-27,101.20,PLN
2010-07-28,101.37,PLN
2010-07-29,101.71,PLN
2010-07-30,101.41,PLN
2010-08-02,103.22,PLN
2010-08-03,103.32,PLN
2010-08-04,103.25,PLN
2010-08-05,103.22,PLN
2010-08-06,103.38,PLN
2010-08-09,104.14,PLN
2010-08-10,103.01,PLN
2010-08-11,101.91,PLN
2010-08-12,101.31,PLN
2010-08-13,101.94,PLN
2010-08-16,102.15,PLN
2010-08-17,102.73,PLN
2010-08-18,102.99,PLN
2010-08-19,103.53,PLN
2010-08-20,103.45,PLN
2010-08-23,103.48,PLN
2010-08-24,102.69,PLN
2010-08-25,101.77,PLN
2010-08-26,102.01,PLN
2010-08-27,101.82,PLN
2010-08-30,102.69,PLN
2010-08-31,102.25,PLN
2010-09-01,103.11,PLN
2010-09-02,103.79,PLN
2010-09-03,104.14,PLN
2010-09-06,105.49,PLN
2010-09-07,105.37,PLN
2010-09-08,104.93,PLN
2010-09-09,105.75,PLN
2010-09-10,105.68,PLN
2010-09-13,107.83,PLN
2010-09-14,107.36,PLN
2010-09-15,108.05,PLN
2010-09-16,107.27,PLN
2010-09-17,108.32,PLN
2010-09-20,108.87,PLN
2010-09-21,109.03,PLN
2010-09-22,109.29,PLN
2010-09-23,109.29,PLN
2010-09-24,109.46,PLN
2010-09-27,110.38,PLN
2010-09-28,109.79,PLN
2010-09-29,110.81,PLN
2010-09-30,110.92,PLN
2010-10-01,111.77,PLN
2010-10-04,112.61,PLN
2010-10-05,112.49,PLN
2010-10-06,113.65,PLN
2010-10-07,113.66,PLN
2010-10-08,113.19,PLN
2010-10-11,113.47,PLN
2010-10-12,112.94,PLN
2010-10-13,113.82,PLN
2010-10-14,114.87,PLN
2010-10-15,114.40,PLN
2010-10-18,113.07,PLN
2010-10-19,113.14,PLN
2010-10-20,112.91,PLN
2010-10-21,113.36,PLN
2010-10-22,113.94,PLN
2010-10-25,115.01,PLN
2010-10-26,114.92,PLN
2010-10-27,113.27,PLN
2010-10-28,113.52,PLN
2010-10-29,113.51,PLN
2010-11-02,116.18,PLN
2010-11-03,116.92,PLN
2010-11-04,118.97,PLN
2010-11-05,119.36,PLN
2010-11-08,119.47,PLN
2010-11-09,119.58,PLN
2010-11-10,119.36,PLN
2010-11-12,116.20,PLN
2010-11-15,115.82,PLN
2010-11-16,114.06,PLN
2010-11-17,113.35,PLN
2010-11-18,115.07,PLN
2010-11-19,114.36,PLN
2010-11-22,114.58,PLN
2010-11-23,112.70,PLN
2010-11-24,113.48,PLN
2010-11-25,113.36,PLN
2010-11-26,111.79,PLN
2010-11-29,112.69,PLN
2010-11-30,112.33,PLN
2010-12-01,114.87,PLN
2010-12-02,116.47,PLN
2010-12-03,116.23,PLN
2010-12-06,116.30,PLN
2010-12-07,116.35,PLN
2010-12-08,115.83,PLN
2010-12-09,116.01,PLN
2010-12-10,115.85,PLN
2010-12-13,115.89,PLN
2010-12-14,116.57,PLN
2010-12-15,115.17,PLN
2010-12-16,114.85,PLN
2010-12-17,115.12,PLN
2010-12-20,114.91,PLN
2010-12-21,115.76,PLN
2010-12-22,115.97,PLN
2010-12-23,115.53,PLN
2010-12-27,115.58,PLN
2010-12-28,115.36,PLN
2010-12-29,116.44,PLN
2010-12-30,116.94,PLN
2010-12-31,117.34,PLN
2011-01-03,119.03,PLN
2011-01-04,119.38,PLN
2011-01-05,119.30,PLN
2011-01-07,117.92,PLN
2011-01-10,117.03,PLN
2011-01-11,118.01,PLN
2011-01-12,119.89,PLN
2011-01-13,118.97,PLN
2011-01-14,119.19,PLN
