Data,Wartość dla NN (L) Japonia (A),Waluta
2009-11-23,100.00,PLN
2009-11-24,100.00,PLN
2009-11-25,100.00,PLN
2009-11-26,99.99,PLN
2009-11-27,97.37,PLN
2009-11-30,100.65,PLN
2009-12-01,102.52,PLN
2009-12-02,102.66,PLN
2009-12-03,105.75,PLN
2009-12-04,105.92,PLN
2009-12-07,106.86,PLN
2009-12-08,106.83,PLN
2009-12-09,105.94,PLN
2009-12-10,105.27,PLN
2009-12-11,106.27,PLN
2009-12-14,105.91,PLN
2009-12-15,105.87,PLN
2009-12-16,106.87,PLN
2009-12-17,106.76,PLN
2009-12-18,106.50,PLN
2009-12-21,106.39,PLN
2009-12-22,107.27,PLN
2009-12-23,107.27,PLN
2009-12-28,108.73,PLN
2009-12-29,108.93,PLN
2009-12-30,108.45,PLN
2009-12-31,108.43,PLN
2010-01-04,108.84,PLN
2010-01-05,109.03,PLN
2010-01-06,110.03,PLN
2010-01-07,109.89,PLN
2010-01-08,110.96,PLN
2010-01-11,110.81,PLN
2010-01-12,112.66,PLN
2010-01-13,111.14,PLN
2010-01-14,112.36,PLN
2010-01-15,113.01,PLN
2010-01-18,112.35,PLN
2010-01-19,112.34,PLN
2010-01-20,111.16,PLN
2010-01-21,112.16,PLN
2010-01-22,110.84,PLN
2010-01-25,110.27,PLN
2010-01-26,108.13,PLN
2010-01-27,107.29,PLN
2010-01-28,108.14,PLN
2010-01-29,106.70,PLN
2010-02-01,106.54,PLN
2010-02-02,108.19,PLN
2010-02-03,108.26,PLN
2010-02-04,107.70,PLN
2010-02-05,105.67,PLN
2010-02-08,104.63,PLN
2010-02-09,104.58,PLN
2010-02-10,104.89,PLN
2010-02-11,104.90,PLN
2010-02-12,105.74,PLN
2010-02-15,104.65,PLN
2010-02-16,104.86,PLN
2010-02-17,107.13,PLN
2010-02-18,107.10,PLN
2010-02-19,105.31,PLN
2010-02-22,107.80,PLN
2010-02-23,107.62,PLN
2010-02-24,106.17,PLN
2010-02-25,105.73,PLN
2010-02-26,106.02,PLN
2010-03-01,106.61,PLN
2010-03-02,107.00,PLN
2010-03-03,107.24,PLN
2010-03-04,106.44,PLN
2010-03-05,107.85,PLN
2010-03-08,109.72,PLN
2010-03-09,109.41,PLN
2010-03-10,109.15,PLN
2010-03-11,110.03,PLN
2010-03-12,110.68,PLN
2010-03-15,110.87,PLN
2010-03-16,110.85,PLN
2010-03-17,111.82,PLN
2010-03-18,111.22,PLN
2010-03-19,112.01,PLN
2010-03-22,111.83,PLN
2010-03-23,111.74,PLN
2010-03-24,112.36,PLN
2010-03-25,112.09,PLN
2010-03-26,113.72,PLN
2010-03-29,114.41,PLN
2010-03-30,115.66,PLN
2010-03-31,115.41,PLN
2010-04-01,115.41,PLN
2010-04-06,116.69,PLN
2010-04-07,117.19,PLN
2010-04-08,116.23,PLN
2010-04-09,116.51,PLN
2010-04-12,117.17,PLN
2010-04-13,116.47,PLN
2010-04-14,116.69,PLN
2010-04-15,117.47,PLN
2010-04-16,116.40,PLN
2010-04-19,114.74,PLN
2010-04-20,114.87,PLN
2010-04-21,116.46,PLN
2010-04-22,115.36,PLN
2010-04-23,115.27,PLN
2010-04-26,117.25,PLN
2010-04-27,117.36,PLN
2010-04-28,115.20,PLN
2010-04-29,115.19,PLN
2010-04-30,116.17,PLN
2010-05-04,116.15,PLN
2010-05-05,116.14,PLN
2010-05-06,112.64,PLN
2010-05-07,112.64,PLN
2010-05-10,111.23,PLN
2010-05-11,109.14,PLN
2010-05-12,109.14,PLN
2010-05-13,109.81,PLN
2010-05-14,110.13,PLN
2010-05-17,108.56,PLN
2010-05-18,108.02,PLN
2010-05-19,107.57,PLN
2010-05-20,106.08,PLN
2010-05-21,106.08,PLN
2010-05-24,103.93,PLN
2010-05-25,101.25,PLN
2010-05-26,101.68,PLN
2010-05-27,103.16,PLN
2010-05-28,104.04,PLN
2010-05-31,103.91,PLN
2010-06-01,104.04,PLN
2010-06-02,102.99,PLN
2010-06-04,105.12,PLN
2010-06-07,101.63,PLN
2010-06-08,101.65,PLN
2010-06-09,100.75,PLN
2010-06-10,101.53,PLN
2010-06-11,102.70,PLN
2010-06-14,103.96,PLN
2010-06-15,103.92,PLN
2010-06-16,105.10,PLN
2010-06-17,104.66,PLN
2010-06-18,104.23,PLN
2010-06-21,106.27,PLN
2010-06-22,106.26,PLN
2010-06-23,105.38,PLN
2010-06-24,103.81,PLN
2010-06-25,102.33,PLN
2010-06-28,101.66,PLN
2010-06-29,100.68,PLN
2010-06-30,100.68,PLN
2010-07-01,97.99,PLN
2010-07-02,98.37,PLN
2010-07-05,99.09,PLN
2010-07-06,100.46,PLN
2010-07-07,99.84,PLN
2010-07-08,102.09,PLN
2010-07-09,102.13,PLN
2010-07-12,101.61,PLN
2010-07-13,101.26,PLN
2010-07-14,102.59,PLN
2010-07-15,101.54,PLN
2010-07-16,99.66,PLN
2010-07-19,99.65,PLN
2010-07-20,98.57,PLN
2010-07-21,98.29,PLN
2010-07-22,97.98,PLN
2010-07-23,99.76,PLN
2010-07-26,100.33,PLN
2010-07-27,100.33,PLN
2010-07-28,102.77,PLN
2010-07-29,102.41,PLN
2010-07-30,101.50,PLN
2010-08-02,101.66,PLN
2010-08-03,102.59,PLN
2010-08-04,101.06,PLN
2010-08-05,102.37,PLN
2010-08-06,102.77,PLN
2010-08-09,102.30,PLN
2010-08-10,102.01,PLN
2010-08-11,99.81,PLN
2010-08-12,99.00,PLN
2010-08-13,99.24,PLN
2010-08-16,99.04,PLN
2010-08-17,98.79,PLN
2010-08-18,99.82,PLN
2010-08-19,100.93,PLN
2010-08-20,99.17,PLN
2010-08-23,98.60,PLN
2010-08-24,97.67,PLN
2010-08-25,96.53,PLN
2010-08-26,97.15,PLN
2010-08-27,97.86,PLN
2010-08-30,98.95,PLN
2010-08-31,96.31,PLN
2010-09-01,96.98,PLN
2010-09-02,98.00,PLN
2010-09-03,98.31,PLN
2010-09-06,99.97,PLN
2010-09-07,99.61,PLN
2010-09-08,98.01,PLN
2010-09-09,98.71,PLN
2010-09-10,99.65,PLN
2010-09-13,100.13,PLN
2010-09-14,99.72,PLN
2010-09-15,101.20,PLN
2010-09-16,100.57,PLN
2010-09-17,101.43,PLN
2010-09-20,101.42,PLN
2010-09-21,101.20,PLN
2010-09-22,100.78,PLN
2010-09-23,100.77,PLN
2010-09-24,100.04,PLN
2010-09-27,101.20,PLN
2010-09-28,101.14,PLN
2010-09-29,101.44,PLN
2010-09-30,99.43,PLN
2010-10-01,99.63,PLN
2010-10-04,98.91,PLN
2010-10-05,100.00,PLN
2010-10-06,102.57,PLN
2010-10-07,102.58,PLN
2010-10-08,101.84,PLN
2010-10-11,101.83,PLN
2010-10-12,100.23,PLN
2010-10-13,99.97,PLN
2010-10-14,101.81,PLN
2010-10-15,100.69,PLN
2010-10-18,101.03,PLN
2010-10-19,101.38,PLN
2010-10-20,100.35,PLN
2010-10-21,99.98,PLN
2010-10-22,100.49,PLN
2010-10-25,100.13,PLN
2010-10-26,99.74,PLN
2010-10-27,99.77,PLN
2010-10-28,99.50,PLN
2010-10-29,99.21,PLN
2010-11-02,98.87,PLN
2010-11-03,98.87,PLN
2010-11-04,101.24,PLN
2010-11-05,102.81,PLN
2010-11-08,102.99,PLN
2010-11-09,103.27,PLN
2010-11-10,104.73,PLN
2010-11-12,103.69,PLN
2010-11-15,104.52,PLN
2010-11-16,103.06,PLN
2010-11-17,104.09,PLN
2010-11-18,106.78,PLN
2010-11-19,106.58,PLN
2010-11-22,106.35,PLN
2010-11-23,106.34,PLN
2010-11-24,106.64,PLN
2010-11-25,106.22,PLN
2010-11-26,105.74,PLN
2010-11-29,106.63,PLN
2010-11-30,105.17,PLN
2010-12-01,107.62,PLN
2010-12-02,108.02,PLN
2010-12-03,107.30,PLN
2010-12-06,107.69,PLN
2010-12-07,107.78,PLN
2010-12-08,108.63,PLN
2010-12-09,108.42,PLN
2010-12-10,108.23,PLN
2010-12-13,108.98,PLN
2010-12-14,109.64,PLN
2010-12-15,109.45,PLN
2010-12-16,109.76,PLN
2010-12-17,109.56,PLN
2010-12-20,109.14,PLN
2010-12-21,110.05,PLN
2010-12-22,109.88,PLN
2010-12-23,109.88,PLN
2010-12-27,109.81,PLN
2010-12-28,109.75,PLN
2010-12-29,109.90,PLN
2010-12-30,108.99,PLN
2010-12-31,108.99,PLN
2011-01-03,108.97,PLN
2011-01-04,110.81,PLN
2011-01-05,111.78,PLN
2011-01-07,111.77,PLN
2011-01-10,111.75,PLN
2011-01-11,112.63,PLN
2011-01-12,113.19,PLN
2011-01-13,113.21,PLN
2011-01-14,113.27,PLN
2011-01-17,112.37,PLN
