Data,Wartość dla NN (L) Konserwatywny Plus (A),Waluta
2011-08-02,100.00,PLN
2011-08-03,100.00,PLN
2011-08-04,100.01,PLN
2011-08-05,100.09,PLN
2011-08-08,100.07,PLN
2011-08-09,100.07,PLN
2011-08-10,100.07,PLN
2011-08-11,100.07,PLN
2011-08-12,100.07,PLN
2011-08-16,100.07,PLN
2011-08-17,100.07,PLN
2011-08-18,100.07,PLN
2011-08-19,100.06,PLN
2011-08-22,100.09,PLN
2011-08-23,100.17,PLN
2011-08-24,100.13,PLN
2011-08-25,100.11,PLN
2011-08-26,100.17,PLN
2011-08-29,100.16,PLN
2011-08-30,100.20,PLN
2011-08-31,100.21,PLN
2011-09-01,100.23,PLN
2011-09-02,100.30,PLN
2011-09-05,100.29,PLN
2011-09-06,100.31,PLN
2011-09-07,100.32,PLN
2011-09-08,100.36,PLN
2011-09-09,100.38,PLN
2011-09-12,100.30,PLN
2011-09-13,100.39,PLN
2011-09-14,100.41,PLN
2011-09-15,100.44,PLN
2011-09-16,100.48,PLN
2011-09-19,100.48,PLN
2011-09-20,100.48,PLN
2011-09-21,100.47,PLN
2011-09-22,100.44,PLN
2011-09-23,100.37,PLN
2011-09-26,100.59,PLN
2011-09-27,100.57,PLN
2011-09-28,100.49,PLN
2011-09-29,100.65,PLN
2011-09-30,100.59,PLN
2011-10-03,100.49,PLN
2011-10-04,100.49,PLN
2011-10-05,100.59,PLN
2011-10-06,100.59,PLN
2011-10-07,100.63,PLN
2011-10-10,100.65,PLN
2011-10-11,100.67,PLN
2011-10-12,100.75,PLN
2011-10-13,100.70,PLN
2011-10-14,100.72,PLN
2011-10-17,100.75,PLN
2011-10-18,100.76,PLN
2011-10-19,100.79,PLN
2011-10-20,100.83,PLN
2011-10-21,100.78,PLN
2011-10-24,100.87,PLN
2011-10-25,100.86,PLN
2011-10-26,100.89,PLN
2011-10-27,100.90,PLN
2011-10-28,100.96,PLN
2011-10-31,100.94,PLN
2011-11-02,100.95,PLN
2011-11-03,101.00,PLN
2011-11-04,101.04,PLN
2011-11-07,101.09,PLN
2011-11-08,101.06,PLN
2011-11-09,101.06,PLN
2011-11-10,101.04,PLN
2011-11-14,101.04,PLN
2011-11-15,100.99,PLN
2011-11-16,101.03,PLN
2011-11-17,101.08,PLN
2011-11-18,101.08,PLN
2011-11-21,101.18,PLN
2011-11-22,101.02,PLN
2011-11-23,101.04,PLN
2011-11-24,101.04,PLN
2011-11-25,100.99,PLN
2011-11-28,101.07,PLN
2011-11-29,101.07,PLN
2011-11-30,101.13,PLN
2011-12-01,101.14,PLN
2011-12-02,101.16,PLN
2011-12-05,101.35,PLN
2011-12-06,101.37,PLN
2011-12-07,101.21,PLN
2011-12-08,101.18,PLN
2011-12-09,101.19,PLN
2011-12-12,101.19,PLN
2011-12-13,101.18,PLN
2011-12-14,101.17,PLN
2011-12-15,101.25,PLN
2011-12-16,101.28,PLN
2011-12-19,101.32,PLN
2011-12-20,101.32,PLN
2011-12-21,101.45,PLN
2011-12-22,101.43,PLN
2011-12-23,101.43,PLN
2011-12-27,101.42,PLN
2011-12-28,101.43,PLN
2011-12-29,101.42,PLN
2011-12-30,101.46,PLN
2012-01-02,101.49,PLN
2012-01-03,101.50,PLN
2012-01-04,101.49,PLN
2012-01-05,101.56,PLN
2012-01-09,101.65,PLN
2012-01-10,101.61,PLN
2012-01-11,101.61,PLN
2012-01-12,101.62,PLN
2012-01-13,101.61,PLN
2012-01-16,101.66,PLN
2012-01-17,101.71,PLN
