Data,Wartość dla NN (L) Multi Factor (A),Waluta
2010-10-15,100.00,PLN
2010-10-18,100.07,PLN
2010-10-19,99.95,PLN
2010-10-20,99.99,PLN
2010-10-21,100.86,PLN
2010-10-22,100.86,PLN
2010-10-25,100.74,PLN
2010-10-26,101.07,PLN
2010-10-27,101.13,PLN
2010-10-28,101.22,PLN
2010-10-29,101.63,PLN
2010-11-02,101.54,PLN
2010-11-03,101.44,PLN
2010-11-04,101.86,PLN
2010-11-05,103.30,PLN
2010-11-08,104.47,PLN
2010-11-09,104.21,PLN
2010-11-10,104.29,PLN
2010-11-12,103.62,PLN
2010-11-15,104.15,PLN
2010-11-16,102.27,PLN
2010-11-17,102.68,PLN
2010-11-18,103.80,PLN
2010-11-19,103.59,PLN
2010-11-22,103.50,PLN
2010-11-23,103.09,PLN
2010-11-24,105.15,PLN
2010-11-25,105.26,PLN
2010-11-26,106.76,PLN
2010-11-29,106.98,PLN
2010-11-30,107.99,PLN
2010-12-01,108.58,PLN
2010-12-02,108.73,PLN
2010-12-03,107.77,PLN
2010-12-06,108.36,PLN
2010-12-07,108.50,PLN
2010-12-08,109.98,PLN
2010-12-09,110.09,PLN
2010-12-10,110.26,PLN
2010-12-13,109.09,PLN
2010-12-14,108.50,PLN
2010-12-15,108.06,PLN
2010-12-16,109.05,PLN
2010-12-17,109.27,PLN
2010-12-20,110.17,PLN
2010-12-21,110.77,PLN
2010-12-22,111.11,PLN
2010-12-23,110.81,PLN
2010-12-27,110.34,PLN
2010-12-28,110.71,PLN
2010-12-29,111.35,PLN
2010-12-30,109.53,PLN
2010-12-31,108.50,PLN
2011-01-03,110.04,PLN
2011-01-04,110.06,PLN
2011-01-05,110.82,PLN
2011-01-07,110.67,PLN
2011-01-10,111.30,PLN
2011-01-11,111.43,PLN
2011-01-12,110.73,PLN
2011-01-13,109.29,PLN
2011-01-14,109.83,PLN
2011-01-17,109.60,PLN
2011-01-18,109.32,PLN
2011-01-19,108.26,PLN
2011-01-20,107.75,PLN
2011-01-21,106.77,PLN
2011-01-24,106.18,PLN
2011-01-25,105.91,PLN
2011-01-26,106.71,PLN
2011-01-27,106.95,PLN
2011-01-28,106.04,PLN
2011-01-31,106.77,PLN
2011-02-01,107.27,PLN
2011-02-02,107.11,PLN
2011-02-03,108.50,PLN
2011-02-04,108.67,PLN
2011-02-07,108.11,PLN
2011-02-08,108.01,PLN
2011-02-09,107.69,PLN
2011-02-10,108.56,PLN
2011-02-11,109.69,PLN
2011-02-14,110.83,PLN
2011-02-15,110.36,PLN
2011-02-16,110.12,PLN
2011-02-17,109.97,PLN
2011-02-18,109.98,PLN
2011-02-21,109.96,PLN
2011-02-22,108.78,PLN
2011-02-23,107.61,PLN
2011-02-24,108.08,PLN
2011-02-25,109.32,PLN
2011-02-28,109.64,PLN
2011-03-01,107.97,PLN
2011-03-02,108.49,PLN
2011-03-03,109.31,PLN
2011-03-04,109.11,PLN
2011-03-07,107.87,PLN
2011-03-08,108.87,PLN
2011-03-09,108.50,PLN
2011-03-10,107.42,PLN
2011-03-11,108.16,PLN
2011-03-14,105.79,PLN
2011-03-15,105.55,PLN
2011-03-16,103.87,PLN
2011-03-17,105.60,PLN
2011-03-18,105.32,PLN
2011-03-21,106.23,PLN
2011-03-22,105.37,PLN
2011-03-23,106.19,PLN
2011-03-24,106.71,PLN
2011-03-25,106.91,PLN
2011-03-28,105.99,PLN
2011-03-29,106.43,PLN
2011-03-30,106.98,PLN
2011-03-31,107.28,PLN
2011-04-01,108.98,PLN
2011-04-04,108.20,PLN
2011-04-05,107.99,PLN
2011-04-06,106.72,PLN
2011-04-07,106.25,PLN
2011-04-08,105.13,PLN
2011-04-11,105.16,PLN
2011-04-12,103.62,PLN
2011-04-13,104.09,PLN
2011-04-14,103.40,PLN
2011-04-15,103.77,PLN
2011-04-18,103.59,PLN
2011-04-19,104.02,PLN
2011-04-20,104.57,PLN
2011-04-21,105.40,PLN
2011-04-26,104.71,PLN
2011-04-27,104.55,PLN
