Data,Wartość dla NN (L) Spółek Dywidendowych USA (A),Waluta
2009-11-23,100.00,PLN
2009-11-24,100.00,PLN
2009-11-25,100.30,PLN
2009-11-26,100.22,PLN
2009-11-27,99.24,PLN
2009-11-30,99.27,PLN
2009-12-01,100.33,PLN
2009-12-02,100.59,PLN
2009-12-03,100.24,PLN
2009-12-04,100.73,PLN
2009-12-07,100.88,PLN
2009-12-08,100.09,PLN
2009-12-09,100.17,PLN
2009-12-10,100.73,PLN
2009-12-11,101.06,PLN
2009-12-14,101.47,PLN
2009-12-15,101.27,PLN
2009-12-16,101.38,PLN
2009-12-17,100.44,PLN
2009-12-18,100.72,PLN
2009-12-21,101.50,PLN
2009-12-22,102.06,PLN
2009-12-23,102.05,PLN
2009-12-28,103.00,PLN
2009-12-29,102.98,PLN
2009-12-30,103.08,PLN
2009-12-31,102.23,PLN
2010-01-04,103.23,PLN
2010-01-05,103.12,PLN
2010-01-06,103.47,PLN
2010-01-07,103.52,PLN
2010-01-08,103.77,PLN
2010-01-11,103.94,PLN
2010-01-12,103.51,PLN
2010-01-13,104.03,PLN
2010-01-14,104.19,PLN
2010-01-15,103.52,PLN
2010-01-18,103.53,PLN
2010-01-19,103.52,PLN
2010-01-20,103.68,PLN
2010-01-21,102.67,PLN
2010-01-22,101.50,PLN
2010-01-25,101.66,PLN
2010-01-26,101.41,PLN
2010-01-27,101.47,PLN
2010-01-28,100.70,PLN
2010-01-29,99.95,PLN
2010-02-01,101.01,PLN
2010-02-02,102.10,PLN
2010-02-03,101.64,PLN
2010-02-04,99.03,PLN
2010-02-05,99.31,PLN
2010-02-08,98.87,PLN
2010-02-09,99.69,PLN
2010-02-10,99.55,PLN
2010-02-11,100.39,PLN
2010-02-12,100.46,PLN
2010-02-15,100.48,PLN
2010-02-16,101.76,PLN
2010-02-17,101.99,PLN
2010-02-18,102.53,PLN
2010-02-19,102.91,PLN
2010-02-22,102.73,PLN
2010-02-23,101.97,PLN
2010-02-24,102.59,PLN
2010-02-25,102.33,PLN
2010-02-26,102.12,PLN
2010-03-01,102.95,PLN
2010-03-02,103.31,PLN
2010-03-03,103.28,PLN
2010-03-04,103.64,PLN
2010-03-05,104.52,PLN
2010-03-08,104.56,PLN
2010-03-09,104.63,PLN
2010-03-10,105.00,PLN
2010-03-11,105.18,PLN
2010-03-12,105.18,PLN
2010-03-15,105.46,PLN
2010-03-16,105.89,PLN
2010-03-17,106.35,PLN
2010-03-18,106.34,PLN
2010-03-19,106.00,PLN
2010-03-22,106.64,PLN
2010-03-23,107.40,PLN
2010-03-24,106.64,PLN
2010-03-25,106.27,PLN
2010-03-26,106.09,PLN
2010-03-29,106.66,PLN
2010-03-30,106.86,PLN
2010-03-31,106.47,PLN
2010-04-01,106.46,PLN
2010-04-06,107.42,PLN
2010-04-07,107.09,PLN
2010-04-08,107.06,PLN
2010-04-09,107.68,PLN
2010-04-12,107.94,PLN
2010-04-13,107.78,PLN
2010-04-14,108.67,PLN
2010-04-15,108.69,PLN
2010-04-16,107.79,PLN
2010-04-19,108.03,PLN
2010-04-20,108.79,PLN
2010-04-21,108.76,PLN
2010-04-22,108.25,PLN
2010-04-23,108.64,PLN
2010-04-26,108.12,PLN
2010-04-27,106.64,PLN
2010-04-28,106.88,PLN
2010-04-29,107.53,PLN
2010-04-30,106.75,PLN
2010-05-04,105.73,PLN
2010-05-05,105.36,PLN
2010-05-06,102.98,PLN
2010-05-07,102.18,PLN
2010-05-10,105.18,PLN
2010-05-11,104.99,PLN
2010-05-12,104.99,PLN
2010-05-13,106.06,PLN
2010-05-14,103.87,PLN
2010-05-17,104.13,PLN
2010-05-18,103.51,PLN
2010-05-19,103.18,PLN
2010-05-20,99.70,PLN
2010-05-21,99.69,PLN
2010-05-24,100.64,PLN
2010-05-25,99.65,PLN
2010-05-26,99.32,PLN
2010-05-27,101.83,PLN
2010-05-28,101.01,PLN
2010-05-31,101.04,PLN
2010-06-01,99.65,PLN
2010-06-02,101.49,PLN
2010-06-04,99.18,PLN
2010-06-07,98.65,PLN
2010-06-08,98.65,PLN
2010-06-09,99.31,PLN
2010-06-10,101.52,PLN
2010-06-11,101.92,PLN
2010-06-14,102.07,PLN
2010-06-15,103.65,PLN
2010-06-16,103.63,PLN
2010-06-17,103.80,PLN
2010-06-18,103.81,PLN
2010-06-21,103.53,PLN
2010-06-22,103.53,PLN
2010-06-23,102.20,PLN
2010-06-24,100.82,PLN
2010-06-25,100.93,PLN
2010-06-28,101.31,PLN
2010-06-29,99.30,PLN
2010-06-30,98.55,PLN
2010-07-01,98.65,PLN
2010-07-02,98.27,PLN
2010-07-05,98.24,PLN
2010-07-06,98.62,PLN
2010-07-07,100.66,PLN
2010-07-08,101.59,PLN
2010-07-09,102.04,PLN
2010-07-12,101.88,PLN
2010-07-13,102.95,PLN
2010-07-14,102.88,PLN
2010-07-15,102.90,PLN
2010-07-16,101.19,PLN
2010-07-19,101.58,PLN
2010-07-20,102.41,PLN
2010-07-21,101.49,PLN
2010-07-22,103.12,PLN
2010-07-23,103.75,PLN
2010-07-26,104.75,PLN
2010-07-27,104.88,PLN
2010-07-28,104.19,PLN
2010-07-29,103.90,PLN
2010-07-30,103.93,PLN
2010-08-02,105.44,PLN
2010-08-03,105.22,PLN
2010-08-04,105.54,PLN
2010-08-05,105.41,PLN
2010-08-06,105.27,PLN
2010-08-09,105.82,PLN
2010-08-10,105.45,PLN
2010-08-11,103.25,PLN
2010-08-12,103.15,PLN
2010-08-13,102.94,PLN
2010-08-16,103.09,PLN
2010-08-17,104.29,PLN
2010-08-18,104.30,PLN
2010-08-19,103.00,PLN
2010-08-20,102.80,PLN
2010-08-23,102.75,PLN
2010-08-24,101.82,PLN
2010-08-25,102.12,PLN
2010-08-26,101.59,PLN
2010-08-27,102.80,PLN
2010-08-30,101.74,PLN
2010-08-31,101.52,PLN
2010-09-01,103.86,PLN
2010-09-02,104.36,PLN
2010-09-03,105.31,PLN
2010-09-06,105.30,PLN
2010-09-07,104.41,PLN
2010-09-08,104.62,PLN
2010-09-09,105.04,PLN
2010-09-10,105.65,PLN
2010-09-13,106.49,PLN
2010-09-14,106.66,PLN
2010-09-15,107.12,PLN
2010-09-16,107.15,PLN
2010-09-17,107.14,PLN
2010-09-20,108.27,PLN
2010-09-21,108.01,PLN
2010-09-22,107.76,PLN
2010-09-23,107.23,PLN
2010-09-24,108.62,PLN
2010-09-27,108.32,PLN
2010-09-28,108.89,PLN
2010-09-29,108.88,PLN
2010-09-30,108.70,PLN
2010-10-01,108.89,PLN
2010-10-04,108.40,PLN
2010-10-05,109.83,PLN
2010-10-06,109.87,PLN
2010-10-07,109.88,PLN
2010-10-08,110.23,PLN
2010-10-11,110.21,PLN
2010-10-12,110.47,PLN
2010-10-13,111.12,PLN
2010-10-14,110.82,PLN
2010-10-15,110.83,PLN
2010-10-18,111.35,PLN
2010-10-19,110.01,PLN
2010-10-20,110.80,PLN
2010-10-21,111.11,PLN
2010-10-22,111.13,PLN
2010-10-25,111.37,PLN
2010-10-26,111.20,PLN
2010-10-27,110.72,PLN
2010-10-28,110.95,PLN
2010-10-29,111.22,PLN
2010-11-02,111.51,PLN
2010-11-03,111.63,PLN
2010-11-04,112.77,PLN
2010-11-05,112.89,PLN
2010-11-08,112.67,PLN
2010-11-09,112.15,PLN
2010-11-10,112.21,PLN
2010-11-12,111.14,PLN
2010-11-15,111.11,PLN
2010-11-16,109.75,PLN
2010-11-17,109.90,PLN
2010-11-18,110.73,PLN
2010-11-19,110.74,PLN
2010-11-22,110.62,PLN
2010-11-23,109.56,PLN
2010-11-24,110.60,PLN
2010-11-25,110.59,PLN
2010-11-26,110.06,PLN
2010-11-29,109.92,PLN
2010-11-30,109.44,PLN
2010-12-01,110.94,PLN
2010-12-02,111.67,PLN
2010-12-03,111.78,PLN
2010-12-06,111.43,PLN
2010-12-07,111.71,PLN
2010-12-08,111.98,PLN
2010-12-09,112.11,PLN
2010-12-10,112.60,PLN
2010-12-13,112.65,PLN
2010-12-14,113.13,PLN
2010-12-15,113.05,PLN
2010-12-16,113.65,PLN
2010-12-17,113.68,PLN
2010-12-20,113.63,PLN
2010-12-21,113.80,PLN
2010-12-22,114.10,PLN
2010-12-23,114.15,PLN
2010-12-27,113.93,PLN
2010-12-28,114.08,PLN
2010-12-29,114.26,PLN
2010-12-30,114.14,PLN
2010-12-31,114.00,PLN
2011-01-03,114.39,PLN
2011-01-04,114.07,PLN
2011-01-05,114.35,PLN
2011-01-07,114.29,PLN
2011-01-10,114.17,PLN
2011-01-11,114.31,PLN
2011-01-12,115.23,PLN
2011-01-13,114.90,PLN
2011-01-14,115.34,PLN
2011-01-17,115.34,PLN
