Data,Wartość dla NN Akcji (A),Waluta
1998-03-11,100.00,PLN
1998-03-12,99.86,PLN
1998-03-13,100.45,PLN
1998-03-16,100.21,PLN
1998-03-17,100.21,PLN
1998-03-18,100.29,PLN
1998-03-19,100.67,PLN
1998-03-20,100.38,PLN
1998-03-21,100.23,PLN
1998-03-24,99.85,PLN
1998-03-25,99.30,PLN
1998-03-26,100.27,PLN
1998-03-27,99.14,PLN
1998-03-30,99.00,PLN
1998-03-31,97.81,PLN
1998-04-01,98.06,PLN
1998-04-02,97.57,PLN
1998-04-06,98.45,PLN
1998-04-07,101.02,PLN
1998-04-08,100.61,PLN
1998-04-09,99.64,PLN
1998-04-14,100.70,PLN
1998-04-15,101.00,PLN
1998-04-16,100.97,PLN
1998-04-17,100.14,PLN
1998-04-20,99.40,PLN
1998-04-21,97.78,PLN
1998-04-22,98.76,PLN
1998-04-23,99.39,PLN
1998-04-24,100.64,PLN
1998-04-27,102.05,PLN
1998-04-28,99.74,PLN
1998-04-29,99.88,PLN
1998-04-30,100.87,PLN
1998-05-04,101.42,PLN
1998-05-05,101.14,PLN
1998-05-06,100.28,PLN
1998-05-07,99.46,PLN
1998-05-08,98.52,PLN
1998-05-11,98.58,PLN
1998-05-12,98.05,PLN
1998-05-13,96.72,PLN
1998-05-14,95.83,PLN
1998-05-15,94.79,PLN
1998-05-18,94.63,PLN
1998-05-19,92.78,PLN
1998-05-20,92.38,PLN
1998-05-21,95.75,PLN
1998-05-22,95.31,PLN
1998-05-25,94.00,PLN
1998-05-26,91.76,PLN
1998-05-27,88.31,PLN
1998-05-28,87.00,PLN
1998-05-29,87.30,PLN
1998-06-01,83.84,PLN
1998-06-02,81.30,PLN
1998-06-03,84.08,PLN
1998-06-04,86.91,PLN
1998-06-05,89.04,PLN
1998-06-08,91.64,PLN
1998-06-09,90.49,PLN
1998-06-10,87.44,PLN
1998-06-15,83.61,PLN
1998-06-16,83.80,PLN
1998-06-17,87.06,PLN
1998-06-18,89.44,PLN
1998-06-19,87.70,PLN
1998-06-22,88.57,PLN
1998-06-23,88.63,PLN
1998-06-24,87.44,PLN
1998-06-25,88.23,PLN
1998-06-26,88.47,PLN
1998-06-29,88.12,PLN
1998-06-30,89.74,PLN
1998-07-01,90.16,PLN
1998-07-02,91.70,PLN
1998-07-03,92.44,PLN
1998-07-06,93.86,PLN
1998-07-07,95.14,PLN
1998-07-08,94.70,PLN
1998-07-09,93.26,PLN
1998-07-10,92.47,PLN
1998-07-13,94.29,PLN
1998-07-14,98.49,PLN
1998-07-15,98.80,PLN
1998-07-16,97.91,PLN
1998-07-17,100.29,PLN
1998-07-20,99.72,PLN
1998-07-21,100.70,PLN
1998-07-22,97.80,PLN
1998-07-23,96.75,PLN
1998-07-24,97.22,PLN
1998-07-27,96.48,PLN
1998-07-28,95.36,PLN
1998-07-29,94.25,PLN
1998-07-30,94.55,PLN
1998-07-31,95.23,PLN
1998-08-03,92.77,PLN
1998-08-04,92.30,PLN
1998-08-05,90.62,PLN
1998-08-06,90.63,PLN
1998-08-07,90.31,PLN
1998-08-10,90.87,PLN
1998-08-11,89.09,PLN
1998-08-12,87.40,PLN
1998-08-13,84.06,PLN
1998-08-14,84.21,PLN
1998-08-17,82.23,PLN
1998-08-18,85.12,PLN
1998-08-19,86.96,PLN
1998-08-20,86.63,PLN
1998-08-21,83.45,PLN
1998-08-24,81.64,PLN
1998-08-25,81.79,PLN
1998-08-26,79.42,PLN
1998-08-27,74.61,PLN
1998-08-28,68.97,PLN
1998-08-31,68.08,PLN
1998-09-01,64.40,PLN
1998-09-02,68.85,PLN
1998-09-03,69.28,PLN
1998-09-04,69.23,PLN
1998-09-07,72.25,PLN
1998-09-08,73.83,PLN
1998-09-09,74.25,PLN
1998-09-10,72.34,PLN
1998-09-11,69.35,PLN
1998-09-14,71.40,PLN
1998-09-15,71.17,PLN
1998-09-16,70.88,PLN
1998-09-17,69.37,PLN
1998-09-18,67.93,PLN
1998-09-21,67.16,PLN
1998-09-22,68.43,PLN
1998-09-23,70.12,PLN
1998-09-24,73.44,PLN
1998-09-25,71.07,PLN
1998-09-28,72.77,PLN
1998-09-29,72.14,PLN
1998-09-30,70.40,PLN
1998-10-01,66.55,PLN
1998-10-02,64.84,PLN
1998-10-05,65.25,PLN
1998-10-06,64.72,PLN
1998-10-07,66.46,PLN
1998-10-08,64.73,PLN
1998-10-09,63.72,PLN
1998-10-12,66.41,PLN
1998-10-13,65.52,PLN
1998-10-14,65.16,PLN
1998-10-15,65.71,PLN
1998-10-16,66.80,PLN
1998-10-19,66.08,PLN
1998-10-20,66.28,PLN
1998-10-21,66.87,PLN
1998-10-22,67.66,PLN
1998-10-23,69.63,PLN
1998-10-26,71.56,PLN
1998-10-27,73.08,PLN
