Data,Wartość dla NN Perspektywa 2025 (A),Waluta
2012-03-20,100.23,PLN
2012-03-21,100.23,PLN
2012-03-22,99.79,PLN
2012-03-23,99.99,PLN
2012-03-26,100.27,PLN
2012-03-27,100.43,PLN
2012-03-28,100.08,PLN
2012-03-29,99.55,PLN
2012-03-30,99.94,PLN
2012-04-02,100.17,PLN
2012-04-03,100.26,PLN
2012-04-04,99.45,PLN
2012-04-05,99.37,PLN
2012-04-10,98.74,PLN
2012-04-11,99.02,PLN
2012-04-12,99.46,PLN
2012-04-13,99.19,PLN
2012-04-16,99.10,PLN
2012-04-17,99.42,PLN
2012-04-18,99.18,PLN
2012-04-19,99.17,PLN
2012-04-20,99.08,PLN
2012-04-23,98.20,PLN
2012-04-24,98.54,PLN
2012-04-25,98.98,PLN
2012-04-26,99.36,PLN
2012-04-27,99.68,PLN
2012-04-30,99.82,PLN
2012-05-02,100.00,PLN
2012-05-04,99.75,PLN
2012-05-07,99.61,PLN
2012-05-08,98.95,PLN
2012-05-09,98.47,PLN
2012-05-10,98.66,PLN
2012-05-11,98.49,PLN
2012-05-14,97.46,PLN
2012-05-15,97.18,PLN
2012-05-16,96.87,PLN
2012-05-17,96.09,PLN
2012-05-18,96.03,PLN
2012-05-21,96.43,PLN
2012-05-22,96.70,PLN
2012-05-23,95.66,PLN
2012-05-24,95.72,PLN
2012-05-25,95.88,PLN
2012-05-28,96.09,PLN
2012-05-29,96.55,PLN
2012-05-30,95.97,PLN
2012-05-31,96.20,PLN
2012-06-01,95.64,PLN
2012-06-04,95.71,PLN
2012-06-05,95.44,PLN
2012-06-06,96.25,PLN
2012-06-08,96.75,PLN
2012-06-11,96.92,PLN
2012-06-12,97.40,PLN
2012-06-13,97.54,PLN
2012-06-14,97.46,PLN
2012-06-15,97.92,PLN
2012-06-18,98.09,PLN
2012-06-19,98.88,PLN
2012-06-20,98.96,PLN
2012-06-21,98.60,PLN
2012-06-22,98.46,PLN
2012-06-25,98.08,PLN
2012-06-26,98.45,PLN
2012-06-27,98.75,PLN
2012-06-28,98.27,PLN
2012-06-29,99.22,PLN
2012-07-02,99.20,PLN
2012-07-03,99.51,PLN
2012-07-04,99.46,PLN
2012-07-05,99.55,PLN
2012-07-06,99.37,PLN
2012-07-09,99.12,PLN
2012-07-10,99.16,PLN
2012-07-11,99.05,PLN
2012-07-12,98.93,PLN
2012-07-13,99.42,PLN
2012-07-16,99.50,PLN
2012-07-17,99.67,PLN
2012-07-18,99.83,PLN
2012-07-19,100.10,PLN
2012-07-20,99.72,PLN
2012-07-23,99.09,PLN
2012-07-24,99.08,PLN
2012-07-25,99.12,PLN
2012-07-26,99.47,PLN
2012-07-27,100.07,PLN
2012-07-30,100.41,PLN
2012-07-31,100.41,PLN
2012-08-01,100.39,PLN
2012-08-02,100.06,PLN
2012-08-03,100.79,PLN
2012-08-06,101.17,PLN
2012-08-07,101.06,PLN
2012-08-08,101.08,PLN
2012-08-09,101.43,PLN
2012-08-10,101.26,PLN
2012-08-13,101.19,PLN
