Data,Wartość dla NN Polski Odpowiedzialnego Inwestowania (A),Waluta
2008-07-07,100.00,PLN
2008-07-08,100.01,PLN
2008-07-09,100.01,PLN
2008-07-10,100.00,PLN
2008-07-11,100.03,PLN
2008-07-14,100.01,PLN
2008-07-15,100.00,PLN
2008-07-16,99.98,PLN
2008-07-17,100.03,PLN
2008-07-18,100.05,PLN
2008-07-21,100.28,PLN
2008-07-22,100.67,PLN
2008-07-23,101.76,PLN
2008-07-24,101.81,PLN
2008-07-25,101.58,PLN
2008-07-28,101.83,PLN
2008-07-29,101.92,PLN
2008-07-30,101.98,PLN
2008-07-31,102.38,PLN
2008-08-01,102.61,PLN
2008-08-04,102.85,PLN
2008-08-05,103.15,PLN
2008-08-06,103.40,PLN
2008-08-07,103.25,PLN
2008-08-08,102.91,PLN
2008-08-11,103.14,PLN
2008-08-12,103.34,PLN
2008-08-13,103.91,PLN
2008-08-14,103.95,PLN
2008-08-18,103.94,PLN
2008-08-19,103.51,PLN
2008-08-20,103.03,PLN
2008-08-21,102.99,PLN
2008-08-22,103.32,PLN
2008-08-25,103.33,PLN
2008-08-26,102.86,PLN
2008-08-27,102.85,PLN
2008-08-28,102.82,PLN
2008-08-29,103.59,PLN
2008-09-01,103.41,PLN
2008-09-02,104.42,PLN
2008-09-03,104.51,PLN
2008-09-04,104.17,PLN
2008-09-05,103.37,PLN
2008-09-08,104.29,PLN
2008-09-09,104.14,PLN
2008-09-10,103.20,PLN
2008-09-11,102.41,PLN
2008-09-12,102.08,PLN
2008-09-15,99.57,PLN
2008-09-16,98.36,PLN
2008-09-17,97.82,PLN
2008-09-18,97.52,PLN
2008-09-19,100.42,PLN
2008-09-22,99.49,PLN
2008-09-23,98.68,PLN
2008-09-24,98.52,PLN
2008-09-25,99.63,PLN
2008-09-26,100.22,PLN
2008-09-29,98.29,PLN
2008-09-30,97.82,PLN
2008-10-01,98.49,PLN
2008-10-02,97.70,PLN
2008-10-03,96.01,PLN
2008-10-06,92.09,PLN
2008-10-07,90.95,PLN
2008-10-08,89.07,PLN
2008-10-09,88.97,PLN
2008-10-10,82.83,PLN
2008-10-13,85.43,PLN
2008-10-14,87.77,PLN
2008-10-15,84.52,PLN
2008-10-16,81.89,PLN
2008-10-17,80.09,PLN
2008-10-20,80.20,PLN
2008-10-21,80.20,PLN
2008-10-22,76.75,PLN
2008-10-23,74.33,PLN
2008-10-24,71.79,PLN
2008-10-27,71.60,PLN
2008-10-28,71.98,PLN
2008-10-29,74.78,PLN
2008-10-30,76.18,PLN
2008-10-31,78.09,PLN
2008-11-03,79.80,PLN
2008-11-04,82.34,PLN
2008-11-05,81.59,PLN
2008-11-06,80.38,PLN
2008-11-07,80.77,PLN
2008-11-10,81.11,PLN
2008-11-12,79.95,PLN
2008-11-13,78.96,PLN
2008-11-14,79.38,PLN
2008-11-17,78.84,PLN
2008-11-18,78.61,PLN
2008-11-19,78.21,PLN
2008-11-20,76.44,PLN
2008-11-21,76.77,PLN
2008-11-24,79.44,PLN
2008-11-25,79.02,PLN
2008-11-26,78.29,PLN
2008-11-27,79.15,PLN
2008-11-28,78.78,PLN
2008-12-01,78.44,PLN
2008-12-02,78.96,PLN
2008-12-03,78.74,PLN
2008-12-04,79.61,PLN
2008-12-05,79.59,PLN
2008-12-08,80.21,PLN
2008-12-09,80.09,PLN
2008-12-10,80.26,PLN
2008-12-11,79.47,PLN
2008-12-12,79.33,PLN
2008-12-15,79.43,PLN
2008-12-16,80.34,PLN
2008-12-17,79.25,PLN
2008-12-18,79.22,PLN
2008-12-19,78.53,PLN
2008-12-22,77.61,PLN
2008-12-23,77.88,PLN
2008-12-29,79.35,PLN
2008-12-30,79.05,PLN
2008-12-31,79.13,PLN
2009-01-05,80.90,PLN
2009-01-06,82.23,PLN
2009-01-07,80.37,PLN
2009-01-08,79.99,PLN
2009-01-09,80.45,PLN
2009-01-12,80.33,PLN
2009-01-13,79.70,PLN
2009-01-14,78.13,PLN
2009-01-15,78.20,PLN
2009-01-16,78.66,PLN
2009-01-19,78.06,PLN
2009-01-20,77.16,PLN
2009-01-21,77.38,PLN
2009-01-22,75.89,PLN
2009-01-23,76.00,PLN
2009-01-26,77.88,PLN
2009-01-27,76.49,PLN
2009-01-28,78.39,PLN
2009-01-29,78.61,PLN
2009-01-30,78.94,PLN
2009-02-02,77.62,PLN
2009-02-03,77.95,PLN
2009-02-04,80.73,PLN
2009-02-05,80.48,PLN
2009-02-06,81.99,PLN
2009-02-09,82.68,PLN
2009-02-10,81.48,PLN
2009-02-11,81.33,PLN
2009-02-12,80.89,PLN
2009-02-13,81.43,PLN
2009-02-16,81.61,PLN
2009-02-17,79.00,PLN
2009-02-18,79.50,PLN
2009-02-19,79.45,PLN
2009-02-20,78.20,PLN
2009-02-23,77.63,PLN
2009-02-24,76.96,PLN
2009-02-25,76.96,PLN
2009-02-26,78.39,PLN
2009-02-27,77.43,PLN
2009-03-02,77.73,PLN
2009-03-03,77.13,PLN
2009-03-04,78.67,PLN
2009-03-05,77.28,PLN
2009-03-06,77.92,PLN
2009-03-09,76.74,PLN
2009-03-10,77.70,PLN
2009-03-11,76.51,PLN
2009-03-12,76.38,PLN
2009-03-13,75.87,PLN
2009-03-16,76.18,PLN
2009-03-17,75.73,PLN
2009-03-18,76.11,PLN
2009-03-19,76.72,PLN
2009-03-20,77.42,PLN
2009-03-23,79.08,PLN
2009-03-24,78.98,PLN
2009-03-25,80.19,PLN
2009-03-26,80.28,PLN
2009-03-27,80.15,PLN
2009-03-30,79.54,PLN
2009-03-31,80.16,PLN
2009-04-01,80.61,PLN
2009-04-02,81.88,PLN
2009-04-03,82.06,PLN
2009-04-06,82.18,PLN
2009-04-07,82.51,PLN
2009-04-08,84.00,PLN
2009-04-09,85.47,PLN
2009-04-14,85.68,PLN
2009-04-15,84.77,PLN
2009-04-16,86.25,PLN
2009-04-17,86.33,PLN
2009-04-20,86.20,PLN
2009-04-21,86.30,PLN
2009-04-22,87.79,PLN
2009-04-23,87.87,PLN
2009-04-24,89.70,PLN
2009-04-27,90.57,PLN
2009-04-28,90.58,PLN
2009-04-29,91.44,PLN
2009-04-30,92.10,PLN
2009-05-04,94.49,PLN
2009-05-05,96.05,PLN
2009-05-06,97.22,PLN
2009-05-07,95.83,PLN
2009-05-08,95.87,PLN
2009-05-11,96.20,PLN
2009-05-12,98.02,PLN
2009-05-13,96.84,PLN
2009-05-14,96.42,PLN
2009-05-15,97.56,PLN
2009-05-18,98.84,PLN
2009-05-19,98.89,PLN
2009-05-20,99.77,PLN
2009-05-21,98.32,PLN
2009-05-22,98.30,PLN
2009-05-25,98.52,PLN
2009-05-26,98.80,PLN
2009-05-27,99.25,PLN
2009-05-28,99.64,PLN
2009-05-29,99.47,PLN
2009-06-01,102.35,PLN
2009-06-02,104.44,PLN
2009-06-03,104.29,PLN
2009-06-04,103.59,PLN
2009-06-05,104.14,PLN
2009-06-08,102.79,PLN
2009-06-09,103.71,PLN
2009-06-10,104.59,PLN
2009-06-12,105.03,PLN
2009-06-15,104.50,PLN
2009-06-16,104.20,PLN
2009-06-17,102.02,PLN
2009-06-18,102.89,PLN
2009-06-19,103.77,PLN
2009-06-22,100.65,PLN
2009-06-23,100.37,PLN
2009-06-24,101.20,PLN
2009-06-25,101.65,PLN
2009-06-26,101.46,PLN
2009-06-29,100.92,PLN
2009-06-30,101.55,PLN
2009-07-01,102.11,PLN
2009-07-02,100.77,PLN
2009-07-03,101.23,PLN
2009-07-06,100.08,PLN
2009-07-07,100.07,PLN
2009-07-08,100.49,PLN
2009-07-09,99.97,PLN
2009-07-10,98.63,PLN
2009-07-13,98.74,PLN
2009-07-14,99.74,PLN
2009-07-15,100.41,PLN
2009-07-16,100.56,PLN
2009-07-17,100.57,PLN
2009-07-20,102.29,PLN
2009-07-21,102.25,PLN
2009-07-22,102.10,PLN
2009-07-23,103.41,PLN
2009-07-24,104.01,PLN
2009-07-27,103.74,PLN
2009-07-28,103.64,PLN
2009-07-29,104.31,PLN
2009-07-30,107.32,PLN
2009-07-31,108.33,PLN
2009-08-03,109.72,PLN
2009-08-04,109.21,PLN
2009-08-05,107.81,PLN
2009-08-06,109.08,PLN
2009-08-07,109.84,PLN
2009-08-10,110.59,PLN
2009-08-11,109.09,PLN
2009-08-12,110.15,PLN
2009-08-13,110.53,PLN
2009-08-14,110.22,PLN
2009-08-17,109.50,PLN
2009-08-18,109.99,PLN
2009-08-19,110.88,PLN
2009-08-20,112.24,PLN
2009-08-21,114.34,PLN
2009-08-24,116.45,PLN
2009-08-25,117.57,PLN
2009-08-26,115.77,PLN
2009-08-27,115.30,PLN
2009-08-28,116.08,PLN
2009-08-31,115.49,PLN
2009-09-01,114.65,PLN
2009-09-02,113.52,PLN
2009-09-03,113.22,PLN
2009-09-04,113.65,PLN
2009-09-07,116.56,PLN
2009-09-08,115.66,PLN
2009-09-09,116.77,PLN
2009-09-10,116.28,PLN
2009-09-11,117.21,PLN
2009-09-14,116.51,PLN
2009-09-15,116.03,PLN
2009-09-16,117.00,PLN
2009-09-17,116.92,PLN
2009-09-18,117.31,PLN
2009-09-21,116.96,PLN
2009-09-22,118.86,PLN
2009-09-23,119.67,PLN
2009-09-24,119.15,PLN
2009-09-25,119.76,PLN
2009-09-28,120.59,PLN
2009-09-29,120.13,PLN
2009-09-30,119.85,PLN
2009-10-01,120.90,PLN
2009-10-02,118.29,PLN
2009-10-05,118.26,PLN
2009-10-06,120.07,PLN
2009-10-07,118.98,PLN
2009-10-08,120.53,PLN
2009-10-09,121.24,PLN
2009-10-12,122.23,PLN
2009-10-13,121.10,PLN
2009-10-14,122.65,PLN
2009-10-15,122.22,PLN
2009-10-16,120.62,PLN
2009-10-19,121.05,PLN
2009-10-20,121.19,PLN
2009-10-21,121.10,PLN
2009-10-22,121.07,PLN
2009-10-23,121.08,PLN
2009-10-26,119.86,PLN
2009-10-27,119.22,PLN
2009-10-28,118.41,PLN
2009-10-29,118.51,PLN
2009-10-30,117.06,PLN
2009-11-02,115.48,PLN
2009-11-03,113.82,PLN
2009-11-04,115.47,PLN
2009-11-05,116.15,PLN
2009-11-06,115.45,PLN
2009-11-09,116.73,PLN
2009-11-10,117.68,PLN
2009-11-12,118.50,PLN
2009-11-13,116.65,PLN
2009-11-16,116.99,PLN
2009-11-17,116.03,PLN
2009-11-18,115.09,PLN
2009-11-19,115.31,PLN
2009-11-20,114.71,PLN
2009-11-23,115.51,PLN
2009-11-24,114.73,PLN
2009-11-25,114.67,PLN
2009-11-26,113.48,PLN
2009-11-27,113.14,PLN
2009-11-30,112.85,PLN
2009-12-01,114.68,PLN
2009-12-02,115.55,PLN
2009-12-03,116.64,PLN
2009-12-04,118.24,PLN
2009-12-07,118.96,PLN
2009-12-08,117.53,PLN
2009-12-09,117.23,PLN
2009-12-10,118.39,PLN
2009-12-11,118.57,PLN
2009-12-14,119.53,PLN
2009-12-15,120.02,PLN
2009-12-16,121.03,PLN
2009-12-17,120.16,PLN
2009-12-18,120.16,PLN
2009-12-21,120.69,PLN
2009-12-22,121.91,PLN
2009-12-23,122.17,PLN
2009-12-28,123.23,PLN
2009-12-29,123.63,PLN
2009-12-30,123.64,PLN
2009-12-31,124.85,PLN
2010-01-04,126.57,PLN
2010-01-05,127.65,PLN
2010-01-06,128.53,PLN
2010-01-07,128.51,PLN
2010-01-08,128.22,PLN
2010-01-11,127.37,PLN
2010-01-12,125.84,PLN
2010-01-13,126.26,PLN
2010-01-14,126.62,PLN
2010-01-15,125.72,PLN
2010-01-18,126.71,PLN
2010-01-19,127.65,PLN
2010-01-20,127.43,PLN
2010-01-21,128.10,PLN
2010-01-22,126.22,PLN
2010-01-25,126.52,PLN
2010-01-26,127.13,PLN
2010-01-27,126.63,PLN
2010-01-28,127.51,PLN
2010-01-29,127.66,PLN
2010-02-01,127.11,PLN
2010-02-02,126.79,PLN
2010-02-03,126.21,PLN
2010-02-04,124.36,PLN
2010-02-05,121.79,PLN
2010-02-08,121.00,PLN
2010-02-09,122.55,PLN
2010-02-10,122.29,PLN
2010-02-11,122.10,PLN
2010-02-12,122.11,PLN
2010-02-15,123.40,PLN
2010-02-16,123.16,PLN
2010-02-17,123.79,PLN
2010-02-18,123.85,PLN
2010-02-19,124.62,PLN
2010-02-22,123.66,PLN
2010-02-23,121.69,PLN
2010-02-24,120.63,PLN
2010-02-25,119.46,PLN
2010-02-26,120.58,PLN
2010-03-01,122.19,PLN
2010-03-02,124.32,PLN
2010-03-03,124.43,PLN
2010-03-04,124.33,PLN
2010-03-05,125.45,PLN
2010-03-08,126.34,PLN
2010-03-09,126.66,PLN
2010-03-10,126.91,PLN
2010-03-11,126.65,PLN
2010-03-12,126.02,PLN
2010-03-15,126.25,PLN
2010-03-16,127.73,PLN
2010-03-17,128.21,PLN
2010-03-18,127.20,PLN
2010-03-19,126.88,PLN
2010-03-22,127.03,PLN
2010-03-23,128.06,PLN
2010-03-24,128.49,PLN
2010-03-25,130.92,PLN
2010-03-26,131.19,PLN
2010-03-29,131.10,PLN
2010-03-30,131.58,PLN
2010-03-31,131.42,PLN
2010-04-01,132.78,PLN
2010-04-06,133.39,PLN
2010-04-07,132.54,PLN
2010-04-08,130.80,PLN
2010-04-09,132.29,PLN
2010-04-12,132.53,PLN
2010-04-13,132.82,PLN
2010-04-14,134.03,PLN
2010-04-15,134.69,PLN
2010-04-16,134.36,PLN
2010-04-19,132.00,PLN
2010-04-20,134.31,PLN
2010-04-21,134.02,PLN
2010-04-22,132.35,PLN
2010-04-23,133.38,PLN
2010-04-26,135.13,PLN
2010-04-27,132.92,PLN
2010-04-28,132.34,PLN
2010-04-29,134.00,PLN
2010-04-30,134.29,PLN
2010-05-04,130.89,PLN
2010-05-05,129.20,PLN
2010-05-06,129.12,PLN
2010-05-07,125.19,PLN
2010-05-10,130.36,PLN
2010-05-11,130.57,PLN
2010-05-12,130.99,PLN
2010-05-13,131.06,PLN
2010-05-14,128.45,PLN
2010-05-17,129.35,PLN
2010-05-18,129.71,PLN
2010-05-19,129.80,PLN
2010-05-20,126.35,PLN
2010-05-21,126.17,PLN
2010-05-24,126.67,PLN
2010-05-25,123.94,PLN
2010-05-26,127.40,PLN
2010-05-27,128.03,PLN
2010-05-28,127.95,PLN
2010-05-31,128.01,PLN
2010-06-01,127.52,PLN
2010-06-02,127.93,PLN
2010-06-04,126.08,PLN
2010-06-07,125.74,PLN
2010-06-08,124.91,PLN
2010-06-09,125.50,PLN
2010-06-10,126.26,PLN
2010-06-11,126.26,PLN
2010-06-14,127.91,PLN
2010-06-15,128.22,PLN
2010-06-16,127.72,PLN
2010-06-17,127.93,PLN
2010-06-18,127.70,PLN
2010-06-21,128.61,PLN
2010-06-22,128.89,PLN
2010-06-23,127.22,PLN
2010-06-24,126.76,PLN
2010-06-25,127.38,PLN
2010-06-28,126.88,PLN
2010-06-29,126.48,PLN
2010-06-30,125.26,PLN
2010-07-01,124.90,PLN
2010-07-02,125.69,PLN
2010-07-05,125.21,PLN
2010-07-06,127.10,PLN
2010-07-07,127.34,PLN
2010-07-08,126.85,PLN
2010-07-09,126.91,PLN
2010-07-12,127.67,PLN
2010-07-13,128.88,PLN
2010-07-14,128.41,PLN
2010-07-15,128.07,PLN
2010-07-16,128.07,PLN
2010-07-19,127.98,PLN
2010-07-20,127.07,PLN
2010-07-21,129.37,PLN
2010-07-22,130.76,PLN
2010-07-23,129.92,PLN
2010-07-26,130.20,PLN
2010-07-27,130.52,PLN
2010-07-28,130.96,PLN
2010-07-29,131.53,PLN
2010-07-30,131.37,PLN
2010-08-02,133.12,PLN
2010-08-03,133.20,PLN
2010-08-04,134.01,PLN
2010-08-05,133.32,PLN
2010-08-06,133.17,PLN
2010-08-09,133.06,PLN
2010-08-10,131.59,PLN
2010-08-11,130.26,PLN
2010-08-12,130.78,PLN
2010-08-13,130.59,PLN
2010-08-16,131.82,PLN
2010-08-17,132.17,PLN
2010-08-18,131.62,PLN
2010-08-19,131.01,PLN
2010-08-20,129.88,PLN
2010-08-23,130.31,PLN
2010-08-24,128.41,PLN
2010-08-25,127.49,PLN
2010-08-26,128.15,PLN
2010-08-27,128.68,PLN
2010-08-30,128.74,PLN
2010-08-31,129.37,PLN
2010-09-01,130.17,PLN
2010-09-02,130.29,PLN
2010-09-03,130.94,PLN
2010-09-06,130.18,PLN
2010-09-07,129.88,PLN
2010-09-08,130.30,PLN
2010-09-09,130.57,PLN
2010-09-10,130.36,PLN
2010-09-13,131.67,PLN
2010-09-14,131.30,PLN
2010-09-15,131.17,PLN
2010-09-16,130.70,PLN
2010-09-17,129.61,PLN
2010-09-20,129.81,PLN
2010-09-21,130.14,PLN
2010-09-22,130.11,PLN
2010-09-23,130.48,PLN
2010-09-24,130.63,PLN
2010-09-27,131.14,PLN
2010-09-28,131.36,PLN
2010-09-29,131.77,PLN
2010-09-30,132.62,PLN
2010-10-01,131.49,PLN
2010-10-04,132.27,PLN
2010-10-05,133.10,PLN
2010-10-06,134.12,PLN
2010-10-07,133.95,PLN
2010-10-08,134.64,PLN
2010-10-11,136.61,PLN
2010-10-12,136.76,PLN
2010-10-13,137.70,PLN
2010-10-14,135.97,PLN
2010-10-15,136.49,PLN
2010-10-18,136.39,PLN
2010-10-19,136.11,PLN
2010-10-20,137.68,PLN
2010-10-21,138.11,PLN
2010-10-22,138.79,PLN
2010-10-25,139.28,PLN
2010-10-26,138.61,PLN
